name,canonical_name,tier,base_score,confidence,source,notes
Annabel & Rob Archibald,Annabel Neasham,T1,72,analyst_profile,07b_trainer_signals.md + alias,Alias of Annabel Neasham
Annabel Neasham,Annabel Neasham,T1,72,analyst_profile,07b_trainer_signals.md,
Annabel Neasham & Rob Archibald,Annabel Neasham,T1,72,analyst_profile,07b_trainer_signals.md + alias,Alias of Annabel Neasham
Anthony & Sam Freedman,Anthony & Sam Freedman,T1,72,analyst_profile,07b_trainer_signals.md,
Chris Waller,Chris Waller,T1,72,analyst_profile,07b_trainer_signals.md,
Ciaron Maher,Ciaron Maher & David Eustace,T1,72,analyst_profile,07b_trainer_signals.md + alias,Alias of Ciaron Maher & David Eustace
Ciaron Maher & David Eustace,Ciaron Maher & David Eustace,T1,72,analyst_profile,07b_trainer_signals.md,
Gai Waterhouse & Adrian Bott,Gai Waterhouse & Adrian Bott,T1,72,analyst_profile,07b_trainer_signals.md,
James Cummings (Godolphin),James Cummings (Godolphin),T1,72,analyst_profile,07b_trainer_signals.md,
Peter & Paul Snowden,Peter & Paul Snowden,T1,72,analyst_profile,07b_trainer_signals.md,
Peter Snowden,Peter & Paul Snowden,T1,72,analyst_profile,07b_trainer_signals.md + alias,Alias of Peter & Paul Snowden
"Ben, Will & JD Hayes","Ben, Will & JD Hayes",T2,66,provisional,archive supplement,High-volume metro barn
Bjorn Baker,Bjorn Baker,T2,66,analyst_profile,07b_trainer_signals.md,
Chris & Corey Munce,Chris Munce,T2,66,analyst_profile,07b_trainer_signals.md + alias,Alias of Chris Munce
Chris Munce,Chris Munce,T2,66,analyst_profile,07b_trainer_signals.md,
Danny O'Brien,Danny O'Brien,T2,66,analyst_profile,07b_trainer_signals.md,
David Payne,David Payne,T2,66,analyst_profile,07b_trainer_signals.md,
Gerald Ryan & Sterling Alexiou,Gerald Ryan & Sterling Alexiou,T2,66,analyst_profile,07b_trainer_signals.md,
Grahame Begg,Grahame Begg,T2,65,provisional,archive supplement,Regular VIC metro trainer
Hawkes Racing,Hawkes Racing,T2,66,analyst_profile,07b_trainer_signals.md,
