dimension,feature,kind,coverage_rate,missing_rate,unique_values,zero_rate,leakage_safe,pre_race_available
trainer_signal,matrix_trainer_signal,numeric,1.0,0.0,164,0.0,True,True
trainer_signal,rel_matrix_trainer_signal,numeric,1.0,0.0,2668,0.0,True,True
trainer_signal,feat_jockey_score,numeric,1.0,0.0,58,0.0,True,True
trainer_signal,feat_trainer_score,numeric,1.0,0.0,19,0.0,True,True
trainer_signal,tw_jockey_present,numeric,1.0,0.0,2,0.8044387262785462,True,True
race_shape,matrix_race_shape,numeric,1.0,0.0,577,0.0,True,True
race_shape,rel_matrix_race_shape,numeric,1.0,0.0,2312,0.0,True,True
race_shape,feat_draw_score,numeric,1.0,0.0,5,0.0,True,True
race_shape,feat_race_shape_context_score,numeric,1.0,0.0,577,0.0,True,True
race_shape,barrier,numeric,1.0,0.0,14,0.0,True,True
race_shape,field_size,numeric,1.0,0.0,9,0.0,True,True
race_shape,distance_num,numeric,0.9967835316822129,0.0032164683177870698,9,0.0,True,True
race_shape,venue,categorical,1.0,0.0,2,,True,True
race_shape,course,categorical,1.0,0.0,6,,True,True
stability,matrix_stability,numeric,1.0,0.0,1996,0.0,True,True
stability,rel_matrix_stability,numeric,1.0,0.0,2974,0.0276616275329688,True,True
stability,feat_form_score,numeric,1.0,0.0,695,0.0,True,True
stability,feat_consistency_score,numeric,1.0,0.0,1295,0.0,True,True
stability,feat_trackwork_trend_score,numeric,1.0,0.0,322,0.0,True,True
stability,last6_runs,numeric,1.0,0.0,7,0.0694757156642007,True,True
stability,last6_mean_finish,numeric,0.9305242843357993,0.0694757156642007,136,0.0,True,True
stability,last6_best_finish,numeric,0.9305242843357993,0.0694757156642007,14,0.0,True,True
stability,last6_worst_finish,numeric,0.9305242843357993,0.0694757156642007,14,0.0,True,True
stability,last6_top3_count,numeric,1.0,0.0,7,0.401736892891605,True,True
stability,last6_top5_count,numeric,1.0,0.0,7,0.24991958829205532,True,True
stability,days_since_last,numeric,0.9742682534577034,0.025731746542296558,135,0.0874879382438083,True,True
stability,tw_entries_count,numeric,0.7642328723062077,0.2357671276937922,50,0.013187520102926986,True,True
stability,tw_gallop_count,numeric,0.7642328723062077,0.2357671276937922,8,0.019942103570279833,True,True
stability,tw_flags_count,numeric,0.7642328723062077,0.2357671276937922,5,0.012865873271148279,True,True
