dimension,target,fold_test_date,features,transformed_features,iterations,objective,max_abs_raw_delta,mean_abs_raw_delta
trainer_signal,Win,2026-05-09,5,5,4,0.2579386638040704,0.14799952008704687,0.054259800808163304
trainer_signal,Win,2026-05-13,5,5,4,0.2637707540689367,0.13535401278493459,0.044380574997170165
trainer_signal,Win,2026-05-17,5,5,4,0.2644672732411894,0.11024941873908298,0.045394479120347164
trainer_signal,Win,2026-05-20,5,5,4,0.262881952330057,0.1151483629708197,0.0403211396370817
trainer_signal,Win,2026-05-24,5,5,4,0.2633827327750535,0.08989677024332113,0.034860775251032865
trainer_signal,Win,2026-05-27,5,5,4,0.2598818810322642,0.09450954243952109,0.036270895451074404
trainer_signal,Win,2026-06-03,5,5,3,0.2604614225062915,0.09109722564203909,0.030557333137997668
trainer_signal,Win,2026-06-07,5,5,3,0.25833672155804255,0.08534373798764724,0.03153925624728999
trainer_signal,Win,2026-06-10,5,5,3,0.25759147663943327,0.08508223364116684,0.03192822033820397
trainer_signal,Win,2026-06-13,5,5,3,0.2584168803209889,0.08988388135915085,0.03362958101203736
trainer_signal,Win,2026-06-21,5,5,3,0.2594467457646421,0.09544047799216632,0.035292854421984016
trainer_signal,Win,2026-06-27,5,5,3,0.25933966088385296,0.09576801650823125,0.0328238513486767
trainer_signal,Win,2026-07-01,5,5,3,0.2581285900786556,0.07873918549394518,0.031487135479406285
trainer_signal,Win,2026-07-04,5,5,3,0.2574591965256653,0.08809671324018452,0.034513237933169995
trainer_signal,Win,2026-07-08,5,5,3,0.25753834741494847,0.08210174430153758,0.026678030674883463
trainer_signal,Win,2026-07-12,5,5,3,0.257959245207108,0.09492152131585044,0.025118283285643264
trainer_signal,Place,2026-05-09,5,5,3,0.4989516927082555,0.10316388974350837,0.03829586172484836
trainer_signal,Place,2026-05-13,5,5,4,0.506660383066646,0.10850507951365829,0.04837017974948974
trainer_signal,Place,2026-05-17,5,5,4,0.5070894551438113,0.10056138112937826,0.04675822403500287
trainer_signal,Place,2026-05-20,5,5,4,0.5047213670945335,0.096689827775295,0.029835309365735835
trainer_signal,Place,2026-05-24,5,5,4,0.5051067073646502,0.07645648664068147,0.02705572812600303
trainer_signal,Place,2026-05-27,5,5,4,0.5046083082808617,0.06192821271129924,0.021209230864406285
trainer_signal,Place,2026-06-03,5,5,4,0.5111970167622951,0.050291252959587335,0.014516735841922885
trainer_signal,Place,2026-06-07,5,5,4,0.5118389573013684,0.04215095380538581,0.01760892108702914
trainer_signal,Place,2026-06-10,5,5,4,0.5112427163943468,0.03623207117622302,0.012431420779090287
trainer_signal,Place,2026-06-13,5,5,4,0.5098998069501395,0.03896385567505917,0.013384646625731992
trainer_signal,Place,2026-06-21,5,5,4,0.5102895675399519,0.03786435636990183,0.013821041573721849
trainer_signal,Place,2026-06-27,5,5,4,0.5121158632289046,0.036294866984523506,0.012524530049569665
trainer_signal,Place,2026-07-01,5,5,3,0.5111741862923819,0.03841184171346172,0.013654336519969838
trainer_signal,Place,2026-07-04,5,5,3,0.5096110095150885,0.05049124297509161,0.018218759651892878
trainer_signal,Place,2026-07-08,5,5,3,0.5086634215319404,0.04699363598833235,0.015783397970962402
trainer_signal,Place,2026-07-12,5,5,3,0.5110920563376907,0.058309438535186275,0.015279898404750004
race_shape,Win,2026-05-09,9,14,3,0.258729877756518,0.018233003287594265,0.009256388112363664
race_shape,Win,2026-05-13,9,15,3,0.26433303628756566,0.01709236558072487,0.00847519869196732
race_shape,Win,2026-05-17,9,15,3,0.26494691424460143,0.020474924392569496,0.010363999901652883
race_shape,Win,2026-05-20,9,15,3,0.2633333545292146,0.007998548776729088,0.0035870584513745768
race_shape,Win,2026-05-24,9,15,3,0.2637415267720579,0.01381773848607138,0.006822243407916031
race_shape,Win,2026-05-27,9,15,3,0.2602274471553082,0.014624061644053147,0.006724405915110045
race_shape,Win,2026-06-03,9,15,3,0.2607167306252266,0.025540692928190188,0.012028562698778065
race_shape,Win,2026-06-07,9,15,3,0.2586303088224914,0.017849398735990278,0.009189727263279424
race_shape,Win,2026-06-10,9,16,3,0.25783773936826127,0.02855403310049171,0.01476863583471148
race_shape,Win,2026-06-13,9,16,3,0.2587509090257067,0.017353310207289876,0.008701278718339854
race_shape,Win,2026-06-21,9,16,3,0.25978634582753385,0.021953083582343005,0.010917134905587416
race_shape,Win,2026-06-27,9,16,3,0.25967747564231836,0.018947783012571103,0.009279848660064023
race_shape,Win,2026-07-01,9,16,3,0.2584485309538283,0.023549320457446562,0.010729449113837311
race_shape,Win,2026-07-04,9,16,3,0.25778995773177893,0.014935117288936949,0.007424275899474875
race_shape,Win,2026-07-08,9,16,3,0.25784144505930534,0.015907971723874485,0.008103399283961163
race_shape,Win,2026-07-12,9,16,3,0.2582912715555063,0.014590924367950644,0.00802882577213921
race_shape,Place,2026-05-09,9,14,5,0.49926506448016456,0.04463157565060444,0.013670669298427161
race_shape,Place,2026-05-13,9,15,4,0.5070025507158771,0.07472775997892259,0.023004098992201266
race_shape,Place,2026-05-17,9,15,5,0.5074561181973753,0.0441383026757563,0.014980112894696264
race_shape,Place,2026-05-20,9,15,5,0.5049530277423254,0.05579777938987415,0.022077875667555546
race_shape,Place,2026-05-24,9,15,4,0.5052498826048124,0.0847706422476709,0.02187369889217585
race_shape,Place,2026-05-27,9,15,5,0.5046658123269044,0.0642243908442458,0.019138809249405128
race_shape,Place,2026-06-03,9,15,5,0.5111987308747585,0.03962760575464188,0.014172545402104181
race_shape,Place,2026-06-07,9,15,5,0.5118143193430795,0.03464151584778726,0.011719288443861617
race_shape,Place,2026-06-10,9,16,4,0.5112028737804509,0.04342627785720449,0.010932335822170586
race_shape,Place,2026-06-13,9,16,4,0.5098773766665526,0.0571958231225323,0.010997678715594681
race_shape,Place,2026-06-21,9,16,4,0.5102066632874999,0.03745262489758071,0.01653427711919181
race_shape,Place,2026-06-27,9,16,4,0.5120218739662672,0.028831816085242053,0.013269669212011748
race_shape,Place,2026-07-01,9,16,4,0.5110810181563127,0.04252825842363799,0.012763392904686486
race_shape,Place,2026-07-04,9,16,5,0.5095372378600503,0.0685721835337332,0.014099290926473922
race_shape,Place,2026-07-08,9,16,5,0.5085566989963423,0.05215855487810998,0.018006875867215836
race_shape,Place,2026-07-12,9,16,4,0.5109545468068432,0.0424791622974145,0.01780925726620424
stability,Win,2026-05-09,15,22,4,0.25791033455721646,0.1861303368694354,0.06957149430338366
stability,Win,2026-05-13,15,22,4,0.26361689201708505,0.16879641467836168,0.053560370162181396
stability,Win,2026-05-17,15,22,4,0.2643427533245374,0.15507584872332952,0.05290939829652327
stability,Win,2026-05-20,15,22,4,0.26271001385448733,0.15098582873868654,0.058018919332395884
stability,Win,2026-05-24,15,22,4,0.2631072117158429,0.18875093247393226,0.0533014401325899
stability,Win,2026-05-27,15,22,4,0.259512067833524,0.13912830972095402,0.05483874683390539
stability,Win,2026-06-03,15,22,4,0.26016649989924917,0.13167033114087548,0.0504766446743289
stability,Win,2026-06-07,15,22,4,0.25799239636521604,0.17121593591335507,0.05654204917662808
stability,Win,2026-06-10,15,22,4,0.2572624366857003,0.17557128372734873,0.04666340352188253
stability,Win,2026-06-13,15,22,4,0.25816265731417315,0.15295172270266744,0.05842872641074037
stability,Win,2026-06-21,15,22,4,0.25924037483965173,0.15016604327860766,0.05197743852719665
stability,Win,2026-06-27,15,22,4,0.2591050521656902,0.13852369571038686,0.05094249578958647
stability,Win,2026-07-01,15,22,4,0.25795795081827955,0.16569364025024524,0.05639705549842638
stability,Win,2026-07-04,15,22,4,0.25728961997316074,0.14846667496743846,0.05702031112348942
stability,Win,2026-07-08,15,22,4,0.2573440154146844,0.1554291228431691,0.049767928451045024
stability,Win,2026-07-12,15,22,4,0.25784965092794193,0.14277557781326322,0.04991532402485796
stability,Place,2026-05-09,15,22,5,0.4952760264346682,0.38312740410652385,0.13680000810604206
stability,Place,2026-05-13,15,22,5,0.5033048191717295,0.3525051953654292,0.11280781138588783
stability,Place,2026-05-17,15,22,5,0.5031475650505561,0.38299550763387247,0.13641242457320424
stability,Place,2026-05-20,15,22,5,0.5008893090645493,0.32461759145688596,0.13084533786336203
stability,Place,2026-05-24,15,22,5,0.5007598831947188,0.3959427363121264,0.12072378102759485
stability,Place,2026-05-27,15,22,5,0.5002574045229359,0.31335391422093967,0.12052492173070029
stability,Place,2026-06-03,15,22,5,0.507371022482753,0.2889490044755732,0.11108241567693432
stability,Place,2026-06-07,15,22,5,0.5077876706927983,0.2819921104857718,0.11744124298314262
stability,Place,2026-06-10,15,22,5,0.50745985954746,0.37958995362099335,0.09589786349080816
stability,Place,2026-06-13,15,22,5,0.5065261672268399,0.3049131796808389,0.10666969021476465
stability,Place,2026-06-21,15,22,5,0.5069826238040368,0.3032484086962361,0.10105616031909545
stability,Place,2026-06-27,15,22,5,0.5089833132251093,0.29447820239825695,0.09789998541420308
stability,Place,2026-07-01,15,22,5,0.5079621056135332,0.35560005090386676,0.11144859284007798
stability,Place,2026-07-04,15,22,5,0.506589956979831,0.3133218450495373,0.11472700891369263
stability,Place,2026-07-08,15,22,5,0.5054389381728797,0.32133394636735,0.10044163383744807
stability,Place,2026-07-12,15,22,5,0.5077485287939684,0.35372145158421703,0.11283009821423366
