dimension,target,feature,coefficient,abs_coefficient,l2_penalty,selected_cap
race_shape,Place,num__field_size,-0.014478542865338982,0.014478542865338982,1.0,0.05
race_shape,Place,num__matrix_race_shape,-0.009223952326906279,0.009223952326906279,1.0,0.05
race_shape,Place,num__feat_race_shape_context_score,-0.009223952326906279,0.009223952326906279,1.0,0.05
race_shape,Place,num__rel_matrix_race_shape,-0.008870950908725146,0.008870950908725146,1.0,0.05
race_shape,Place,num__barrier,-0.0031562321499754953,0.0031562321499754953,1.0,0.05
race_shape,Place,cat__course_C,0.00262110168803795,0.00262110168803795,1.0,0.05
race_shape,Place,num__feat_draw_score,-0.0024562121963439282,0.0024562121963439282,1.0,0.05
race_shape,Place,cat__course_A,-0.002418631489453124,0.002418631489453124,1.0,0.05
race_shape,Place,num__missingindicator_distance_num,0.0024108789124258254,0.0024108789124258254,1.0,0.05
race_shape,Place,num__distance_num,0.001715025417316348,0.001715025417316348,1.0,0.05
race_shape,Place,cat__course_B,-0.0016522477396659233,0.0016522477396659233,1.0,0.05
race_shape,Place,cat__course_C+3,0.0010579562697382305,0.0010579562697382305,1.0,0.05
race_shape,Place,cat__venue_沙田,0.0009297346396479286,0.0009297346396479286,1.0,0.05
race_shape,Place,cat__course_Unknown,0.0007614543690057355,0.0007614543690057355,1.0,0.05
race_shape,Place,cat__venue_跑馬地,-0.0005659840503261584,0.0005659840503261584,1.0,0.05
race_shape,Place,cat__course_AWT,-5.88250834110379e-06,5.88250834110379e-06,1.0,0.05
race_shape,Win,num__barrier,-0.0031759261272640803,0.0031759261272640803,1.0,0.05
race_shape,Win,num__rel_matrix_race_shape,0.0023030917116501673,0.0023030917116501673,1.0,0.05
race_shape,Win,num__feat_draw_score,0.0006758416600142604,0.0006758416600142604,1.0,0.05
race_shape,Win,num__matrix_race_shape,0.00028328191958469125,0.00028328191958469125,1.0,0.05
race_shape,Win,num__feat_race_shape_context_score,0.00028328191958469125,0.00028328191958469125,1.0,0.05
race_shape,Win,num__field_size,9.064148462435683e-05,9.064148462435683e-05,1.0,0.05
race_shape,Win,cat__venue_沙田,-7.990425279964717e-05,7.990425279964717e-05,1.0,0.05
race_shape,Win,cat__venue_跑馬地,-6.904973428489844e-05,6.904973428489844e-05,1.0,0.05
race_shape,Win,cat__course_C,-3.83938612022383e-05,3.83938612022383e-05,1.0,0.05
race_shape,Win,cat__course_A,-3.245383135287558e-05,3.245383135287558e-05,1.0,0.05
race_shape,Win,cat__course_C+3,-3.236818877322538e-05,3.236818877322538e-05,1.0,0.05
race_shape,Win,cat__course_B,-3.219943890811553e-05,3.219943890811553e-05,1.0,0.05
race_shape,Win,cat__course_Unknown,-1.0978847621037433e-05,1.0978847621037433e-05,1.0,0.05
race_shape,Win,num__missingindicator_distance_num,-6.70702899057273e-06,6.70702899057273e-06,1.0,0.05
race_shape,Win,cat__course_AWT,-2.5598192270535787e-06,2.5598192270535787e-06,1.0,0.05
race_shape,Win,num__distance_num,-2.1393401807017084e-06,2.1393401807017084e-06,1.0,0.05
stability,Place,num__rel_matrix_stability,0.026169957460497516,0.026169957460497516,1.0,0.05
stability,Place,num__last6_mean_finish,-0.025588148990928396,0.025588148990928396,1.0,0.05
stability,Place,num__feat_form_score,0.017225253645172644,0.017225253645172644,1.0,0.05
stability,Place,num__last6_best_finish,-0.01633741355426824,0.01633741355426824,1.0,0.05
stability,Place,num__matrix_stability,0.015849416959843293,0.015849416959843293,1.0,0.05
stability,Place,num__last6_top5_count,0.014933232036570111,0.014933232036570111,1.0,0.05
stability,Place,num__last6_worst_finish,-0.014470514188005391,0.014470514188005391,1.0,0.05
stability,Place,num__missingindicator_tw_entries_count,0.014226775916008213,0.014226775916008213,1.0,0.05
stability,Place,num__missingindicator_tw_gallop_count,0.014226775916008213,0.014226775916008213,1.0,0.05
stability,Place,num__missingindicator_tw_flags_count,0.014226775916008213,0.014226775916008213,1.0,0.05
stability,Place,num__tw_entries_count,0.013262898934807572,0.013262898934807572,1.0,0.05
stability,Place,num__feat_consistency_score,0.01298258107443134,0.01298258107443134,1.0,0.05
stability,Place,num__missingindicator_days_since_last,0.006523234638562658,0.006523234638562658,1.0,0.05
stability,Place,num__tw_flags_count,-0.006361961338332972,0.006361961338332972,1.0,0.05
stability,Place,num__missingindicator_last6_mean_finish,0.006174900892191812,0.006174900892191812,1.0,0.05
stability,Place,num__missingindicator_last6_best_finish,0.006174900892191812,0.006174900892191812,1.0,0.05
stability,Place,num__missingindicator_last6_worst_finish,0.006174900892191812,0.006174900892191812,1.0,0.05
stability,Place,num__tw_gallop_count,0.0058528170604977585,0.0058528170604977585,1.0,0.05
stability,Place,num__feat_trackwork_trend_score,-0.005105312573779472,0.005105312573779472,1.0,0.05
stability,Place,num__last6_runs,-0.00455349800577967,0.00455349800577967,1.0,0.05
stability,Place,num__days_since_last,0.002716489129693465,0.002716489129693465,1.0,0.05
stability,Place,num__last6_top3_count,0.0004854382471743663,0.0004854382471743663,1.0,0.05
stability,Win,num__last6_mean_finish,-0.009950639778786415,0.009950639778786415,1.0,0.05
stability,Win,num__rel_matrix_stability,0.009229848873645443,0.009229848873645443,1.0,0.05
stability,Win,num__feat_form_score,0.009056849696415735,0.009056849696415735,1.0,0.05
stability,Win,num__matrix_stability,0.00851337944879239,0.00851337944879239,1.0,0.05
stability,Win,num__feat_consistency_score,0.007648234790601887,0.007648234790601887,1.0,0.05
stability,Win,num__last6_best_finish,-0.007371196946242318,0.007371196946242318,1.0,0.05
stability,Win,num__last6_worst_finish,-0.006535926535482161,0.006535926535482161,1.0,0.05
stability,Win,num__last6_top5_count,0.005522494016475782,0.005522494016475782,1.0,0.05
stability,Win,num__feat_trackwork_trend_score,-0.00478254110431284,0.00478254110431284,1.0,0.05
stability,Win,num__tw_flags_count,-0.004264423763077097,0.004264423763077097,1.0,0.05
stability,Win,num__tw_entries_count,0.0036597206894789444,0.0036597206894789444,1.0,0.05
stability,Win,num__tw_gallop_count,0.0031619415754245415,0.0031619415754245415,1.0,0.05
stability,Win,num__missingindicator_last6_mean_finish,0.0019254404485554428,0.0019254404485554428,1.0,0.05
stability,Win,num__missingindicator_last6_best_finish,0.0019254404485554428,0.0019254404485554428,1.0,0.05
stability,Win,num__missingindicator_last6_worst_finish,0.0019254404485554428,0.0019254404485554428,1.0,0.05
stability,Win,num__days_since_last,-0.0011192456286226646,0.0011192456286226646,1.0,0.05
stability,Win,num__last6_runs,0.0009861724608708961,0.0009861724608708961,1.0,0.05
stability,Win,num__missingindicator_days_since_last,-6.07258908165246e-05,6.07258908165246e-05,1.0,0.05
stability,Win,num__missingindicator_tw_entries_count,-1.8341788568204644e-05,1.8341788568204644e-05,1.0,0.05
stability,Win,num__missingindicator_tw_gallop_count,-1.8341788568204644e-05,1.8341788568204644e-05,1.0,0.05
stability,Win,num__missingindicator_tw_flags_count,-1.8341788568204644e-05,1.8341788568204644e-05,1.0,0.05
stability,Win,num__last6_top3_count,-2.447444408854855e-06,2.447444408854855e-06,1.0,0.05
trainer_signal,Place,num__rel_matrix_trainer_signal,0.011710847010532521,0.011710847010532521,1.0,0.2
trainer_signal,Place,num__feat_jockey_score,0.005659259744563178,0.005659259744563178,1.0,0.2
trainer_signal,Place,num__tw_jockey_present,-0.005211329991810195,0.005211329991810195,1.0,0.2
trainer_signal,Place,num__matrix_trainer_signal,0.00494491796320619,0.00494491796320619,1.0,0.2
trainer_signal,Place,num__feat_trainer_score,0.0016274022818219065,0.0016274022818219065,1.0,0.2
trainer_signal,Win,num__feat_jockey_score,0.01559765774909014,0.01559765774909014,1.0,0.2
trainer_signal,Win,num__rel_matrix_trainer_signal,0.013831241614030898,0.013831241614030898,1.0,0.2
trainer_signal,Win,num__matrix_trainer_signal,0.011620078113480523,0.011620078113480523,1.0,0.2
trainer_signal,Win,num__feat_trainer_score,0.0004772564708548806,0.0004772564708548806,1.0,0.2
trainer_signal,Win,num__tw_jockey_present,-5.127110707982885e-05,5.127110707982885e-05,1.0,0.2
