baseline_race_key,baseline_date,baseline_meeting_name,baseline_race_number,baseline_top2_hits,baseline_winner_rank,baseline_actual_top3,baseline_predicted_top2,candidate_race_key,candidate_date,candidate_meeting_name,candidate_race_number,candidate_top2_hits,candidate_winner_rank,candidate_actual_top3,candidate_predicted_top2,dimension,period,method,top2_hit_delta,winner_rank_delta,outcome
2026-05-09::2026-05-09_ShaTin::R1,2026-05-09,2026-05-09_ShaTin,1,0,8,"2,5,6","1,7",2026-05-09::2026-05-09_ShaTin::R1,2026-05-09,2026-05-09_ShaTin,1,0,9,"2,5,6","1,7",trainer_signal,walk_forward,Residual cap=0.20,0,1,unchanged
2026-05-09::2026-05-09_ShaTin::R2,2026-05-09,2026-05-09_ShaTin,2,1,4,"1,2,5","7,5",2026-05-09::2026-05-09_ShaTin::R2,2026-05-09,2026-05-09_ShaTin,2,1,4,"1,2,5","7,5",trainer_signal,walk_forward,Residual cap=0.20,0,0,unchanged
2026-05-09::2026-05-09_ShaTin::R3,2026-05-09,2026-05-09_ShaTin,3,1,12,"8,12,13","13,7",2026-05-09::2026-05-09_ShaTin::R3,2026-05-09,2026-05-09_ShaTin,3,1,12,"8,12,13","13,7",trainer_signal,walk_forward,Residual cap=0.20,0,0,unchanged
2026-05-09::2026-05-09_ShaTin::R4,2026-05-09,2026-05-09_ShaTin,4,1,13,"4,10,11","6,4",2026-05-09::2026-05-09_ShaTin::R4,2026-05-09,2026-05-09_ShaTin,4,1,12,"4,10,11","6,4",trainer_signal,walk_forward,Residual cap=0.20,0,-1,unchanged
2026-05-09::2026-05-09_ShaTin::R5,2026-05-09,2026-05-09_ShaTin,5,0,12,"2,4,6","9,3",2026-05-09::2026-05-09_ShaTin::R5,2026-05-09,2026-05-09_ShaTin,5,0,12,"2,4,6","9,3",trainer_signal,walk_forward,Residual cap=0.20,0,0,unchanged
2026-05-09::2026-05-09_ShaTin::R6,2026-05-09,2026-05-09_ShaTin,6,1,3,"3,6,7","7,9",2026-05-09::2026-05-09_ShaTin::R6,2026-05-09,2026-05-09_ShaTin,6,2,1,"3,6,7","6,7",trainer_signal,walk_forward,Residual cap=0.20,1,-2,helped
2026-05-09::2026-05-09_ShaTin::R7,2026-05-09,2026-05-09_ShaTin,7,0,10,"8,11,13","1,5",2026-05-09::2026-05-09_ShaTin::R7,2026-05-09,2026-05-09_ShaTin,7,0,10,"8,11,13","1,5",trainer_signal,walk_forward,Residual cap=0.20,0,0,unchanged
2026-05-09::2026-05-09_ShaTin::R8,2026-05-09,2026-05-09_ShaTin,8,0,8,"3,7,11","4,10",2026-05-09::2026-05-09_ShaTin::R8,2026-05-09,2026-05-09_ShaTin,8,0,8,"3,7,11","4,10",trainer_signal,walk_forward,Residual cap=0.20,0,0,unchanged
2026-05-09::2026-05-09_ShaTin::R9,2026-05-09,2026-05-09_ShaTin,9,0,4,"7,13,14","2,1",2026-05-09::2026-05-09_ShaTin::R9,2026-05-09,2026-05-09_ShaTin,9,0,5,"7,13,14","2,1",trainer_signal,walk_forward,Residual cap=0.20,0,1,unchanged
2026-05-09::2026-05-09_ShaTin::R11,2026-05-09,2026-05-09_ShaTin,11,1,2,"2,4,12","6,4",2026-05-09::2026-05-09_ShaTin::R11,2026-05-09,2026-05-09_ShaTin,11,1,2,"2,4,12","6,4",trainer_signal,walk_forward,Residual cap=0.20,0,0,unchanged
2026-05-13::2026-05-13_HappyValley::R1,2026-05-13,2026-05-13_HappyValley,1,1,1,"1,3,12","1,11",2026-05-13::2026-05-13_HappyValley::R1,2026-05-13,2026-05-13_HappyValley,1,1,1,"1,3,12","1,11",trainer_signal,walk_forward,Residual cap=0.20,0,0,unchanged
2026-05-13::2026-05-13_HappyValley::R4,2026-05-13,2026-05-13_HappyValley,4,0,12,"4,10,11","3,5",2026-05-13::2026-05-13_HappyValley::R4,2026-05-13,2026-05-13_HappyValley,4,0,12,"4,10,11","3,5",trainer_signal,walk_forward,Residual cap=0.20,0,0,unchanged
2026-05-13::2026-05-13_HappyValley::R7,2026-05-13,2026-05-13_HappyValley,7,0,6,"1,3,11","6,12",2026-05-13::2026-05-13_HappyValley::R7,2026-05-13,2026-05-13_HappyValley,7,0,7,"1,3,11","6,12",trainer_signal,walk_forward,Residual cap=0.20,0,1,unchanged
2026-05-13::2026-05-13_HappyValley::R9,2026-05-13,2026-05-13_HappyValley,9,1,4,"4,9,10","8,4",2026-05-13::2026-05-13_HappyValley::R9,2026-05-13,2026-05-13_HappyValley,9,1,4,"4,9,10","4,8",trainer_signal,walk_forward,Residual cap=0.20,0,0,unchanged
2026-05-17::2026-05-17_ShaTin::R1,2026-05-17,2026-05-17_ShaTin,1,0,5,"6,7,10","8,9",2026-05-17::2026-05-17_ShaTin::R1,2026-05-17,2026-05-17_ShaTin,1,0,5,"6,7,10","9,8",trainer_signal,walk_forward,Residual cap=0.20,0,0,unchanged
2026-05-17::2026-05-17_ShaTin::R2,2026-05-17,2026-05-17_ShaTin,2,1,1,"4,10,14","14,1",2026-05-17::2026-05-17_ShaTin::R2,2026-05-17,2026-05-17_ShaTin,2,1,1,"4,10,14","14,1",trainer_signal,walk_forward,Residual cap=0.20,0,0,unchanged
2026-05-17::2026-05-17_ShaTin::R3,2026-05-17,2026-05-17_ShaTin,3,1,8,"3,5,11","4,5",2026-05-17::2026-05-17_ShaTin::R3,2026-05-17,2026-05-17_ShaTin,3,1,7,"3,5,11","4,5",trainer_signal,walk_forward,Residual cap=0.20,0,-1,unchanged
2026-05-17::2026-05-17_ShaTin::R4,2026-05-17,2026-05-17_ShaTin,4,1,7,"8,10,11","10,1",2026-05-17::2026-05-17_ShaTin::R4,2026-05-17,2026-05-17_ShaTin,4,1,6,"8,10,11","10,1",trainer_signal,walk_forward,Residual cap=0.20,0,-1,unchanged
2026-05-17::2026-05-17_ShaTin::R6,2026-05-17,2026-05-17_ShaTin,6,1,3,"2,10,11","3,2",2026-05-17::2026-05-17_ShaTin::R6,2026-05-17,2026-05-17_ShaTin,6,1,3,"2,10,11","3,2",trainer_signal,walk_forward,Residual cap=0.20,0,0,unchanged
