feature,gain,split,gain_share
num__rel_matrix_stability,67.90409900934901,84,0.2774064609276642
num__rel_matrix_trainer_signal,61.182181572541595,82,0.2499456249251724
num__rel_matrix_race_shape,23.470639318227768,54,0.09588385802870061
num__matrix_stability,22.65120458509773,39,0.09253624731601724
num__matrix_race_shape,22.013984306628117,89,0.08993303153286904
num__matrix_sectional,10.76751334965229,48,0.04398818060905535
num__rel_matrix_class_advantage,7.1771882132743485,49,0.02932073925879
num__rel_matrix_horse_health,6.544614430516958,33,0.026736505657130802
num__matrix_class_advantage,6.451942395418882,31,0.026357915532844167
num__rel_matrix_sectional,5.199081572238356,22,0.021239642968096946
num__rel_matrix_form_line,4.952162832720205,23,0.020230913676850194
num__matrix_trainer_signal,4.589481212198734,20,0.018749261961266434
num__matrix_horse_health,1.26094494477411,14,0.0051512983701654785
num__matrix_form_line,0.6169286984950304,8,0.002520319235377144
