date,meeting_name,race_number,horse_number,race_key,horse_name,finish_pos,is_win,is_top3,current_live_recomputed_ability,probability_matrix,matrix_rank,probability_hybrid,ml_rank_score,hybrid_rank_score,hybrid_rank,rank_change,entered_top2,left_top2,rank3_placegetter_entered_top2,period
2026-05-09,2026-05-09_ShaTin,1,2,2026-05-09::2026-05-09_ShaTin::R1,銳行星,2,0,1,67.515219,0.12335368889963037,3,0.17257356053580475,0.05426393630261118,0.830000006751522,2,1,True,False,True,walk_forward
2026-05-09,2026-05-09_ShaTin,6,6,2026-05-09::2026-05-09_ShaTin::R6,龍傲綾羅,1,1,1,68.73970299999999,0.11167859000652021,3,0.14272115864935483,0.1535265667518498,0.8785714354453988,2,1,True,False,True,walk_forward
2026-05-17,2026-05-17_ShaTin,6,10,2026-05-17::2026-05-17_ShaTin::R6,傑出雷霆,1,1,1,71.48313900000001,0.14733904979745027,3,0.14179109745107513,0.06963689434243055,0.8333333404816474,2,1,True,False,True,walk_forward
2026-05-24,2026-05-24_ShaTin,1,6,2026-05-24::2026-05-24_ShaTin::R1,神駒馬靈,3,0,1,67.355169,0.09833344283222395,3,0.1450150214110186,0.044554894891927294,0.9000000067355169,2,1,True,False,True,walk_forward
2026-06-03,2026-06-03_HappyValley,2,4,2026-06-03::2026-06-03_HappyValley::R2,首駿,1,1,1,67.15565,0.09441800711453263,3,0.15956481661990377,0.061192367432683095,0.8583333400488984,2,1,True,False,True,walk_forward
2026-06-13,2026-06-13_ShaTin,1,7,2026-06-13::2026-06-13_ShaTin::R1,量子猴王,3,0,1,64.11116,0.1705259324341618,3,0.19496993013982133,-0.07864691053564259,0.7571428635539731,2,1,True,False,True,walk_forward
2026-06-13,2026-06-13_ShaTin,7,6,2026-06-13::2026-06-13_ShaTin::R7,利高八斗,2,0,1,69.37423100000001,0.12290151828489855,3,0.15592922646994942,0.44147665211042975,0.8583333402707565,2,1,True,False,True,walk_forward
2026-06-13,2026-06-13_ShaTin,9,3,2026-06-13::2026-06-13_ShaTin::R9,興馳千里,2,0,1,71.05516499999999,0.12077225322535605,3,0.15608060500899942,0.09932810166981809,0.8583333404388499,2,1,True,False,True,walk_forward
2026-06-27,2026-06-27_ShaTin,8,7,2026-06-27::2026-06-27_ShaTin::R8,魔術控制,2,0,1,68.39371,0.10920401344921363,3,0.1748719831959707,0.3443550679453598,0.8727272795666438,2,1,True,False,True,walk_forward
2026-07-12,2026-07-12_ShaTin,2,11,2026-07-12::2026-07-12_ShaTin::R2,海洋帝君,3,0,1,69.513848,0.12491468657730431,3,0.1438364160991453,0.15749826768280634,0.8785714355228134,2,1,True,False,True,walk_forward
