date,meeting_name,race_number,horse_number,race_key,horse_name,finish_pos,is_win,is_top3,current_live_recomputed_ability,probability_matrix,matrix_rank,probability_hybrid,ml_rank_score,hybrid_rank_score,hybrid_rank,rank_change,entered_top2,left_top2,rank3_placegetter_entered_top2,period
2026-05-09,2026-05-09_ShaTin,1,1,2026-05-09::2026-05-09_ShaTin::R1,全能勇士,5,0,0,69.546912,0.16944717265577242,1,0.26628524271620935,0.21364946536416635,1.0000000069546913,1,0,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,1,2,2026-05-09::2026-05-09_ShaTin::R1,銳行星,2,0,1,67.515219,0.12335368889963037,3,0.17257356053580475,0.05426393630261118,0.830000006751522,2,1,True,False,True,walk_forward
2026-05-09,2026-05-09_ShaTin,1,7,2026-05-09::2026-05-09_ShaTin::R1,極歡欣,4,0,0,68.215184,0.13785739651280315,2,0.15081610303243514,-0.0008039836337108202,0.7800000068215184,3,-1,False,True,False,walk_forward
2026-05-09,2026-05-09_ShaTin,1,3,2026-05-09::2026-05-09_ShaTin::R1,紅悅舍,6,0,0,66.591242,0.10625116229191267,5,0.10801811733661605,0.04160308854666578,0.6600000066591243,4,1,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,1,10,2026-05-09::2026-05-09_ShaTin::R1,精英奪冠,7,0,0,66.069635,0.09755448019939705,6,0.0810619978592325,0.0068741738478075385,0.5600000066069636,5,1,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,1,4,2026-05-09::2026-05-09_ShaTin::R1,銀騎士,8,0,0,66.739292,0.10884223571850081,4,0.0721370242513988,-0.4122512705658725,0.5200000066739291,6,-2,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,1,6,2026-05-09::2026-05-09_ShaTin::R1,永福,3,0,1,64.250631,0.0720328374317568,7,0.05058779197561335,-0.24659805697722062,0.4000000064250631,7,0,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,1,9,2026-05-09::2026-05-09_ShaTin::R1,雙劍合璧,10,0,0,63.68111299999999,0.06540839091024032,9,0.03979964027238357,0.0007628480424359148,0.3200000063681113,8,1,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,1,5,2026-05-09::2026-05-09_ShaTin::R1,鵲橋飛昇,1,1,1,63.822424000000005,0.0669969568316963,8,0.03422322469165203,-0.36596242540197366,0.2700000063822424,9,-1,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,1,8,2026-05-09::2026-05-09_ShaTin::R1,盛世英雄,9,0,0,62.369116,0.05225567854829013,10,0.024497297328654473,-0.28864435759355356,0.1600000062369116,10,0,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,2,7,2026-05-09::2026-05-09_ShaTin::R2,川河石駒,5,0,0,69.745327,0.1617252376089278,1,0.20796019867251417,0.15165794355905118,0.9750000069745327,1,0,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,2,5,2026-05-09::2026-05-09_ShaTin::R2,奇異歡星,3,0,1,69.56572800000001,0.15737948698928036,2,0.16846659585568824,0.031141581637447905,0.8916666736232394,2,0,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,2,2,2026-05-09::2026-05-09_ShaTin::R2,馬馳登,2,0,1,68.98780400000001,0.14403511621988302,3,0.1263425059105729,-0.045943951048105475,0.7833333402321139,3,0,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,2,8,2026-05-09::2026-05-09_ShaTin::R2,烈進駒,7,0,0,67.28793100000001,0.11015100271836203,5,0.12072621186743476,0.2583610378401786,0.7666666733954597,4,1,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,2,1,2026-05-09::2026-05-09_ShaTin::R2,北地烈馬,1,1,1,68.753223,0.13889180830052936,4,0.09355850110809052,-0.07238891112026784,0.6750000068753222,5,-1,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,2,4,2026-05-09::2026-05-09_ShaTin::R2,朗日自強,4,0,0,64.869129,0.0740233306584382,6,0.08312174031510954,-0.010234804043695348,0.6333333398202462,6,0,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,2,6,2026-05-09::2026-05-09_ShaTin::R2,澳華發發,8,0,0,63.760821,0.0614023190720449,7,0.06076797523723768,-0.06837381548519288,0.5250000063760821,7,0,False,False,False,walk_forward
