period,target,model,bin,runners,mean_probability,observed_rate
walk_forward,Win,Matrix Champion,"(-0.001, 0.1]",1457,0.05477807550845029,0.048730267673301304
walk_forward,Win,Matrix Champion,"(0.1, 0.2]",506,0.1355120109921185,0.1482213438735178
walk_forward,Win,Matrix Champion,"(0.2, 0.3]",55,0.22362115366229857,0.2727272727272727
walk_forward,Win,Matrix Champion,"(0.3, 0.4]",1,0.3201029707495519,0.0
walk_forward,Win,Logistic Regression,"(-0.001, 0.1]",1445,0.04960356607864813,0.05121107266435986
walk_forward,Win,Logistic Regression,"(0.1, 0.2]",480,0.13880298669018135,0.12916666666666668
walk_forward,Win,Logistic Regression,"(0.2, 0.3]",90,0.2366023585887569,0.26666666666666666
walk_forward,Win,Logistic Regression,"(0.3, 0.4]",3,0.33027976815854637,0.3333333333333333
walk_forward,Win,Logistic Regression,"(0.4, 0.5]",1,0.4123618276026554,0.0
walk_forward,Place,Matrix Champion,"(-0.001, 0.1]",158,0.08052735006114367,0.06329113924050633
walk_forward,Place,Matrix Champion,"(0.1, 0.2]",657,0.15049950536153445,0.1308980213089802
walk_forward,Place,Matrix Champion,"(0.2, 0.3]",501,0.24762453829974684,0.2375249500998004
walk_forward,Place,Matrix Champion,"(0.3, 0.4]",350,0.3455524771189677,0.32857142857142857
walk_forward,Place,Matrix Champion,"(0.4, 0.5]",203,0.4426457977173766,0.39408866995073893
walk_forward,Place,Matrix Champion,"(0.5, 0.6]",107,0.5413742194731149,0.4766355140186916
walk_forward,Place,Matrix Champion,"(0.6, 0.7]",30,0.649051257059094,0.5
walk_forward,Place,Matrix Champion,"(0.7, 0.8]",13,0.7285925123294595,0.5384615384615384
walk_forward,Place,Logistic Regression,"(-0.001, 0.1]",309,0.07548671463176537,0.07766990291262135
walk_forward,Place,Logistic Regression,"(0.1, 0.2]",646,0.14859129488631567,0.14860681114551083
walk_forward,Place,Logistic Regression,"(0.2, 0.3]",451,0.24900354763240207,0.2394678492239468
walk_forward,Place,Logistic Regression,"(0.3, 0.4]",269,0.348413980532304,0.3420074349442379
walk_forward,Place,Logistic Regression,"(0.4, 0.5]",205,0.44254372256718755,0.44878048780487806
walk_forward,Place,Logistic Regression,"(0.5, 0.6]",98,0.5432641304340081,0.5306122448979592
walk_forward,Place,Logistic Regression,"(0.6, 0.7]",39,0.642445941508886,0.4358974358974359
walk_forward,Place,Logistic Regression,"(0.7, 0.8]",2,0.7087999318756555,1.0
external_holdout,Win,Matrix Champion,"(-0.001, 0.1]",72,0.05536767908872149,0.06944444444444445
external_holdout,Win,Matrix Champion,"(0.1, 0.2]",32,0.1345364333793595,0.125
external_holdout,Win,Matrix Champion,"(0.2, 0.3]",3,0.23612041249084936,0.0
external_holdout,Win,Logistic Regression,"(-0.001, 0.1]",76,0.05098073979028121,0.06578947368421052
external_holdout,Win,Logistic Regression,"(0.1, 0.2]",23,0.135442147525646,0.13043478260869565
external_holdout,Win,Logistic Regression,"(0.2, 0.3]",7,0.23074106135778086,0.14285714285714285
external_holdout,Win,Logistic Regression,"(0.3, 0.4]",1,0.3951069533443037,0.0
external_holdout,Place,Matrix Champion,"(-0.001, 0.1]",6,0.07421377092569845,0.16666666666666666
external_holdout,Place,Matrix Champion,"(0.1, 0.2]",30,0.14267980729715696,0.16666666666666666
external_holdout,Place,Matrix Champion,"(0.2, 0.3]",29,0.2505597853188681,0.20689655172413793
external_holdout,Place,Matrix Champion,"(0.3, 0.4]",24,0.34514846780062997,0.2916666666666667
external_holdout,Place,Matrix Champion,"(0.4, 0.5]",13,0.44505226353759003,0.5384615384615384
external_holdout,Place,Matrix Champion,"(0.5, 0.6]",2,0.5297263851321988,0.0
external_holdout,Place,Matrix Champion,"(0.6, 0.7]",3,0.6166239233413408,0.3333333333333333
external_holdout,Place,Logistic Regression,"(-0.001, 0.1]",15,0.07465619977561794,0.13333333333333333
external_holdout,Place,Logistic Regression,"(0.1, 0.2]",30,0.14541743764890538,0.2
external_holdout,Place,Logistic Regression,"(0.2, 0.3]",29,0.24078371340745697,0.2413793103448276
external_holdout,Place,Logistic Regression,"(0.3, 0.4]",18,0.34076103272078434,0.3333333333333333
external_holdout,Place,Logistic Regression,"(0.4, 0.5]",9,0.44941418470903677,0.4444444444444444
external_holdout,Place,Logistic Regression,"(0.5, 0.6]",5,0.5451745099628509,0.4
external_holdout,Place,Logistic Regression,"(0.6, 0.7]",1,0.6458746567539319,0.0
