feature,dtype,role,coverage_rate,missing_rate,neutral_default_rate,neutral_default_definition,unique_values,suspicious_values,suspicious_rule,first_available_date,last_available_date,historical_depth_days,point_in_time_note
meeting,object,metadata/excluded,1.0,0.0,0.0,blank/unknown/n-a/unavailable,25,0,non-finite numeric or impossible domain value,2026-04-12,2026-07-15,94,not supplied to analysis model
meeting_name,object,metadata/excluded,1.0,0.0,0.0,blank/unknown/n-a/unavailable,25,0,non-finite numeric or impossible domain value,2026-04-12,2026-07-15,94,not supplied to analysis model
date,object,metadata/excluded,1.0,0.0,0.0,blank/unknown/n-a/unavailable,25,0,non-finite numeric or impossible domain value,2026-04-12,2026-07-15,94,not supplied to analysis model
race_number,int64,metadata/excluded,1.0,0.0,,not defined,11,0,non-finite numeric or impossible domain value,2026-04-12,2026-07-15,94,not supplied to analysis model
venue,object,analysis_feature,1.0,0.0,0.0,blank/unknown/n-a/unavailable,2,0,non-finite numeric or impossible domain value,2026-04-12,2026-07-15,94,pre-race only
track,object,analysis_feature,1.0,0.0,0.0,blank/unknown/n-a/unavailable,2,0,non-finite numeric or impossible domain value,2026-04-12,2026-07-15,94,pre-race only
course,object,analysis_feature,1.0,0.0,0.08973946606625925,blank/unknown/n-a/unavailable,6,0,non-finite numeric or impossible domain value,2026-04-12,2026-07-15,94,pre-race only
distance,object,metadata/excluded,1.0,0.0,0.0,blank/unknown/n-a/unavailable,13,0,non-finite numeric or impossible domain value,2026-04-12,2026-07-15,94,not supplied to analysis model
distance_num,float64,analysis_feature,0.9967835316822129,0.0032164683177870698,,not defined,9,0,non-finite numeric or impossible domain value,2026-04-12,2026-07-15,94,pre-race only
race_class,object,metadata/excluded,1.0,0.0,0.0,blank/unknown/n-a/unavailable,20,0,non-finite numeric or impossible domain value,2026-04-12,2026-07-15,94,not supplied to analysis model
race_class_label,object,analysis_feature,1.0,0.0,0.010292698616918623,blank/unknown/n-a/unavailable,10,0,non-finite numeric or impossible domain value,2026-04-12,2026-07-15,94,pre-race only
race_class_num,float64,metadata/excluded,0.56963653908009,0.43036346091990996,,not defined,4,0,non-finite numeric or impossible domain value,2026-04-12,2026-06-13,62,not supplied to analysis model
field_size,int64,analysis_feature,1.0,0.0,,not defined,9,0,non-finite numeric or impossible domain value,2026-04-12,2026-07-15,94,pre-race only
horse_number,int64,metadata/excluded,1.0,0.0,,not defined,14,0,non-finite numeric or impossible domain value,2026-04-12,2026-07-15,94,not supplied to analysis model
horse_name,object,metadata/excluded,1.0,0.0,0.0,blank/unknown/n-a/unavailable,1132,0,non-finite numeric or impossible domain value,2026-04-12,2026-07-15,94,not supplied to analysis model
horse_id,object,metadata/excluded,0.9655837889996783,0.03441621100032165,0.03441621100032165,blank/unknown/n-a/unavailable,1128,0,non-finite numeric or impossible domain value,2026-04-12,2026-07-12,91,not supplied to analysis model
jockey,object,metadata/excluded,1.0,0.0,0.0,blank/unknown/n-a/unavailable,32,0,non-finite numeric or impossible domain value,2026-04-12,2026-07-15,94,not supplied to analysis model
trainer,object,metadata/excluded,0.9954969443550981,0.004503055644901898,0.004503055644901898,blank/unknown/n-a/unavailable,29,0,non-finite numeric or impossible domain value,2026-04-12,2026-07-15,94,not supplied to analysis model
finish_pos,int64,target/result,1.0,0.0,,not defined,14,0,non-finite numeric or impossible domain value,2026-04-12,2026-07-15,94,not supplied to analysis model
is_win,int64,target/result,1.0,0.0,,not defined,2,0,non-finite numeric or impossible domain value,2026-04-12,2026-07-15,94,not supplied to analysis model
is_top3,int64,target/result,1.0,0.0,,not defined,2,0,non-finite numeric or impossible domain value,2026-04-12,2026-07-15,94,not supplied to analysis model
is_top4,int64,target/result,1.0,0.0,,not defined,2,0,non-finite numeric or impossible domain value,2026-04-12,2026-07-15,94,not supplied to analysis model
barrier,int64,metadata/excluded,1.0,0.0,,not defined,14,21,non-finite numeric or impossible domain value,2026-04-12,2026-07-15,94,not supplied to analysis model
weight,float64,metadata/excluded,1.0,0.0,,not defined,28,0,non-finite numeric or impossible domain value,2026-04-12,2026-07-15,94,not supplied to analysis model
weight_carried,float64,analysis_feature,1.0,0.0,,not defined,28,0,non-finite numeric or impossible domain value,2026-04-12,2026-07-15,94,pre-race only
days_since_last,float64,analysis_feature,0.9742682534577034,0.025731746542296558,,not defined,135,0,non-finite numeric or impossible domain value,2026-04-12,2026-07-15,94,pre-race only
base_rating,float64,metadata/excluded,0.0,1.0,,not defined,0,0,non-finite numeric or impossible domain value,,,0,not supplied to analysis model
final_rating,float64,metadata/excluded,0.0,1.0,,not defined,0,0,non-finite numeric or impossible domain value,,,0,not supplied to analysis model
starts,float64,analysis_feature,0.8784174975876488,0.12158250241235123,,not defined,68,0,non-finite numeric or impossible domain value,2026-04-22,2026-07-15,84,pre-race only
wins,float64,analysis_feature,0.8784174975876488,0.12158250241235123,,not defined,12,0,non-finite numeric or impossible domain value,2026-04-22,2026-07-15,84,pre-race only
hk_starts,float64,analysis_feature,0.7983274364747507,0.2016725635252493,,not defined,66,0,non-finite numeric or impossible domain value,2026-04-29,2026-07-15,77,pre-race only
is_debut,int64,analysis_feature,1.0,0.0,,not defined,2,0,non-finite numeric or impossible domain value,2026-04-12,2026-07-15,94,pre-race only
is_import,int64,analysis_feature,1.0,0.0,,not defined,1,0,non-finite numeric or impossible domain value,2026-04-12,2026-07-15,94,pre-race only
is_foreign_runner,int64,analysis_feature,1.0,0.0,,not defined,1,0,non-finite numeric or impossible domain value,2026-04-12,2026-07-15,94,pre-race only
current_live_recomputed_ability,float64,metadata/excluded,1.0,0.0,,not defined,1413,0,non-finite numeric or impossible domain value,2026-04-12,2026-07-15,94,not supplied to analysis model
card_age,float64,analysis_feature,0.9655837889996783,0.03441621100032165,,not defined,8,0,non-finite numeric or impossible domain value,2026-04-12,2026-07-12,91,pre-race only
card_rating,float64,analysis_feature,0.9511096815696365,0.04889031843036346,,not defined,111,0,non-finite numeric or impossible domain value,2026-04-12,2026-07-12,91,pre-race only
card_rating_change,float64,analysis_feature,0.9060791251206176,0.09392087487938244,,not defined,15,0,non-finite numeric or impossible domain value,2026-04-12,2026-07-12,91,pre-race only
card_declared_bodyweight,float64,analysis_feature,0.9655837889996783,0.03441621100032165,,not defined,331,0,non-finite numeric or impossible domain value,2026-04-12,2026-07-12,91,pre-race only
card_priority_rank,float64,analysis_feature,0.9633322611772274,0.0366677388227726,,not defined,24,0,non-finite numeric or impossible domain value,2026-04-12,2026-07-12,91,pre-race only
card_has_claim,int64,metadata/excluded,1.0,0.0,,not defined,2,0,non-finite numeric or impossible domain value,2026-04-12,2026-07-15,94,not supplied to analysis model
card_claim_lbs,float64,analysis_feature,0.9655837889996783,0.03441621100032165,,not defined,5,0,non-finite numeric or impossible domain value,2026-04-12,2026-07-12,91,pre-race only
card_gear_count,float64,analysis_feature,1.0,0.0,,not defined,5,0,non-finite numeric or impossible domain value,2026-04-12,2026-07-15,94,pre-race only
card_gear_first_time,int64,analysis_feature,1.0,0.0,,not defined,2,0,non-finite numeric or impossible domain value,2026-04-12,2026-07-15,94,pre-race only
card_gear_tt,int64,metadata/excluded,1.0,0.0,,not defined,2,0,non-finite numeric or impossible domain value,2026-04-12,2026-07-15,94,not supplied to analysis model
card_gear_cp,int64,metadata/excluded,1.0,0.0,,not defined,2,0,non-finite numeric or impossible domain value,2026-04-12,2026-07-15,94,not supplied to analysis model
card_gear_blinkers,int64,metadata/excluded,1.0,0.0,,not defined,2,0,non-finite numeric or impossible domain value,2026-04-12,2026-07-15,94,not supplied to analysis model
last6_runs,int64,analysis_feature,1.0,0.0,,not defined,7,0,non-finite numeric or impossible domain value,2026-04-12,2026-07-15,94,pre-race only
last6_mean_finish,float64,analysis_feature,0.9305242843357993,0.0694757156642007,,not defined,136,0,non-finite numeric or impossible domain value,2026-04-12,2026-07-15,94,pre-race only
last6_best_finish,float64,analysis_feature,0.9305242843357993,0.0694757156642007,,not defined,14,0,non-finite numeric or impossible domain value,2026-04-12,2026-07-15,94,pre-race only
last6_worst_finish,float64,analysis_feature,0.9305242843357993,0.0694757156642007,,not defined,14,0,non-finite numeric or impossible domain value,2026-04-12,2026-07-15,94,pre-race only
last6_top3_count,int64,analysis_feature,1.0,0.0,,not defined,7,0,non-finite numeric or impossible domain value,2026-04-12,2026-07-15,94,pre-race only
last6_top5_count,int64,analysis_feature,1.0,0.0,,not defined,7,0,non-finite numeric or impossible domain value,2026-04-12,2026-07-15,94,pre-race only
current_live_ability,float64,metadata/excluded,1.0,0.0,,not defined,1338,0,non-finite numeric or impossible domain value,2026-04-12,2026-07-15,94,not supplied to analysis model
current_live_rank,int64,metadata/excluded,1.0,0.0,,not defined,14,0,non-finite numeric or impossible domain value,2026-04-12,2026-07-15,94,not supplied to analysis model
current_live_rank_score,float64,metadata/excluded,1.0,0.0,,not defined,1338,0,non-finite numeric or impossible domain value,2026-04-12,2026-07-15,94,not supplied to analysis model
current_live_grade,object,metadata/excluded,1.0,0.0,0.0,blank/unknown/n-a/unavailable,7,0,non-finite numeric or impossible domain value,2026-04-12,2026-07-15,94,not supplied to analysis model
current_live_model_pick_status,object,metadata/excluded,1.0,0.0,0.0,blank/unknown/n-a/unavailable,3,0,non-finite numeric or impossible domain value,2026-04-12,2026-07-15,94,not supplied to analysis model
stored_feature_score_count,int64,metadata/excluded,1.0,0.0,,not defined,1,0,non-finite numeric or impossible domain value,2026-04-12,2026-07-15,94,not supplied to analysis model
stored_matrix_score_count,int64,metadata/excluded,1.0,0.0,,not defined,1,0,non-finite numeric or impossible domain value,2026-04-12,2026-07-15,94,not supplied to analysis model
season_starts,float64,metadata/excluded,0.9327758121582502,0.06722418784174976,,not defined,7,0,non-finite numeric or impossible domain value,2026-04-12,2026-07-15,94,not supplied to analysis model
season_wins,float64,metadata/excluded,0.9327758121582502,0.06722418784174976,,not defined,6,0,non-finite numeric or impossible domain value,2026-04-12,2026-07-15,94,not supplied to analysis model
season_seconds,float64,metadata/excluded,0.9327758121582502,0.06722418784174976,,not defined,6,0,non-finite numeric or impossible domain value,2026-04-12,2026-07-15,94,not supplied to analysis model
season_thirds,float64,metadata/excluded,0.9327758121582502,0.06722418784174976,,not defined,8,0,non-finite numeric or impossible domain value,2026-04-12,2026-07-15,94,not supplied to analysis model
same_distance_starts,float64,analysis_feature,0.9327758121582502,0.06722418784174976,,not defined,6,0,non-finite numeric or impossible domain value,2026-04-12,2026-07-15,94,pre-race only
same_distance_wins,float64,analysis_feature,0.9327758121582502,0.06722418784174976,,not defined,6,0,non-finite numeric or impossible domain value,2026-04-12,2026-07-15,94,pre-race only
same_distance_seconds,float64,analysis_feature,0.9327758121582502,0.06722418784174976,,not defined,5,0,non-finite numeric or impossible domain value,2026-04-12,2026-07-15,94,pre-race only
same_distance_thirds,float64,analysis_feature,0.9327758121582502,0.06722418784174976,,not defined,8,0,non-finite numeric or impossible domain value,2026-04-12,2026-07-15,94,pre-race only
same_venue_distance_starts,float64,analysis_feature,0.9237697008684465,0.07623029913155356,,not defined,5,0,non-finite numeric or impossible domain value,2026-04-12,2026-07-15,94,pre-race only
same_venue_distance_wins,float64,analysis_feature,0.9237697008684465,0.07623029913155356,,not defined,6,0,non-finite numeric or impossible domain value,2026-04-12,2026-07-15,94,pre-race only
same_venue_distance_seconds,float64,analysis_feature,0.9237697008684465,0.07623029913155356,,not defined,5,0,non-finite numeric or impossible domain value,2026-04-12,2026-07-15,94,pre-race only
same_venue_distance_thirds,float64,analysis_feature,0.9237697008684465,0.07623029913155356,,not defined,8,0,non-finite numeric or impossible domain value,2026-04-12,2026-07-15,94,pre-race only
tw_entries_count,float64,analysis_feature,0.7642328723062077,0.2357671276937922,,not defined,50,0,non-finite numeric or impossible domain value,2026-05-03,2026-07-15,73,pre-race only
tw_gallop_count,float64,analysis_feature,0.7642328723062077,0.2357671276937922,,not defined,8,0,non-finite numeric or impossible domain value,2026-05-03,2026-07-15,73,pre-race only
tw_flags_count,float64,analysis_feature,0.7642328723062077,0.2357671276937922,,not defined,5,0,non-finite numeric or impossible domain value,2026-05-03,2026-07-15,73,pre-race only
tw_confidence_high,int64,metadata/excluded,1.0,0.0,,not defined,1,0,non-finite numeric or impossible domain value,2026-04-12,2026-07-15,94,not supplied to analysis model
tw_confidence_low,int64,metadata/excluded,1.0,0.0,,not defined,2,0,non-finite numeric or impossible domain value,2026-04-12,2026-07-15,94,not supplied to analysis model
tw_jockey_present,int64,analysis_feature,1.0,0.0,,not defined,2,0,non-finite numeric or impossible domain value,2026-04-12,2026-07-15,94,pre-race only
