model,target,feature,importance,signed_effect
Logistic Regression,Win,num__rel_matrix_trainer_signal,0.27918062957666123,0.27918062957666123
Logistic Regression,Win,num__rel_matrix_race_shape,0.19299593549888225,0.19299593549888225
Logistic Regression,Win,num__matrix_race_shape,0.17956501927379603,0.17956501927379603
Logistic Regression,Win,num__rel_matrix_stability,0.14797466992326105,0.14797466992326105
Logistic Regression,Win,num__matrix_trainer_signal,0.14438878359422502,0.14438878359422502
Logistic Regression,Win,num__matrix_stability,0.13085873717684648,0.13085873717684648
Logistic Regression,Win,num__rel_matrix_sectional,0.12246590026456763,0.12246590026456763
Logistic Regression,Win,num__matrix_class_advantage,0.07771004682577107,0.07771004682577107
Logistic Regression,Win,num__matrix_sectional,0.06699945619627913,0.06699945619627913
Logistic Regression,Win,num__matrix_horse_health,0.0611522174631574,-0.0611522174631574
Logistic Regression,Win,num__rel_matrix_class_advantage,0.05516033721707549,0.05516033721707549
Logistic Regression,Win,num__rel_matrix_horse_health,0.02850640364463771,0.02850640364463771
Logistic Regression,Win,num__rel_matrix_form_line,0.0257736863353384,0.0257736863353384
Logistic Regression,Win,num__matrix_form_line,0.02525399043529323,-0.02525399043529323
LightGBM,Win,num__matrix_race_shape,118.0,118.0
LightGBM,Win,num__rel_matrix_trainer_signal,118.0,118.0
LightGBM,Win,num__rel_matrix_stability,112.0,112.0
LightGBM,Win,num__rel_matrix_sectional,76.0,76.0
LightGBM,Win,num__rel_matrix_race_shape,76.0,76.0
LightGBM,Win,num__rel_matrix_horse_health,64.0,64.0
LightGBM,Win,num__matrix_stability,56.0,56.0
LightGBM,Win,num__matrix_class_advantage,54.0,54.0
LightGBM,Win,num__matrix_sectional,51.0,51.0
LightGBM,Win,num__matrix_horse_health,42.0,42.0
LightGBM,Win,num__rel_matrix_form_line,23.0,23.0
LightGBM,Win,num__rel_matrix_class_advantage,23.0,23.0
LightGBM,Win,num__matrix_trainer_signal,19.0,19.0
LightGBM,Win,num__matrix_form_line,7.0,7.0
XGBoost,Win,num__rel_matrix_trainer_signal,0.1934591382741928,0.1934591382741928
