period,target,model,metric,estimate_race_mean,ci_2_5,ci_97_5,bootstrap_samples,races
walk_forward,Win,Matrix Champion,log_loss,0.2582869935394987,0.25016728090554996,0.26688613940240247,1000,161
walk_forward,Win,Matrix Champion,brier,0.07045454116195149,0.06877352474417674,0.07225551660244722,1000,161
walk_forward,Win,Matrix Champion,winner_top3,0.5341614906832298,0.453416149068323,0.6149068322981367,1000,161
walk_forward,Win,Matrix Champion,top3_capture_at5,0.6273291925465838,0.5838509316770186,0.6666666666666667,1000,161
walk_forward,Win,Matrix Champion,top2_zero_hit,0.2608695652173913,0.19254658385093168,0.33540372670807456,1000,161
external_holdout,Win,Matrix Champion,log_loss,0.28660101696332246,0.25435777099645396,0.32780066239890554,1000,9
external_holdout,Win,Matrix Champion,brier,0.07695928631051888,0.07155934805639035,0.08208193102571489,1000,9
external_holdout,Win,Matrix Champion,winner_top3,0.4444444444444444,0.1111111111111111,0.7777777777777778,1000,9
external_holdout,Win,Matrix Champion,top3_capture_at5,0.6296296296296295,0.4444444444444444,0.8148148148148148,1000,9
external_holdout,Win,Matrix Champion,top2_zero_hit,0.5555555555555556,0.2222222222222222,0.8888888888888888,1000,9
walk_forward,Place,Matrix Champion,log_loss,0.5177589938509426,0.5021586124435738,0.5336227729690001,1000,161
walk_forward,Place,Matrix Champion,brier,0.1705042115302075,0.16415112071967516,0.17696082795416912,1000,161
walk_forward,Place,Matrix Champion,winner_top3,0.5341614906832298,0.453416149068323,0.6149068322981367,1000,161
walk_forward,Place,Matrix Champion,top3_capture_at5,0.6273291925465838,0.5838509316770186,0.6666666666666667,1000,161
walk_forward,Place,Matrix Champion,top2_zero_hit,0.2608695652173913,0.19254658385093168,0.33540372670807456,1000,161
external_holdout,Place,Matrix Champion,log_loss,0.5652838465078003,0.48130643873431317,0.6521416141034262,1000,9
external_holdout,Place,Matrix Champion,brier,0.18847408336523663,0.15602029151981997,0.2233041413248439,1000,9
external_holdout,Place,Matrix Champion,winner_top3,0.4444444444444444,0.1111111111111111,0.7777777777777778,1000,9
external_holdout,Place,Matrix Champion,top3_capture_at5,0.6296296296296295,0.4444444444444444,0.8148148148148148,1000,9
external_holdout,Place,Matrix Champion,top2_zero_hit,0.5555555555555556,0.2222222222222222,0.8888888888888888,1000,9
