period,target,model,score_band,lower,upper,runners,races,mean_probability,observed_rate,calibration_gap
walk_forward,Win,Matrix Champion,A ≥15%,0.15,1.01,198,125,0.18561235293604975,0.24242424242424243,0.056811889488192685
walk_forward,Win,Matrix Champion,B 10–15%,0.1,0.15,364,148,0.1220799398429947,0.11538461538461539,-0.006695324458379309
walk_forward,Win,Matrix Champion,C 6–10%,0.06,0.1,596,157,0.07796474936668221,0.08053691275167785,0.002572163384995635
walk_forward,Win,Matrix Champion,D <6%,0.0,0.06,861,159,0.038727834370812404,0.026713124274099883,-0.012014710096712521
walk_forward,Win,Logistic Regression,A ≥15%,0.15,1.01,254,149,0.19686408310028103,0.21653543307086615,0.019671349970585117
walk_forward,Win,Logistic Regression,B 10–15%,0.1,0.15,320,141,0.12287303096525648,0.1,-0.022873030965256475
walk_forward,Win,Logistic Regression,C 6–10%,0.06,0.1,478,153,0.07696013647965305,0.08577405857740586,0.008813922097752808
walk_forward,Win,Logistic Regression,D <6%,0.0,0.06,967,159,0.0360808766767036,0.03412616339193381,-0.001954713284769788
walk_forward,Place,Matrix Champion,A ≥35%,0.35,1.01,501,154,0.4639201015956353,0.4171656686626746,-0.046754432932960666
walk_forward,Place,Matrix Champion,B 25–35%,0.25,0.35,441,153,0.29674801612317414,0.2653061224489796,-0.03144189367419453
walk_forward,Place,Matrix Champion,C 15–25%,0.15,0.25,594,159,0.19583849642552378,0.18686868686868688,-0.008969809556836905
walk_forward,Place,Matrix Champion,D <15%,0.0,0.15,483,151,0.11120957125841192,0.09523809523809523,-0.01597147602031669
walk_forward,Place,Logistic Regression,A ≥35%,0.35,1.01,472,158,0.46282380492214403,0.4343220338983051,-0.02850177102383894
walk_forward,Place,Logistic Regression,B 25–35%,0.25,0.35,361,149,0.2940120380017541,0.30193905817174516,0.007927020169991084
walk_forward,Place,Logistic Regression,C 15–25%,0.15,0.25,534,160,0.19590749035264074,0.1853932584269663,-0.010514231925674439
walk_forward,Place,Logistic Regression,D <15%,0.0,0.15,652,160,0.10209799089629956,0.10736196319018405,0.005263972293884492
external_holdout,Win,Matrix Champion,A ≥15%,0.15,1.01,13,8,0.18552943242141912,0.07692307692307693,-0.10860635549834219
external_holdout,Win,Matrix Champion,B 10–15%,0.1,0.15,22,8,0.1182565674606184,0.13636363636363635,0.018107068903017956
external_holdout,Win,Matrix Champion,C 6–10%,0.06,0.1,31,9,0.07890650478484698,0.12903225806451613,0.050125753279669144
external_holdout,Win,Matrix Champion,D <6%,0.0,0.06,41,9,0.037570030391651014,0.024390243902439025,-0.01317978648921199
external_holdout,Win,Logistic Regression,A ≥15%,0.15,1.01,15,9,0.21500709938801238,0.06666666666666667,-0.14834043272134573
external_holdout,Win,Logistic Regression,B 10–15%,0.1,0.15,16,8,0.11877233031990264,0.1875,0.06872766968009736
external_holdout,Win,Logistic Regression,C 6–10%,0.06,0.1,28,9,0.07681135876499108,0.10714285714285714,0.030331498377866056
external_holdout,Win,Logistic Regression,D <6%,0.0,0.06,48,9,0.03591287872170046,0.041666666666666664,0.005753787944966206
external_holdout,Place,Matrix Champion,A ≥35%,0.35,1.01,28,9,0.44501934268738275,0.35714285714285715,-0.0878764855445256
external_holdout,Place,Matrix Champion,B 25–35%,0.25,0.35,31,9,0.29515705383223595,0.25806451612903225,-0.0370925377032037
external_holdout,Place,Matrix Champion,C 15–25%,0.15,0.25,26,9,0.19119512529139332,0.23076923076923078,0.03957410547783746
external_holdout,Place,Matrix Champion,D <15%,0.0,0.15,22,8,0.10859064957209207,0.13636363636363635,0.027772986791544288
external_holdout,Place,Logistic Regression,A ≥35%,0.35,1.01,22,9,0.45882138193252614,0.3181818181818182,-0.14063956375070796
external_holdout,Place,Logistic Regression,B 25–35%,0.25,0.35,21,9,0.2946536687004392,0.38095238095238093,0.08629871225194174
external_holdout,Place,Logistic Regression,C 15–25%,0.15,0.25,33,9,0.20075062255830656,0.21212121212121213,0.01137058956290557
external_holdout,Place,Logistic Regression,D <15%,0.0,0.15,31,9,0.10028062203846472,0.16129032258064516,0.06100970054218044
