model,target,feature_a,feature_b,mean_abs_shap_interaction,external_races
LightGBM,Win,num__rel_matrix_race_shape,num__rel_matrix_trainer_signal,0.034842208658442245,9
LightGBM,Win,num__rel_matrix_stability,num__rel_matrix_race_shape,0.016351362728886258,9
LightGBM,Win,num__rel_matrix_stability,num__rel_matrix_trainer_signal,0.016144991818381745,9
LightGBM,Win,num__matrix_race_shape,num__rel_matrix_trainer_signal,0.015459349348759373,9
LightGBM,Win,num__matrix_stability,num__rel_matrix_race_shape,0.015089285413921927,9
LightGBM,Win,num__matrix_stability,num__rel_matrix_stability,0.014421654110038892,9
LightGBM,Win,num__matrix_sectional,num__rel_matrix_trainer_signal,0.013098953155827165,9
LightGBM,Win,num__rel_matrix_sectional,num__rel_matrix_trainer_signal,0.009383122003080014,9
LightGBM,Win,num__matrix_race_shape,num__rel_matrix_stability,0.009333362572821031,9
LightGBM,Win,num__matrix_stability,num__matrix_race_shape,0.008949435252135658,9
LightGBM,Win,num__matrix_trainer_signal,num__rel_matrix_sectional,0.00893092055873586,9
LightGBM,Win,num__matrix_stability,num__rel_matrix_trainer_signal,0.007223454852710438,9
LightGBM,Win,num__matrix_race_shape,num__rel_matrix_horse_health,0.0058865807644610715,9
LightGBM,Win,num__rel_matrix_race_shape,num__rel_matrix_horse_health,0.005732912875244912,9
LightGBM,Win,num__matrix_race_shape,num__rel_matrix_sectional,0.00468777311344508,9
LightGBM,Win,num__matrix_race_shape,num__matrix_trainer_signal,0.004546414574328584,9
LightGBM,Win,num__matrix_stability,num__matrix_trainer_signal,0.004321568852101752,9
LightGBM,Win,num__matrix_race_shape,num__matrix_horse_health,0.004248779581132125,9
LightGBM,Win,num__rel_matrix_stability,num__rel_matrix_horse_health,0.0036935012674012366,9
LightGBM,Win,num__matrix_sectional,num__rel_matrix_race_shape,0.003637731596118492,9
LightGBM,Win,num__matrix_trainer_signal,num__rel_matrix_stability,0.0033901155810039467,9
LightGBM,Win,num__matrix_trainer_signal,num__rel_matrix_race_shape,0.0033723662976121093,9
LightGBM,Win,num__rel_matrix_trainer_signal,num__rel_matrix_horse_health,0.0033588546781015637,9
LightGBM,Win,num__matrix_class_advantage,num__rel_matrix_trainer_signal,0.0033453663398630563,9
LightGBM,Win,num__rel_matrix_trainer_signal,num__rel_matrix_class_advantage,0.0028868407031334684,9
LightGBM,Win,num__rel_matrix_sectional,num__rel_matrix_horse_health,0.0026355769758625663,9
LightGBM,Win,num__rel_matrix_sectional,num__rel_matrix_race_shape,0.0024935570137111914,9
LightGBM,Win,num__rel_matrix_stability,num__rel_matrix_sectional,0.002395476256843057,9
LightGBM,Win,num__rel_matrix_sectional,num__rel_matrix_form_line,0.0023039037226752837,9
LightGBM,Win,num__matrix_horse_health,num__rel_matrix_stability,0.0022062039151056682,9
LightGBM,Win,num__rel_matrix_stability,num__rel_matrix_class_advantage,0.0021736299865467512,9
LightGBM,Win,num__matrix_trainer_signal,num__rel_matrix_trainer_signal,0.002015508889186244,9
LightGBM,Win,num__matrix_horse_health,num__rel_matrix_trainer_signal,0.0018114332225691362,9
LightGBM,Win,num__rel_matrix_race_shape,num__rel_matrix_class_advantage,0.001661680300385753,9
LightGBM,Win,num__matrix_sectional,num__matrix_race_shape,0.0015453913278577094,9
LightGBM,Win,num__matrix_horse_health,num__rel_matrix_class_advantage,0.0014420152542101872,9
LightGBM,Win,num__matrix_sectional,num__rel_matrix_stability,0.0014403879935489434,9
LightGBM,Win,num__matrix_class_advantage,num__rel_matrix_race_shape,0.0014228091033343193,9
LightGBM,Win,num__matrix_horse_health,num__rel_matrix_race_shape,0.0013796000395587787,9
LightGBM,Win,num__matrix_race_shape,num__matrix_class_advantage,0.0011361324170020284,9
LightGBM,Win,num__matrix_sectional,num__matrix_class_advantage,0.0011253218768266517,9
LightGBM,Win,num__matrix_stability,num__matrix_class_advantage,0.0010888851889710987,9
LightGBM,Win,num__matrix_stability,num__matrix_horse_health,0.001088336848092496,9
LightGBM,Win,num__matrix_sectional,num__rel_matrix_class_advantage,0.0010385489266820241,9
LightGBM,Win,num__matrix_trainer_signal,num__matrix_class_advantage,0.0008851514023630431,9
LightGBM,Win,num__matrix_stability,num__rel_matrix_class_advantage,0.0008418307351471626,9
LightGBM,Win,num__matrix_race_shape,num__rel_matrix_class_advantage,0.0008387489856370463,9
LightGBM,Win,num__matrix_sectional,num__matrix_trainer_signal,0.0008179236942255636,9
LightGBM,Win,num__matrix_race_shape,num__rel_matrix_form_line,0.0007734522300253328,9
LightGBM,Win,num__matrix_horse_health,num__matrix_class_advantage,0.0007432232719937226,9
LightGBM,Win,num__matrix_class_advantage,num__rel_matrix_sectional,0.0007109338672251552,9
LightGBM,Win,num__rel_matrix_trainer_signal,num__rel_matrix_form_line,0.0007053160745839442,9
LightGBM,Win,num__matrix_form_line,num__rel_matrix_stability,0.0006638512269082648,9
LightGBM,Win,num__matrix_trainer_signal,num__rel_matrix_class_advantage,0.0006580803712866596,9
LightGBM,Win,num__matrix_horse_health,num__rel_matrix_horse_health,0.0006501646095646622,9
LightGBM,Win,num__matrix_stability,num__rel_matrix_sectional,0.0006289438766924028,9
LightGBM,Win,num__matrix_race_shape,num__rel_matrix_race_shape,0.0005334217942253721,9
LightGBM,Win,num__matrix_class_advantage,num__rel_matrix_form_line,0.0004815990498860348,9
LightGBM,Win,num__matrix_class_advantage,num__rel_matrix_stability,0.0004748495202278201,9
LightGBM,Win,num__matrix_horse_health,num__rel_matrix_sectional,0.00038592925894434044,9
LightGBM,Win,num__matrix_stability,num__matrix_sectional,0.0003495590209213017,9
LightGBM,Win,num__matrix_sectional,num__rel_matrix_sectional,0.0002824239570007947,9
LightGBM,Win,num__matrix_class_advantage,num__rel_matrix_horse_health,0.0002816012458706203,9
LightGBM,Win,num__rel_matrix_horse_health,num__rel_matrix_class_advantage,0.0002656269962781447,9
LightGBM,Win,num__matrix_race_shape,num__matrix_form_line,0.00024284260582218623,9
LightGBM,Win,num__matrix_trainer_signal,num__rel_matrix_horse_health,0.00018102917056278813,9
LightGBM,Win,num__rel_matrix_race_shape,num__rel_matrix_form_line,0.00016550350725291608,9
LightGBM,Win,num__matrix_stability,num__rel_matrix_horse_health,0.0001350048571067356,9
LightGBM,Win,num__rel_matrix_horse_health,num__rel_matrix_form_line,7.711940448613341e-05,9
LightGBM,Win,num__rel_matrix_stability,num__rel_matrix_form_line,6.862993057125725e-05,9
LightGBM,Win,num__rel_matrix_form_line,num__rel_matrix_class_advantage,1.9215287856352563e-05,9
LightGBM,Win,num__matrix_form_line,num__rel_matrix_race_shape,8.774582239730739e-06,9
LightGBM,Win,num__matrix_sectional,num__matrix_horse_health,0.0,9
LightGBM,Win,num__matrix_sectional,num__matrix_form_line,0.0,9
LightGBM,Win,num__matrix_sectional,num__rel_matrix_horse_health,0.0,9
LightGBM,Win,num__matrix_stability,num__matrix_form_line,0.0,9
LightGBM,Win,num__rel_matrix_sectional,num__rel_matrix_class_advantage,0.0,9
LightGBM,Win,num__matrix_stability,num__rel_matrix_form_line,0.0,9
LightGBM,Win,num__matrix_form_line,num__rel_matrix_form_line,0.0,9
LightGBM,Win,num__matrix_sectional,num__rel_matrix_form_line,0.0,9
LightGBM,Win,num__matrix_form_line,num__rel_matrix_class_advantage,0.0,9
LightGBM,Win,num__matrix_trainer_signal,num__matrix_form_line,0.0,9
LightGBM,Win,num__matrix_trainer_signal,num__rel_matrix_form_line,0.0,9
LightGBM,Win,num__matrix_horse_health,num__matrix_form_line,0.0,9
LightGBM,Win,num__matrix_horse_health,num__rel_matrix_form_line,0.0,9
LightGBM,Win,num__matrix_class_advantage,num__rel_matrix_class_advantage,0.0,9
LightGBM,Win,num__matrix_form_line,num__matrix_class_advantage,0.0,9
LightGBM,Win,num__matrix_form_line,num__rel_matrix_sectional,0.0,9
LightGBM,Win,num__matrix_form_line,num__rel_matrix_trainer_signal,0.0,9
LightGBM,Win,num__matrix_form_line,num__rel_matrix_horse_health,0.0,9
LightGBM,Win,num__matrix_trainer_signal,num__matrix_horse_health,0.0,9
XGBoost,Win,num__matrix_stability,num__matrix_sectional,0.0,9
XGBoost,Win,num__matrix_class_advantage,num__rel_matrix_form_line,0.0,9
XGBoost,Win,num__matrix_class_advantage,num__rel_matrix_trainer_signal,0.0,9
XGBoost,Win,num__matrix_class_advantage,num__rel_matrix_race_shape,0.0,9
XGBoost,Win,num__matrix_class_advantage,num__rel_matrix_sectional,0.0,9
XGBoost,Win,num__matrix_class_advantage,num__rel_matrix_stability,0.0,9
XGBoost,Win,num__matrix_form_line,num__rel_matrix_class_advantage,0.0,9
XGBoost,Win,num__matrix_form_line,num__rel_matrix_form_line,0.0,9
XGBoost,Win,num__matrix_form_line,num__rel_matrix_horse_health,0.0,9
XGBoost,Win,num__matrix_form_line,num__rel_matrix_trainer_signal,0.0,9
XGBoost,Win,num__matrix_form_line,num__rel_matrix_race_shape,0.0,9
XGBoost,Win,num__matrix_form_line,num__rel_matrix_sectional,0.0,9
XGBoost,Win,num__matrix_form_line,num__rel_matrix_stability,0.0,9
XGBoost,Win,num__matrix_form_line,num__matrix_class_advantage,0.0,9
XGBoost,Win,num__matrix_horse_health,num__rel_matrix_class_advantage,0.0,9
XGBoost,Win,num__matrix_horse_health,num__rel_matrix_form_line,0.0,9
XGBoost,Win,num__matrix_horse_health,num__rel_matrix_horse_health,0.0,9
XGBoost,Win,num__matrix_horse_health,num__rel_matrix_trainer_signal,0.0,9
XGBoost,Win,num__matrix_horse_health,num__rel_matrix_race_shape,0.0,9
XGBoost,Win,num__matrix_horse_health,num__rel_matrix_sectional,0.0,9
XGBoost,Win,num__matrix_horse_health,num__rel_matrix_stability,0.0,9
XGBoost,Win,num__matrix_class_advantage,num__rel_matrix_horse_health,0.0,9
XGBoost,Win,num__matrix_class_advantage,num__rel_matrix_class_advantage,0.0,9
XGBoost,Win,num__matrix_horse_health,num__matrix_form_line,0.0,9
XGBoost,Win,num__rel_matrix_stability,num__rel_matrix_sectional,0.0,9
XGBoost,Win,num__rel_matrix_horse_health,num__rel_matrix_class_advantage,0.0,9
XGBoost,Win,num__rel_matrix_horse_health,num__rel_matrix_form_line,0.0,9
XGBoost,Win,num__rel_matrix_trainer_signal,num__rel_matrix_class_advantage,0.0,9
XGBoost,Win,num__rel_matrix_trainer_signal,num__rel_matrix_form_line,0.0,9
XGBoost,Win,num__rel_matrix_trainer_signal,num__rel_matrix_horse_health,0.0,9
XGBoost,Win,num__rel_matrix_race_shape,num__rel_matrix_class_advantage,0.0,9
XGBoost,Win,num__rel_matrix_race_shape,num__rel_matrix_form_line,0.0,9
XGBoost,Win,num__rel_matrix_race_shape,num__rel_matrix_horse_health,0.0,9
XGBoost,Win,num__rel_matrix_race_shape,num__rel_matrix_trainer_signal,0.0,9
XGBoost,Win,num__rel_matrix_sectional,num__rel_matrix_class_advantage,0.0,9
XGBoost,Win,num__rel_matrix_sectional,num__rel_matrix_form_line,0.0,9
XGBoost,Win,num__rel_matrix_sectional,num__rel_matrix_horse_health,0.0,9
XGBoost,Win,num__rel_matrix_sectional,num__rel_matrix_trainer_signal,0.0,9
XGBoost,Win,num__rel_matrix_sectional,num__rel_matrix_race_shape,0.0,9
XGBoost,Win,num__rel_matrix_stability,num__rel_matrix_class_advantage,0.0,9
XGBoost,Win,num__rel_matrix_stability,num__rel_matrix_form_line,0.0,9
XGBoost,Win,num__rel_matrix_stability,num__rel_matrix_horse_health,0.0,9
XGBoost,Win,num__rel_matrix_stability,num__rel_matrix_trainer_signal,0.0,9
XGBoost,Win,num__rel_matrix_stability,num__rel_matrix_race_shape,0.0,9
XGBoost,Win,num__matrix_horse_health,num__matrix_class_advantage,0.0,9
XGBoost,Win,num__matrix_trainer_signal,num__rel_matrix_class_advantage,0.0,9
XGBoost,Win,num__matrix_stability,num__matrix_race_shape,0.0,9
XGBoost,Win,num__matrix_sectional,num__rel_matrix_horse_health,0.0,9
XGBoost,Win,num__matrix_sectional,num__rel_matrix_race_shape,0.0,9
XGBoost,Win,num__matrix_sectional,num__rel_matrix_sectional,0.0,9
XGBoost,Win,num__matrix_sectional,num__rel_matrix_stability,0.0,9
XGBoost,Win,num__matrix_sectional,num__matrix_class_advantage,0.0,9
XGBoost,Win,num__matrix_sectional,num__matrix_form_line,0.0,9
XGBoost,Win,num__matrix_sectional,num__matrix_horse_health,0.0,9
XGBoost,Win,num__matrix_sectional,num__matrix_trainer_signal,0.0,9
XGBoost,Win,num__matrix_sectional,num__matrix_race_shape,0.0,9
XGBoost,Win,num__matrix_stability,num__rel_matrix_class_advantage,0.0,9
XGBoost,Win,num__matrix_stability,num__rel_matrix_form_line,0.0,9
XGBoost,Win,num__matrix_stability,num__rel_matrix_horse_health,0.0,9
XGBoost,Win,num__matrix_stability,num__rel_matrix_trainer_signal,0.0,9
XGBoost,Win,num__matrix_stability,num__rel_matrix_race_shape,0.0,9
XGBoost,Win,num__matrix_stability,num__rel_matrix_sectional,0.0,9
XGBoost,Win,num__matrix_stability,num__rel_matrix_stability,0.0,9
XGBoost,Win,num__matrix_stability,num__matrix_class_advantage,0.0,9
XGBoost,Win,num__matrix_stability,num__matrix_form_line,0.0,9
XGBoost,Win,num__matrix_stability,num__matrix_horse_health,0.0,9
XGBoost,Win,num__matrix_stability,num__matrix_trainer_signal,0.0,9
XGBoost,Win,num__matrix_sectional,num__rel_matrix_trainer_signal,0.0,9
XGBoost,Win,num__matrix_sectional,num__rel_matrix_form_line,0.0,9
XGBoost,Win,num__matrix_trainer_signal,num__rel_matrix_form_line,0.0,9
XGBoost,Win,num__matrix_sectional,num__rel_matrix_class_advantage,0.0,9
XGBoost,Win,num__matrix_trainer_signal,num__rel_matrix_horse_health,0.0,9
XGBoost,Win,num__matrix_trainer_signal,num__rel_matrix_trainer_signal,0.0,9
XGBoost,Win,num__matrix_trainer_signal,num__rel_matrix_race_shape,0.0,9
XGBoost,Win,num__matrix_trainer_signal,num__rel_matrix_sectional,0.0,9
XGBoost,Win,num__matrix_trainer_signal,num__rel_matrix_stability,0.0,9
XGBoost,Win,num__matrix_trainer_signal,num__matrix_class_advantage,0.0,9
XGBoost,Win,num__matrix_trainer_signal,num__matrix_form_line,0.0,9
XGBoost,Win,num__matrix_trainer_signal,num__matrix_horse_health,0.0,9
XGBoost,Win,num__matrix_race_shape,num__rel_matrix_class_advantage,0.0,9
XGBoost,Win,num__matrix_race_shape,num__rel_matrix_form_line,0.0,9
XGBoost,Win,num__matrix_race_shape,num__rel_matrix_horse_health,0.0,9
XGBoost,Win,num__matrix_race_shape,num__rel_matrix_trainer_signal,0.0,9
XGBoost,Win,num__matrix_race_shape,num__rel_matrix_race_shape,0.0,9
XGBoost,Win,num__matrix_race_shape,num__rel_matrix_sectional,0.0,9
XGBoost,Win,num__matrix_race_shape,num__rel_matrix_stability,0.0,9
XGBoost,Win,num__matrix_race_shape,num__matrix_class_advantage,0.0,9
XGBoost,Win,num__matrix_race_shape,num__matrix_form_line,0.0,9
XGBoost,Win,num__matrix_race_shape,num__matrix_horse_health,0.0,9
XGBoost,Win,num__matrix_race_shape,num__matrix_trainer_signal,0.0,9
XGBoost,Win,num__rel_matrix_form_line,num__rel_matrix_class_advantage,0.0,9
LightGBM,Place,num__matrix_stability,num__rel_matrix_stability,0.03274488334309772,9
LightGBM,Place,num__rel_matrix_stability,num__rel_matrix_trainer_signal,0.023440661422792598,9
LightGBM,Place,num__matrix_race_shape,num__rel_matrix_stability,0.016958611033669052,9
LightGBM,Place,num__rel_matrix_race_shape,num__rel_matrix_class_advantage,0.014641212668467227,9
LightGBM,Place,num__matrix_stability,num__matrix_race_shape,0.014294490620254117,9
LightGBM,Place,num__rel_matrix_race_shape,num__rel_matrix_trainer_signal,0.012984778805430737,9
LightGBM,Place,num__matrix_trainer_signal,num__rel_matrix_stability,0.010347666779452057,9
LightGBM,Place,num__rel_matrix_stability,num__rel_matrix_class_advantage,0.009749917923950663,9
LightGBM,Place,num__matrix_race_shape,num__rel_matrix_trainer_signal,0.008605195950764082,9
LightGBM,Place,num__matrix_stability,num__rel_matrix_trainer_signal,0.00836934842400952,9
LightGBM,Place,num__matrix_race_shape,num__rel_matrix_class_advantage,0.008072211961009285,9
LightGBM,Place,num__rel_matrix_stability,num__rel_matrix_race_shape,0.007768067094054215,9
LightGBM,Place,num__matrix_race_shape,num__matrix_horse_health,0.00708522266514677,9
LightGBM,Place,num__matrix_sectional,num__matrix_race_shape,0.0065639351778165374,9
LightGBM,Place,num__rel_matrix_stability,num__rel_matrix_form_line,0.006425746851284979,9
LightGBM,Place,num__matrix_stability,num__rel_matrix_form_line,0.005855544239160368,9
LightGBM,Place,num__matrix_stability,num__rel_matrix_class_advantage,0.005785058264095405,9
LightGBM,Place,num__matrix_sectional,num__rel_matrix_trainer_signal,0.005515761642847671,9
LightGBM,Place,num__matrix_stability,num__matrix_trainer_signal,0.005158917024902195,9
LightGBM,Place,num__rel_matrix_trainer_signal,num__rel_matrix_class_advantage,0.005030299393751899,9
LightGBM,Place,num__rel_matrix_stability,num__rel_matrix_sectional,0.0043774252705426064,9
LightGBM,Place,num__rel_matrix_trainer_signal,num__rel_matrix_form_line,0.004266339669994305,9
LightGBM,Place,num__matrix_sectional,num__rel_matrix_class_advantage,0.004209049418126298,9
LightGBM,Place,num__rel_matrix_sectional,num__rel_matrix_trainer_signal,0.004171196290225336,9
LightGBM,Place,num__matrix_horse_health,num__rel_matrix_class_advantage,0.0038324651654945384,9
LightGBM,Place,num__matrix_race_shape,num__rel_matrix_sectional,0.0034688376462702797,9
LightGBM,Place,num__rel_matrix_sectional,num__rel_matrix_class_advantage,0.003358116777595549,9
LightGBM,Place,num__matrix_trainer_signal,num__rel_matrix_class_advantage,0.003264038030075248,9
LightGBM,Place,num__rel_matrix_sectional,num__rel_matrix_form_line,0.0030209504038109683,9
LightGBM,Place,num__matrix_race_shape,num__matrix_trainer_signal,0.0028546674258360244,9
LightGBM,Place,num__matrix_stability,num__rel_matrix_race_shape,0.0028142409406967522,9
LightGBM,Place,num__matrix_stability,num__matrix_class_advantage,0.0027414974537282154,9
LightGBM,Place,num__matrix_trainer_signal,num__rel_matrix_race_shape,0.0026762989674654777,9
LightGBM,Place,num__matrix_stability,num__rel_matrix_sectional,0.0026203502423835594,9
LightGBM,Place,num__matrix_sectional,num__rel_matrix_stability,0.002571776429577498,9
LightGBM,Place,num__matrix_race_shape,num__rel_matrix_form_line,0.002524209982324251,9
LightGBM,Place,num__rel_matrix_stability,num__rel_matrix_horse_health,0.0025225861707210253,9
LightGBM,Place,num__matrix_race_shape,num__matrix_class_advantage,0.002473126010994109,9
LightGBM,Place,num__matrix_horse_health,num__rel_matrix_stability,0.0021480709890319125,9
LightGBM,Place,num__matrix_horse_health,num__rel_matrix_trainer_signal,0.0020138595324593533,9
LightGBM,Place,num__matrix_race_shape,num__rel_matrix_race_shape,0.0019756623143234496,9
LightGBM,Place,num__matrix_class_advantage,num__rel_matrix_stability,0.0016456341630515126,9
LightGBM,Place,num__rel_matrix_trainer_signal,num__rel_matrix_horse_health,0.001428084302499112,9
LightGBM,Place,num__matrix_horse_health,num__rel_matrix_sectional,0.0011911150531883166,9
LightGBM,Place,num__matrix_horse_health,num__rel_matrix_form_line,0.0011069302661949362,9
LightGBM,Place,num__matrix_class_advantage,num__rel_matrix_trainer_signal,0.0010460237580424,9
LightGBM,Place,num__matrix_sectional,num__rel_matrix_form_line,0.0010144653613947312,9
LightGBM,Place,num__matrix_trainer_signal,num__rel_matrix_trainer_signal,0.0008375050632663798,9
LightGBM,Place,num__rel_matrix_sectional,num__rel_matrix_race_shape,0.0008046854794891976,9
LightGBM,Place,num__matrix_stability,num__matrix_sectional,0.0008034133247815041,9
LightGBM,Place,num__rel_matrix_form_line,num__rel_matrix_class_advantage,0.0007405848457880767,9
LightGBM,Place,num__matrix_sectional,num__rel_matrix_sectional,0.0006726263998275912,9
LightGBM,Place,num__rel_matrix_horse_health,num__rel_matrix_form_line,0.0006479297198170362,9
LightGBM,Place,num__matrix_trainer_signal,num__rel_matrix_sectional,0.0006288710746895528,9
LightGBM,Place,num__matrix_race_shape,num__rel_matrix_horse_health,0.0006203221736894002,9
LightGBM,Place,num__matrix_race_shape,num__matrix_form_line,0.0003282369897698828,9
LightGBM,Place,num__rel_matrix_race_shape,num__rel_matrix_horse_health,0.0003278557656679491,9
LightGBM,Place,num__matrix_stability,num__matrix_horse_health,0.0002760082767079345,9
LightGBM,Place,num__matrix_form_line,num__rel_matrix_stability,0.00025026250204516207,9
LightGBM,Place,num__rel_matrix_horse_health,num__rel_matrix_class_advantage,0.00021334765099126915,9
LightGBM,Place,num__matrix_trainer_signal,num__matrix_class_advantage,0.00018889064510622128,9
LightGBM,Place,num__matrix_class_advantage,num__rel_matrix_race_shape,0.0001830965261484076,9
LightGBM,Place,num__rel_matrix_race_shape,num__rel_matrix_form_line,0.00016119380655851988,9
LightGBM,Place,num__matrix_trainer_signal,num__matrix_horse_health,0.00016070989913033248,9
LightGBM,Place,num__matrix_stability,num__rel_matrix_horse_health,0.0001244881299584451,9
LightGBM,Place,num__matrix_sectional,num__matrix_trainer_signal,0.00011738645585708331,9
LightGBM,Place,num__matrix_sectional,num__matrix_class_advantage,4.796796378085557e-05,9
LightGBM,Place,num__matrix_trainer_signal,num__rel_matrix_form_line,3.692991734578593e-05,9
LightGBM,Place,num__matrix_form_line,num__rel_matrix_form_line,0.0,9
LightGBM,Place,num__matrix_form_line,num__rel_matrix_sectional,0.0,9
LightGBM,Place,num__matrix_horse_health,num__rel_matrix_horse_health,0.0,9
LightGBM,Place,num__matrix_horse_health,num__matrix_form_line,0.0,9
LightGBM,Place,num__matrix_stability,num__matrix_form_line,0.0,9
LightGBM,Place,num__matrix_form_line,num__matrix_class_advantage,0.0,9
LightGBM,Place,num__matrix_sectional,num__matrix_horse_health,0.0,9
LightGBM,Place,num__matrix_sectional,num__matrix_form_line,0.0,9
LightGBM,Place,num__rel_matrix_sectional,num__rel_matrix_horse_health,0.0,9
LightGBM,Place,num__matrix_sectional,num__rel_matrix_race_shape,0.0,9
LightGBM,Place,num__matrix_form_line,num__rel_matrix_class_advantage,0.0,9
LightGBM,Place,num__matrix_sectional,num__rel_matrix_horse_health,0.0,9
LightGBM,Place,num__matrix_form_line,num__rel_matrix_race_shape,0.0,9
LightGBM,Place,num__matrix_form_line,num__rel_matrix_trainer_signal,0.0,9
LightGBM,Place,num__matrix_trainer_signal,num__matrix_form_line,0.0,9
LightGBM,Place,num__matrix_horse_health,num__matrix_class_advantage,0.0,9
LightGBM,Place,num__matrix_class_advantage,num__rel_matrix_class_advantage,0.0,9
LightGBM,Place,num__matrix_class_advantage,num__rel_matrix_form_line,0.0,9
LightGBM,Place,num__matrix_class_advantage,num__rel_matrix_horse_health,0.0,9
LightGBM,Place,num__matrix_form_line,num__rel_matrix_horse_health,0.0,9
LightGBM,Place,num__matrix_class_advantage,num__rel_matrix_sectional,0.0,9
LightGBM,Place,num__matrix_trainer_signal,num__rel_matrix_horse_health,0.0,9
LightGBM,Place,num__matrix_horse_health,num__rel_matrix_race_shape,0.0,9
XGBoost,Place,num__rel_matrix_stability,num__rel_matrix_trainer_signal,0.011017768643796444,9
XGBoost,Place,num__matrix_stability,num__matrix_race_shape,0.009965294972062111,9
XGBoost,Place,num__matrix_stability,num__rel_matrix_race_shape,0.0080709932371974,9
XGBoost,Place,num__rel_matrix_race_shape,num__rel_matrix_trainer_signal,0.007744337897747755,9
XGBoost,Place,num__matrix_race_shape,num__rel_matrix_trainer_signal,0.006677613593637943,9
XGBoost,Place,num__matrix_stability,num__rel_matrix_stability,0.006199852097779512,9
XGBoost,Place,num__rel_matrix_trainer_signal,num__rel_matrix_class_advantage,0.006191433407366276,9
XGBoost,Place,num__matrix_stability,num__rel_matrix_trainer_signal,0.006189827807247639,9
XGBoost,Place,num__matrix_stability,num__rel_matrix_class_advantage,0.004587801638990641,9
XGBoost,Place,num__matrix_race_shape,num__rel_matrix_stability,0.00404396140947938,9
XGBoost,Place,num__matrix_race_shape,num__matrix_trainer_signal,0.003831847570836544,9
XGBoost,Place,num__matrix_race_shape,num__matrix_class_advantage,0.0037335706874728203,9
XGBoost,Place,num__matrix_race_shape,num__rel_matrix_class_advantage,0.0031451524700969458,9
XGBoost,Place,num__matrix_class_advantage,num__rel_matrix_trainer_signal,0.0029895713087171316,9
XGBoost,Place,num__rel_matrix_race_shape,num__rel_matrix_class_advantage,0.00283282739110291,9
XGBoost,Place,num__matrix_stability,num__matrix_trainer_signal,0.0021806128788739443,9
XGBoost,Place,num__matrix_trainer_signal,num__rel_matrix_race_shape,0.002039220416918397,9
XGBoost,Place,num__matrix_trainer_signal,num__rel_matrix_class_advantage,0.001769014517776668,9
XGBoost,Place,num__matrix_stability,num__rel_matrix_form_line,0.0016372118843719363,9
XGBoost,Place,num__rel_matrix_stability,num__rel_matrix_race_shape,0.0015983934281393886,9
XGBoost,Place,num__rel_matrix_stability,num__rel_matrix_form_line,0.0014754132134839892,9
XGBoost,Place,num__matrix_sectional,num__matrix_race_shape,0.0013013961724936962,9
XGBoost,Place,num__matrix_trainer_signal,num__rel_matrix_sectional,0.0012787118321284652,9
XGBoost,Place,num__matrix_race_shape,num__matrix_horse_health,0.0010250763734802604,9
XGBoost,Place,num__matrix_race_shape,num__rel_matrix_sectional,0.0010197871597483754,9
