model,target,feature,mean_abs_shap
LightGBM,Win,num__rel_matrix_trainer_signal,0.25475799817905237
LightGBM,Win,num__rel_matrix_stability,0.1754736033831601
LightGBM,Win,num__rel_matrix_race_shape,0.12462416112497138
LightGBM,Win,num__matrix_stability,0.11449070132416882
LightGBM,Win,num__matrix_race_shape,0.1093746067169068
LightGBM,Win,num__rel_matrix_sectional,0.06511632695708831
LightGBM,Win,num__matrix_trainer_signal,0.06354778818718744
LightGBM,Win,num__matrix_sectional,0.037478196943794694
LightGBM,Win,num__rel_matrix_class_advantage,0.035322597882979985
LightGBM,Win,num__rel_matrix_horse_health,0.021958654815412794
LightGBM,Win,num__matrix_class_advantage,0.02041360814569445
LightGBM,Win,num__matrix_horse_health,0.01586383128090264
LightGBM,Win,num__rel_matrix_form_line,0.00440863011719681
LightGBM,Win,num__matrix_form_line,0.0009198353773169729
XGBoost,Win,num__rel_matrix_trainer_signal,0.1538335531949997
XGBoost,Win,num__matrix_stability,0.11883889138698578
XGBoost,Win,num__rel_matrix_stability,0.09872238337993622
XGBoost,Win,num__matrix_trainer_signal,0.06655751913785934
XGBoost,Win,num__rel_matrix_race_shape,0.06499791890382767
XGBoost,Win,num__matrix_race_shape,0.011732307262718678
XGBoost,Win,num__matrix_sectional,0.0
XGBoost,Win,num__matrix_horse_health,0.0
XGBoost,Win,num__matrix_form_line,0.0
XGBoost,Win,num__matrix_class_advantage,0.0
XGBoost,Win,num__rel_matrix_sectional,0.0
XGBoost,Win,num__rel_matrix_horse_health,0.0
XGBoost,Win,num__rel_matrix_form_line,0.0
XGBoost,Win,num__rel_matrix_class_advantage,0.0
LightGBM,Place,num__rel_matrix_stability,0.2666670336064065
LightGBM,Place,num__matrix_race_shape,0.17325845902523518
LightGBM,Place,num__rel_matrix_trainer_signal,0.16698529399066567
LightGBM,Place,num__matrix_stability,0.166242884153015
LightGBM,Place,num__rel_matrix_class_advantage,0.13012249904621387
LightGBM,Place,num__rel_matrix_race_shape,0.06090519426377797
LightGBM,Place,num__rel_matrix_form_line,0.03731571597078627
LightGBM,Place,num__matrix_sectional,0.03375004125934923
LightGBM,Place,num__matrix_trainer_signal,0.03210433238032227
LightGBM,Place,num__rel_matrix_sectional,0.027523143472724526
LightGBM,Place,num__matrix_horse_health,0.02317593271722111
LightGBM,Place,num__matrix_class_advantage,0.013406902314558591
LightGBM,Place,num__rel_matrix_horse_health,0.004506904070850243
LightGBM,Place,num__matrix_form_line,0.0004960912072099146
XGBoost,Place,num__matrix_stability,0.2284267395734787
XGBoost,Place,num__rel_matrix_trainer_signal,0.18719956278800964
XGBoost,Place,num__rel_matrix_stability,0.17469540238380432
XGBoost,Place,num__matrix_race_shape,0.1557684987783432
XGBoost,Place,num__rel_matrix_class_advantage,0.13308347761631012
XGBoost,Place,num__rel_matrix_race_shape,0.06367389112710953
XGBoost,Place,num__matrix_trainer_signal,0.02954978123307228
XGBoost,Place,num__rel_matrix_sectional,0.020583026111125946
XGBoost,Place,num__matrix_class_advantage,0.020310426130890846
XGBoost,Place,num__rel_matrix_form_line,0.019192853942513466
XGBoost,Place,num__matrix_sectional,0.016412386670708656
XGBoost,Place,num__matrix_horse_health,0.002197042340412736
XGBoost,Place,num__rel_matrix_horse_health,0.0021578927990049124
XGBoost,Place,num__matrix_form_line,0.0
