rank,formula,place_mode,gold,good,pass,top3_place,top3_win,0hit,1hit,2hit,3hit,gold_delta,good_delta,pass_delta,place_delta,zero_hit_delta,one_hit_delta
1,formline_purer,place_live,4.1%,20.9%,38.9%,42.6%,50.3%,48,145,110,13,+0.0,+0.0,+0.0,+0.0,+0,+0
2,sectional_speed_heavy,place_live,4.1%,20.9%,38.6%,42.5%,50.0%,48,146,109,13,+0.0,+0.0,-0.3,-0.1,+0,+1
3,sectional_speed_heavy+formline_purer,place_live,4.1%,20.9%,38.6%,42.5%,50.0%,48,146,109,13,+0.0,+0.0,-0.3,-0.1,+0,+1
4,class_weight_heavy_rating,place_live,4.7%,20.6%,38.6%,42.8%,50.6%,47,147,107,15,+0.6,-0.3,-0.3,+0.2,-1,+2
5,class_weight_heavy_rating+formline_purer,place_live,4.7%,20.6%,38.6%,42.8%,50.6%,47,147,107,15,+0.6,-0.3,-0.3,+0.2,-1,+2
6,class_weight_80_20+class_weight_heavy_rating,place_live,4.7%,20.6%,38.6%,42.8%,50.6%,47,147,107,15,+0.6,-0.3,-0.3,+0.2,-1,+2
7,class_weight_no_rating+class_weight_heavy_rating,place_live,4.7%,20.6%,38.6%,42.8%,50.6%,47,147,107,15,+0.6,-0.3,-0.3,+0.2,-1,+2
8,class_weight_class_only+class_weight_heavy_rating,place_live,4.7%,20.6%,38.6%,42.8%,50.6%,47,147,107,15,+0.6,-0.3,-0.3,+0.2,-1,+2
9,class_weight_80_20+class_weight_heavy_rating+formline_purer,place_live,4.7%,20.6%,38.6%,42.8%,50.6%,47,147,107,15,+0.6,-0.3,-0.3,+0.2,-1,+2
10,class_weight_no_rating+class_weight_heavy_rating+formline_purer,place_live,4.7%,20.6%,38.6%,42.8%,50.6%,47,147,107,15,+0.6,-0.3,-0.3,+0.2,-1,+2
11,class_weight_class_only+class_weight_heavy_rating+formline_purer,place_live,4.7%,20.6%,38.6%,42.8%,50.6%,47,147,107,15,+0.6,-0.3,-0.3,+0.2,-1,+2
12,class_weight_80_20+class_weight_no_rating+class_weight_heavy_rating,place_live,4.7%,20.6%,38.6%,42.8%,50.6%,47,147,107,15,+0.6,-0.3,-0.3,+0.2,-1,+2
13,class_weight_80_20+class_weight_class_only+class_weight_heavy_rating,place_live,4.7%,20.6%,38.6%,42.8%,50.6%,47,147,107,15,+0.6,-0.3,-0.3,+0.2,-1,+2
14,class_weight_class_only+class_weight_no_rating+class_weight_heavy_rating,place_live,4.7%,20.6%,38.6%,42.8%,50.6%,47,147,107,15,+0.6,-0.3,-0.3,+0.2,-1,+2
