meeting,race_no,miss_type,condition,condition_bucket,race_class_bucket,field_size,field_size_bucket,winner_name,winner_model_rank,winner_market_rank,winner_sp,market_signal_bucket,is_market_signal,top_delta_1,top_delta_1_value,top_delta_2,top_delta_2_value,top_over_1,top_over_1_value,top_over_2,top_over_2_value,winner_in_top6,top2_hits,top3_picks,actual_top3,tags
2025-08-02 Flemington Race 1-9,5,1-hit,Good 4,Good/Firm,BM72-84,9,Field 9-12,Vega Magnifico,7,6,21.0,Longer Odds,False,class_weight,0.786666666666676,,0.0,jockey_trainer,-6.359999999999999,race_shape,-5.833333333333329,False,0,"[9] Paradise Storm (名次 10, SP $19.00) | [12] Catani Gardens (名次 7, SP $18.00) | [18] Maisy (名次 3, SP $5.50)","[8] Vega Magnifico (名次 1, SP $21.00) | [14] Federer (名次 2, SP $2.40) | [18] Maisy (名次 3, SP $5.50)",形勢與走位可能過信 | 騎練訊號可能過信 | 頭馬跌出前六
2025-08-23 Randwick Race 1-10,1,1-hit,Heavy 10,Heavy,BM58-70,13,Field 13+,Signor Tortoni,1,1,3.0,Favourite,True,track,6.86666666666666,jockey_trainer,6.573333333333338,class_weight,-8.556666666666665,sectional,-0.769999999999996,True,1,"[5] Signor Tortoni (名次 1, SP $3.00) | [11] Cryptonic (名次 8, SP $11.00) | [16] Close Encounter (名次 5, SP $16.00)","[5] Signor Tortoni (名次 1, SP $3.00) | [10] Apache Breeze (名次 2, SP $12.00) | [12] Divine Bene (名次 3, SP $4.40)",狀態與穩定性低估 | 騎練訊號低估 | 場地適性低估 | 賽績線低估 | 頭馬仍在前六 | 市場頭號熱門失手
2025-09-21 Flemington Race 1-8,1,1-hit,Good 4,Good/Firm,BM58-70,10,Field 9-12,Highland Bling,10,8,16.0,Longer Odds,False,track,2.233333333333327,race_shape,0.1666666666666714,stability,-16.9,form_line,-7.480000000000004,False,0,"[9] Thurmond (名次 6, SP $6.00) | [6] Guido (名次 4, SP $41.00) | [11] Haaland (名次 2, SP $14.00)","[7] Highland Bling (名次 1, SP $16.00) | [11] Haaland (名次 2, SP $14.00) | [4] Karburan (名次 3, SP $4.40)",場地適性低估 | 段速與引擎可能過信 | 騎練訊號可能過信 | 頭馬跌出前六
2025-10-04 Randwick Race 1-10,1,0-hit,Good 4,Good/Firm,BM58-70,12,Field 9-12,Agita,4,2,6.0,Market Top3,True,class_weight,2.4766666666666666,sectional,1.8066666666666578,track,-6.960000000000001,stability,-6.719999999999985,True,0,"[6] Sunset Park (名次 5, SP $6.00) | [5] Dr Evil (名次 7, SP $26.00) | [12] Magic Pharoah (名次 4, SP $26.00)","[9] Agita (名次 1, SP $6.00) | [1] Harlow Mist (名次 2, SP $8.00) | [8] Highborn Harry (名次 3, SP $7.00)",級數與負重低估 | 形勢與走位可能過信 | 騎練訊號可能過信 | 頭馬仍在前六 | 市場前列馬失手
2025-11-01 Randwick Race 1-10,1,1-hit,Soft 7,Soft,BM72-84,7,Field <=8,Rotagilla,2,1,3.7,Favourite,True,track,5.259999999999998,class_weight,5.146666666666675,sectional,-3.0799999999999983,race_shape,-1.6333333333333329,True,1,"[5] Chicama (名次 6, SP $4.00) | [3] Rotagilla (名次 1, SP $3.70) | [8] Placid Pearl (名次 4, SP $15.00)","[3] Rotagilla (名次 1, SP $3.70) | [4] Strawberry Impact (名次 2, SP $3.70) | [1] Belle Detelle (名次 3, SP $8.50)",騎練訊號低估 | 級數與負重低估 | 場地適性低估 | 段速與引擎可能過信 | 頭馬仍在前六 | 市場頭號熱門失手
2025-11-04 Flemington Race 1-10,1,1-hit,Soft 6,Soft,Group 2/3,12,Field 9-12,Tornado Valley,2,2,5.0,Market Top3,True,form_line,4.966666666666669,stability,2.646666666666661,class_weight,-0.8733333333333348,,0.0,True,1,"[1] Knurl (名次 10, SP $13.00) | [2] Tornado Valley (名次 1, SP $5.00) | [12] Saluki (名次 12, SP $16.00)","[2] Tornado Valley (名次 1, SP $5.00) | [7] Tales Of Time (名次 2, SP $18.00) | [11] Luna Vega (名次 3, SP $10.00)",狀態與穩定性低估 | 賽績線低估 | 頭馬仍在前六 | 市場前列馬失手
2025-11-04 Randwick Race 1-10,7,1-hit,Heavy 8,Heavy,Other,9,Field 9-12,Osipenko,5,1,5.0,Favourite,True,track,2.6000000000000014,,0.0,class_weight,-21.126666666666658,stability,-5.006666666666661,True,0,"[16] Tavros (名次 5, SP $5.50) | [2] Belvedere Boys (名次 9, SP $9.50) | [5] Hollywood Hero (名次 2, SP $5.50)","[1] Osipenko (名次 1, SP $5.00) | [5] Hollywood Hero (名次 2, SP $5.50) | [17] Anythink Goes (名次 3, SP $17.00)",場地適性低估 | 形勢與走位可能過信 | 頭馬仍在前六 | 市場頭號熱門失手
2025-11-06 Flemington Race 1-9,1,1-hit,Good 4,Good/Firm,BM58-70,15,Field 13+,First Chorus,1,2,4.8,Market Top3,True,jockey_trainer,4.506666666666661,stability,3.3400000000000034,race_shape,-6.166666666666671,track,-3.0266666666666637,True,1,"[11] First Chorus (名次 1, SP $4.80) | [18] Meet The Wife (名次 11, SP $101.00) | [5] Nursery Chime (名次 12, SP $21.00)","[11] First Chorus (名次 1, SP $4.80) | [12] Full Hao (名次 2, SP $3.70) | [8] I Only Wish (名次 3, SP $7.00)",狀態與穩定性低估 | 騎練訊號低估 | 賽績線低估 | 形勢與走位可能過信 | 頭馬仍在前六 | 市場前列馬失手
2025-11-08 Flemington Race 1-9,1,1-hit,Soft 6,Soft,Other,11,Field 9-12,Calamari Ring,5,2,5.5,Market Top3,True,jockey_trainer,0.826666666666668,,0.0,form_line,-15.040000000000006,stability,-10.86,True,1,"[6] Streisand (名次 2, SP $6.50) | [1] Blandford Baron (名次 7, SP $19.00) | [5] Free Flying (名次 10, SP $5.50)","[9] Calamari Ring (名次 1, SP $5.50) | [6] Streisand (名次 2, SP $6.50) | [2] Bohemian Rhapsody (名次 3, SP $7.00)",段速與引擎可能過信 | 形勢與走位可能過信 | 頭馬仍在前六 | 市場前列馬失手
2025-12-26 Randwick Race 1-8,1,1-hit,Good 4,Good/Firm,Maiden,10,Field 9-12,Man Of Worth,1,1,2.3,Favourite,True,stability,3.7466666666666697,race_shape,3.3000000000000043,jockey_trainer,-1.039999999999992,,0.0,True,1,"[2] Man Of Worth (名次 1, SP $2.30) | [1] Cathedral Cove (名次 4, SP $21.00) | [13] Toussaint (名次 5, SP $6.50)","[2] Man Of Worth (名次 1, SP $2.30) | [12] Saveur (名次 2, SP $31.00) | [5] Konsa (名次 3, SP $2.70)",狀態與穩定性低估 | 形勢與走位低估 | 級數與負重低估 | 頭馬仍在前六 | 市場頭號熱門失手
