Track,Distance,Barrier,Total Runs,Wins,Win %,Places (Top 3),Place %
Flemington,Overall,1,150,13,8.7%,40,26.7%
Flemington,Overall,2,148,11,7.4%,38,25.7%
Flemington,Overall,3,149,9,6.0%,34,22.8%
Flemington,Overall,4,150,16,10.7%,50,33.3%
Flemington,Overall,5,149,14,9.4%,47,31.5%
Flemington,Overall,6,148,20,13.5%,52,35.1%
Flemington,Overall,7,144,14,9.7%,33,22.9%
Flemington,Overall,8,137,7,5.1%,33,24.1%
Flemington,Overall,9,125,10,8.0%,33,26.4%
Flemington,Overall,10,105,13,12.4%,24,22.9%
Flemington,Overall,11,84,6,7.1%,19,22.6%
Flemington,Overall,12,64,5,7.8%,18,28.1%
Flemington,Overall,13,40,4,10.0%,11,27.5%
Flemington,Overall,14,29,2,6.9%,7,24.1%
Flemington,Overall,15,22,3,13.6%,4,18.2%
Flemington,Overall,16,12,2,16.7%,3,25.0%
Flemington,Overall,17,5,0,0.0%,1,20.0%
Flemington,1000m,1,14,2,14.3%,5,35.7%
Flemington,1000m,2,14,1,7.1%,2,14.3%
Flemington,1000m,3,14,1,7.1%,4,28.6%
Flemington,1000m,4,14,4,28.6%,6,42.9%
Flemington,1000m,5,14,1,7.1%,5,35.7%
Flemington,1000m,6,14,1,7.1%,3,21.4%
Flemington,1000m,7,14,2,14.3%,6,42.9%
Flemington,1000m,8,13,1,7.7%,5,38.5%
Flemington,1000m,9,9,0,0.0%,3,33.3%
Flemington,1000m,10,9,1,11.1%,1,11.1%
Flemington,1000m,11,6,0,0.0%,0,0.0%
Flemington,1000m,12,3,0,0.0%,1,33.3%
Flemington,1100m,1,20,2,10.0%,5,25.0%
Flemington,1100m,2,20,2,10.0%,5,25.0%
Flemington,1100m,3,20,1,5.0%,6,30.0%
Flemington,1100m,4,20,2,10.0%,4,20.0%
Flemington,1100m,5,20,2,10.0%,8,40.0%
Flemington,1100m,6,20,3,15.0%,7,35.0%
Flemington,1100m,7,20,3,15.0%,6,30.0%
Flemington,1100m,8,18,0,0.0%,1,5.6%
Flemington,1100m,9,14,1,7.1%,4,28.6%
Flemington,1100m,10,11,0,0.0%,2,18.2%
Flemington,1100m,11,10,1,10.0%,3,30.0%
Flemington,1100m,12,9,1,11.1%,3,33.3%
Flemington,1100m,13,5,0,0.0%,0,0.0%
Flemington,1100m,14,4,0,0.0%,1,25.0%
Flemington,1100m,15,4,0,0.0%,1,25.0%
Flemington,1100m,16,3,1,33.3%,2,66.7%
Flemington,1200m,1,18,2,11.1%,5,27.8%
Flemington,1200m,2,18,1,5.6%,3,16.7%
Flemington,1200m,3,18,2,11.1%,3,16.7%
Flemington,1200m,4,18,0,0.0%,7,38.9%
Flemington,1200m,5,18,4,22.2%,7,38.9%
Flemington,1200m,6,18,1,5.6%,5,27.8%
Flemington,1200m,7,17,0,0.0%,1,5.9%
Flemington,1200m,8,17,1,5.9%,3,17.6%
Flemington,1200m,9,17,2,11.8%,5,29.4%
Flemington,1200m,10,14,3,21.4%,5,35.7%
Flemington,1200m,11,13,0,0.0%,3,23.1%
Flemington,1200m,12,10,0,0.0%,2,20.0%
Flemington,1200m,13,7,0,0.0%,2,28.6%
Flemington,1200m,14,6,1,16.7%,2,33.3%
Flemington,1200m,15,5,1,20.0%,1,20.0%
Flemington,1400m,1,27,1,3.7%,4,14.8%
Flemington,1400m,2,26,3,11.5%,9,34.6%
Flemington,1400m,3,27,1,3.7%,7,25.9%
Flemington,1400m,4,27,2,7.4%,9,33.3%
Flemington,1400m,5,27,2,7.4%,8,29.6%
Flemington,1400m,6,27,6,22.2%,14,51.9%
Flemington,1400m,7,26,3,11.5%,7,26.9%
Flemington,1400m,8,25,0,0.0%,6,24.0%
Flemington,1400m,9,24,2,8.3%,7,29.2%
Flemington,1400m,10,22,2,9.1%,3,13.6%
Flemington,1400m,11,15,3,20.0%,3,20.0%
Flemington,1400m,12,10,1,10.0%,2,20.0%
Flemington,1400m,13,5,1,20.0%,1,20.0%
Flemington,1400m,14,3,0,0.0%,1,33.3%
Flemington,1410m,1,3,0,0.0%,1,33.3%
Flemington,1410m,2,3,0,0.0%,1,33.3%
Flemington,1410m,3,3,0,0.0%,1,33.3%
Flemington,1410m,4,3,0,0.0%,1,33.3%
Flemington,1410m,5,3,1,33.3%,1,33.3%
Flemington,1600m,1,21,4,19.0%,6,28.6%
Flemington,1600m,2,21,1,4.8%,9,42.9%
Flemington,1600m,3,21,1,4.8%,4,19.0%
Flemington,1600m,4,21,1,4.8%,8,38.1%
Flemington,1600m,5,21,2,9.5%,7,33.3%
Flemington,1600m,6,21,6,28.6%,10,47.6%
Flemington,1600m,7,19,2,10.5%,5,26.3%
Flemington,1600m,8,18,1,5.6%,5,27.8%
Flemington,1600m,9,15,1,6.7%,2,13.3%
Flemington,1600m,10,11,0,0.0%,2,18.2%
Flemington,1600m,11,7,0,0.0%,1,14.3%
Flemington,1600m,12,3,2,66.7%,2,66.7%
Flemington,1600m,13,3,0,0.0%,1,33.3%
Flemington,1800m,1,11,1,9.1%,4,36.4%
Flemington,1800m,2,11,1,9.1%,3,27.3%
Flemington,1800m,3,11,1,9.1%,4,36.4%
Flemington,1800m,4,11,2,18.2%,4,36.4%
Flemington,1800m,5,11,1,9.1%,3,27.3%
Flemington,1800m,6,10,0,0.0%,1,10.0%
Flemington,1800m,7,10,1,10.0%,2,20.0%
Flemington,1800m,8,9,0,0.0%,3,33.3%
Flemington,1800m,9,9,1,11.1%,3,33.3%
Flemington,1800m,10,6,0,0.0%,1,16.7%
Flemington,1800m,11,6,1,16.7%,1,16.7%
Flemington,1800m,12,6,0,0.0%,0,0.0%
Flemington,1800m,13,4,1,25.0%,2,50.0%
Flemington,1800m,14,3,0,0.0%,1,33.3%
Flemington,2000m,1,16,0,0.0%,4,25.0%
Flemington,2000m,2,16,1,6.2%,3,18.8%
Flemington,2000m,3,16,1,6.2%,2,12.5%
Flemington,2000m,4,16,2,12.5%,4,25.0%
Flemington,2000m,5,16,1,6.2%,6,37.5%
Flemington,2000m,6,16,2,12.5%,6,37.5%
Flemington,2000m,7,16,1,6.2%,2,12.5%
Flemington,2000m,8,15,0,0.0%,3,20.0%
Flemington,2000m,9,16,3,18.8%,7,43.8%
Flemington,2000m,10,13,3,23.1%,4,30.8%
Flemington,2000m,11,12,0,0.0%,5,41.7%
Flemington,2000m,12,9,1,11.1%,1,11.1%
Flemington,2000m,13,4,0,0.0%,0,0.0%
Flemington,2000m,14,3,1,33.3%,1,33.3%
Flemington,2500m,1,5,0,0.0%,2,40.0%
Flemington,2500m,2,4,0,0.0%,1,25.0%
Flemington,2500m,3,5,0,0.0%,1,20.0%
Flemington,2500m,4,5,2,40.0%,3,60.0%
Flemington,2500m,5,5,0,0.0%,0,0.0%
Flemington,2500m,6,5,0,0.0%,1,20.0%
Flemington,2500m,7,5,1,20.0%,1,20.0%
Flemington,2500m,8,5,0,0.0%,1,20.0%
Flemington,2500m,9,5,0,0.0%,0,0.0%
Flemington,2500m,10,4,1,25.0%,1,25.0%
Flemington,2500m,11,3,0,0.0%,1,33.3%
Flemington,2500m,12,3,0,0.0%,2,66.7%
Flemington,2800m,1,3,0,0.0%,1,33.3%
Flemington,2800m,2,3,0,0.0%,0,0.0%
Flemington,2800m,3,3,1,33.3%,2,66.7%
Flemington,2800m,4,3,0,0.0%,0,0.0%
Flemington,2800m,5,3,0,0.0%,0,0.0%
Flemington,2800m,6,3,0,0.0%,1,33.3%
Flemington,2800m,7,3,0,0.0%,0,0.0%
Flemington,2800m,8,3,2,66.7%,3,100.0%
Flemington,2800m,9,3,0,0.0%,0,0.0%
Randwick,Overall,1,215,18,8.4%,64,29.8%
Randwick,Overall,2,216,21,9.7%,64,29.6%
Randwick,Overall,3,216,29,13.4%,70,32.4%
Randwick,Overall,4,216,26,12.0%,73,33.8%
Randwick,Overall,5,216,22,10.2%,60,27.8%
Randwick,Overall,6,214,15,7.0%,58,27.1%
Randwick,Overall,7,210,16,7.6%,54,25.7%
Randwick,Overall,8,199,21,10.6%,52,26.1%
Randwick,Overall,9,180,13,7.2%,38,21.1%
Randwick,Overall,10,148,6,4.1%,32,21.6%
Randwick,Overall,11,111,10,9.0%,24,21.6%
Randwick,Overall,12,82,4,4.9%,14,17.1%
Randwick,Overall,13,59,3,5.1%,7,11.9%
Randwick,Overall,14,41,0,0.0%,4,9.8%
Randwick,Overall,15,31,1,3.2%,1,3.2%
Randwick,Overall,16,18,0,0.0%,1,5.6%
Randwick,Overall,17,9,1,11.1%,2,22.2%
Randwick,Overall,18,7,0,0.0%,0,0.0%
Randwick,1000m,1,22,0,0.0%,7,31.8%
Randwick,1000m,2,22,3,13.6%,9,40.9%
Randwick,1000m,3,22,5,22.7%,8,36.4%
Randwick,1000m,4,22,7,31.8%,9,40.9%
Randwick,1000m,5,22,1,4.5%,5,22.7%
Randwick,1000m,6,22,2,9.1%,5,22.7%
Randwick,1000m,7,22,0,0.0%,4,18.2%
Randwick,1000m,8,20,1,5.0%,8,40.0%
Randwick,1000m,9,17,0,0.0%,3,17.6%
Randwick,1000m,10,10,0,0.0%,1,10.0%
Randwick,1000m,11,8,0,0.0%,0,0.0%
Randwick,1000m,12,6,0,0.0%,0,0.0%
Randwick,1000m,13,4,0,0.0%,0,0.0%
Randwick,1000m,14,4,0,0.0%,0,0.0%
Randwick,1000m,15,3,1,33.3%,1,33.3%
Randwick,1100m,1,18,0,0.0%,5,27.8%
Randwick,1100m,2,18,0,0.0%,4,22.2%
Randwick,1100m,3,18,4,22.2%,8,44.4%
Randwick,1100m,4,18,2,11.1%,6,33.3%
Randwick,1100m,5,18,3,16.7%,5,27.8%
Randwick,1100m,6,18,2,11.1%,5,27.8%
Randwick,1100m,7,18,0,0.0%,5,27.8%
Randwick,1100m,8,16,2,12.5%,4,25.0%
Randwick,1100m,9,15,1,6.7%,3,20.0%
Randwick,1100m,10,13,1,7.7%,1,7.7%
Randwick,1100m,11,7,1,14.3%,1,14.3%
Randwick,1100m,12,5,1,20.0%,3,60.0%
Randwick,1100m,13,5,0,0.0%,1,20.0%
Randwick,1100m,14,3,0,0.0%,0,0.0%
Randwick,1100m,15,3,0,0.0%,0,0.0%
Randwick,1200m,1,48,4,8.3%,15,31.2%
Randwick,1200m,2,48,8,16.7%,12,25.0%
Randwick,1200m,3,48,3,6.2%,11,22.9%
Randwick,1200m,4,48,3,6.2%,14,29.2%
Randwick,1200m,5,48,6,12.5%,17,35.4%
Randwick,1200m,6,48,3,6.2%,14,29.2%
Randwick,1200m,7,46,5,10.9%,10,21.7%
Randwick,1200m,8,45,6,13.3%,12,26.7%
Randwick,1200m,9,37,2,5.4%,8,21.6%
Randwick,1200m,10,28,0,0.0%,6,21.4%
Randwick,1200m,11,20,3,15.0%,6,30.0%
Randwick,1200m,12,15,0,0.0%,5,33.3%
Randwick,1200m,13,9,1,11.1%,3,33.3%
Randwick,1200m,14,7,0,0.0%,1,14.3%
Randwick,1200m,15,4,0,0.0%,0,0.0%
Randwick,1200m,16,3,0,0.0%,0,0.0%
Randwick,1300m,1,13,1,7.7%,3,23.1%
Randwick,1300m,2,13,1,7.7%,4,30.8%
Randwick,1300m,3,13,3,23.1%,7,53.8%
Randwick,1300m,4,13,2,15.4%,8,61.5%
Randwick,1300m,5,13,0,0.0%,1,7.7%
Randwick,1300m,6,13,0,0.0%,3,23.1%
Randwick,1300m,7,12,1,8.3%,2,16.7%
Randwick,1300m,8,12,1,8.3%,3,25.0%
Randwick,1300m,9,11,2,18.2%,3,27.3%
Randwick,1300m,10,7,0,0.0%,2,28.6%
Randwick,1300m,11,5,2,40.0%,3,60.0%
Randwick,1300m,12,3,0,0.0%,0,0.0%
Randwick,1400m,1,33,3,9.1%,9,27.3%
Randwick,1400m,2,34,2,5.9%,8,23.5%
Randwick,1400m,3,34,5,14.7%,9,26.5%
Randwick,1400m,4,34,2,5.9%,9,26.5%
Randwick,1400m,5,34,2,5.9%,7,20.6%
Randwick,1400m,6,34,3,8.8%,9,26.5%
Randwick,1400m,7,34,3,8.8%,9,26.5%
Randwick,1400m,8,34,5,14.7%,10,29.4%
Randwick,1400m,9,32,3,9.4%,9,28.1%
Randwick,1400m,10,29,1,3.4%,6,20.7%
Randwick,1400m,11,21,2,9.5%,9,42.9%
Randwick,1400m,12,14,2,14.3%,4,28.6%
Randwick,1400m,13,10,0,0.0%,0,0.0%
Randwick,1400m,14,5,0,0.0%,1,20.0%
Randwick,1400m,15,4,0,0.0%,0,0.0%
Randwick,1500m,1,7,2,28.6%,3,42.9%
Randwick,1500m,2,7,0,0.0%,3,42.9%
Randwick,1500m,3,7,1,14.3%,2,28.6%
Randwick,1500m,4,7,0,0.0%,1,14.3%
Randwick,1500m,5,7,0,0.0%,2,28.6%
Randwick,1500m,6,7,2,28.6%,3,42.9%
Randwick,1500m,7,7,1,14.3%,4,57.1%
Randwick,1500m,8,5,1,20.0%,1,20.0%
Randwick,1500m,9,5,0,0.0%,2,40.0%
Randwick,1500m,10,5,0,0.0%,0,0.0%
Randwick,1500m,11,3,0,0.0%,0,0.0%
Randwick,1600m,1,42,4,9.5%,11,26.2%
Randwick,1600m,2,42,3,7.1%,12,28.6%
Randwick,1600m,3,42,5,11.9%,17,40.5%
Randwick,1600m,4,42,5,11.9%,14,33.3%
Randwick,1600m,5,42,7,16.7%,14,33.3%
Randwick,1600m,6,41,0,0.0%,9,22.0%
Randwick,1600m,7,41,4,9.8%,16,39.0%
Randwick,1600m,8,40,3,7.5%,7,17.5%
Randwick,1600m,9,37,4,10.8%,8,21.6%
Randwick,1600m,10,32,2,6.2%,7,21.9%
Randwick,1600m,11,26,1,3.8%,1,3.8%
Randwick,1600m,12,20,1,5.0%,2,10.0%
Randwick,1600m,13,14,2,14.3%,3,21.4%
Randwick,1600m,14,10,0,0.0%,0,0.0%
Randwick,1600m,15,8,0,0.0%,0,0.0%
Randwick,1600m,16,5,0,0.0%,1,20.0%
Randwick,1600m,17,4,0,0.0%,1,25.0%
Randwick,1600m,18,3,0,0.0%,0,0.0%
Randwick,1800m,1,7,0,0.0%,1,14.3%
Randwick,1800m,2,7,2,28.6%,2,28.6%
