Date,Track,Race,Distance,Condition,Pos,Horse,Barrier,Weight,Jockey,Trainer,Margin,SP,Time
2026-03-28,Flemington,1,1100,Heavy 8,1,Pop Award,5,59kg,Luke Cartwright,Lyn Tolson & Leonie Proctor,—,$9.00,01:05.950
2026-03-28,Flemington,1,1100,Heavy 8,2,Bossy Nic,8,57.5kg,Jackson Radley,Tony & Calvin McEvoy,0.15L,$13.00,01:05.974
2026-03-28,Flemington,1,1100,Heavy 8,3,She's Got Pizzazz,3,54.5kg,Luke Nolen,Peter Moody & Katherine Coleman,0.9L,$10.00,01:06.100
2026-03-28,Flemington,1,1100,Heavy 8,4,Gentle Steel,7,55kg,Jamie Mott,Julius Sandhu,1.25L,$4.40,01:06.158
2026-03-28,Flemington,1,1100,Heavy 8,5,Fluent,6,54kg,Harry Coffey,Andrew Noblet,1.35L,$31.00,01:06.175
2026-03-28,Flemington,1,1100,Heavy 8,6,She's An Artist,2,54kg,Jamie Melham,Ciaron Maher,2.85L,$2.10,01:06.425
2026-03-28,Flemington,1,1100,Heavy 8,7,Eagle Express,1,54kg,Jye McNeil,Chris Waller,4.6L,$7.00,01:06.716
2026-03-28,Flemington,1,1100,Heavy 8,8,Time Bandit,4,54kg,Molly Bourke,Jordan Grob,5.06L,$101.00,01:06.793
2026-03-28,Flemington,2,1400,Heavy 8,1,Exit,6,54kg,Jamie Melham,Ciaron Maher,—,$8.00,01:24.090
2026-03-28,Flemington,2,1400,Heavy 8,2,Chowdown,2,54kg,Harry Coffey,Charlotte Littlefield,0.75L,$16.00,01:24.215
2026-03-28,Flemington,2,1400,Heavy 8,3,Cafe Au Lait,3,54kg,Jye McNeil,Chris Waller,1.25L,$3.30,01:24.298
2026-03-28,Flemington,2,1400,Heavy 8,4,Wise Inlaw,4,55.5kg,Luke Nolen,Peter Moody & Katherine Coleman,2L,$4.20,01:24.423
2026-03-28,Flemington,2,1400,Heavy 8,5,Berlemont,9,54kg,Molly Bourke,Michael Kent,2.1L,$17.00,01:24.440
2026-03-28,Flemington,2,1400,Heavy 8,6,Hook 'N' Spur,10,54kg,William Pike,Gavin Bedggood,2.56L,$10.00,01:24.516
2026-03-28,Flemington,2,1400,Heavy 8,7,Lawborough,7,55.5kg,Jordan Childs,Simon Zahra,4.06L,$7.00,01:24.766
2026-03-28,Flemington,2,1400,Heavy 8,8,Miewa,5,59.5kg,Daniel Stackhouse,Nick Ryan,4.56L,$14.00,01:24.849
2026-03-28,Flemington,2,1400,Heavy 8,9,Yum,8,56.5kg,Jamie Mott,John McArdle,5.02L,$15.00,01:24.926
2026-03-28,Flemington,2,1400,Heavy 8,10,Nostra Bella,1,54kg,Declan Bates,Karlene Tindale,13.02L,$26.00,01:26.260
2026-03-28,Flemington,3,1200,Heavy 8,1,Satono Glow,5,56kg,Jamie Melham,John O'Shea & Tom Charlton,—,$4.20,01:12.530
2026-03-28,Flemington,3,1200,Heavy 8,2,Salann,4,56kg,Daniel Stackhouse,Ben Brisbourne,3L,$41.00,01:13.030
2026-03-28,Flemington,3,1200,Heavy 8,3,Gin Twist,1,58kg,William Pike,"Ben, Will & Jd Hayes",3.02L,$2.10,01:13.033
2026-03-28,Flemington,3,1200,Heavy 8,4,Firm'n'high,6,56kg,Luke Nolen,Peter Moody & Katherine Coleman,7.77L,$21.00,01:13.825
2026-03-28,Flemington,3,1200,Heavy 8,5,Jadzia,2,56kg,Jordan Childs,Grahame Begg,7.92L,$3.10,01:13.849
2026-03-28,Flemington,3,1200,Heavy 8,6,Star Je Taime,3,56kg,Lachlan Neindorf,Danny O'Brien,13.92L,$14.00,01:14.850
2026-03-28,Flemington,4,1100,Heavy 8,1,Stoli Bolli,6,59.5kg,Damian Lane,"Ben, Will & Jd Hayes",—,$3.50,01:05.470
2026-03-28,Flemington,4,1100,Heavy 8,2,Nimbustwothousand,9,60.5kg,Logan Bates,Gavin Bedggood,0.06L,$8.00,01:05.479
2026-03-28,Flemington,4,1100,Heavy 8,3,Celsius Star,12,62.5kg,Molly Bourke,Shawn Mathrick,0.81L,$18.00,01:05.605
2026-03-28,Flemington,4,1100,Heavy 8,4,Wolfy,3,56.5kg,Jamie Mott,Nick Ryan,0.87L,$10.00,01:05.615
2026-03-28,Flemington,4,1100,Heavy 8,5,Moor Mumm,11,54kg,Luke Cartwright,Matthew Dale,1.33L,$7.00,01:05.691
2026-03-28,Flemington,4,1100,Heavy 8,6,Salsa Fellow,1,58kg,Harry Coffey,Henry Dwyer,1.48L,$18.00,01:05.716
2026-03-28,Flemington,4,1100,Heavy 8,7,Actuality,4,54kg,Luke Nolen,Peter Moody & Katherine Coleman,1.88L,$6.50,01:05.783
2026-03-28,Flemington,4,1100,Heavy 8,8,Fission,10,59.5kg,Ryan Houston,Robbie Griffiths,2.38L,$31.00,01:05.866
2026-03-28,Flemington,4,1100,Heavy 8,9,Shining Smile,5,59kg,Jackson Radley,"Ben, Will & Jd Hayes",3.38L,$9.50,01:06.033
2026-03-28,Flemington,4,1100,Heavy 8,10,Castellar,2,59kg,Craig Williams,Gavin Bedggood,3.84L,$8.50,01:06.109
2026-03-28,Flemington,4,1100,Heavy 8,11,Tookay Pete,8,56.5kg,Jordan Childs,Melissa Page,9.34L,$91.00,01:07.026
2026-03-28,Flemington,4,1100,Heavy 8,12,Harmonett,7,54kg,Dakotah Keane,Vincent Hall,15.34L,$71.00,01:08.026
2026-03-28,Flemington,5,2000,Heavy 8,1,Zakouma,10,54kg,William Pike,Grahame Begg,—,$2.30,02:04.440
2026-03-28,Flemington,5,2000,Heavy 8,2,Alder,1,60kg,Jamie Mott,Trent Busuttin & Natalie Young,2.75L,$31.00,02:04.898
2026-03-28,Flemington,5,2000,Heavy 8,3,Jareth,7,54kg,Dakotah Keane,Ciaron Maher,2.81L,$5.50,02:04.908
2026-03-28,Flemington,5,2000,Heavy 8,4,Pantile Warrior,5,53.5kg,Craig Williams,Danny O'Brien,3.16L,$4.80,02:04.966
2026-03-28,Flemington,5,2000,Heavy 8,5,My Brothers Keeper,6,57kg,Patrick Moloney,Stephen V Brown,3.56L,$21.00,02:05.033
2026-03-28,Flemington,5,2000,Heavy 8,6,Jimi Hendrix,11,59kg,Jackson Radley,Annabel & Rob Archibald,3.86L,$51.00,02:05.083
2026-03-28,Flemington,5,2000,Heavy 8,7,Make It Sweet,3,54kg,Luke Nolen,Craig Weeding,3.92L,$16.00,02:05.093
2026-03-28,Flemington,5,2000,Heavy 8,8,Double Cherry,4,55.5kg,Jye McNeil,Annabel & Rob Archibald,5.17L,$101.00,02:05.301
2026-03-28,Flemington,5,2000,Heavy 8,9,Politely Dun,12,53.5kg,Logan Bates,Danny O'Brien,5.27L,$8.00,02:05.318
2026-03-28,Flemington,5,2000,Heavy 8,10,Golden Crusader,8,56.5kg,Daniel Stackhouse,Mick Price & Michael Kent Jnr,6.02L,$41.00,02:05.443
2026-03-28,Flemington,5,2000,Heavy 8,11,Wuddzz,9,54.5kg,Declan Bates,Henry Dwyer,7.02L,$61.00,02:05.610
2026-03-28,Flemington,5,2000,Heavy 8,12,Ziryab,2,60kg,Luke Cartwright,Ciaron Maher,7.52L,$26.00,02:05.693
2026-03-28,Flemington,6,1100,Heavy 8,1,Thanks Gorgeous,7,55kg,Craig Williams,Mark & Levi Kavanagh,—,$19.00,01:05.460
2026-03-28,Flemington,6,1100,Heavy 8,2,Tycoon Star,6,58.5kg,Damian Lane,"Ben, Will & Jd Hayes",0.02L,$9.50,01:05.462
