Track,Jockey,Trainer,Total Runs,Wins,Win %,Places (Top 3),Place %
Flemington,Ethan Brown,Ciaron Maher,14,4,28.6%,10,71.4%
Flemington,Blake Shinn,"Ben, Will & Jd Hayes",5,3,60.0%,3,60.0%
Flemington,Luke Currie,"Ben, Will & Jd Hayes",19,3,15.8%,7,36.8%
Flemington,Damian Lane,"Ben, Will & Jd Hayes",5,2,40.0%,3,60.0%
Flemington,Logan Bates,Danny O'Brien,5,2,40.0%,2,40.0%
Flemington,Michael Dee,Peter Snowden,5,2,40.0%,3,60.0%
Flemington,Damian Lane,Anthony & Sam Freedman,6,2,33.3%,2,33.3%
Flemington,Jordan Childs,Tom Dabernig,6,2,33.3%,3,50.0%
Flemington,Ben Allen,Leon & Troy Corstens & Will Larkin,7,2,28.6%,3,42.9%
Flemington,Harry Coffey,Symon Wilde,7,2,28.6%,3,42.9%
Flemington,Harry Coffey,Tony & Calvin McEvoy,10,2,20.0%,5,50.0%
Flemington,Mark Zahra,Ciaron Maher,12,2,16.7%,5,41.7%
Flemington,Ben Melham,Chris Waller,14,2,14.3%,4,28.6%
Flemington,James McDonald,Chris Waller,15,2,13.3%,8,53.3%
Flemington,Jordan Childs,Grahame Begg,17,2,11.8%,4,23.5%
Flemington,Jamie Melham,Ciaron Maher,19,2,10.5%,8,42.1%
Flemington,Beau Mertens,Gavin Bedggood,5,1,20.0%,1,20.0%
Flemington,Jackson Radley,Tony & Calvin McEvoy,5,1,20.0%,3,60.0%
Flemington,Jamie Melham,Danny O'Brien,5,1,20.0%,5,100.0%
Flemington,Jamie Melham,Tony & Calvin McEvoy,5,1,20.0%,3,60.0%
Flemington,Jordan Childs,Mick Price & Michael Kent Jnr,5,1,20.0%,1,20.0%
Flemington,Rhys McLeod,Nick Ryan,5,1,20.0%,3,60.0%
Flemington,Daniel Stackhouse,Anthony & Sam Freedman,6,1,16.7%,5,83.3%
Flemington,Mark Zahra,Anthony & Sam Freedman,6,1,16.7%,5,83.3%
Flemington,Mark Zahra,"Ben, Will & Jd Hayes",6,1,16.7%,1,16.7%
Flemington,Dean Yendall,Matthew Williams,7,1,14.3%,3,42.9%
Flemington,Ryan Houston,Annabel & Rob Archibald,7,1,14.3%,2,28.6%
Flemington,Craig Williams,Danny O'Brien,8,1,12.5%,4,50.0%
Flemington,Damian Lane,Emma-lee & David Browne,8,1,12.5%,1,12.5%
Flemington,Daniel Stackhouse,Phillip Stokes,8,1,12.5%,2,25.0%
Flemington,Emily Pozman,Peter Moody & Katherine Coleman,8,1,12.5%,3,37.5%
Flemington,Ben Allen,Ciaron Maher,10,1,10.0%,3,30.0%
Flemington,Damian Lane,Chris Waller,10,1,10.0%,4,40.0%
Flemington,Harry Coffey,Ciaron Maher,10,1,10.0%,2,20.0%
Flemington,Jamie Mott,John McArdle,10,1,10.0%,5,50.0%
Flemington,Ben Melham,Clinton McDonald,11,1,9.1%,6,54.5%
Flemington,Zac Spain,Peter Moody & Katherine Coleman,12,1,8.3%,1,8.3%
Flemington,Declan Bates,Ciaron Maher,13,1,7.7%,4,30.8%
Flemington,Michael Dee,"Ben, Will & Jd Hayes",13,1,7.7%,3,23.1%
Flemington,Logan Bates,Ciaron Maher,14,1,7.1%,3,21.4%
Flemington,Jye McNeil,Chris Waller,15,1,6.7%,3,20.0%
Flemington,Luke Nolen,Peter Moody & Katherine Coleman,18,1,5.6%,6,33.3%
Flemington,Beau Mertens,Mick Price & Michael Kent Jnr,12,0,0.0%,1,8.3%
Flemington,Ben Melham,Ciaron Maher,7,0,0.0%,1,14.3%
Flemington,Ben Melham,Mick Price & Michael Kent Jnr,5,0,0.0%,3,60.0%
Flemington,Craig Williams,Ciaron Maher,5,0,0.0%,1,20.0%
Flemington,Daniel Stackhouse,"Ben, Will & Jd Hayes",16,0,0.0%,3,18.8%
Flemington,Jackson Radley,"Ben, Will & Jd Hayes",18,0,0.0%,3,16.7%
Flemington,James McDonald,"Ben, Will & Jd Hayes",5,0,0.0%,3,60.0%
Flemington,Jamie Melham,Mick Price & Michael Kent Jnr,5,0,0.0%,3,60.0%
Flemington,Jamie Mott,Matt Laurie,5,0,0.0%,0,0.0%
Flemington,Jamie Mott,Nick Ryan,5,0,0.0%,0,0.0%
Flemington,John Allen,Ciaron Maher,7,0,0.0%,0,0.0%
Flemington,Jordan Childs,Gai Waterhouse & Adrian Bott,5,0,0.0%,2,40.0%
Flemington,Jye McNeil,Robbie Griffiths,8,0,0.0%,6,75.0%
Flemington,Lachlan Neindorf,Phillip Stokes,10,0,0.0%,2,20.0%
Flemington,Logan Bates,Grahame Begg,5,0,0.0%,0,0.0%
Flemington,Luke Cartwright,Peter Moody & Katherine Coleman,12,0,0.0%,3,25.0%
Flemington,Michael Dee,Annabel & Rob Archibald,5,0,0.0%,2,40.0%
Flemington,Michael Dee,Grahame Begg,6,0,0.0%,1,16.7%
Flemington,Thomas Stockdale,Ciaron Maher,6,0,0.0%,0,0.0%
Flemington,Thomas Stockdale,Phillip Stokes,6,0,0.0%,0,0.0%
Randwick,James McDonald,Chris Waller,59,17,28.8%,32,54.2%
Randwick,Tommy Berry,Michael Freedman,22,8,36.4%,12,54.5%
Randwick,Zac Lloyd,John O'Shea & Tom Charlton,24,6,25.0%,12,50.0%
Randwick,Nash Rawiller,Chris Waller,16,4,25.0%,9,56.2%
Randwick,Kerrin McEvoy,Chris Waller,20,4,20.0%,9,45.0%
Randwick,Jason Collett,Bjorn Baker,27,4,14.8%,8,29.6%
Randwick,Rachel King,Bjorn Baker,31,4,12.9%,8,25.8%
Randwick,Zac Lloyd,Matthew Smith,7,3,42.9%,3,42.9%
Randwick,Chad Schofield,Ciaron Maher,9,3,33.3%,3,33.3%
Randwick,Adam Hyeronimus,Joseph Pride,14,3,21.4%,6,42.9%
Randwick,Chad Schofield,Joseph Pride,20,3,15.0%,5,25.0%
Randwick,Jason Collett,Chris Waller,23,3,13.0%,10,43.5%
Randwick,Joshua Parr,Bjorn Baker,23,3,13.0%,5,21.7%
Randwick,Tyler Schiller,"Michael, John & Wayne Hawkes",27,3,11.1%,7,25.9%
Randwick,Siena Grima,Chris Waller,32,3,9.4%,11,34.4%
Randwick,Anna Roper,David Payne,5,2,40.0%,4,80.0%
Randwick,Tom Sherry,Jason Attard,5,2,40.0%,2,40.0%
Randwick,Braith Nock,Matthew Dale,6,2,33.3%,2,33.3%
Randwick,Jason Collett,Brett & Georgie Cavanough,6,2,33.3%,3,50.0%
Randwick,Zac Lloyd,Joseph Pride,6,2,33.3%,4,66.7%
Randwick,Zac Lloyd,Annabel & Rob Archibald,7,2,28.6%,5,71.4%
Randwick,Nash Rawiller,Ciaron Maher,8,2,25.0%,2,25.0%
Randwick,Alysha Collett,Annabel & Rob Archibald,10,2,20.0%,2,20.0%
Randwick,Jason Collett,Kris Lees,10,2,20.0%,3,30.0%
Randwick,Tyler Schiller,Chris Waller,11,2,18.2%,3,27.3%
Randwick,Sam Clipperton,Chris Waller,15,2,13.3%,4,26.7%
Randwick,Tim Clark,Chris Waller,17,2,11.8%,7,41.2%
Randwick,Dylan Gibbons,John O'Shea & Tom Charlton,21,2,9.5%,7,33.3%
Randwick,Regan Bayliss,Gai Waterhouse & Adrian Bott,22,2,9.1%,9,40.9%
Randwick,Tommy Berry,Chris Waller,22,2,9.1%,4,18.2%
Randwick,Tim Clark,Gai Waterhouse & Adrian Bott,35,2,5.7%,7,20.0%
Randwick,James McDonald,Annabel & Rob Archibald,5,1,20.0%,3,60.0%
Randwick,Jason Collett,Ciaron Maher,5,1,20.0%,3,60.0%
Randwick,Nash Rawiller,Gerald Ryan & Sterling Alexiou,5,1,20.0%,2,40.0%
Randwick,Adam Farragher,Ciaron Maher,6,1,16.7%,1,16.7%
Randwick,Chad Schofield,David Payne,6,1,16.7%,2,33.3%
Randwick,Chad Schofield,Richard & Will Freedman,6,1,16.7%,1,16.7%
Randwick,Craig Williams,Gary Portelli,6,1,16.7%,1,16.7%
Randwick,Jason Collett,Michael Freedman,6,1,16.7%,4,66.7%
Randwick,Nash Rawiller,Matthew Dunn,6,1,16.7%,4,66.7%
Randwick,Tyler Schiller,Marc Chevalier,6,1,16.7%,2,33.3%
Randwick,Zac Lloyd,Danny Williams,6,1,16.7%,2,33.3%
Randwick,William Stanley,Kris Lees,7,1,14.3%,2,28.6%
Randwick,Jack Callan,Annabel & Rob Archibald,8,1,12.5%,4,50.0%
Randwick,Adam Hyeronimus,Chris Waller,9,1,11.1%,3,33.3%
Randwick,Dylan Gibbons,Kris Lees,9,1,11.1%,2,22.2%
Randwick,Tim Clark,Ciaron Maher,9,1,11.1%,3,33.3%
Randwick,Tom Sherry,Peter Snowden,9,1,11.1%,2,22.2%
Randwick,Tommy Berry,Ciaron Maher,9,1,11.1%,4,44.4%
Randwick,Regan Bayliss,Bjorn Baker,10,1,10.0%,3,30.0%
Randwick,Zac Lloyd,Ciaron Maher,10,1,10.0%,4,40.0%
Randwick,Alysha Collett,John Thompson,13,1,7.7%,4,30.8%
Randwick,Ethan Brown,Ciaron Maher,13,1,7.7%,3,23.1%
Randwick,Tom Sherry,Annabel & Rob Archibald,19,1,5.3%,6,31.6%
Randwick,Adam Hyeronimus,Gai Waterhouse & Adrian Bott,21,1,4.8%,8,38.1%
Randwick,Zac Lloyd,Chris Waller,29,1,3.4%,10,34.5%
Randwick,Alysha Collett,"Barbara Joseph, Paul & Matt Jones",7,0,0.0%,1,14.3%
Randwick,Alysha Collett,Brad Widdup,6,0,0.0%,1,16.7%
Randwick,Alysha Collett,Gary Portelli,5,0,0.0%,0,0.0%
Randwick,Andrew Adkins,Annabel & Rob Archibald,5,0,0.0%,2,40.0%
Randwick,Andrew Adkins,John Thompson,8,0,0.0%,2,25.0%
Randwick,Andrew Adkins,Joseph Pride,9,0,0.0%,3,33.3%
Randwick,Anna Roper,Ciaron Maher,8,0,0.0%,2,25.0%
Randwick,Ashley Morgan,Bjorn Baker,12,0,0.0%,2,16.7%
Randwick,Ashley Morgan,Ciaron Maher,5,0,0.0%,0,0.0%
Randwick,Ashley Morgan,Gary Portelli,5,0,0.0%,1,20.0%
Randwick,Ashley Morgan,Matthew Smith,5,0,0.0%,2,40.0%
Randwick,Ashley Morgan,Nathan Doyle,6,0,0.0%,0,0.0%
Randwick,Benjamin Osmond,Kris Lees,6,0,0.0%,2,33.3%
Randwick,Braith Nock,Annabel & Rob Archibald,12,0,0.0%,2,16.7%
Randwick,Braith Nock,Ciaron Maher,9,0,0.0%,1,11.1%
Randwick,Braith Nock,John Thompson,6,0,0.0%,1,16.7%
Randwick,Chad Schofield,Annabel & Rob Archibald,7,0,0.0%,1,14.3%
Randwick,Chad Schofield,Chris Waller,8,0,0.0%,0,0.0%
Randwick,Chad Schofield,Danny Williams,5,0,0.0%,1,20.0%
Randwick,Chad Schofield,John Thompson,12,0,0.0%,3,25.0%
Randwick,Dylan Gibbons,Bjorn Baker,17,0,0.0%,3,17.6%
Randwick,Dylan Gibbons,Chris Waller,5,0,0.0%,0,0.0%
Randwick,Dylan Gibbons,Tom Charlton,6,0,0.0%,1,16.7%
