Course,Draw,Wins,Starts,Places,WinRate
2024巴黎奧運中國香港隊盃（讓賽）,5,0,1,0,0.0
CANMAKE TOKYO讓賽,1,0,1,0,0.0
CANMAKE TOKYO讓賽,3,0,1,1,0.0
CANMAKE TOKYO讓賽,8,0,1,0,0.0
CANMAKE TOKYO讓賽,9,0,1,0,0.0
CONSENSUS盃（讓賽）,1,0,1,0,0.0
DR.G讓賽,4,0,1,0,0.0
DR.G讓賽,6,1,1,1,100.0
DR.G讓賽,7,0,1,0,0.0
DR.G讓賽,10,0,1,0,0.0
ELEANOR讓賽,7,0,1,0,0.0
ELEANOR讓賽,12,0,1,0,0.0
KATE TOKYO讓賽,4,0,1,0,0.0
KATE TOKYO讓賽,7,0,1,1,0.0
KATE TOKYO讓賽,8,0,1,0,0.0
KATE TOKYO讓賽,12,0,1,0,0.0
PANASHOP樂聲牌專門店讓賽,5,0,1,0,0.0
PANASONIC 2合1洗衣乾衣機讓賽,5,0,1,0,0.0
PANASONIC 2合1洗衣乾衣機讓賽,6,0,1,0,0.0
PANASONIC 2合1洗衣乾衣機讓賽,8,0,1,0,0.0
PANASONIC 2合1洗衣乾衣機讓賽,9,0,1,0,0.0
PANASONIC 2合1洗衣乾衣機讓賽,11,0,1,0,0.0
PANASONIC 2合1洗衣乾衣機讓賽,13,0,1,0,0.0
PANASONIC 2合1洗衣乾衣機讓賽,14,0,1,0,0.0
PANASONIC MINI LED電視讓賽,1,0,1,0,0.0
PANASONIC MINI LED電視讓賽,4,0,1,0,0.0
PANASONIC MINI LED電視讓賽,7,0,1,0,0.0
PANASONIC MINI LED電視讓賽,8,0,1,0,0.0
PANASONIC MINI LED電視讓賽,11,0,1,1,0.0
PANASONIC ZIAINO空間淨化機讓賽,9,0,1,0,0.0
PANASONIC ZIAINO空間淨化機讓賽,14,0,1,0,0.0
PANASONIC智能鎖讓賽,13,0,1,0,0.0
PANASONIC纖型1拖2分體機讓賽,1,0,1,0,0.0
PANASONIC纖型1拖2分體機讓賽,4,0,1,0,0.0
PANASONIC纖型1拖2分體機讓賽,6,0,1,0,0.0
PANASONIC纖型1拖2分體機讓賽,8,0,1,0,0.0
PANASONIC纖型1拖2分體機讓賽,10,0,1,0,0.0
PANASONIC纖型1拖2分體機讓賽,13,0,1,0,0.0
PANASONIC纖型1拖2分體機讓賽,14,0,1,0,0.0
SANTA MONICA讓賽,1,0,1,0,0.0
SANTA MONICA讓賽,9,0,1,0,0.0
SANTA MONICA讓賽,12,0,1,0,0.0
SUISSE PROGRAMME讓賽,1,0,1,1,0.0
SUISSE PROGRAMME讓賽,4,0,1,0,0.0
SUISSE PROGRAMME讓賽,9,0,1,0,0.0
SUISSE PROGRAMME讓賽,10,0,1,0,0.0
SUISSE PROGRAMME讓賽,12,0,1,0,0.0
THE HILLTOP IN THE VALLEY 1200米讓賽,8,1,1,1,100.0
THE HILLTOP IN THE VALLEY 1200米讓賽,11,0,1,0,0.0
TVB俠醫讓賽,12,0,1,0,0.0
TVB博愛歡樂傳萬家讓賽,3,0,1,1,0.0
TVB博愛歡樂傳萬家讓賽,6,0,1,0,0.0
TVB善心滿載仁愛堂讓賽,8,0,1,0,0.0
TVB慈善星輝仁濟夜讓賽,7,1,1,1,100.0
TVB慈善星輝仁濟夜讓賽,8,0,1,0,0.0
TVB慈善星輝仁濟夜讓賽,9,0,1,0,0.0
TVB星光熠熠耀保良讓賽,4,0,1,0,0.0
TVB星光熠熠耀保良讓賽,5,0,1,1,0.0
TVB歡樂滿東華讓賽,4,0,1,0,0.0
TVB萬眾一心耀東華讓賽,1,0,1,0,0.0
TVB金式森林讓賽,2,0,1,0,0.0
TVB金式森林讓賽,5,0,1,0,0.0
「愛賽馬」1400米讓賽,1,0,1,0,0.0
「愛賽馬」1400米讓賽,4,0,1,0,0.0
「愛賽馬」1400米讓賽,7,0,1,0,0.0
「愛賽馬」1400米讓賽,8,1,1,1,100.0
「與你並肩．昨天．今天．每一天」1600米讓賽,3,0,1,1,0.0
「與你並肩．昨天．今天．每一天」1600米讓賽,6,0,1,0,0.0
「與你並肩．昨天．今天．每一天」1600米讓賽,10,0,1,0,0.0
上海讓賽,1,0,1,0,0.0
上海讓賽,2,0,1,0,0.0
上海讓賽,3,0,1,0,0.0
上海讓賽,8,0,1,0,0.0
上環讓賽,12,0,1,0,0.0
中國香港欖球總會盃（讓賽）,10,0,1,1,0.0
中山讓賽,8,0,1,0,0.0
中山讓賽,11,0,1,0,0.0
中灣讓賽,1,0,1,0,0.0
中灣讓賽,2,0,1,0,0.0
中灣讓賽,6,1,1,1,100.0
中灣讓賽,8,0,1,0,0.0
中灣讓賽,9,0,1,0,0.0
中灣讓賽,10,0,1,0,0.0
中灣讓賽,11,0,1,0,0.0
中環讓賽,2,1,1,1,100.0
中環讓賽,3,0,1,1,0.0
中環讓賽,5,0,1,0,0.0
中環讓賽,8,0,1,0,0.0
中環讓賽,12,0,1,0,0.0
中華游樂會挑戰盃（讓賽）,3,1,1,1,100.0
中華游樂會挑戰盃（讓賽）,6,0,1,0,0.0
中華游樂會挑戰盃（讓賽）,8,0,1,0,0.0
中華游樂會挑戰盃（讓賽）,11,0,1,0,0.0
中銀人壽讓賽,1,0,1,1,0.0
中銀人壽讓賽,2,1,1,1,100.0
中銀人壽讓賽,4,0,1,0,0.0
中銀人壽讓賽,5,0,1,0,0.0
中銀人壽讓賽,6,0,1,0,0.0
中銀人壽讓賽,13,0,1,0,0.0
中銀香港BOC PAY讓賽,1,1,1,1,100.0
中銀香港BOC PAY讓賽,5,0,1,0,0.0
中銀香港BOC PAY讓賽,13,0,1,0,0.0
中銀香港BOC PAY讓賽,14,0,1,1,0.0
中銀香港「理財TRENDYTOO」讓賽,1,0,1,0,0.0
