Jockey,Trainer,Wins,Starts,Places,AvgOdds,WinRate,PlaceRate,TrainerDebutWinRate,TrainerDebutPlaceRate,JockeyDebutWinRate,JockeyDebutPlaceRate,WinEdgeVsMean,PlaceEdgeVsMean
鍾易禮,告東尼,0,33,2,37.12,0.0,6.06,4.17,13.89,1.56,7.81,-2.86,-4.79
霍宏聲,廖康銘,4,29,8,21.92,13.79,27.59,11.11,25.0,14.08,23.94,1.2,3.12
蔡明紹,巫偉傑,3,22,5,55.0,13.64,22.73,8.45,21.13,6.33,18.99,6.25,2.67
艾道拿,蔡約翰,1,21,7,22.55,4.76,33.33,6.76,24.32,5.19,23.38,-1.21,9.48
何澤堯,呂健威,3,20,5,22.31,15.0,25.0,8.45,26.76,10.0,26.67,5.78,-1.72
周俊樂,容天鵬,1,20,1,43.06,5.0,5.0,2.13,6.38,5.56,9.72,1.16,-3.05
梁家俊,羅富全,3,19,7,26.18,15.79,36.84,6.76,22.97,6.25,25.0,9.28,12.86
希威森,呂健威,1,19,3,43.23,5.26,15.79,8.45,26.76,4.88,15.85,-1.4,-5.52
布文,方嘉柏,5,18,8,22.71,27.78,44.44,9.72,23.61,12.0,36.0,16.92,14.63
希威森,韋達,0,17,2,62.58,0.0,11.76,1.45,15.94,4.88,15.85,-3.16,-4.14
艾道拿,告東尼,1,16,4,20.1,6.25,25.0,4.17,13.89,5.19,23.38,1.57,6.37
董明朗,蘇偉賢,2,15,2,57.79,13.33,13.33,13.64,22.73,5.71,5.71,3.65,-0.89
蔡明紹,韋達,1,15,4,33.13,6.67,26.67,1.45,15.94,6.33,18.99,2.78,9.21
艾兆禮,游達榮,0,15,2,30.53,0.0,13.33,6.0,16.0,4.0,24.0,-5.0,-6.67
梁家俊,巫偉傑,2,14,4,36.37,14.29,28.57,8.45,21.13,6.25,25.0,6.94,5.51
布文,蔡約翰,2,12,6,14.97,16.67,50.0,6.76,24.32,12.0,36.0,7.29,19.84
