RaceClass,Venue,Track,Distance,Wins,Starts,Places,AvgOdds,WinRate,PlaceRate
Class 4,沙田,Turf,1200,18,259,60,44.53,6.95,23.17
Class 4,沙田,Turf,1400,9,129,27,48.82,6.98,20.93
Class 4,跑馬地,Turf,1200,10,128,29,34.17,7.81,22.66
Class 3,沙田,Turf,1200,6,116,19,50.6,5.17,16.38
Class 3,沙田,Turf,1400,7,92,15,54.28,7.61,16.3
Class 4,沙田,Turf,1000,8,76,14,43.26,10.53,18.42
Class 3,跑馬地,Turf,1200,4,48,12,29.86,8.33,25.0
Class 3,沙田,Turf,1000,1,44,7,45.52,2.27,15.91
Class 4,跑馬地,Turf,1650,3,41,8,34.4,7.32,19.51
Class 3,跑馬地,Turf,1650,4,34,9,24.56,11.76,26.47
Class 4,跑馬地,Turf,1000,2,34,8,33.63,5.88,23.53
Class 3,沙田,Turf,1600,2,32,6,32.95,6.25,18.75
Class 4,沙田,AWT,1200,2,30,8,33.42,6.67,26.67
Class 5,沙田,Turf,1400,2,30,6,26.47,6.67,20.0
Class 3,沙田,AWT,1200,2,23,4,34.29,8.7,17.39
Class 3,跑馬地,Turf,1000,2,23,4,23.6,8.7,17.39
Class 5,跑馬地,Turf,1200,3,21,6,22.2,14.29,28.57
Class 5,沙田,Turf,1200,2,19,6,26.29,10.53,31.58
Class 4,沙田,AWT,1650,2,16,4,23.6,12.5,25.0
Class 5,沙田,Turf,1600,1,16,4,30.58,6.25,25.0
Class 2,沙田,Turf,1400,2,15,5,23.87,13.33,33.33
Class 5,跑馬地,Turf,1000,1,15,3,18.17,6.67,20.0
Griffin,沙田,Turf,1000,1,14,3,28.61,7.14,21.43
Class 2,跑馬地,Turf,1650,1,12,3,24.82,8.33,25.0
Class 2,沙田,Turf,1200,0,12,1,35.21,0.0,8.33
Class 4,沙田,Turf,1600,0,12,3,44.22,0.0,25.0
Class 4,跑馬地,Turf,1800,1,11,2,23.26,9.09,18.18
Class 1,沙田,Turf,1200,1,10,3,25.17,10.0,30.0
Class 5,跑馬地,Turf,1650,1,10,3,11.08,10.0,30.0
Group 1,沙田,Turf,1600,0,10,1,44.32,0.0,10.0
Group 1,沙田,Turf,2000,0,10,3,41.99,0.0,30.0
Group 1,沙田,Turf,2400,1,9,3,12.71,11.11,33.33
Group 2,沙田,Turf,1600,1,9,3,22.49,11.11,33.33
Class 2,沙田,AWT,1650,1,8,3,15.25,12.5,37.5
Griffin,沙田,Turf,1200,1,8,1,39.86,12.5,12.5
Group 1,沙田,Turf,1200,0,8,1,71.25,0.0,12.5
Group 2,沙田,Turf,1200,0,6,2,60.38,0.0,33.33
Class 4,沙田,Turf,1800,0,5,2,27.0,0.0,40.0
Class 5,沙田,AWT,1650,0,5,1,11.56,0.0,20.0
Class 5,跑馬地,Turf,1800,1,4,2,17.58,25.0,50.0
Group 3,沙田,Turf,1400,1,4,3,9.55,25.0,75.0
Class 2,沙田,Turf,1600,0,4,0,45.38,0.0,0.0
Class 2,跑馬地,Turf,1200,0,4,1,31.48,0.0,25.0
Group 3,沙田,Turf,1000,0,4,1,12.12,0.0,25.0
Group 3,沙田,Turf,1800,0,4,0,34.6,0.0,0.0
Class 3,沙田,AWT,1650,0,3,0,71.67,0.0,0.0
Class 5,沙田,AWT,1200,0,3,0,22.37,0.0,0.0
Class 2,沙田,Turf,2000,0,2,0,33.5,0.0,0.0
Class 3,跑馬地,Turf,1800,0,2,0,20.35,0.0,0.0
Group 1,沙田,AWT,1200,0,2,0,40.5,0.0,0.0
Group 2,沙田,Turf,2000,1,1,1,1.1,100.0,100.0
Class 2,沙田,Turf,1000,0,1,0,65.0,0.0,0.0
Class 2,沙田,Turf,1800,0,1,0,19.0,0.0,0.0
Class 3,沙田,Turf,1800,0,1,0,59.0,0.0,0.0
Class 3,沙田,Turf,2000,0,1,0,2.3,0.0,0.0
Class 3,跑馬地,Turf,2200,0,1,0,24.0,0.0,0.0
Class 4,沙田,Turf,2000,0,1,0,33.0,0.0,0.0
Class 5,沙田,Turf,1000,0,1,0,25.0,0.0,0.0
Group 1,跑馬地,Turf,1650,0,1,0,13.0,0.0,0.0
Unknown,沙田,Turf,1800,0,1,0,129.0,0.0,0.0
