Jockey,DebutWins,DebutStarts,DebutPlaces,DebutProfit,DebutAvgOdds,DebutWinRate,DebutPlaceRate,DebutROI,OverallWins,OverallStarts,OverallPlaces,OverallProfit,OverallAvgOdds,OverallWinRate,OverallPlaceRate,OverallROI,WinRateUplift,PlaceRateUplift,ROIUplift
潘頓,24,99,51,-12.200000000000001,5.52,24.24,51.52,-12.32,138,593,292,-103.1,5.55,23.27,49.24,-17.39,0.97,2.28,5.07
田泰安,6,94,22,13.600000000000001,29.14,6.38,23.4,14.47,44,634,164,-204.2,23.44,6.94,25.87,-32.21,-0.56,-2.47,46.68
希威森,4,82,13,-51.4,44.16,4.88,15.85,-62.68,29,494,109,-223.3,36.33,5.87,22.06,-45.2,-0.99,-6.21,-17.48
梁家俊,5,80,20,-12.0,36.66,6.25,25.0,-15.0,36,447,109,-106.2,33.89,8.05,24.38,-23.76,-1.8,0.62,8.76
蔡明紹,5,79,15,-7.200000000000003,41.35,6.33,18.99,-9.11,35,576,127,-188.7,32.82,6.08,22.05,-32.76,0.25,-3.06,23.65
艾道拿,4,77,18,-40.7,30.06,5.19,23.38,-52.86,47,511,146,-122.5,22.0,9.2,28.57,-23.97,-4.01,-5.19,-28.89
布文,9,75,27,-39.2,19.55,12.0,36.0,-52.27,72,594,199,-166.9,13.4,12.12,33.5,-28.1,-0.12,2.5,-24.17
艾兆禮,3,75,18,-41.1,29.79,4.0,24.0,-54.8,58,619,177,-188.9,23.89,9.37,28.59,-30.52,-5.37,-4.59,-24.28
周俊樂,4,72,7,-46.6,50.75,5.56,9.72,-64.72,23,373,65,-113.1,40.05,6.17,17.43,-30.32,-0.61,-7.71,-34.4
霍宏聲,10,71,17,92.10000000000001,28.8,14.08,23.94,129.72,47,481,122,40.900000000000006,24.71,9.77,25.36,8.5,4.31,-1.42,121.22
潘明輝,7,71,18,52.3,37.0,9.86,25.35,73.66,36,560,130,-158.7,30.2,6.43,23.21,-28.34,3.43,2.14,102.0
鍾易禮,1,64,5,-23.0,53.01,1.56,7.81,-35.94,20,446,71,-6.299999999999997,45.24,4.48,15.92,-1.41,-2.92,-8.11,-34.53
湯普新,0,61,6,-61.0,77.93,0.0,9.84,-100.0,9,380,52,-299.9,63.9,2.37,13.68,-78.92,-2.37,-3.84,-21.08
何澤堯,6,60,16,-29.2,26.35,10.0,26.67,-48.67,27,256,80,-46.1,21.17,10.55,31.25,-18.01,-0.55,-4.58,-30.66
班德禮,3,59,10,35.0,52.25,5.08,16.95,59.32,31,462,103,-96.6,31.59,6.71,22.29,-20.91,-1.63,-5.34,80.23
巴度,3,57,11,-38.7,39.75,5.26,19.3,-67.89,31,519,116,-312.2,27.89,5.97,22.35,-60.15,-0.71,-3.05,-7.74
楊明綸,2,55,9,-26.3,53.24,3.64,16.36,-47.82,20,434,72,-105.9,53.1,4.61,16.59,-24.4,-0.97,-0.23,-23.42
董明朗,2,35,2,-2.1000000000000014,75.83,5.71,5.71,-6.0,12,244,35,26.100000000000005,62.48,4.92,14.34,10.7,0.79,-8.63,-16.7
賀銘年,0,34,2,-34.0,56.16,0.0,5.88,-100.0,12,273,49,-50.5,40.07,4.4,17.95,-18.5,-4.4,-12.07,-81.5
黃智弘,2,29,4,-7.6,34.46,6.9,13.79,-26.21,25,300,76,-24.300000000000004,25.89,8.33,25.33,-8.1,-1.43,-11.54,-18.11
黃寶妮,0,23,1,-23.0,32.58,0.0,4.35,-100.0,18,210,35,-68.5,29.9,8.57,16.67,-32.62,-8.57,-12.32,-67.38
巫顯東,0,13,1,-13.0,83.38,0.0,7.69,-100.0,4,120,12,-40.2,81.69,3.33,10.0,-33.5,-3.33,-2.31,-66.5
奧爾民,1,12,2,49.0,54.08,8.33,16.67,408.33,13,236,47,-42.0,37.17,5.51,19.92,-17.8,2.82,-3.25,426.13
陳嘉熙,0,7,3,-7.0,13.47,0.0,42.86,-100.0,1,18,4,-15.9,22.52,5.56,22.22,-88.33,-5.56,20.64,-11.67
貝知仁,0,6,1,-6.0,43.0,0.0,16.67,-100.0,2,105,15,-78.0,38.68,1.9,14.29,-74.29,-1.9,2.38,-25.71
麥道朗,1,5,2,-3.9,12.12,20.0,40.0,-78.0,26,121,54,-23.0,8.58,21.49,44.63,-19.01,-1.49,-4.63,-58.99
麥當能,0,5,0,-5.0,88.4,0.0,0.0,-100.0,1,35,2,-21.0,72.0,2.86,5.71,-60.0,-2.86,-5.71,-40.0
莫雅,1,4,1,-2.3,38.48,25.0,25.0,-57.5,6,41,15,-20.2,10.51,14.63,36.59,-49.27,10.37,-11.59,-8.23
薛恩,0,4,0,-4.0,29.25,0.0,0.0,-100.0,2,27,7,-19.3,27.12,7.41,25.93,-71.48,-7.41,-25.93,-28.52
馬昆,0,4,1,-4.0,38.0,0.0,25.0,-100.0,2,24,3,1.3000000000000007,32.9,8.33,12.5,5.42,-8.33,12.5,-105.42
莫雷拉,0,4,3,-4.0,12.7,0.0,75.0,-100.0,5,31,16,-11.0,11.37,16.13,51.61,-35.48,-16.13,23.39,-64.52
川田將雅,0,3,1,-3.0,22.1,0.0,33.33,-100.0,0,9,1,-9.0,29.36,0.0,11.11,-100.0,0.0,22.22,0.0
