Distance,Draw,Wins,Starts,Places,WinRate
1000,1,8,76,17,10.5
1000,10,5,66,18,7.6
1000,11,3,62,12,4.8
1000,12,2,58,10,3.4
1000,13,3,28,11,10.7
1000,14,2,25,6,8.0
1000,2,6,76,19,7.9
1000,3,6,76,19,7.9
1000,4,9,77,27,11.7
1000,5,8,76,22,10.5
1000,6,9,75,16,12.0
1000,7,7,75,21,9.3
1000,8,7,74,20,9.5
1000,9,2,70,13,2.9
1200,1,41,339,127,12.1
1200,10,23,318,59,7.2
1200,11,14,304,49,4.6
1200,12,16,283,51,5.7
1200,13,2,61,8,3.3
1200,14,2,54,10,3.7
1200,2,44,335,110,13.1
1200,3,22,336,102,6.5
1200,4,47,339,108,13.9
1200,5,33,337,91,9.8
1200,6,27,338,88,8.0
1200,7,24,338,73,7.1
1200,8,23,336,70,6.8
1200,9,21,330,73,6.4
1400,1,14,145,43,9.7
1400,10,13,136,33,9.6
1400,11,9,134,27,6.7
1400,12,8,127,20,6.3
1400,13,7,116,18,6.0
1400,14,3,104,17,2.9
1400,2,18,145,47,12.4
1400,3,15,145,39,10.3
1400,4,10,145,36,6.9
1400,5,11,144,30,7.6
1400,6,8,143,32,5.6
1400,7,12,145,34,8.3
1400,8,11,144,36,7.6
1400,9,6,140,23,4.3
1600,1,7,63,18,11.1
1600,10,2,54,13,3.7
1600,11,4,54,9,7.4
1600,12,3,51,11,5.9
1600,13,2,49,7,4.1
1600,14,3,44,6,6.8
1600,2,7,63,18,11.1
1600,3,4,63,14,6.3
1600,4,8,63,21,12.7
1600,5,6,63,13,9.5
1600,6,4,63,18,6.3
1600,7,1,63,12,1.6
1600,8,5,60,14,8.3
1600,9,7,58,16,12.1
1650,1,13,131,39,9.9
1650,10,10,123,27,8.1
1650,11,6,115,20,5.2
1650,12,8,102,18,7.8
1650,13,1,23,4,4.3
1650,14,1,17,4,5.9
1650,2,13,132,36,9.8
1650,3,13,131,42,9.9
1650,4,10,132,32,7.6
1650,5,10,132,38,7.6
1650,6,11,131,33,8.4
1650,7,16,131,41,12.2
1650,8,9,131,32,6.9
1650,9,11,128,30,8.6
1800,1,3,57,11,5.3
1800,10,5,55,18,9.1
1800,11,3,55,14,5.5
1800,12,2,46,11,4.3
1800,13,4,20,9,20.0
1800,14,0,17,2,0.0
1800,2,3,57,9,5.3
1800,3,6,57,17,10.5
1800,4,2,57,13,3.5
1800,5,5,57,13,8.8
1800,6,3,57,13,5.3
1800,7,8,57,16,14.0
1800,8,6,57,13,10.5
1800,9,7,57,12,12.3
2000,1,3,20,7,15.0
2000,10,1,19,2,5.3
2000,11,0,16,1,0.0
2000,12,0,12,3,0.0
2000,13,0,10,2,0.0
2000,14,0,8,2,0.0
2000,2,4,20,6,20.0
2000,3,3,20,7,15.0
2000,4,2,20,8,10.0
2000,5,1,20,3,5.0
2000,6,1,20,8,5.0
2000,7,1,20,4,5.0
2000,8,2,20,5,10.0
2000,9,2,20,2,10.0
2200,1,3,11,4,27.3
2200,10,1,8,1,12.5
2200,11,0,6,1,0.0
2200,12,0,4,1,0.0
2200,2,0,11,1,0.0
2200,3,2,11,6,18.2
2200,4,0,11,3,0.0
2200,5,0,11,1,0.0
2200,6,1,11,5,9.1
2200,7,2,11,5,18.2
2200,8,1,11,3,9.1
2200,9,1,10,3,10.0
2400,1,0,3,0,0.0
2400,10,0,2,0,0.0
2400,11,0,1,0,0.0
2400,12,0,1,0,0.0
2400,13,0,1,1,0.0
2400,2,1,3,1,33.3
2400,3,1,3,2,33.3
2400,4,0,3,1,0.0
2400,5,1,3,1,33.3
2400,6,0,3,1,0.0
2400,7,0,2,1,0.0
2400,8,0,2,1,0.0
2400,9,0,2,0,0.0
