HorseID,Horse,RunStyle,Wins,Starts,Places,AvgOdds,WinRate,PlaceRate
E061,人和家興(E061),Frontrunner,2,16,6,25.15,12.5,37.5
E184,有鴻利(E184),Frontrunner,1,15,3,34.21,6.67,20.0
J053,久久為尊(J053),Closer,1,15,5,10.95,6.67,33.33
J298,智勇名駒(J298),Frontrunner,3,14,8,6.84,21.43,57.14
H087,獎星(H087),Closer,1,14,4,15.1,7.14,28.57
H037,有財有勢(H037),Closer,1,13,2,14.98,7.69,15.38
E459,美麗邂逅(E459),Frontrunner,0,13,4,17.03,0.0,30.77
G368,爆熱(G368),Closer,0,13,2,11.55,0.0,15.38
J037,銳一(J037),Closer,0,13,3,19.12,0.0,23.08
J082,年少多好(J082),Frontrunner,0,13,7,8.25,0.0,53.85
J331,幸運同行(J331),Closer,0,13,1,27.26,0.0,7.69
H486,竣誠駒(H486),Frontrunner,4,12,5,10.78,33.33,41.67
H016,天時明駒(H016),Frontrunner,3,12,8,7.43,25.0,66.67
H405,勝萬金(H405),Frontrunner,3,12,7,7.11,25.0,58.33
J127,太陽勇士(J127),Frontrunner,3,12,8,7.13,25.0,66.67
D075,中華威威(D075),Frontrunner,2,12,3,38.97,16.67,25.0
D090,上校(D090),Frontrunner,2,12,2,25.9,16.67,16.67
E432,胡椒軍曹(E432),Midpack,2,12,2,49.53,16.67,16.67
H311,輝煌精英(H311),Frontrunner,2,12,6,17.49,16.67,50.0
H436,鄉村樂韻(H436),Closer,2,12,6,9.07,16.67,50.0
J244,英勇快車(J244),Closer,2,12,6,15.84,16.67,50.0
G277,極速滿貫(G277),Closer,1,12,1,53.25,8.33,8.33
H110,紅愛舍(H110),Midpack,1,12,1,23.5,8.33,8.33
H439,健康快車(H439),Closer,1,12,7,5.35,8.33,58.33
J215,光明傳承(J215),Closer,1,12,1,32.0,8.33,8.33
J218,添喜運(J218),Frontrunner,1,12,2,14.35,8.33,16.67
J531,手到齊來(J531),Frontrunner,1,12,3,42.43,8.33,25.0
J144,夢幻駿駒(J144),Closer,0,12,4,8.97,0.0,33.33
J252,駿彩飛馳(J252),Closer,0,12,3,27.72,0.0,25.0
J267,奮鬥心(J267),Closer,0,12,3,36.17,0.0,25.0
H155,愛馬善(H155),Frontrunner,4,11,8,13.95,36.36,72.73
E321,逆市奇爸(E321),Closer,2,11,3,30.04,18.18,27.27
G166,天足貓(G166),Frontrunner,2,11,5,18.3,18.18,45.45
H203,添開心(H203),Midpack,2,11,3,12.18,18.18,27.27
J181,祥勝力駒(J181),Closer,2,11,2,35.54,18.18,18.18
J280,哈羅威(J280),Frontrunner,2,11,7,6.64,18.18,63.64
D359,冠寶駒(D359),Frontrunner,1,11,5,14.49,9.09,45.45
G463,年年友福(G463),Closer,1,11,4,18.18,9.09,36.36
H161,安泰(H161),Closer,1,11,3,17.58,9.09,27.27
J146,精明選擇(J146),Frontrunner,1,11,4,7.1,9.09,36.36
J400,競駿先鋒(J400),Frontrunner,1,11,4,14.16,9.09,36.36
J468,燭光晚餐(J468),Frontrunner,1,11,3,20.6,9.09,27.27
K004,豐辰(K004),Closer,1,11,3,86.94,9.09,27.27
E471,風繼續吹(E471),Closer,0,11,2,19.11,0.0,18.18
G095,駟跑得(G095),Closer,0,11,1,14.64,0.0,9.09
G110,喜旺駒(G110),Closer,0,11,1,10.76,0.0,9.09
G195,連連歡呼(G195),Closer,0,11,5,7.87,0.0,45.45
G213,魅力寶駒(G213),Midpack,0,11,5,14.65,0.0,45.45
G354,歡喜福星(G354),Frontrunner,0,11,4,12.15,0.0,36.36
H070,建測羣英(H070),Frontrunner,0,11,4,19.29,0.0,36.36
H148,萬事靚(H148),Closer,0,11,1,49.7,0.0,9.09
H237,精算謀略(H237),Closer,0,11,1,23.6,0.0,9.09
J111,傳承者(J111),Closer,0,11,0,25.19,0.0,0.0
J138,爭金奪冠(J138),Closer,0,11,3,12.45,0.0,27.27
J304,獵寶勤(J304),Frontrunner,0,11,4,11.86,0.0,36.36
J200,天威(J200),Midpack,4,10,5,9.04,40.0,50.0
G266,銀進(G266),Closer,3,10,4,17.0,30.0,40.0
G065,連連有盈(G065),Frontrunner,2,10,5,12.4,20.0,50.0
H321,千杯敬典(H321),Frontrunner,2,10,3,19.14,20.0,30.0
J026,遨遊武士(J026),Frontrunner,2,10,5,7.15,20.0,50.0
J150,星火燎原(J150),Midpack,2,10,6,11.79,20.0,60.0
J245,和平波(J245),Frontrunner,2,10,6,10.16,20.0,60.0
J333,魔術控制(J333),Frontrunner,2,10,6,29.07,20.0,60.0
D482,電訊巴打(D482),Frontrunner,1,10,4,43.0,10.0,40.0
E448,皇金風速(E448),Frontrunner,1,10,3,13.13,10.0,30.0
H289,唯美主義(H289),Closer,1,10,4,16.43,10.0,40.0
H379,怡昌精神(H379),Closer,1,10,4,14.01,10.0,40.0
J087,辣得金(J087),Frontrunner,1,10,3,13.37,10.0,30.0
J232,天天耍樂(J232),Frontrunner,1,10,4,5.47,10.0,40.0
K082,米奇(K082),Closer,1,10,2,10.36,10.0,20.0
E273,波爾多(E273),Closer,0,10,0,14.78,0.0,0.0
G476,浪漫老撾(G476),Closer,0,10,3,27.35,0.0,30.0
G477,美麗多盈(G477),Closer,0,10,0,64.7,0.0,0.0
H296,八駿笑昇(H296),Closer,0,10,2,20.58,0.0,20.0
H429,手到再來(H429),Frontrunner,0,10,0,19.4,0.0,0.0
J158,安康萬里(J158),Closer,0,10,2,16.25,0.0,20.0
J203,勝意(J203),Closer,0,10,4,6.7,0.0,40.0
J230,九因歌(J230),Closer,0,10,0,77.2,0.0,0.0
J236,奮鬥輝煌(J236),Closer,0,10,3,19.39,0.0,30.0
J271,幻影旋風(J271),Closer,0,10,1,103.3,0.0,10.0
J338,幸運傳承(J338),Closer,0,10,0,22.9,0.0,0.0
J382,友盈勇者(J382),Closer,0,10,0,100.9,0.0,0.0
J409,完美演繹(J409),Closer,0,10,0,64.5,0.0,0.0
K017,雷神太保(K017),Closer,0,10,1,29.26,0.0,10.0
K056,志滿同行(K056),Closer,0,10,2,30.23,0.0,20.0
H358,青春力量(H358),Midpack,3,9,4,10.7,33.33,44.44
H401,奔妙星(H401),Closer,3,9,3,8.72,33.33,33.33
E336,不可擋(E336),Frontrunner,2,9,3,6.57,22.22,33.33
G170,黑桃火箭(G170),Closer,2,9,5,14.66,22.22,55.56
H213,富喜來(H213),Closer,2,9,3,16.29,22.22,33.33
H408,合夥奔馳(H408),Frontrunner,2,9,5,22.1,22.22,55.56
J133,德心知遇(J133),Midpack,2,9,5,11.08,22.22,55.56
J316,天天同樂(J316),Frontrunner,2,9,7,4.93,22.22,77.78
J534,風再起時(J534),Midpack,2,9,3,23.63,22.22,33.33
E028,赤馬雄風(E028),Midpack,1,9,3,19.18,11.11,33.33
E058,美麗同享(E058),Closer,1,9,3,29.14,11.11,33.33
E157,好運寶馬(E157),Closer,1,9,2,26.17,11.11,22.22
E434,快搏(E434),Closer,1,9,1,22.08,11.11,11.11
E435,佳運發(E435),Frontrunner,1,9,2,38.41,11.11,22.22
E461,又龍串鳳(E461),Frontrunner,1,9,5,33.71,11.11,55.56
E496,管之友(E496),Closer,1,9,6,14.39,11.11,66.67
G209,自力更生(G209),Closer,1,9,2,33.0,11.11,22.22
G339,烈火駿馬(G339),Closer,1,9,2,15.24,11.11,22.22
H246,包裝伯樂(H246),Frontrunner,1,9,4,8.02,11.11,44.44
H433,鐵金剛(H433),Closer,1,9,5,8.78,11.11,55.56
J131,加州活力(J131),Closer,1,9,3,12.18,11.11,33.33
J227,追風(J227),Closer,1,9,4,13.07,11.11,44.44
J311,開心樂園(J311),Frontrunner,1,9,3,9.51,11.11,33.33
J330,智跑得(J330),Closer,1,9,2,14.04,11.11,22.22
J332,電訊驕陽(J332),Midpack,1,9,4,9.11,11.11,44.44
J339,昭易搵(J339),Closer,1,9,6,6.54,11.11,66.67
J451,威武年代(J451),Frontrunner,1,9,4,20.97,11.11,44.44
K016,開心五月(K016),Frontrunner,1,9,3,29.89,11.11,33.33
E281,前風(E281),Closer,0,9,2,19.34,0.0,22.22
E447,實力派(E447),Closer,0,9,3,22.23,0.0,33.33
G195,連連歡呼(G195),Midpack,0,9,3,5.98,0.0,33.33
G201,鑽飾翱翔(G201),Frontrunner,0,9,3,8.1,0.0,33.33
G213,魅力寶駒(G213),Closer,0,9,0,24.72,0.0,0.0
G265,小霸王(G265),Closer,0,9,0,51.67,0.0,0.0
G292,多利神駒(G292),Closer,0,9,1,27.53,0.0,11.11
G312,架勢奇爸(G312),Closer,0,9,2,16.11,0.0,22.22
G380,晴王(G380),Closer,0,9,0,33.89,0.0,0.0
G451,加州得力(G451),Closer,0,9,2,20.93,0.0,22.22
G467,雪勇神駒(G467),Closer,0,9,1,15.42,0.0,11.11
H027,武林至尊(H027),Closer,0,9,0,37.33,0.0,0.0
H066,美麗歡聲(H066),Midpack,0,9,4,12.74,0.0,44.44
H134,精益大師(H134),Frontrunner,0,9,3,21.64,0.0,33.33
H192,港林福將(H192),Frontrunner,0,9,3,12.8,0.0,33.33
H326,江南盛(H326),Closer,0,9,0,35.44,0.0,0.0
H459,星運少爵(H459),Closer,0,9,0,16.1,0.0,0.0
H466,黑白(H466),Closer,0,9,1,16.81,0.0,11.11
J058,領創動力(J058),Midpack,0,9,2,9.9,0.0,22.22
J182,齊歡最樂(J182),Midpack,0,9,1,26.57,0.0,11.11
J214,好好紛(J214),Frontrunner,0,9,1,18.37,0.0,11.11
J254,好瑪威威(J254),Closer,0,9,0,25.44,0.0,0.0
J352,質數(J352),Closer,0,9,0,68.56,0.0,0.0
J362,比特星(J362),Midpack,0,9,1,44.44,0.0,11.11
J366,風采人生(J366),Closer,0,9,0,46.48,0.0,0.0
J434,歌舞團(J434),Closer,0,9,0,87.44,0.0,0.0
J453,樂矚心機(J453),Closer,0,9,0,127.33,0.0,0.0
J467,心雄雄(J467),Closer,0,9,0,78.11,0.0,0.0
H435,十二神將(H435),Frontrunner,3,8,4,27.02,37.5,50.0
J066,晨曦儷人(J066),Frontrunner,3,8,5,6.09,37.5,62.5
J317,騰龍四海(J317),Frontrunner,3,8,6,6.59,37.5,75.0
K020,有目共賞(K020),Closer,3,8,4,11.39,37.5,50.0
G333,川河首駒(G333),Closer,2,8,3,23.9,25.0,37.5
