RaceClass,Venue,Track,Distance,JockeyChanged,Wins,Starts,Places,AvgOdds,WinRate,PlaceRate,Scope
Class 4,跑馬地,Turf,1200,True,47,526,139,30.64,8.94,26.43,ClassVenueDistance
Class 4,沙田,Turf,1400,True,28,479,92,48.84,5.85,19.21,ClassVenueDistance
Class 4,跑馬地,Turf,1200,False,29,358,90,24.81,8.1,25.14,ClassVenueDistance
Class 4,沙田,Turf,1200,True,20,353,63,48.09,5.67,17.85,ClassVenueDistance
Class 4,沙田,Turf,1400,False,31,325,85,34.22,9.54,26.15,ClassVenueDistance
Class 4,跑馬地,Turf,1650,True,29,323,79,30.23,8.98,24.46,ClassVenueDistance
Class 4,沙田,Turf,1200,False,32,283,87,29.4,11.31,30.74,ClassVenueDistance
Class 3,沙田,Turf,1400,True,13,247,56,47.67,5.26,22.67,ClassVenueDistance
Class 4,跑馬地,Turf,1650,False,19,241,66,20.99,7.88,27.39,ClassVenueDistance
Class 3,跑馬地,Turf,1200,True,19,222,53,30.31,8.56,23.87,ClassVenueDistance
Class 3,沙田,Turf,1200,True,17,218,53,42.37,7.8,24.31,ClassVenueDistance
Class 3,沙田,Turf,1400,False,21,215,52,34.84,9.77,24.19,ClassVenueDistance
Class 3,跑馬地,Turf,1200,False,17,191,55,20.18,8.9,28.8,ClassVenueDistance
Class 3,沙田,Turf,1200,False,19,178,54,30.92,10.67,30.34,ClassVenueDistance
Class 3,跑馬地,Turf,1650,True,14,154,42,25.57,9.09,27.27,ClassVenueDistance
Class 4,沙田,Turf,1600,True,13,154,32,36.92,8.44,20.78,ClassVenueDistance
Class 5,沙田,Turf,1400,True,11,151,31,28.65,7.28,20.53,ClassVenueDistance
Class 3,沙田,Turf,1600,True,5,134,27,40.03,3.73,20.15,ClassVenueDistance
Class 4,沙田,AWT,1200,True,9,118,29,26.57,7.63,24.58,ClassVenueDistance
Class 3,跑馬地,Turf,1650,False,8,110,27,17.76,7.27,24.55,ClassVenueDistance
Class 5,跑馬地,Turf,1200,True,8,107,26,22.17,7.48,24.3,ClassVenueDistance
Class 4,沙田,AWT,1650,True,3,98,16,33.45,3.06,16.33,ClassVenueDistance
Class 5,跑馬地,Turf,1650,True,8,97,22,23.0,8.25,22.68,ClassVenueDistance
Class 3,沙田,Turf,1600,False,12,96,24,22.05,12.5,25.0,ClassVenueDistance
Class 4,沙田,AWT,1650,False,11,93,28,20.12,11.83,30.11,ClassVenueDistance
Class 4,沙田,Turf,1600,False,6,93,23,30.65,6.45,24.73,ClassVenueDistance
Class 4,沙田,Turf,1000,True,4,88,20,41.75,4.55,22.73,ClassVenueDistance
Class 5,沙田,AWT,1200,True,7,86,22,23.14,8.14,25.58,ClassVenueDistance
Class 3,沙田,AWT,1650,True,8,80,22,23.08,10.0,27.5,ClassVenueDistance
Class 4,跑馬地,Turf,1000,True,7,75,17,19.96,9.33,22.67,ClassVenueDistance
Class 5,沙田,Turf,1400,False,6,75,20,27.4,8.0,26.67,ClassVenueDistance
Class 2,沙田,Turf,1400,True,8,74,20,29.04,10.81,27.03,ClassVenueDistance
Class 3,沙田,AWT,1200,True,7,74,20,26.03,9.46,27.03,ClassVenueDistance
Class 5,沙田,Turf,1200,True,6,73,19,23.51,8.22,26.03,ClassVenueDistance
Class 3,沙田,Turf,1000,True,6,72,16,49.43,8.33,22.22,ClassVenueDistance
Class 5,跑馬地,Turf,1200,False,6,72,19,18.31,8.33,26.39,ClassVenueDistance
Class 3,跑馬地,Turf,1800,True,8,68,18,21.59,11.76,26.47,ClassVenueDistance
Class 4,沙田,AWT,1200,False,7,68,17,16.98,10.29,25.0,ClassVenueDistance
Class 5,沙田,Turf,1600,True,5,68,14,23.39,7.35,20.59,ClassVenueDistance
Class 4,跑馬地,Turf,1800,True,8,67,16,25.62,11.94,23.88,ClassVenueDistance
Class 5,跑馬地,Turf,1000,True,5,62,16,19.91,8.06,25.81,ClassVenueDistance
Class 3,沙田,Turf,1000,False,6,60,16,22.01,10.0,26.67,ClassVenueDistance
Class 3,跑馬地,Turf,1000,True,4,60,14,27.25,6.67,23.33,ClassVenueDistance
Class 4,沙田,Turf,1800,True,4,59,10,33.5,6.78,16.95,ClassVenueDistance
Class 2,沙田,Turf,1200,True,7,55,18,37.29,12.73,32.73,ClassVenueDistance
Class 4,沙田,Turf,1000,False,4,54,14,32.33,7.41,25.93,ClassVenueDistance
Class 5,跑馬地,Turf,1650,False,5,50,17,13.22,10.0,34.0,ClassVenueDistance
Class 3,沙田,Turf,1800,True,4,50,9,40.88,8.0,18.0,ClassVenueDistance
Class 3,跑馬地,Turf,1000,False,6,48,18,21.83,12.5,37.5,ClassVenueDistance
Class 4,跑馬地,Turf,1000,False,4,46,14,25.83,8.7,30.43,ClassVenueDistance
Class 3,沙田,AWT,1200,False,3,46,12,24.53,6.52,26.09,ClassVenueDistance
Class 3,跑馬地,Turf,1800,False,2,45,12,19.81,4.44,26.67,ClassVenueDistance
Class 2,沙田,Turf,1200,False,3,41,11,24.34,7.32,26.83,ClassVenueDistance
Class 4,跑馬地,Turf,1800,False,1,41,12,15.66,2.44,29.27,ClassVenueDistance
Class 4,沙田,Turf,2000,True,4,40,11,28.82,10.0,27.5,ClassVenueDistance
Class 5,沙田,AWT,1200,False,4,40,12,14.28,10.0,30.0,ClassVenueDistance
Class 2,沙田,Turf,1600,True,3,40,12,23.2,7.5,30.0,ClassVenueDistance
Class 3,沙田,Turf,2000,True,3,40,8,32.38,7.5,20.0,ClassVenueDistance
Class 5,跑馬地,Turf,1000,False,4,39,11,16.76,10.26,28.21,ClassVenueDistance
Class 5,沙田,AWT,1650,True,3,39,9,25.86,7.69,23.08,ClassVenueDistance
Class 2,沙田,Turf,1400,False,2,36,11,29.49,5.56,30.56,ClassVenueDistance
Class 5,跑馬地,Turf,1800,True,3,35,11,17.87,8.57,31.43,ClassVenueDistance
Class 5,沙田,Turf,1200,False,2,35,5,25.06,5.71,14.29,ClassVenueDistance
Class 5,沙田,Turf,1600,False,3,34,9,17.13,8.82,26.47,ClassVenueDistance
Class 3,沙田,AWT,1650,False,1,33,5,26.48,3.03,15.15,ClassVenueDistance
Class 4,沙田,Turf,1800,False,3,30,9,21.23,10.0,30.0,ClassVenueDistance
Class 4,跑馬地,Turf,2200,True,3,30,7,22.12,10.0,23.33,ClassVenueDistance
Class 2,跑馬地,Turf,1200,True,2,30,8,19.59,6.67,26.67,ClassVenueDistance
Class 3,沙田,Turf,1800,False,2,30,9,22.51,6.67,30.0,ClassVenueDistance
Class 3,沙田,Turf,2000,False,3,28,10,19.54,10.71,35.71,ClassVenueDistance
Class 5,沙田,Turf,1800,True,3,28,7,23.87,10.71,25.0,ClassVenueDistance
Class 4,跑馬地,Turf,2200,False,2,28,9,14.26,7.14,32.14,ClassVenueDistance
Class 2,沙田,Turf,1600,False,4,27,9,22.37,14.81,33.33,ClassVenueDistance
Class 2,跑馬地,Turf,1200,False,3,26,7,22.16,11.54,26.92,ClassVenueDistance
Class 4,沙田,Turf,2000,False,1,26,4,26.7,3.85,15.38,ClassVenueDistance
Class 5,跑馬地,Turf,2200,True,1,26,7,19.0,3.85,26.92,ClassVenueDistance
Class 4,沙田,AWT,1800,True,3,22,4,34.64,13.64,18.18,ClassVenueDistance
Group 1,跑馬地,Turf,1650,True,2,22,6,17.19,9.09,27.27,ClassVenueDistance
Class 5,沙田,Turf,1800,False,1,22,5,12.68,4.55,22.73,ClassVenueDistance
Group 3,沙田,Turf,1800,True,3,21,8,31.08,14.29,38.1,ClassVenueDistance
Class 2,沙田,AWT,1200,True,2,20,6,18.14,10.0,30.0,ClassVenueDistance
Class 2,跑馬地,Turf,1650,True,2,20,7,17.9,10.0,35.0,ClassVenueDistance
Class 5,沙田,AWT,1800,True,2,20,5,27.1,10.0,25.0,ClassVenueDistance
Class 4,沙田,AWT,1800,False,0,20,5,26.24,0.0,25.0,ClassVenueDistance
Class 5,跑馬地,Turf,1800,False,1,18,2,21.43,5.56,11.11,ClassVenueDistance
Group 1,沙田,Turf,1200,False,3,17,7,60.86,17.65,41.18,ClassVenueDistance
Class 5,沙田,AWT,1650,False,2,17,5,12.22,11.76,29.41,ClassVenueDistance
Group 1,沙田,Turf,1600,False,2,17,3,44.05,11.76,17.65,ClassVenueDistance
Group 3,沙田,Turf,1400,True,2,17,3,25.23,11.76,17.65,ClassVenueDistance
Class 2,沙田,Turf,1800,True,2,16,4,30.59,12.5,25.0,ClassVenueDistance
Class 2,跑馬地,Turf,1650,False,2,16,5,11.66,12.5,31.25,ClassVenueDistance
Class 5,沙田,Turf,2000,False,2,16,4,21.17,12.5,25.0,ClassVenueDistance
Group 2,沙田,Turf,1200,False,2,16,4,73.05,12.5,25.0,ClassVenueDistance
Class 5,沙田,AWT,1800,False,1,16,4,21.31,6.25,25.0,ClassVenueDistance
Class 2,跑馬地,Turf,1800,True,2,15,4,25.31,13.33,26.67,ClassVenueDistance
Class 2,沙田,AWT,1650,True,1,15,3,16.23,6.67,20.0,ClassVenueDistance
Group 1,沙田,Turf,2000,False,3,14,5,32.23,21.43,35.71,ClassVenueDistance
Group 3,沙田,Turf,1800,False,0,14,1,33.09,0.0,7.14,ClassVenueDistance
Class 5,跑馬地,Turf,2200,False,3,13,5,13.96,23.08,38.46,ClassVenueDistance
Class 2,沙田,Turf,1000,False,2,13,5,28.91,15.38,38.46,ClassVenueDistance
Class 2,沙田,Turf,1000,True,1,13,4,24.35,7.69,30.77,ClassVenueDistance
Griffin,沙田,Turf,1000,False,2,12,6,32.53,16.67,50.0,ClassVenueDistance
Group 2,沙田,Turf,1600,True,2,12,5,32.0,16.67,41.67,ClassVenueDistance
Class 1,沙田,Turf,1200,True,1,12,5,13.2,8.33,41.67,ClassVenueDistance
Group 1,跑馬地,Turf,1000,True,1,12,3,17.38,8.33,25.0,ClassVenueDistance
Group 1,跑馬地,Turf,1200,True,1,12,3,15.32,8.33,25.0,ClassVenueDistance
Class 5,沙田,Turf,2000,True,0,12,2,42.13,0.0,16.67,ClassVenueDistance
Class 2,跑馬地,Turf,1000,True,2,11,3,17.26,18.18,27.27,ClassVenueDistance
Class 2,沙田,AWT,1650,False,1,11,3,13.08,9.09,27.27,ClassVenueDistance
Class 2,沙田,Turf,2000,False,1,11,3,24.5,9.09,27.27,ClassVenueDistance
Class 2,沙田,Turf,2000,True,1,11,3,25.87,9.09,27.27,ClassVenueDistance
