Jockey,Trainer,Wins,Starts,Places,Profit,AvgOdds,WinRate,PlaceRate,ROI
鍾易禮,告東尼,12,229,43,-68.4,34.73,5.24,18.78,-29.87
霍宏聲,廖康銘,12,149,41,-41.4,20.39,8.05,27.52,-27.79
艾道拿,蔡約翰,17,144,57,-30.8,16.62,11.81,39.58,-21.39
蔡明紹,巫偉傑,10,137,32,11.699999999999998,33.95,7.3,23.36,8.54
布文,方嘉柏,18,113,42,-8.4,11.71,15.93,37.17,-7.43
艾道拿,告東尼,10,105,26,-1.6000000000000014,25.75,9.52,24.76,-1.52
周俊樂,容天鵬,3,103,10,-59.1,45.3,2.91,9.71,-57.38
希威森,呂健威,8,101,24,-45.1,39.01,7.92,23.76,-44.65
黃智弘,方嘉柏,11,100,26,-7.200000000000001,19.6,11.0,26.0,-7.2
艾兆禮,伍鵬志,11,95,24,5.700000000000001,24.5,11.58,25.26,6.0
董明朗,蘇偉賢,7,90,15,100.60000000000001,51.65,7.78,16.67,111.78
布文,蔡約翰,11,85,34,34.4,15.85,12.94,40.0,40.47
潘明輝,賀賢,5,84,16,-37.2,34.48,5.95,19.05,-44.29
梁家俊,羅富全,7,82,20,-15.600000000000001,25.57,8.54,24.39,-19.02
希威森,廖康銘,6,81,19,-19.799999999999997,31.54,7.41,23.46,-24.44
湯普新,大衛希斯,0,81,7,-81.0,60.13,0.0,8.64,-100.0
梁家俊,巫偉傑,10,80,23,9.999999999999996,33.71,12.5,28.75,12.5
希威森,韋達,5,79,18,-38.9,46.85,6.33,22.78,-49.24
蔡明紹,告東尼,4,79,19,-51.3,25.75,5.06,24.05,-64.94
田泰安,游達榮,7,77,23,71.7,27.04,9.09,29.87,93.12
潘頓,大衛希斯,18,74,40,-34.2,5.57,24.32,54.05,-46.22
田泰安,賀賢,3,74,16,-59.0,23.67,4.05,21.62,-79.73
班德禮,韋達,4,73,15,2.3999999999999986,37.41,5.48,20.55,3.29
巴度,蔡約翰,2,72,10,-65.7,25.89,2.78,13.89,-91.25
田泰安,大衛希斯,8,71,27,-40.6,13.23,11.27,38.03,-57.18
艾兆禮,蔡約翰,8,67,21,-0.20000000000000018,23.82,11.94,31.34,-0.3
班德禮,丁冠豪,4,67,12,22.0,29.89,5.97,17.91,32.84
潘明輝,伍鵬志,3,66,16,-34.5,26.94,4.55,24.24,-52.27
楊明綸,大衛希斯,2,66,6,-56.1,53.34,3.03,9.09,-85.0
何澤堯,呂健威,6,63,12,-5.600000000000001,24.89,9.52,19.05,-8.89
潘明輝,姚本輝,8,62,18,48.4,24.28,12.9,29.03,78.06
艾兆禮,游達榮,4,62,15,-31.8,25.48,6.45,24.19,-51.29
楊明綸,鄭俊偉,2,62,10,-47.7,59.06,3.23,16.13,-76.94
巴度,告東尼,6,61,18,-18.3,28.61,9.84,29.51,-30.0
潘頓,蔡約翰,15,58,30,-8.899999999999999,4.92,25.86,51.72,-15.34
潘頓,伍鵬志,8,58,26,-29.6,5.65,13.79,44.83,-51.03
楊明綸,蘇偉賢,2,58,14,-32.8,40.38,3.45,24.14,-56.55
