RaceClass,Venue,Track,Distance,RestBucket,Wins,Starts,Places,AvgOdds,WinRate,PlaceRate,Scope
Class 4,跑馬地,Turf,1200,15-28d,41,496,135,25.81,8.27,27.22,ClassVenueDistance
Class 4,沙田,Turf,1400,15-28d,37,434,105,40.93,8.53,24.19,ClassVenueDistance
Class 4,沙田,Turf,1200,15-28d,31,333,89,36.55,9.31,26.73,ClassVenueDistance
Class 4,跑馬地,Turf,1650,15-28d,33,314,91,25.54,10.51,28.98,ClassVenueDistance
Class 3,沙田,Turf,1400,15-28d,20,260,57,41.12,7.69,21.92,ClassVenueDistance
Class 3,沙田,Turf,1200,15-28d,16,224,62,33.98,7.14,27.68,ClassVenueDistance
Class 3,跑馬地,Turf,1200,15-28d,22,221,61,27.1,9.95,27.6,ClassVenueDistance
Class 4,沙田,Turf,1400,29-56d,13,208,45,44.47,6.25,21.63,ClassVenueDistance
Class 4,跑馬地,Turf,1200,29-56d,15,196,45,33.81,7.65,22.96,ClassVenueDistance
Class 4,沙田,Turf,1200,29-56d,14,169,36,45.8,8.28,21.3,ClassVenueDistance
Class 4,跑馬地,Turf,1200,<=14d,18,152,44,25.02,11.84,28.95,ClassVenueDistance
Class 3,沙田,Turf,1600,15-28d,9,147,34,32.9,6.12,23.13,ClassVenueDistance
Class 3,跑馬地,Turf,1650,15-28d,12,143,36,24.73,8.39,25.17,ClassVenueDistance
Class 4,跑馬地,Turf,1650,<=14d,7,135,33,23.14,5.19,24.44,ClassVenueDistance
Class 4,沙田,Turf,1400,<=14d,8,127,23,41.65,6.3,18.11,ClassVenueDistance
Class 4,沙田,Turf,1600,15-28d,9,120,29,34.21,7.5,24.17,ClassVenueDistance
Class 4,沙田,AWT,1650,15-28d,7,116,27,26.62,6.03,23.28,ClassVenueDistance
Class 3,跑馬地,Turf,1200,<=14d,6,111,25,27.02,5.41,22.52,ClassVenueDistance
Class 4,沙田,AWT,1200,15-28d,13,105,30,20.01,12.38,28.57,ClassVenueDistance
Class 5,沙田,Turf,1400,15-28d,10,96,23,29.74,10.42,23.96,ClassVenueDistance
Class 4,跑馬地,Turf,1650,29-56d,7,95,17,31.18,7.37,17.89,ClassVenueDistance
Class 3,沙田,Turf,1400,29-56d,7,93,20,37.25,7.53,21.51,ClassVenueDistance
Class 5,跑馬地,Turf,1200,15-28d,7,88,18,22.19,7.95,20.45,ClassVenueDistance
Class 4,沙田,Turf,1200,<=14d,5,87,20,39.6,5.75,22.99,ClassVenueDistance
Class 3,沙田,Turf,1400,<=14d,7,85,27,43.41,8.24,31.76,ClassVenueDistance
Class 3,沙田,Turf,1200,<=14d,8,82,21,50.72,9.76,25.61,ClassVenueDistance
Class 3,沙田,Turf,1200,29-56d,10,77,21,29.62,12.99,27.27,ClassVenueDistance
Class 3,沙田,AWT,1200,15-28d,9,77,23,27.73,11.69,29.87,ClassVenueDistance
Class 5,跑馬地,Turf,1650,15-28d,8,74,17,17.41,10.81,22.97,ClassVenueDistance
Class 3,沙田,Turf,1000,15-28d,6,67,16,34.0,8.96,23.88,ClassVenueDistance
Class 3,跑馬地,Turf,1200,29-56d,7,66,20,18.34,10.61,30.3,ClassVenueDistance
Class 4,跑馬地,Turf,1000,15-28d,5,66,15,24.02,7.58,22.73,ClassVenueDistance
Class 4,沙田,Turf,1600,29-56d,5,65,15,35.14,7.69,23.08,ClassVenueDistance
Class 3,跑馬地,Turf,1650,<=14d,5,63,17,15.24,7.94,26.98,ClassVenueDistance
Class 5,沙田,AWT,1200,15-28d,6,59,16,22.08,10.17,27.12,ClassVenueDistance
Class 5,沙田,Turf,1400,29-56d,3,58,13,26.22,5.17,22.41,ClassVenueDistance
Class 5,沙田,Turf,1400,<=14d,3,57,12,27.0,5.26,21.05,ClassVenueDistance
Class 4,沙田,Turf,1000,15-28d,3,56,12,34.06,5.36,21.43,ClassVenueDistance
Class 3,沙田,AWT,1650,15-28d,6,55,15,22.37,10.91,27.27,ClassVenueDistance
Class 3,跑馬地,Turf,1800,15-28d,6,55,15,22.9,10.91,27.27,ClassVenueDistance
Class 4,跑馬地,Turf,1800,15-28d,7,54,16,20.94,12.96,29.63,ClassVenueDistance
Class 4,沙田,Turf,1800,15-28d,5,54,14,19.58,9.26,25.93,ClassVenueDistance
Class 5,跑馬地,Turf,1000,15-28d,7,49,16,13.75,14.29,32.65,ClassVenueDistance
Class 5,沙田,Turf,1600,15-28d,5,49,13,19.75,10.2,26.53,ClassVenueDistance
Class 3,跑馬地,Turf,1650,29-56d,4,49,12,22.86,8.16,24.49,ClassVenueDistance
Class 4,沙田,Turf,1600,<=14d,5,47,11,26.35,10.64,23.4,ClassVenueDistance
Class 4,沙田,AWT,1200,29-56d,2,47,12,30.01,4.26,25.53,ClassVenueDistance
Class 2,沙田,Turf,1400,15-28d,3,46,14,26.56,6.52,30.43,ClassVenueDistance
Class 5,沙田,Turf,1200,15-28d,2,45,7,18.35,4.44,15.56,ClassVenueDistance
Class 2,沙田,Turf,1600,15-28d,4,43,13,19.7,9.3,30.23,ClassVenueDistance
Class 5,跑馬地,Turf,1200,29-56d,4,42,8,18.96,9.52,19.05,ClassVenueDistance
Class 3,沙田,Turf,1600,29-56d,3,42,9,32.19,7.14,21.43,ClassVenueDistance
Class 3,沙田,Turf,1800,15-28d,3,42,8,31.94,7.14,19.05,ClassVenueDistance
Class 5,跑馬地,Turf,1200,<=14d,3,42,16,16.37,7.14,38.1,ClassVenueDistance
Class 2,沙田,Turf,1200,15-28d,7,41,13,35.56,17.07,31.71,ClassVenueDistance
Class 2,沙田,Turf,1400,29-56d,6,41,13,29.32,14.63,31.71,ClassVenueDistance
Class 4,沙田,AWT,1650,<=14d,4,41,11,28.14,9.76,26.83,ClassVenueDistance
Class 5,沙田,AWT,1200,29-56d,3,41,13,18.53,7.32,31.71,ClassVenueDistance
Class 3,跑馬地,Turf,1000,<=14d,2,41,11,28.82,4.88,26.83,ClassVenueDistance
Class 3,跑馬地,Turf,1000,15-28d,5,40,12,24.8,12.5,30.0,ClassVenueDistance
Class 4,沙田,Turf,1000,29-56d,1,40,11,45.02,2.5,27.5,ClassVenueDistance
Class 5,沙田,Turf,1200,29-56d,3,39,9,25.43,7.69,23.08,ClassVenueDistance
Class 3,沙田,Turf,1600,<=14d,4,38,7,32.89,10.53,18.42,ClassVenueDistance
Class 3,沙田,Turf,2000,15-28d,5,36,14,24.57,13.89,38.89,ClassVenueDistance
Class 4,沙田,Turf,1000,<=14d,4,35,10,31.03,11.43,28.57,ClassVenueDistance
Class 5,跑馬地,Turf,1650,<=14d,1,35,11,14.39,2.86,31.43,ClassVenueDistance
Class 4,沙田,Turf,2000,15-28d,1,33,5,31.95,3.03,15.15,ClassVenueDistance
Class 5,跑馬地,Turf,1650,29-56d,4,32,10,26.37,12.5,31.25,ClassVenueDistance
Class 3,沙田,Turf,1000,<=14d,2,32,6,47.37,6.25,18.75,ClassVenueDistance
Class 3,跑馬地,Turf,1800,<=14d,3,31,7,22.54,9.68,22.58,ClassVenueDistance
Class 3,沙田,AWT,1650,<=14d,1,31,6,34.78,3.23,19.35,ClassVenueDistance
Class 4,沙田,AWT,1200,<=14d,1,30,3,19.34,3.33,10.0,ClassVenueDistance
Class 4,沙田,AWT,1650,29-56d,3,29,6,27.99,10.34,20.69,ClassVenueDistance
Class 4,跑馬地,Turf,2200,15-28d,3,29,10,14.02,10.34,34.48,ClassVenueDistance
Class 5,跑馬地,Turf,1800,15-28d,3,28,5,19.82,10.71,17.86,ClassVenueDistance
Class 4,跑馬地,Turf,1000,29-56d,2,28,8,19.8,7.14,28.57,ClassVenueDistance
Class 4,跑馬地,Turf,1800,<=14d,2,28,7,23.64,7.14,25.0,ClassVenueDistance
Class 2,沙田,Turf,1200,<=14d,2,27,7,25.46,7.41,25.93,ClassVenueDistance
Class 4,沙田,AWT,1800,15-28d,1,27,4,23.16,3.7,14.81,ClassVenueDistance
Class 5,沙田,Turf,1600,29-56d,0,27,2,21.25,0.0,7.41,ClassVenueDistance
Class 2,跑馬地,Turf,1200,15-28d,4,26,9,16.33,15.38,34.62,ClassVenueDistance
Class 3,沙田,AWT,1650,29-56d,2,26,5,15.7,7.69,19.23,ClassVenueDistance
Class 5,沙田,Turf,1800,<=14d,2,26,4,16.88,7.69,15.38,ClassVenueDistance
Class 4,沙田,Turf,1200,57-90d,1,26,2,37.48,3.85,7.69,ClassVenueDistance
Class 4,跑馬地,Turf,1800,29-56d,0,26,5,21.78,0.0,19.23,ClassVenueDistance
Class 3,沙田,Turf,1000,29-56d,3,24,7,25.84,12.5,29.17,ClassVenueDistance
Class 3,跑馬地,Turf,1000,29-56d,3,24,7,20.15,12.5,29.17,ClassVenueDistance
Class 2,沙田,Turf,1200,29-56d,1,24,7,25.58,4.17,29.17,ClassVenueDistance
Class 4,跑馬地,Turf,1200,57-90d,0,24,1,43.12,0.0,4.17,ClassVenueDistance
Group 3,沙田,Turf,1800,15-28d,2,23,6,30.02,8.7,26.09,ClassVenueDistance
Class 3,沙田,AWT,1200,29-56d,1,23,6,12.96,4.35,26.09,ClassVenueDistance
Class 5,跑馬地,Turf,1000,<=14d,1,23,6,16.31,4.35,26.09,ClassVenueDistance
Class 4,沙田,Turf,1400,57-90d,0,23,3,70.22,0.0,13.04,ClassVenueDistance
Class 5,沙田,AWT,1650,15-28d,2,22,4,27.77,9.09,18.18,ClassVenueDistance
Class 5,跑馬地,Turf,2200,15-28d,2,22,7,18.94,9.09,31.82,ClassVenueDistance
Class 3,跑馬地,Turf,1800,29-56d,0,22,6,15.21,0.0,27.27,ClassVenueDistance
