Trainer,Venue,Track,Distance,Wins,Starts,Places,Profit,AvgOdds,WinRate,PlaceRate,ROI
蔡約翰,沙田,Turf,1200,18,125,55,-20.6,19.55,14.4,44.0,-16.48
大衛希斯,沙田,Turf,1200,14,123,31,-62.199999999999996,40.11,11.38,25.2,-50.57
韋達,跑馬地,Turf,1200,11,120,35,27.299999999999997,20.8,9.17,29.17,22.75
呂健威,沙田,Turf,1400,16,118,34,47.1,32.77,13.56,28.81,39.92
蔡約翰,沙田,Turf,1400,16,117,46,-47.2,20.81,13.68,39.32,-40.34
呂健威,沙田,Turf,1200,11,115,33,-49.0,37.25,9.57,28.7,-42.61
伍鵬志,沙田,Turf,1400,8,113,23,-12.5,36.99,7.08,20.35,-11.06
大衛希斯,沙田,Turf,1400,11,111,28,-30.5,26.82,9.91,25.23,-27.48
廖康銘,跑馬地,Turf,1200,20,110,39,47.9,19.5,18.18,35.45,43.55
告東尼,沙田,Turf,1400,5,104,19,-59.199999999999996,44.0,4.81,18.27,-56.92
沈集成,跑馬地,Turf,1200,8,103,27,-5.0,24.49,7.77,26.21,-4.85
大衛希斯,跑馬地,Turf,1200,8,101,32,-49.3,28.45,7.92,31.68,-48.81
文家良,沙田,Turf,1400,8,101,27,-58.1,38.87,7.92,26.73,-57.52
羅富全,沙田,Turf,1400,4,101,18,-84.9,37.18,3.96,17.82,-84.06
羅富全,沙田,Turf,1200,7,100,28,-41.1,29.04,7.0,28.0,-41.1
姚本輝,跑馬地,Turf,1200,11,98,37,31.000000000000004,15.31,11.22,37.76,31.63
方嘉柏,跑馬地,Turf,1200,10,97,25,-19.2,20.05,10.31,25.77,-19.79
蔡約翰,跑馬地,Turf,1200,5,97,28,-70.9,19.81,5.15,28.87,-73.09
蘇偉賢,沙田,Turf,1400,15,96,33,89.0,32.43,15.62,34.38,92.71
容天鵬,沙田,Turf,1400,8,96,21,35.2,39.13,8.33,21.88,36.67
告東尼,沙田,Turf,1200,5,95,19,-36.9,34.76,5.26,20.0,-38.84
姚本輝,沙田,Turf,1400,8,93,32,-53.1,30.38,8.6,34.41,-57.1
羅富全,跑馬地,Turf,1200,8,92,23,-35.0,23.27,8.7,25.0,-38.04
告東尼,跑馬地,Turf,1200,7,92,24,-26.8,20.83,7.61,26.09,-29.13
巫偉傑,沙田,Turf,1400,7,92,22,-21.599999999999998,39.46,7.61,23.91,-23.48
方嘉柏,沙田,Turf,1400,6,92,31,-42.2,26.38,6.52,33.7,-45.87
賀賢,沙田,Turf,1400,5,92,15,-64.5,39.69,5.43,16.3,-70.11
巫偉傑,跑馬地,Turf,1200,4,92,15,-52.1,30.74,4.35,16.3,-56.63
大衛希斯,跑馬地,Turf,1650,9,91,29,-32.2,21.16,9.89,31.87,-35.38
