RaceClass,WtBucket,Wins,Starts,Places,AvgOdds,WinRate,PlaceRate
Class 1,Med-Heavy (127-130),3,16,9,11.52,18.75,56.25
Class 1,Med-Light (116-120),2,15,4,15.67,13.33,26.67
Class 1,Heavy (131+),2,16,5,9.21,12.5,31.25
Class 1,Light (<=115),1,13,3,22.37,7.69,23.08
Class 1,Medium (121-126),0,8,3,12.2,0.0,37.5
Class 2,Med-Heavy (127-130),10,83,27,19.24,12.05,32.53
Class 2,Medium (121-126),24,201,63,24.52,11.94,31.34
Class 2,Heavy (131+),8,90,23,26.84,8.89,25.56
Class 2,Med-Light (116-120),11,156,41,24.78,7.05,26.28
Class 2,Light (<=115),3,61,15,31.36,4.92,24.59
Class 3,Med-Heavy (127-130),51,478,134,23.4,10.67,28.03
Class 3,Heavy (131+),48,456,123,20.42,10.53,26.97
Class 3,Medium (121-126),96,1068,286,33.86,8.99,26.78
Class 3,Light (<=115),7,146,18,48.09,4.79,12.33
Class 3,Med-Light (116-120),36,789,153,41.42,4.56,19.39
Class 4,Heavy (131+),123,1071,332,22.48,11.48,31.0
Class 4,Med-Heavy (127-130),105,1282,304,36.35,8.19,23.71
Class 4,Light (<=115),12,159,29,41.6,7.55,18.24
Class 4,Medium (121-126),97,1543,309,38.63,6.29,20.03
Class 4,Med-Light (116-120),50,825,189,34.38,6.06,22.91
Class 5,Medium (121-126),31,346,85,22.94,8.96,24.57
Class 5,Med-Light (116-120),11,131,37,25.15,8.4,28.24
Class 5,Med-Heavy (127-130),28,344,77,24.09,8.14,22.38
Class 5,Heavy (131+),40,512,130,19.43,7.81,25.39
Class 5,Light (<=115),4,55,14,25.21,7.27,25.45
Griffin,Med-Heavy (127-130),1,1,1,1.7,100.0,100.0
Griffin,Medium (121-126),4,44,12,33.98,9.09,27.27
Griffin,Heavy (131+),0,3,2,5.03,0.0,66.67
Griffin,Med-Light (116-120),0,1,0,160.0,0.0,0.0
Group 1,Medium (121-126),15,157,40,42.88,9.55,25.48
Group 1,Heavy (131+),1,13,5,20.85,7.69,38.46
Group 1,Med-Light (116-120),1,14,4,18.74,7.14,28.57
Group 1,Light (<=115),0,2,0,22.0,0.0,0.0
Group 1,Med-Heavy (127-130),0,7,2,22.59,0.0,28.57
Group 2,Med-Heavy (127-130),5,12,5,21.62,41.67,41.67
Group 2,Medium (121-126),2,46,12,50.28,4.35,26.09
Group 2,Heavy (131+),0,3,2,8.07,0.0,66.67
Group 2,Light (<=115),0,9,2,62.8,0.0,22.22
Group 2,Med-Light (116-120),0,3,0,127.67,0.0,0.0
Group 3,Medium (121-126),4,29,11,14.21,13.79,37.93
Group 3,Med-Heavy (127-130),2,17,6,19.74,11.76,35.29
Group 3,Light (<=115),4,39,12,34.06,10.26,30.77
Group 3,Med-Light (116-120),1,15,2,20.65,6.67,13.33
Group 3,Heavy (131+),1,20,5,14.12,5.0,25.0
Unknown,Medium (121-126),3,42,9,28.72,7.14,21.43
