Horse,Wins,Starts,Places,AvgOdds,WinRate
嘉應高昇(J062),8,8,8,1.3,100.0
康樂高球(J517),6,7,7,9.2,85.7
遨遊氣泡(E436),5,7,7,3.2,71.4
加州動員(H418),5,12,7,8.9,41.7
美麗緣分(H281),5,9,7,12.6,55.6
騰龍四海(J317),5,14,10,5.9,35.7
晨曦儷人(J066),4,15,8,8.5,26.7
錶之宇宙(J357),4,8,4,11.2,50.0
真心傳奇(J325),4,10,8,3.8,40.0
祝願(J256),4,9,8,4.5,44.4
有目共賞(K020),4,11,6,10.2,36.4
光年魅力(K130),4,9,7,3.1,44.4
愛馬善(H155),4,12,8,13.8,33.3
竣誠駒(H486),4,16,5,12.1,25.0
包裝天將(J277),4,9,7,3.5,44.4
舉步生風(J358),4,10,6,3.7,40.0
天威(J200),4,12,6,11.9,33.3
銀進(G266),4,11,5,15.9,36.4
富喜來(H213),3,13,4,15.6,23.1
氣勢(H411),3,8,5,2.6,37.5
陽光勇士(H244),3,11,7,9.3,27.3
帝豪歡星(H248),3,10,5,11.2,30.0
日馳千里(J143),3,12,4,14.5,25.0
得道猴王(J303),3,13,5,11.4,23.1
青春力量(H358),3,16,4,14.1,18.8
開心寶寶(J142),3,12,7,10.1,25.0
跨境寶馬(K008),3,5,4,1.7,60.0
神馳(J321),3,10,6,3.5,30.0
笑傲江湖(K168),3,6,3,7.3,50.0
追風(J227),3,12,6,10.8,25.0
膨才(K076),3,6,5,2.9,50.0
觀天下(J348),3,11,3,29.5,27.3
至尊高超(J443),3,9,9,5.2,33.3
凱旋升(J489),3,9,4,11.6,33.3
錶之星河(J343),3,9,5,8.4,33.3
椒椒醒(H440),3,10,6,7.8,30.0
英駿飛駒(H376),3,11,4,11.7,27.3
駿步騰飛(H395),3,10,4,9.2,30.0
不同世界(K005),3,11,5,21.9,27.3
同滿滿(G400),3,11,4,6.7,27.3
勝萬金(H405),3,15,9,7.2,20.0
勇敢巨星(G268),3,10,4,34.3,30.0
耀寶駒(H323),3,9,5,15.4,33.3
美麗第一(H294),3,12,6,25.7,25.0
納百川(J276),3,11,5,7.0,27.3
紅逸舍(H241),3,8,4,9.7,37.5
堅又威(H186),3,5,4,5.8,60.0
皇龍飛將(J279),3,11,5,6.7,27.3
鈦易搵(H216),3,12,5,10.8,25.0
共享富裕(J390),3,10,4,4.4,30.0
球星(H412),3,10,5,9.8,30.0
金勝名駒(H461),3,14,4,26.4,21.4
金主(J389),3,9,6,11.7,33.3
嘉應奇兵(J391),3,7,4,15.8,42.9
堅有利(G462),3,7,3,4.1,42.9
增強(J114),3,8,5,4.4,37.5
包裝福星(J454),3,7,5,4.8,42.9
天時明駒(H016),3,13,9,8.0,23.1
德心知遇(J133),3,16,7,17.1,18.8
首飾天空(K032),3,5,4,2.2,60.0
飛輪步(H122),3,14,3,33.0,21.4
馬力(J431),3,6,3,5.2,50.0
勁先生(J239),3,11,6,5.4,27.3
奔妙星(H401),3,12,5,8.4,25.0
太陽勇士(J127),3,16,11,7.0,18.8
十二神將(H435),3,12,4,26.2,25.0
艾莉奧(G223),3,14,4,30.8,21.4
愛心神駒(H389),3,10,5,8.6,30.0
一起美麗(J260),3,11,5,8.1,27.3
魔術控制(J333),3,13,7,27.8,23.1
三江飛輪(G138),3,12,3,30.8,25.0
智勝攻略(H197),3,15,9,14.9,20.0
智勇名駒(J298),3,14,8,6.8,21.4
時時歡欣(K141),3,4,3,2.0,75.0
非凡達(H364),3,13,6,11.1,23.1
星際快車(J186),2,15,7,12.5,13.3
中華威威(D075),2,17,3,32.0,11.8
昭易搵(J339),2,11,7,6.9,18.2
上校(D090),2,13,2,30.1,15.4
滿心星(K054),2,10,7,18.3,20.0
電源之駒(E301),2,14,6,43.9,14.3
優才(J536),2,9,3,10.9,22.2
元朗精英(J272),2,11,6,5.3,18.2
先到先得(J098),2,9,3,11.3,22.2
安泰(H161),2,14,4,15.6,14.3
火焰閃爍(K098),2,8,4,16.3,25.0
八仟財陞(J442),2,9,3,17.7,22.2
決一劍(J484),2,8,3,15.5,25.0
泰泰精神(K007),2,10,4,8.4,20.0
