Jockey,RaceClass,Wins,Starts,Places,WinRate
何澤堯,Class 2,1,15,5,6.7
何澤堯,Class 3,10,74,21,13.5
何澤堯,Class 4,12,128,41,9.4
何澤堯,Class 5,2,24,6,8.3
何澤堯,Group 1,1,7,3,14.3
何澤堯,Group 2,1,3,2,33.3
何澤堯,Group 3,0,4,2,0.0
司徒岳,Group 1,0,1,0,0.0
周俊樂,Class 1,0,1,1,0.0
周俊樂,Class 2,0,13,3,0.0
周俊樂,Class 3,8,93,18,8.6
周俊樂,Class 4,10,193,30,5.2
周俊樂,Class 5,4,64,8,6.2
周俊樂,Griffin,1,5,3,20.0
周俊樂,Group 2,0,2,1,0.0
周俊樂,Group 3,0,2,1,0.0
奧爾民,Class 1,0,2,1,0.0
奧爾民,Class 2,0,7,1,0.0
奧爾民,Class 3,3,55,6,5.5
奧爾民,Class 4,8,130,32,6.2
奧爾民,Class 5,2,35,6,5.7
奧爾民,Griffin,0,1,0,0.0
奧爾民,Group 1,0,1,0,0.0
奧爾民,Group 2,0,2,0,0.0
奧爾民,Group 3,0,2,1,0.0
川田將雅,Group 1,0,9,1,0.0
巫顯東,Class 2,0,2,0,0.0
巫顯東,Class 3,3,37,8,8.1
巫顯東,Class 4,1,69,4,1.4
巫顯東,Class 5,0,11,0,0.0
巫顯東,Griffin,0,1,0,0.0
巴度,Class 1,1,3,3,33.3
巴度,Class 2,3,40,6,7.5
巴度,Class 3,9,154,33,5.8
巴度,Class 4,9,234,55,3.8
巴度,Class 5,8,64,14,12.5
巴度,Group 1,0,6,0,0.0
巴度,Group 2,0,5,1,0.0
巴度,Group 3,1,11,4,9.1
巴米高,Class 2,0,1,0,0.0
巴米高,Class 3,0,5,0,0.0
巴米高,Class 4,0,3,1,0.0
巴米高,Class 5,1,2,1,50.0
巴米高,Group 1,2,5,3,40.0
巴米高,Group 3,0,1,0,0.0
布宜學,Class 4,0,1,0,0.0
布宜學,Group 1,0,4,1,0.0
布文,Class 1,0,6,1,0.0
布文,Class 2,6,28,9,21.4
布文,Class 3,16,157,49,10.2
布文,Class 4,38,272,93,14.0
布文,Class 5,9,93,33,9.7
布文,Griffin,0,2,0,0.0
布文,Group 1,1,15,8,6.7
布文,Group 2,0,7,2,0.0
布文,Group 3,2,11,4,18.2
希威森,Class 1,0,1,0,0.0
希威森,Class 2,1,35,9,2.9
希威森,Class 3,8,159,37,5.0
希威森,Class 4,17,232,50,7.3
希威森,Class 5,3,55,12,5.5
希威森,Griffin,0,2,0,0.0
希威森,Group 2,0,3,1,0.0
希威森,Group 3,0,5,0,0.0
杜滿樂,Group 1,0,2,0,0.0
杜苑欣,Class 2,0,1,0,0.0
杜苑欣,Class 3,0,6,1,0.0
杜苑欣,Class 4,1,10,5,10.0
杜苑欣,Class 5,0,3,0,0.0
杜苑欣,Group 1,1,4,1,25.0
柯浩新,Group 1,0,1,0,0.0
梁家俊,Class 1,0,1,1,0.0
梁家俊,Class 2,5,29,9,17.2
梁家俊,Class 3,9,114,31,7.9
梁家俊,Class 4,15,214,51,7.0
梁家俊,Class 5,7,69,15,10.1
梁家俊,Griffin,0,5,2,0.0
梁家俊,Group 1,0,4,0,0.0
梁家俊,Group 2,0,3,0,0.0
梁家俊,Group 3,0,6,0,0.0
楊明綸,Class 1,0,2,0,0.0
楊明綸,Class 2,1,18,3,5.6
楊明綸,Class 3,1,129,14,0.8
楊明綸,Class 4,13,211,44,6.2
楊明綸,Class 5,5,63,11,7.9
楊明綸,Griffin,0,3,0,0.0
楊明綸,Group 1,0,1,0,0.0
楊明綸,Group 2,0,2,0,0.0
楊明綸,Group 3,0,5,0,0.0
湯普新,Class 1,0,1,0,0.0
湯普新,Class 2,1,15,4,6.7
湯普新,Class 3,3,105,14,2.9
湯普新,Class 4,4,215,27,1.9
湯普新,Class 5,1,39,5,2.6
湯普新,Griffin,0,1,0,0.0
湯普新,Group 1,0,2,1,0.0
湯普新,Group 3,0,1,1,0.0
溫蘿,Group 1,0,1,0,0.0
潘明輝,Class 1,0,2,0,0.0
潘明輝,Class 2,3,30,6,10.0
潘明輝,Class 3,8,157,34,5.1
潘明輝,Class 4,17,268,59,6.3
潘明輝,Class 5,7,81,27,8.6
潘明輝,Griffin,0,5,1,0.0
潘明輝,Group 1,0,3,0,0.0
潘明輝,Group 2,1,4,1,25.0
潘明輝,Group 3,0,9,2,0.0
潘頓,Class 1,1,5,2,20.0
潘頓,Class 2,11,44,23,25.0
潘頓,Class 3,42,169,87,24.9
潘頓,Class 4,61,260,132,23.5
潘頓,Class 5,13,85,33,15.3
潘頓,Griffin,2,3,3,66.7
潘頓,Group 1,3,12,4,25.0
潘頓,Group 2,3,6,4,50.0
潘頓,Group 3,2,8,3,25.0
班德禮,Class 1,0,4,2,0.0
班德禮,Class 2,2,23,10,8.7
班德禮,Class 3,10,144,38,6.9
班德禮,Class 4,14,208,36,6.7
班德禮,Class 5,4,65,13,6.2
班德禮,Griffin,0,3,0,0.0
班德禮,Group 1,0,4,0,0.0
班德禮,Group 2,0,3,1,0.0
班德禮,Group 3,1,7,3,14.3
田泰安,Class 1,0,6,1,0.0
田泰安,Class 2,0,38,7,0.0
田泰安,Class 3,11,176,48,6.2
田泰安,Class 4,23,298,77,7.7
田泰安,Class 5,7,85,22,8.2
田泰安,Griffin,0,3,2,0.0
田泰安,Group 1,1,9,3,11.1
田泰安,Group 2,0,6,1,0.0
田泰安,Group 3,2,10,2,20.0
簡國能,Class 4,0,1,0,0.0
簡國能,Group 1,0,4,2,0.0
羅敦,Group 1,0,2,0,0.0
艾兆禮,Class 1,1,6,2,16.7
艾兆禮,Class 2,4,42,18,9.5
艾兆禮,Class 3,23,191,53,12.0
艾兆禮,Class 4,23,277,76,8.3
