Jockey,Draw,Wins,Starts,Places,WinRate,PlaceRate
何澤堯,1,2,19,5,10.5,26.3
何澤堯,10,3,15,7,20.0,46.7
何澤堯,11,3,22,7,13.6,31.8
何澤堯,12,3,21,6,14.3,28.6
何澤堯,13,0,5,0,0.0,0.0
何澤堯,14,0,6,1,0.0,16.7
何澤堯,2,2,22,5,9.1,22.7
何澤堯,3,1,13,3,7.7,23.1
何澤堯,4,1,27,12,3.7,44.4
何澤堯,5,0,22,6,0.0,27.3
何澤堯,6,6,21,9,28.6,42.9
何澤堯,7,4,24,10,16.7,41.7
何澤堯,8,1,21,4,4.8,19.0
何澤堯,9,1,18,5,5.6,27.8
司徒岳,8,0,1,0,0.0,0.0
周俊樂,1,2,29,9,6.9,31.0
周俊樂,10,0,29,1,0.0,3.4
周俊樂,11,1,26,3,3.8,11.5
周俊樂,12,0,27,2,0.0,7.4
周俊樂,13,0,9,0,0.0,0.0
周俊樂,14,1,13,2,7.7,15.4
周俊樂,2,3,30,4,10.0,13.3
周俊樂,3,2,36,7,5.6,19.4
周俊樂,4,4,30,9,13.3,30.0
周俊樂,5,2,39,6,5.1,15.4
周俊樂,6,1,21,2,4.8,9.5
周俊樂,7,1,32,8,3.1,25.0
周俊樂,8,4,21,6,19.0,28.6
周俊樂,9,2,31,6,6.5,19.4
奧爾民,1,1,18,9,5.6,50.0
奧爾民,10,2,29,5,6.9,17.2
奧爾民,11,3,21,4,14.3,19.0
奧爾民,12,1,14,2,7.1,14.3
奧爾民,13,0,6,0,0.0,0.0
奧爾民,14,0,7,1,0.0,14.3
奧爾民,2,1,23,7,4.3,30.4
奧爾民,3,0,20,1,0.0,5.0
奧爾民,4,1,24,3,4.2,12.5
奧爾民,5,0,9,1,0.0,11.1
奧爾民,6,2,22,5,9.1,22.7
奧爾民,7,0,16,3,0.0,18.8
奧爾民,8,2,11,3,18.2,27.3
奧爾民,9,0,16,3,0.0,18.8
川田將雅,11,0,2,0,0.0,0.0
川田將雅,13,0,1,0,0.0,0.0
川田將雅,4,0,1,0,0.0,0.0
川田將雅,5,0,2,1,0.0,50.0
川田將雅,7,0,1,0,0.0,0.0
川田將雅,8,0,2,0,0.0,0.0
巫顯東,1,1,9,4,11.1,44.4
巫顯東,10,0,4,0,0.0,0.0
巫顯東,11,0,13,0,0.0,0.0
巫顯東,12,0,7,1,0.0,14.3
巫顯東,13,0,6,1,0.0,16.7
巫顯東,14,0,5,0,0.0,0.0
巫顯東,2,0,6,0,0.0,0.0
巫顯東,3,0,10,1,0.0,10.0
巫顯東,4,0,12,0,0.0,0.0
巫顯東,5,0,9,0,0.0,0.0
巫顯東,6,1,9,2,11.1,22.2
