Jockey,Wins,Starts,Places,AvgOdds,WinRate,PlaceRate
潘頓,123,399,237,3.3,30.8,59.4
布文,52,220,114,3.9,23.6,51.8
艾兆禮,28,112,70,4.1,25.0,62.5
艾道拿,22,103,60,4.0,21.4,58.3
霍宏聲,22,92,51,4.1,23.9,55.4
麥道朗,21,63,37,3.6,33.3,58.7
田泰安,20,109,50,4.3,18.3,45.9
巴度,17,90,41,4.0,18.9,45.6
梁家俊,17,63,44,4.1,27.0,69.8
班德禮,15,65,35,4.5,23.1,53.8
何澤堯,15,52,35,4.3,28.8,67.3
蔡明紹,12,73,34,4.4,16.4,46.6
周俊樂,11,39,17,3.9,28.2,43.6
希威森,10,54,30,4.4,18.5,55.6
潘明輝,10,57,28,4.5,17.5,49.1
黃智弘,8,43,23,4.4,18.6,53.5
黃寶妮,7,23,13,4.4,30.4,56.5
楊明綸,6,28,17,4.4,21.4,60.7
莫雅,6,20,13,3.6,30.0,65.0
奧爾民,5,19,14,4.5,26.3,73.7
莫雷拉,4,11,8,3.8,36.4,72.7
湯普新,3,19,10,4.3,15.8,52.6
鍾易禮,3,30,12,4.7,10.0,40.0
巫顯東,2,7,4,3.9,28.6,57.1
薛恩,2,6,3,3.6,33.3,50.0
金誠剛,2,5,4,4.3,40.0,80.0
韋紀力,2,6,4,4.3,33.3,66.7
董明朗,2,11,6,4.1,18.2,54.5
陳嘉熙,1,1,1,2.1,100.0,100.0
連達文,1,1,1,3.7,100.0,100.0
苗傑美,0,1,1,5.2,0.0,100.0
杜苑欣,0,1,1,5.5,0.0,100.0
巴米高,0,2,0,2.7,0.0,0.0
貝知仁,0,3,1,5.0,0.0,33.3
賀銘年,0,15,3,4.3,0.0,20.0
薛凱華,0,1,0,5.9,0.0,0.0
馬昆,0,2,0,3.1,0.0,0.0
