Jockey,Going,Wins,Starts,Places,WinRate
何澤堯,一級賽 - 1600米,0,2,0,0.0
何澤堯,三級賽 - 1400米,0,2,1,0.0
何澤堯,三級賽 - 1800米,0,2,1,0.0
何澤堯,二級賽 - 1200米,0,1,0,0.0
何澤堯,二級賽 - 1600米,1,2,2,50.0
何澤堯,四歲 - 1600米,0,1,0,0.0
何澤堯,第三班 - 1000米 - (80-60),2,8,2,25.0
何澤堯,第三班 - 1200米 - (80-60),5,28,11,17.9
何澤堯,第三班 - 1400米 - (80-60),1,15,4,6.7
何澤堯,第三班 - 1600米 - (80-60),0,7,2,0.0
何澤堯,第三班 - 1600米 - (85-60),0,1,1,0.0
何澤堯,第三班 - 1650米 - (80-60),1,11,1,9.1
何澤堯,第三班 - 1800米 - (80-60),1,5,1,20.0
何澤堯,第三班 - 2000米 - (85-60),0,1,0,0.0
何澤堯,第二班 - 1000米 - (100-80),0,1,0,0.0
何澤堯,第二班 - 1000米 - (90-65),0,1,0,0.0
何澤堯,第二班 - 1200米 - (100-80),0,4,0,0.0
何澤堯,第二班 - 1400米 - (100-80),0,1,1,0.0
何澤堯,第二班 - 1400米 - (105-80),0,1,1,0.0
何澤堯,第二班 - 1400米 - (90-70),0,1,1,0.0
何澤堯,第二班 - 1600米 - (100-75),0,1,1,0.0
何澤堯,第二班 - 1600米 - (100-80),1,1,1,100.0
何澤堯,第二班 - 1600米 - (105-80),0,1,0,0.0
何澤堯,第二班 - 1650米 - (100-80),0,2,0,0.0
何澤堯,第二班 - 1800米 - (100-80),0,1,0,0.0
何澤堯,第五班 - 1000米 - (40-0),0,2,0,0.0
何澤堯,第五班 - 1200米 - (40-0),2,8,3,25.0
何澤堯,第五班 - 1400米 - (40-0),0,7,2,0.0
何澤堯,第五班 - 1650米 - (40-0),0,4,0,0.0
何澤堯,第五班 - 1800米 - (40-0),0,2,1,0.0
何澤堯,第五班 - 2200米 - (40-0),0,1,0,0.0
何澤堯,第四班 - 1000米 - (60-40),0,9,1,0.0
何澤堯,第四班 - 1200米 - (60-40),4,56,19,7.1
何澤堯,第四班 - 1400米 - (60-40),2,24,3,8.3
何澤堯,第四班 - 1600米 - (60-40),0,5,3,0.0
何澤堯,第四班 - 1650米 - (60-40),5,25,10,20.0
何澤堯,第四班 - 1800米 - (60-40),2,7,4,28.6
何澤堯,第四班 - 2000米 - (60-40),0,2,2,0.0
何澤堯,第四班 - 2200米 - (60-40),0,1,1,0.0
何澤堯,第四班（條件限制） - 1200米 - (60-40),0,2,0,0.0
司徒岳,一級賽 - 1600米,0,1,0,0.0
周俊樂,三級賽 - 1800米,0,1,0,0.0
周俊樂,三級賽 - 2400米,0,1,1,0.0
周俊樂,二級賽 - 1600米,0,1,0,0.0
周俊樂,二級賽 - 2000米,0,1,1,0.0
周俊樂,新馬賽 - 1000米,1,3,2,33.3
周俊樂,新馬賽 - 1200米,0,2,1,0.0
周俊樂,第一班 - 1650米 - (110-85),0,1,1,0.0
周俊樂,第三班 - 1000米 - (80-60),1,11,1,9.1
周俊樂,第三班 - 1200米 - (80-55),0,2,1,0.0
周俊樂,第三班 - 1200米 - (80-60),2,31,8,6.5
周俊樂,第三班 - 1200米 - (85-60),0,2,0,0.0
周俊樂,第三班 - 1400米 - (80-60),1,13,1,7.7
周俊樂,第三班 - 1600米 - (80-60),1,9,2,11.1
周俊樂,第三班 - 1650米 - (80-60),2,12,2,16.7
周俊樂,第三班 - 1650米 - (85-60),0,2,0,0.0
周俊樂,第三班 - 1800米 - (80-60),1,6,3,16.7
周俊樂,第三班 - 1800米 - (85-60),0,2,0,0.0
周俊樂,第三班 - 2000米 - (80-60),0,2,0,0.0
周俊樂,第三班（條件限制） - 1600米 - (85-60),0,1,0,0.0
周俊樂,第二班 - 1000米 - (90-65),0,1,1,0.0
周俊樂,第二班 - 1200米 - (100-80),0,2,0,0.0
周俊樂,第二班 - 1200米 - (105-80),0,1,0,0.0
周俊樂,第二班 - 1400米 - (100-80),0,2,1,0.0
周俊樂,第二班 - 1600米 - (105-80),0,1,0,0.0
周俊樂,第二班 - 1650米 - (100-75),0,1,0,0.0
周俊樂,第二班 - 1650米 - (100-80),0,2,0,0.0
周俊樂,第二班 - 1650米 - (105-80),0,1,1,0.0
周俊樂,第二班 - 1800米 - (100-80),0,1,0,0.0
周俊樂,第二班 - 1800米 - (90-60),0,1,0,0.0
周俊樂,第五班 - 1000米 - (40-0),0,7,0,0.0
周俊樂,第五班 - 1200米 - (40-0),2,18,3,11.1
周俊樂,第五班 - 1400米 - (40-0),0,11,0,0.0
周俊樂,第五班 - 1600米 - (40-0),1,6,1,16.7
周俊樂,第五班 - 1650米 - (40-0),0,9,0,0.0
周俊樂,第五班 - 1800米 - (40-0),0,9,2,0.0
周俊樂,第五班 - 2000米 - (40-0),1,2,1,50.0
周俊樂,第五班 - 2200米 - (40-0),0,2,1,0.0
周俊樂,第四班 - 1000米 - (60-40),0,10,0,0.0
周俊樂,第四班 - 1200米 - (60-40),6,89,17,6.7
周俊樂,第四班 - 1400米 - (60-40),3,43,9,7.0
周俊樂,第四班 - 1600米 - (60-40),0,8,0,0.0
周俊樂,第四班 - 1650米 - (60-40),1,28,3,3.6
周俊樂,第四班 - 1800米 - (60-40),0,7,1,0.0
周俊樂,第四班 - 2000米 - (60-40),0,2,0,0.0
周俊樂,第四班 - 2200米 - (60-35),0,1,0,0.0
周俊樂,第四班 - 2200米 - (60-40),0,2,0,0.0
周俊樂,第四班（條件限制） - 1200米 - (60-40),0,2,0,0.0
周俊樂,第四班（條件限制） - 1400米 - (60-40),0,1,0,0.0
奧爾民,一級賽 - 1200米,0,1,0,0.0
奧爾民,三級賽 - 1600米,0,1,1,0.0
奧爾民,三級賽 - 1800米,0,1,0,0.0
奧爾民,二級賽 - 1200米,0,1,0,0.0
奧爾民,二級賽 - 1600米,0,1,0,0.0
奧爾民,四歲 - 2000米,0,1,0,0.0
奧爾民,新馬賽 - 1000米,0,1,0,0.0
奧爾民,第一班 - 1200米 - (85+),0,1,1,0.0
奧爾民,第一班 - 1600米 - (85+),0,1,0,0.0
奧爾民,第三班 - 1000米 - (80-55),0,1,0,0.0
奧爾民,第三班 - 1000米 - (80-60),0,2,0,0.0
奧爾民,第三班 - 1200米 - (80-55),0,3,0,0.0
奧爾民,第三班 - 1200米 - (80-60),2,14,4,14.3
奧爾民,第三班 - 1200米 - (85-60),0,1,0,0.0
奧爾民,第三班 - 1400米 - (80-60),0,13,0,0.0
奧爾民,第三班 - 1600米 - (80-60),1,7,1,14.3
奧爾民,第三班 - 1600米 - (85-60),0,1,0,0.0
奧爾民,第三班 - 1650米 - (80-60),0,7,1,0.0
奧爾民,第三班 - 1650米 - (85-60),0,1,0,0.0
奧爾民,第三班 - 1800米 - (80-60),0,2,0,0.0
奧爾民,第三班 - 1800米 - (85-60),0,1,0,0.0
奧爾民,第三班 - 2000米 - (80-60),0,1,0,0.0
奧爾民,第三班 - 2000米 - (85-60),0,1,0,0.0
奧爾民,第二班 - 1200米 - (100-80),0,1,1,0.0
奧爾民,第二班 - 1200米 - (105-80),0,2,0,0.0
奧爾民,第二班 - 1400米 - (100-80),0,1,0,0.0
奧爾民,第二班 - 1650米 - (100-80),0,1,0,0.0
奧爾民,第二班 - 1800米 - (100-75),0,2,0,0.0
奧爾民,第五班 - 1000米 - (40-0),0,1,0,0.0
奧爾民,第五班 - 1200米 - (40-0),2,13,3,15.4
奧爾民,第五班 - 1400米 - (40-0),0,8,0,0.0
奧爾民,第五班 - 1600米 - (40-0),0,4,2,0.0
奧爾民,第五班 - 1650米 - (40-0),0,4,1,0.0
奧爾民,第五班 - 1800米 - (40-0),0,2,0,0.0
奧爾民,第五班 - 2000米 - (40-0),0,2,0,0.0
奧爾民,第五班 - 2200米 - (40-0),0,1,0,0.0
奧爾民,第四班 - 1000米 - (60-40),2,13,4,15.4
奧爾民,第四班 - 1200米 - (60-40),5,55,16,9.1
奧爾民,第四班 - 1400米 - (60-40),1,19,4,5.3
奧爾民,第四班 - 1600米 - (60-40),0,6,0,0.0
奧爾民,第四班 - 1650米 - (60-40),0,25,4,0.0
奧爾民,第四班 - 1800米 - (60-40),0,9,4,0.0
奧爾民,第四班 - 2000米 - (60-40),0,1,0,0.0
奧爾民,第四班 - 2200米 - (60-35),0,2,0,0.0
川田將雅,一級賽 - 1200米,0,1,0,0.0
