Jockey,Month,Wins,Starts,Places,WinRate
何澤堯,2024-09,2,40,10,5.0
何澤堯,2024-10,9,61,19,14.8
何澤堯,2024-11,6,56,18,10.7
何澤堯,2024-12,4,40,17,10.0
何澤堯,2025-01,6,48,15,12.5
何澤堯,2025-02,0,11,1,0.0
司徒岳,2025-04,0,1,0,0.0
周俊樂,2024-09,2,31,2,6.5
周俊樂,2024-10,2,38,4,5.3
周俊樂,2024-11,0,36,5,0.0
周俊樂,2024-12,6,42,10,14.3
周俊樂,2025-01,2,27,6,7.4
周俊樂,2025-02,0,30,5,0.0
周俊樂,2025-03,0,35,6,0.0
周俊樂,2025-04,3,22,7,13.6
周俊樂,2025-05,4,56,13,7.1
周俊樂,2025-06,3,35,5,8.6
周俊樂,2025-07,1,21,2,4.8
奧爾民,2025-02,1,4,1,25.0
奧爾民,2025-03,1,55,8,1.8
奧爾民,2025-04,3,42,8,7.1
奧爾民,2025-05,2,51,11,3.9
奧爾民,2025-06,2,48,9,4.2
奧爾民,2025-07,4,36,10,11.1
川田將雅,2024-12,0,6,1,0.0
川田將雅,2025-04,0,3,0,0.0
巫顯東,2024-09,0,8,2,0.0
巫顯東,2024-10,0,5,0,0.0
巫顯東,2024-11,0,4,1,0.0
巫顯東,2024-12,0,5,0,0.0
巫顯東,2025-01,2,18,2,11.1
巫顯東,2025-02,1,18,2,5.6
巫顯東,2025-03,0,11,2,0.0
巫顯東,2025-04,1,11,1,9.1
巫顯東,2025-05,0,21,1,0.0
巫顯東,2025-06,0,8,1,0.0
巫顯東,2025-07,0,11,0,0.0
巴度,2024-09,2,36,6,5.6
巴度,2024-10,3,49,14,6.1
巴度,2024-11,0,45,3,0.0
巴度,2024-12,3,45,10,6.7
巴度,2025-01,1,52,14,1.9
巴度,2025-02,6,54,13,11.1
巴度,2025-03,4,49,10,8.2
巴度,2025-04,6,56,15,10.7
巴度,2025-05,4,61,12,6.6
巴度,2025-06,2,47,10,4.3
巴度,2025-07,0,25,9,0.0
巴米高,2024-12,3,11,5,27.3
巴米高,2025-01,0,7,0,0.0
布宜學,2024-12,0,4,1,0.0
布宜學,2025-03,0,2,0,0.0
布文,2024-09,8,36,19,22.2
布文,2024-10,10,68,20,14.7
布文,2024-11,3,51,11,5.9
布文,2024-12,5,63,19,7.9
布文,2025-01,11,68,26,16.2
布文,2025-02,5,46,18,10.9
布文,2025-03,9,64,22,14.1
布文,2025-04,7,57,25,12.3
布文,2025-05,8,72,25,11.1
布文,2025-06,1,40,7,2.5
布文,2025-07,5,29,7,17.2
希威森,2024-09,3,42,10,7.1
希威森,2024-10,2,62,9,3.2
希威森,2024-11,2,54,9,3.7
希威森,2024-12,1,52,10,1.9
希威森,2025-01,2,51,10,3.9
希威森,2025-02,3,33,10,9.1
希威森,2025-03,4,47,11,8.5
希威森,2025-04,2,58,12,3.4
希威森,2025-05,6,58,16,10.3
希威森,2025-06,4,37,12,10.8
杜滿樂,2024-12,0,2,0,0.0
杜苑欣,2024-12,1,8,1,12.5
杜苑欣,2025-02,1,16,6,6.2
柯浩新,2024-12,0,1,0,0.0
梁家俊,2024-09,1,36,10,2.8
梁家俊,2024-10,2,41,16,4.9
梁家俊,2024-11,7,52,15,13.5
梁家俊,2024-12,1,18,3,5.6
梁家俊,2025-01,3,54,10,5.6
梁家俊,2025-02,1,12,3,8.3
梁家俊,2025-03,4,34,8,11.8
梁家俊,2025-04,2,56,11,3.6
梁家俊,2025-05,6,53,14,11.3
梁家俊,2025-06,4,47,12,8.5
梁家俊,2025-07,5,44,7,11.4
楊明綸,2024-09,1,28,6,3.6
楊明綸,2024-10,2,40,8,5.0
楊明綸,2024-11,4,46,11,8.7
楊明綸,2024-12,2,56,5,3.6
楊明綸,2025-01,1,44,5,2.3
楊明綸,2025-02,0,25,2,0.0
楊明綸,2025-03,2,45,6,4.4
楊明綸,2025-04,2,50,9,4.0
楊明綸,2025-05,4,47,9,8.5
楊明綸,2025-06,1,37,6,2.7
楊明綸,2025-07,1,16,5,6.2
湯普新,2024-09,1,25,4,4.0
湯普新,2024-10,1,29,3,3.4
湯普新,2024-11,0,35,4,0.0
湯普新,2024-12,1,37,6,2.7
湯普新,2025-01,1,35,3,2.9
湯普新,2025-02,1,43,6,2.3
湯普新,2025-03,1,49,8,2.0
湯普新,2025-04,2,20,6,10.0
湯普新,2025-05,0,42,7,0.0
湯普新,2025-06,0,37,1,0.0
湯普新,2025-07,1,28,4,3.6
溫蘿,2024-12,0,1,0,0.0
潘明輝,2024-09,6,40,14,15.0
潘明輝,2024-10,3,56,17,5.4
潘明輝,2024-11,5,56,9,8.9
潘明輝,2024-12,4,51,12,7.8
潘明輝,2025-01,3,59,14,5.1
潘明輝,2025-02,5,39,12,12.8
潘明輝,2025-03,3,53,9,5.7
潘明輝,2025-04,0,65,11,0.0
潘明輝,2025-05,6,63,16,9.5
潘明輝,2025-06,1,39,8,2.6
潘明輝,2025-07,0,39,8,0.0
潘頓,2024-09,13,53,31,24.5
潘頓,2024-10,19,69,36,27.5
潘頓,2024-11,11,65,30,16.9
潘頓,2024-12,17,69,30,24.6
潘頓,2025-01,20,78,48,25.6
潘頓,2025-02,4,15,9,26.7
潘頓,2025-03,3,9,6,33.3
