Jockey,RunStyle,Wins,Starts,Places,WinRate
何澤堯,Closer,12,123,33,9.8
何澤堯,Frontrunner,4,39,13,10.3
何澤堯,Midpack,11,94,34,11.7
司徒岳,Closer,0,1,0,0.0
周俊樂,Closer,7,161,13,4.3
周俊樂,Frontrunner,5,67,20,7.5
周俊樂,Midpack,11,145,32,7.6
奧爾民,Closer,4,109,10,3.7
奧爾民,Frontrunner,6,46,19,13.0
奧爾民,Midpack,3,81,18,3.7
川田將雅,Closer,0,5,1,0.0
川田將雅,Frontrunner,0,2,0,0.0
川田將雅,Midpack,0,2,0,0.0
巫顯東,Closer,0,61,1,0.0
巫顯東,Frontrunner,1,30,5,3.3
巫顯東,Midpack,3,29,6,10.3
巴度,Closer,3,227,34,1.3
巴度,Frontrunner,14,104,37,13.5
巴度,Midpack,14,187,45,7.5
巴米高,Closer,0,7,0,0.0
巴米高,Frontrunner,0,2,1,0.0
巴米高,Midpack,3,9,4,33.3
布宜學,Closer,0,4,0,0.0
布宜學,Midpack,0,2,1,0.0
布文,Closer,35,299,91,11.7
布文,Frontrunner,14,108,44,13.0
布文,Midpack,23,187,64,12.3
希威森,Closer,6,210,27,2.9
希威森,Frontrunner,14,136,46,10.3
希威森,Midpack,9,148,36,6.1
杜滿樂,Frontrunner,0,1,0,0.0
杜滿樂,Midpack,0,1,0,0.0
杜苑欣,Closer,1,12,4,8.3
杜苑欣,Frontrunner,1,6,1,16.7
杜苑欣,Midpack,0,6,2,0.0
柯浩新,Midpack,0,1,0,0.0
梁家俊,Closer,5,172,26,2.9
梁家俊,Frontrunner,17,132,45,12.9
梁家俊,Midpack,14,143,38,9.8
楊明綸,Closer,2,178,12,1.1
楊明綸,Frontrunner,7,125,33,5.6
楊明綸,Midpack,11,131,27,8.4
湯普新,Closer,3,206,18,1.5
湯普新,Frontrunner,3,61,14,4.9
湯普新,Midpack,3,113,20,2.7
溫蘿,Closer,0,1,0,0.0
潘明輝,Closer,10,202,37,5.0
潘明輝,Frontrunner,15,149,42,10.1
潘明輝,Midpack,11,209,51,5.3
潘頓,Closer,32,211,75,15.2
潘頓,Frontrunner,60,195,108,30.8
潘頓,Midpack,46,185,109,24.9
班德禮,Closer,8,207,33,3.9
班德禮,Frontrunner,6,79,20,7.6
班德禮,Midpack,17,176,50,9.7
田泰安,Closer,11,310,64,3.5
田泰安,Frontrunner,15,126,50,11.9
田泰安,Midpack,18,198,50,9.1
簡國能,Closer,0,5,2,0.0
羅敦,Closer,0,1,0,0.0
羅敦,Frontrunner,0,1,0,0.0
艾兆禮,Closer,15,255,46,5.9
艾兆禮,Frontrunner,24,140,60,17.1
艾兆禮,Midpack,19,223,71,8.5
艾道拿,Closer,19,241,58,7.9
艾道拿,Frontrunner,15,100,34,15.0
艾道拿,Midpack,13,170,54,7.6
苗傑美,Closer,0,2,0,0.0
苗傑美,Frontrunner,0,2,1,0.0
范以誠,Closer,0,1,0,0.0
范以誠,Midpack,0,1,1,0.0
莫艾誠,Closer,1,2,1,50.0
莫雅,Closer,1,21,6,4.8
莫雅,Frontrunner,3,6,4,50.0
莫雅,Midpack,2,14,5,14.3
莫雷拉,Closer,2,14,8,14.3
莫雷拉,Frontrunner,0,4,0,0.0
莫雷拉,Midpack,3,13,8,23.1
菅原明良,Closer,0,1,0,0.0
董明朗,Closer,3,144,13,2.1
董明朗,Frontrunner,4,47,7,8.5
董明朗,Midpack,5,53,15,9.4
蔡明紹,Closer,5,233,27,2.1
蔡明紹,Frontrunner,20,154,59,13.0
蔡明紹,Midpack,10,189,41,5.3
薛凱華,Closer,0,1,0,0.0
薛凱華,Midpack,0,2,0,0.0
薛恩,Closer,1,15,4,6.7
薛恩,Frontrunner,0,6,2,0.0
薛恩,Midpack,1,6,1,16.7
蘇銘倫,Closer,0,11,1,0.0
蘇銘倫,Frontrunner,0,1,0,0.0
蘇銘倫,Midpack,0,5,1,0.0
西村淳也,Closer,0,1,0,0.0
貝知仁,Closer,0,46,4,0.0
貝知仁,Frontrunner,1,17,4,5.9
貝知仁,Midpack,1,42,7,2.4
賀銘年,Closer,2,120,16,1.7
賀銘年,Frontrunner,4,65,14,6.2
賀銘年,Midpack,6,88,19,6.8
連達文,Closer,0,1,0,0.0
連達文,Frontrunner,0,1,1,0.0
連達文,Midpack,1,1,1,100.0
郭立基,Frontrunner,0,1,0,0.0
金美琪,Closer,0,1,0,0.0
金美琪,Frontrunner,0,2,0,0.0
金美琪,Midpack,0,1,0,0.0
金誠剛,Closer,0,14,2,0.0
金誠剛,Frontrunner,3,10,4,30.0
金誠剛,Midpack,1,18,4,5.6
鍾易禮,Closer,2,167,11,1.2
鍾易禮,Frontrunner,14,142,39,9.9
鍾易禮,Midpack,4,137,21,2.9
陳嘉熙,Closer,0,5,1,0.0
陳嘉熙,Frontrunner,1,3,1,33.3
陳嘉熙,Midpack,0,10,2,0.0
霍宏聲,Closer,13,191,39,6.8
霍宏聲,Frontrunner,23,154,55,14.9
霍宏聲,Midpack,11,136,28,8.1
韋紀力,Closer,1,11,2,9.1
韋紀力,Frontrunner,0,5,1,0.0
韋紀力,Midpack,3,11,5,27.3
馬昆,Closer,1,15,1,6.7
馬昆,Frontrunner,0,1,0,0.0
馬昆,Midpack,1,8,2,12.5
麥當能,Closer,0,21,1,0.0
麥當能,Frontrunner,1,5,1,20.0
麥當能,Midpack,0,9,0,0.0
麥道朗,Closer,5,49,17,10.2
麥道朗,Frontrunner,6,20,11,30.0
麥道朗,Midpack,15,52,26,28.8
黃寶妮,Closer,1,36,3,2.8
黃寶妮,Frontrunner,17,113,24,15.0
黃寶妮,Midpack,0,60,8,0.0
黃智弘,Closer,5,81,15,6.2
黃智弘,Frontrunner,7,133,34,5.3
黃智弘,Midpack,13,86,27,15.1
黎應揚,Midpack,0,1,0,0.0
