Jockey,Trainer,Wins,Starts,Places,Profit,WinRate,PlaceRate,ROI
潘頓,大衛希斯,18,74,40,-34.199999999999996,24.3,54.1,-46.2
布文,方嘉柏,18,113,42,-8.4,15.9,37.2,-7.4
艾道拿,蔡約翰,17,144,57,-30.8,11.8,39.6,-21.4
潘頓,蔡約翰,15,58,30,-8.9,25.9,51.7,-15.3
潘頓,羅富全,15,47,28,9.799999999999997,31.9,59.6,20.9
鍾易禮,告東尼,12,229,43,-68.4,5.2,18.8,-29.9
霍宏聲,廖康銘,12,149,41,-41.400000000000006,8.1,27.5,-27.8
艾兆禮,伍鵬志,11,95,24,5.700000000000001,11.6,25.3,6.0
黃智弘,方嘉柏,11,100,26,-7.199999999999999,11.0,26.0,-7.2
布文,蔡約翰,11,85,34,34.4,12.9,40.0,40.5
梁家俊,巫偉傑,10,80,23,9.999999999999998,12.5,28.7,12.5
潘頓,蘇偉賢,10,48,22,2.1999999999999993,20.8,45.8,4.6
艾道拿,告東尼,10,105,26,-1.5999999999999979,9.5,24.8,-1.5
布文,韋達,10,42,18,31.9,23.8,42.9,76.0
蔡明紹,巫偉傑,10,137,32,11.699999999999996,7.3,23.4,8.5
潘頓,黎昭昇,10,40,21,-2.3000000000000016,25.0,52.5,-5.8
潘頓,賀賢,9,34,19,-2.6,26.5,55.9,-7.6
潘頓,呂健威,9,29,19,3.2,31.0,65.5,11.0
黃寶妮,文家良,9,52,16,26.4,17.3,30.8,50.8
艾兆禮,羅富全,8,48,16,-11.600000000000001,16.7,33.3,-24.2
布文,沈集成,8,49,13,-17.8,16.3,26.5,-36.3
希威森,呂健威,8,101,24,-45.1,7.9,23.8,-44.7
田泰安,大衛希斯,8,71,27,-40.6,11.3,38.0,-57.2
潘頓,文家良,8,24,12,15.3,33.3,50.0,63.8
潘頓,伍鵬志,8,58,26,-29.599999999999998,13.8,44.8,-51.0
潘明輝,姚本輝,8,62,18,48.4,12.9,29.0,78.1
艾兆禮,蔡約翰,8,67,21,-0.1999999999999993,11.9,31.3,-0.3
潘頓,葉楚航,7,27,12,-4.4,25.9,44.4,-16.3
麥道朗,姚本輝,7,17,9,-1.7999999999999998,41.2,52.9,-10.6
潘頓,沈集成,7,26,10,-6.0,26.9,38.5,-23.1
田泰安,游達榮,7,77,23,71.7,9.1,29.9,93.1
董明朗,蘇偉賢,7,90,15,100.60000000000001,7.8,16.7,111.8
梁家俊,羅富全,7,82,20,-15.6,8.5,24.4,-19.0
田泰安,蔡約翰,6,49,14,17.7,12.2,28.6,36.1
麥道朗,沈集成,6,25,13,-4.9,24.0,52.0,-19.6
巴度,告東尼,6,61,18,-18.3,9.8,29.5,-30.0
班德禮,蘇偉賢,6,31,12,31.1,19.4,38.7,100.3
希威森,廖康銘,6,81,19,-19.799999999999997,7.4,23.5,-24.4
艾道拿,大衛希斯,6,27,13,46.3,22.2,48.1,171.5
巴度,廖康銘,6,49,20,-11.6,12.2,40.8,-23.7
潘頓,游達榮,6,18,10,-4.3999999999999995,33.3,55.6,-24.4
潘頓,告東尼,6,25,13,4.2,24.0,52.0,16.8
何澤堯,呂健威,6,63,12,-5.600000000000001,9.5,19.0,-8.9
班德禮,巫偉傑,5,35,11,24.6,14.3,31.4,70.3
霍宏聲,容天鵬,5,19,9,54.1,26.3,47.4,284.7
梁家俊,文家良,5,47,11,-2.400000000000001,10.6,23.4,-5.1
黃智弘,大衛希斯,5,52,16,-4.8,9.6,30.8,-9.2
潘明輝,賀賢,5,84,16,-37.2,6.0,19.0,-44.3
何澤堯,伍鵬志,5,36,14,-10.8,13.9,38.9,-30.0
布文,姚本輝,5,24,10,-7.1000000000000005,20.8,41.7,-29.6
希威森,韋達,5,79,18,-38.9,6.3,22.8,-49.2
霍宏聲,大衛希斯,5,33,9,25.8,15.2,27.3,78.2
霍宏聲,姚本輝,4,33,6,20.5,12.1,18.2,62.1
霍宏聲,丁冠豪,4,24,6,4.300000000000001,16.7,25.0,17.9
班德禮,丁冠豪,4,67,12,22.0,6.0,17.9,32.8
班德禮,韋達,4,73,15,2.4000000000000004,5.5,20.5,3.3
霍宏聲,游達榮,4,28,7,20.2,14.3,25.0,72.1
奧爾民,徐雨石,4,27,11,2.0,14.8,40.7,7.4
周俊樂,姚本輝,4,38,17,-20.6,10.5,44.7,-54.2
何澤堯,蘇偉賢,4,29,6,1.5,13.8,20.7,5.2
周俊樂,巫偉傑,4,23,5,7.5,17.4,21.7,32.6
蔡明紹,告東尼,4,79,19,-51.3,5.1,24.1,-64.9
何澤堯,方嘉柏,4,29,14,1.9000000000000004,13.8,48.3,6.6
蔡明紹,姚本輝,4,34,8,-13.0,11.8,23.5,-38.2
布文,廖康銘,4,23,9,-5.799999999999999,17.4,39.1,-25.2
蔡明紹,廖康銘,4,35,16,11.6,11.4,45.7,33.1
布文,大衛希斯,4,40,14,-27.3,10.0,35.0,-68.2
艾兆禮,姚本輝,4,50,21,-6.7,8.0,42.0,-13.4
艾兆禮,廖康銘,4,13,5,13.399999999999999,30.8,38.5,103.1
艾兆禮,呂健威,4,36,11,-12.6,11.1,30.6,-35.0
楊明綸,告東尼,4,16,5,25.0,25.0,31.2,156.2
艾兆禮,游達榮,4,62,15,-31.799999999999997,6.5,24.2,-51.3
湯普新,鄭俊偉,3,53,12,-23.3,5.7,22.6,-44.0
潘頓,丁冠豪,3,8,4,-1.9,37.5,50.0,-23.8
霍宏聲,文家良,3,18,4,-5.5,16.7,22.2,-30.6
田泰安,葉楚航,3,28,8,10.0,10.7,28.6,35.7
田泰安,鄭俊偉,3,29,13,-9.1,10.3,44.8,-31.4
田泰安,賀賢,3,74,16,-59.0,4.1,21.6,-79.7
田泰安,徐雨石,3,45,8,-23.5,6.7,17.8,-52.2
潘明輝,伍鵬志,3,66,16,-34.5,4.5,24.2,-52.3
潘明輝,廖康銘,3,28,8,-7.5,10.7,28.6,-26.8
班德禮,沈集成,3,52,10,-37.6,5.8,19.2,-72.3
周俊樂,葉楚航,3,41,6,-15.7,7.3,14.6,-38.3
艾兆禮,方嘉柏,3,14,7,4.6000000000000005,21.4,50.0,32.9
艾兆禮,文家良,3,19,6,9.5,15.8,31.6,50.0
艾兆禮,葉楚航,3,32,8,-17.3,9.4,25.0,-54.1
鍾易禮,丁冠豪,3,19,5,95.6,15.8,26.3,503.2
梁家俊,鄭俊偉,3,30,4,19.0,10.0,13.3,63.3
楊明綸,羅富全,3,25,7,5.3,12.0,28.0,21.2
艾道拿,賀賢,3,56,9,-46.8,5.4,16.1,-83.6
艾道拿,游達榮,3,9,5,-0.30000000000000027,33.3,55.6,-3.3
梁家俊,丁冠豪,3,30,7,-12.1,10.0,23.3,-40.3
金誠剛,姚本輝,3,11,7,8.9,27.3,63.6,80.9
賀銘年,巫偉傑,3,32,8,17.0,9.4,25.0,53.1
巴度,方嘉柏,3,42,10,-19.1,7.1,23.8,-45.5
巴度,文家良,3,24,6,-3.3999999999999995,12.5,25.0,-14.2
巴度,游達榮,3,13,6,-2.0999999999999996,23.1,46.2,-16.2
希威森,大衛希斯,3,53,13,-19.4,5.7,24.5,-36.6
布文,賀賢,3,45,14,-34.2,6.7,31.1,-76.0
蔡明紹,蘇偉賢,3,27,6,1.0,11.1,22.2,3.7
蔡明紹,葉楚航,3,25,6,17.9,12.0,24.0,71.6
蔡明紹,文家良,3,39,9,3.9000000000000004,7.7,23.1,10.0
莫雅,蔡約翰,3,18,7,-7.3,16.7,38.9,-40.6
黃寶妮,韋達,3,21,3,1.3999999999999986,14.3,14.3,6.7
周俊樂,容天鵬,3,103,10,-59.1,2.9,9.7,-57.4
潘明輝,游達榮,3,28,10,-8.8,10.7,35.7,-31.4
麥道朗,蔡約翰,2,19,9,-10.5,10.5,47.4,-55.3
麥道朗,游達榮,2,6,3,3.2,33.3,50.0,53.3
黃智弘,沈集成,2,30,6,15.0,6.7,20.0,50.0
布文,文家良,2,19,4,-14.4,10.5,21.1,-75.8
莫雷拉,呂健威,2,7,3,-3.2,28.6,42.9,-45.7
希威森,黎昭昇,2,19,4,15.7,10.5,21.1,82.6
希威森,容天鵬,2,39,8,-8.0,5.1,20.5,-20.5
周俊樂,伍鵬志,2,19,4,19.0,10.5,21.1,100.0
潘明輝,葉楚航,2,27,7,-18.0,7.4,25.9,-66.7
潘明輝,羅富全,2,58,14,-31.6,3.4,24.1,-54.5
潘明輝,沈集成,2,38,7,21.4,5.3,18.4,56.3
楊明綸,蘇偉賢,2,58,14,-32.8,3.4,24.1,-56.6
楊明綸,鄭俊偉,2,62,10,-47.7,3.2,16.1,-76.9
楊明綸,黎昭昇,2,13,3,-5.9,15.4,23.1,-45.4
田泰安,伍鵬志,2,53,9,-32.0,3.8,17.0,-60.4
楊明綸,徐雨石,2,38,6,103.2,5.3,15.8,271.6
潘明輝,告東尼,2,12,5,7.700000000000001,16.7,41.7,64.2
班德禮,告東尼,2,31,11,-21.4,6.5,35.5,-69.0
田泰安,巫偉傑,2,24,9,-14.8,8.3,37.5,-61.7
巫顯東,沈集成,2,37,4,31.3,5.4,10.8,84.6
馬昆,呂健威,2,3,2,22.3,66.7,66.7,743.3
黃寶妮,容天鵬,2,7,2,-0.10000000000000053,28.6,28.6,-1.4
麥道朗,呂健威,2,4,2,4.300000000000001,50.0,50.0,107.5
田泰安,羅富全,2,25,6,-17.2,8.0,24.0,-68.8
霍宏聲,羅富全,2,30,5,-11.1,6.7,16.7,-37.0
巴度,容天鵬,2,18,4,-8.3,11.1,22.2,-46.1
韋紀力,呂健威,2,5,3,23.7,40.0,60.0,474.0
艾道拿,廖康銘,2,17,5,9.0,11.8,29.4,52.9
艾道拿,方嘉柏,2,24,7,-11.4,8.3,29.2,-47.5
霍宏聲,呂健威,2,21,7,-5.7,9.5,33.3,-27.1
巴度,蔡約翰,2,72,10,-65.7,2.8,13.9,-91.3
鍾易禮,徐雨石,2,33,11,40.0,6.1,33.3,121.2
霍宏聲,方嘉柏,2,39,13,-32.4,5.1,33.3,-83.1
艾兆禮,巫偉傑,2,19,4,-1.3000000000000007,10.5,21.1,-6.8
楊明綸,大衛希斯,2,66,6,-56.1,3.0,9.1,-85.0
賀銘年,鄭俊偉,2,17,5,7.0,11.8,29.4,41.2
艾道拿,黎昭昇,2,35,8,-15.3,5.7,22.9,-43.7
賀銘年,方嘉柏,2,12,4,14.3,16.7,33.3,119.2
梁家俊,容天鵬,2,30,8,6.0,6.7,26.7,20.0
梁家俊,姚本輝,2,35,15,-21.4,5.7,42.9,-61.1
董明朗,呂健威,2,31,3,2.0,6.5,9.7,6.5
莫雷拉,羅富全,2,4,2,9.2,50.0,50.0,230.0
布文,黎昭昇,2,27,7,-16.0,7.4,25.9,-59.3
湯普新,告東尼,2,19,5,-7.8,10.5,26.3,-41.1
潘明輝,文家良,2,40,6,-24.4,5.0,15.0,-61.0
班德禮,方嘉柏,2,29,2,-11.6,6.9,6.9,-40.0
黃寶妮,大衛希斯,2,20,4,-5.6000000000000005,10.0,20.0,-28.0
潘明輝,鄭俊偉,2,32,8,-12.2,6.2,25.0,-38.1
奧爾民,姚本輝,2,28,9,3.1999999999999993,7.1,32.1,11.4
周俊樂,沈集成,2,45,9,-37.3,4.4,20.0,-82.9
潘頓,廖康銘,2,18,5,-12.9,11.1,27.8,-71.7
潘頓,姚本輝,2,10,4,-6.4,20.0,40.0,-64.0
潘頓,容天鵬,2,17,6,4.800000000000001,11.8,35.3,28.2
何澤堯,文家良,2,11,6,17.4,18.2,54.5,158.2
黃智弘,伍鵬志,2,25,9,7.0,8.0,36.0,28.0
奧爾民,蘇偉賢,2,16,5,2.5999999999999996,12.5,31.2,16.2
蔡明紹,韋達,1,45,11,-39.8,2.2,24.4,-88.4
薛恩,容天鵬,1,1,1,2.8,100.0,100.0,280.0
薛恩,巫偉傑,1,2,1,1.9,50.0,50.0,95.0
周俊樂,呂健威,1,18,4,-14.3,5.6,22.2,-79.4
周俊樂,丁冠豪,1,21,5,-17.0,4.8,23.8,-81.0
何澤堯,鄭俊偉,1,4,2,4.300000000000001,25.0,50.0,107.5
周俊樂,羅富全,1,12,1,54.0,8.3,8.3,450.0
貝知仁,呂健威,1,12,3,1.0,8.3,25.0,8.3
賀銘年,呂健威,1,10,3,70.0,10.0,30.0,700.0
黃寶妮,賀賢,1,30,5,-18.0,3.3,16.7,-60.0
黃智弘,姚本輝,1,13,3,-5.2,7.7,23.1,-40.0
何澤堯,葉楚航,1,6,2,-1.9000000000000004,16.7,33.3,-31.7
