Date,Month,Season,RaceNo,RaceClass,Venue,Track,Course,Going,Distance,Horse,Jockey,Trainer,Draw,Rank,Win,Place,Odds,OddsBucket,Profit,ActualWt,WtBucket,HorseWt,FinishTimeSec,RunStyle,RunningPos,HorseID,Sire,DamSire,Origin
2024-09-08,2024-09,24/25,1,Class 5,沙田,Turf,飛鵝山讓賽,第五班 - 1600米 - (40-0),1600,上市魅力(H196),潘頓,蘇偉賢,6,1,1,1,2.8,Hot Fav (<3),1.7999999999999998,129,Med-Heavy (127-130),1092,95.08,Midpack,4 4 4 1,H196,Unknown,Unknown,Unknown
2024-09-08,2024-09,24/25,1,Class 5,沙田,Turf,飛鵝山讓賽,第五班 - 1600米 - (40-0),1600,樂天派(E166),田泰安,大衛希斯,4,2,0,1,29.0,Longshot (20-50),-1.0,126,Medium (121-126),1146,95.15,Closer,8 9 8 2,E166,Unknown,Unknown,Unknown
2024-09-08,2024-09,24/25,1,Class 5,沙田,Turf,飛鵝山讓賽,第五班 - 1600米 - (40-0),1600,富喜來(H213),布文,沈集成,12,3,0,1,3.5,Fav (3-6),-1.0,135,Heavy (131+),1071,95.28999999999999,Closer,11 10 10 3,H213,Unknown,Unknown,Unknown
2024-09-08,2024-09,24/25,1,Class 5,沙田,Turf,飛鵝山讓賽,第五班 - 1600米 - (40-0),1600,電路九號(G140),周俊樂,葉楚航,1,4,0,0,16.0,Mid (10-20),-1.0,129,Med-Heavy (127-130),1120,95.3,Midpack,7 6 5 4,G140,Unknown,Unknown,Unknown
2024-09-08,2024-09,24/25,1,Class 5,沙田,Turf,飛鵝山讓賽,第五班 - 1600米 - (40-0),1600,極速之子(H332),班德禮,姚本輝,11,5,0,0,45.0,Longshot (20-50),-1.0,130,Med-Heavy (127-130),1049,95.4,Closer,10 11 11 5,H332,Unknown,Unknown,Unknown
2024-09-08,2024-09,24/25,1,Class 5,沙田,Turf,飛鵝山讓賽,第五班 - 1600米 - (40-0),1600,領航傳祺(G126),潘明輝,鄭俊偉,5,6,0,0,9.6,Contender (6-10),-1.0,124,Medium (121-126),1129,95.5,Closer,9 8 6 6,G126,Unknown,Unknown,Unknown
2024-09-08,2024-09,24/25,1,Class 5,沙田,Turf,飛鵝山讓賽,第五班 - 1600米 - (40-0),1600,同寶寶(H386),巴度,伍鵬志,8,7,0,0,9.7,Contender (6-10),-1.0,134,Heavy (131+),1093,95.6,Frontrunner,3 3 2 7,H386,Unknown,Unknown,Unknown
2024-09-08,2024-09,24/25,1,Class 5,沙田,Turf,飛鵝山讓賽,第五班 - 1600米 - (40-0),1600,神煞金剛(H202),艾兆禮,葉楚航,13,8,0,0,52.0,Outsider (50+),-1.0,135,Heavy (131+),1121,95.89,Closer,13 13 12 8,H202,Unknown,Unknown,Unknown
2024-09-08,2024-09,24/25,1,Class 5,沙田,Turf,飛鵝山讓賽,第五班 - 1600米 - (40-0),1600,竣誠駒(H486),艾道拿,告東尼,9,9,0,0,17.0,Mid (10-20),-1.0,130,Med-Heavy (127-130),1158,96.02000000000001,Midpack,6 7 9 9,H486,Unknown,Unknown,Unknown
2024-09-08,2024-09,24/25,1,Class 5,沙田,Turf,飛鵝山讓賽,第五班 - 1600米 - (40-0),1600,開心漢子(H101),梁家俊,文家良,7,10,0,0,24.0,Longshot (20-50),-1.0,119,Med-Light (116-120),1208,96.28999999999999,Frontrunner,2 2 3 10,H101,Unknown,Unknown,Unknown
2024-09-08,2024-09,24/25,1,Class 5,沙田,Turf,飛鵝山讓賽,第五班 - 1600米 - (40-0),1600,朗日雪峰(J187),黃智弘,方嘉柏,2,11,0,0,30.0,Longshot (20-50),-1.0,128,Med-Heavy (127-130),1242,96.72999999999999,Frontrunner,1 1 1 11,J187,Unknown,Unknown,Unknown
2024-09-08,2024-09,24/25,1,Class 5,沙田,Turf,飛鵝山讓賽,第五班 - 1600米 - (40-0),1600,皮具大師(H034),湯普新,容天鵬,3,12,0,0,11.0,Mid (10-20),-1.0,122,Medium (121-126),1122,96.86,Midpack,5 5 7 12,H034,Unknown,Unknown,Unknown
2024-09-08,2024-09,24/25,1,Class 5,沙田,Turf,飛鵝山讓賽,第五班 - 1600米 - (40-0),1600,神虎金剛(J064),楊明綸,葉楚航,10,13,0,0,131.0,Outsider (50+),-1.0,129,Med-Heavy (127-130),1225,98.3,Closer,12 12 13 13,J064,Unknown,Unknown,Unknown
2024-09-08,2024-09,24/25,2,Class 5,沙田,Turf,蓮花山讓賽,第五班 - 1200米 - (40-0),1200,有你有我(H057),艾道拿,廖康銘,9,1,1,1,15.0,Mid (10-20),14.0,126,Medium (121-126),974,69.98,Frontrunner,3 2 1,H057,Unknown,Unknown,Unknown
2024-09-08,2024-09,24/25,2,Class 5,沙田,Turf,蓮花山讓賽,第五班 - 1200米 - (40-0),1200,可愛新星(H291),梁家俊,葉楚航,12,2,0,1,7.8,Contender (6-10),-1.0,122,Medium (121-126),1109,70.06,Closer,11 12 2,H291,Unknown,Unknown,Unknown
2024-09-08,2024-09,24/25,2,Class 5,沙田,Turf,蓮花山讓賽,第五班 - 1200米 - (40-0),1200,飛躍精英(H247),布文,賀賢,4,3,0,1,3.1,Fav (3-6),-1.0,134,Heavy (131+),1078,70.21000000000001,Midpack,6 4 3,H247,Unknown,Unknown,Unknown
2024-09-08,2024-09,24/25,2,Class 5,沙田,Turf,蓮花山讓賽,第五班 - 1200米 - (40-0),1200,投資有利(G025),田泰安,韋達,7,4,0,0,10.0,Mid (10-20),-1.0,124,Medium (121-126),1103,70.21000000000001,Frontrunner,2 3 4,G025,Unknown,Unknown,Unknown
2024-09-08,2024-09,24/25,2,Class 5,沙田,Turf,蓮花山讓賽,第五班 - 1200米 - (40-0),1200,醒目勇駒(B456),潘頓,蘇偉賢,5,5,0,0,4.5,Fav (3-6),-1.0,133,Heavy (131+),1129,70.36,Closer,8 8 5,B456,Unknown,Unknown,Unknown
2024-09-08,2024-09,24/25,2,Class 5,沙田,Turf,蓮花山讓賽,第五班 - 1200米 - (40-0),1200,帝豪歡星(H248),巫顯東,鄭俊偉,10,6,0,0,48.0,Longshot (20-50),-1.0,117,Med-Light (116-120),1047,70.4,Frontrunner,1 1 6,H248,Unknown,Unknown,Unknown
2024-09-08,2024-09,24/25,2,Class 5,沙田,Turf,蓮花山讓賽,第五班 - 1200米 - (40-0),1200,青春力量(H358),楊明綸,大衛希斯,8,7,0,0,27.0,Longshot (20-50),-1.0,130,Med-Heavy (127-130),1006,70.4,Midpack,7 6 7,H358,Unknown,Unknown,Unknown
2024-09-08,2024-09,24/25,2,Class 5,沙田,Turf,蓮花山讓賽,第五班 - 1200米 - (40-0),1200,合金皇(D287),班德禮,丁冠豪,1,8,0,0,26.0,Longshot (20-50),-1.0,127,Med-Heavy (127-130),1103,70.51,Midpack,4 5 8,D287,Unknown,Unknown,Unknown
2024-09-08,2024-09,24/25,2,Class 5,沙田,Turf,蓮花山讓賽,第五班 - 1200米 - (40-0),1200,雄昇勇士(J067),蔡明紹,徐雨石,11,9,0,0,56.0,Outsider (50+),-1.0,123,Medium (121-126),1181,70.62,Closer,12 13 9,J067,Unknown,Unknown,Unknown
2024-09-08,2024-09,24/25,2,Class 5,沙田,Turf,蓮花山讓賽,第五班 - 1200米 - (40-0),1200,超級精英(J121),湯普新,黎昭昇,6,10,0,0,107.0,Outsider (50+),-1.0,133,Heavy (131+),1115,70.72,Closer,10 9 10,J121,Unknown,Unknown,Unknown
2024-09-08,2024-09,24/25,2,Class 5,沙田,Turf,蓮花山讓賽,第五班 - 1200米 - (40-0),1200,戰鬥英雄(D050),陳嘉熙,方嘉柏,3,11,0,0,9.9,Contender (6-10),-1.0,126,Medium (121-126),1096,70.73,Midpack,5 7 11,D050,Unknown,Unknown,Unknown
2024-09-08,2024-09,24/25,2,Class 5,沙田,Turf,蓮花山讓賽,第五班 - 1200米 - (40-0),1200,馬有運(H121),巴度,伍鵬志,2,12,0,0,7.5,Contender (6-10),-1.0,135,Heavy (131+),1128,70.73,Closer,9 10 12,H121,Unknown,Unknown,Unknown
2024-09-08,2024-09,24/25,2,Class 5,沙田,Turf,蓮花山讓賽,第五班 - 1200米 - (40-0),1200,逆市奇爸(E321),霍宏聲,容天鵬,13,13,0,0,36.0,Longshot (20-50),-1.0,134,Heavy (131+),1286,70.98,Closer,13 11 13,E321,Unknown,Unknown,Unknown
2024-09-08,2024-09,24/25,3,Class 1,沙田,Turf,香港特區行政長官盃（讓賽）,第一班 - 1200米 - (80+),1200,嘉應高昇(J062),潘頓,大衛希斯,7,1,1,1,2.3,Hot Fav (<3),1.2999999999999998,135,Heavy (131+),1116,68.03,Frontrunner,2 2 1,J062,Unknown,Unknown,Unknown
2024-09-08,2024-09,24/25,3,Class 1,沙田,Turf,香港特區行政長官盃（讓賽）,第一班 - 1200米 - (80+),1200,美麗第一(H294),巴度,伍鵬志,2,2,0,1,2.4,Hot Fav (<3),-1.0,115,Light (<=115),1168,68.24,Frontrunner,3 3 2,H294,Unknown,Unknown,Unknown
2024-09-08,2024-09,24/25,3,Class 1,沙田,Turf,香港特區行政長官盃（讓賽）,第一班 - 1200米 - (80+),1200,八駿巨昇(H092),鍾易禮,告東尼,1,3,0,1,9.0,Contender (6-10),-1.0,115,Light (<=115),1132,68.53,Midpack,4 4 3,H092,Unknown,Unknown,Unknown
2024-09-08,2024-09,24/25,3,Class 1,沙田,Turf,香港特區行政長官盃（讓賽）,第一班 - 1200米 - (80+),1200,人和家興(E061),董明朗,大衛希斯,10,4,0,0,32.0,Longshot (20-50),-1.0,116,Med-Light (116-120),1195,68.63,Frontrunner,1 1 4,E061,Unknown,Unknown,Unknown
2024-09-08,2024-09,24/25,3,Class 1,沙田,Turf,香港特區行政長官盃（讓賽）,第一班 - 1200米 - (80+),1200,威力奔騰(G045),布文,賀賢,3,5,0,0,13.0,Mid (10-20),-1.0,131,Heavy (131+),1216,68.78,Midpack,7 5 5,G045,Unknown,Unknown,Unknown
2024-09-08,2024-09,24/25,3,Class 1,沙田,Turf,香港特區行政長官盃（讓賽）,第一班 - 1200米 - (80+),1200,幸運有您(E356),艾兆禮,羅富全,6,6,0,0,23.0,Longshot (20-50),-1.0,127,Med-Heavy (127-130),1179,68.97,Midpack,5 6 6,E356,Unknown,Unknown,Unknown
