Course,Draw,Wins,Starts,Places,WinRate
APM MONACO盃（讓賽）,1,0,1,0,0.0
APM MONACO盃（讓賽）,10,0,1,0,0.0
APM MONACO盃（讓賽）,11,0,1,1,0.0
APM MONACO盃（讓賽）,12,0,1,1,0.0
APM MONACO盃（讓賽）,2,0,1,0,0.0
APM MONACO盃（讓賽）,3,1,1,1,100.0
APM MONACO盃（讓賽）,4,0,1,0,0.0
APM MONACO盃（讓賽）,5,0,1,0,0.0
APM MONACO盃（讓賽）,6,0,1,0,0.0
APM MONACO盃（讓賽）,7,0,1,0,0.0
APM MONACO盃（讓賽）,8,0,1,0,0.0
APM MONACO盃（讓賽）,9,0,1,0,0.0
CANMAKE TOKYO讓賽,1,0,1,0,0.0
CANMAKE TOKYO讓賽,10,0,1,0,0.0
CANMAKE TOKYO讓賽,11,1,1,1,100.0
CANMAKE TOKYO讓賽,12,0,1,1,0.0
CANMAKE TOKYO讓賽,2,0,1,0,0.0
CANMAKE TOKYO讓賽,3,0,1,0,0.0
CANMAKE TOKYO讓賽,4,0,1,0,0.0
CANMAKE TOKYO讓賽,5,0,1,1,0.0
CANMAKE TOKYO讓賽,6,0,1,0,0.0
CANMAKE TOKYO讓賽,7,0,1,0,0.0
CANMAKE TOKYO讓賽,8,0,1,0,0.0
CANMAKE TOKYO讓賽,9,0,1,0,0.0
CANNES讓賽,1,1,1,1,100.0
CANNES讓賽,10,0,1,0,0.0
CANNES讓賽,11,0,1,0,0.0
CANNES讓賽,12,0,1,0,0.0
CANNES讓賽,2,0,1,0,0.0
CANNES讓賽,3,0,1,0,0.0
CANNES讓賽,4,0,1,0,0.0
CANNES讓賽,5,0,1,1,0.0
CANNES讓賽,6,0,1,0,0.0
CANNES讓賽,7,0,1,0,0.0
CANNES讓賽,8,0,1,1,0.0
CANNES讓賽,9,0,1,0,0.0
CONSENSUS盃（讓賽）,1,0,1,0,0.0
CONSENSUS盃（讓賽）,10,0,1,0,0.0
CONSENSUS盃（讓賽）,11,0,1,0,0.0
CONSENSUS盃（讓賽）,12,0,1,0,0.0
CONSENSUS盃（讓賽）,2,0,1,0,0.0
CONSENSUS盃（讓賽）,3,0,1,0,0.0
CONSENSUS盃（讓賽）,4,0,1,0,0.0
CONSENSUS盃（讓賽）,5,0,1,0,0.0
CONSENSUS盃（讓賽）,6,0,1,1,0.0
CONSENSUS盃（讓賽）,7,0,1,1,0.0
CONSENSUS盃（讓賽）,8,0,1,0,0.0
CONSENSUS盃（讓賽）,9,1,1,1,100.0
CROISETTE讓賽,1,0,1,0,0.0
