Jockey,Wins,Starts,Places,Profit,AvgOdds,WinRate,PlaceRate,ROI
潘頓,6,26,11,-3.599999999999999,6.5,23.1,42.3,-13.8
何澤堯,3,22,5,14.700000000000001,36.2,13.6,22.7,66.8
潘明輝,3,28,4,75.0,47.3,10.7,14.3,267.9
奧爾民,3,20,5,37.8,59.4,15.0,25.0,189.0
田泰安,2,28,3,-8.0,38.3,7.1,10.7,-28.6
楊明綸,2,20,4,7.1,45.4,10.0,20.0,35.5
黃寶妮,2,3,2,82.0,44.3,66.7,66.7,2733.3
麥道朗,2,4,2,5.3,11.6,50.0,50.0,132.5
袁幸堯,2,6,6,19.6,12.9,33.3,100.0,326.7
周俊樂,1,30,6,-18.0,51.7,3.3,20.0,-60.0
艾道拿,1,15,5,14.0,34.0,6.7,33.3,93.3
布文,1,17,4,4.0,25.4,5.9,23.5,23.5
梁家俊,1,23,3,2.0,59.0,4.3,13.0,8.7
紀仁安,1,3,1,-0.2999999999999998,11.0,33.3,33.3,-10.0
鍾易禮,1,19,2,-13.8,60.3,5.3,10.5,-72.6
希威森,1,19,2,-15.0,45.9,5.3,10.5,-78.9
麥文堅,1,6,1,29.0,41.6,16.7,16.7,483.3
三浦皇成,0,1,0,-1.0,69.0,0.0,0.0,-100.0
巴度,0,18,0,-18.0,61.0,0.0,0.0,-100.0
巫顯東,0,10,1,-10.0,93.3,0.0,10.0,-100.0
布浩榮,0,2,0,-2.0,39.0,0.0,0.0,-100.0
杜苑欣,0,4,0,-4.0,32.2,0.0,0.0,-100.0
艾兆禮,0,19,1,-19.0,31.1,0.0,5.3,-100.0
班德禮,0,13,1,-13.0,45.5,0.0,7.7,-100.0
潘大衛,0,7,1,-7.0,50.6,0.0,14.3,-100.0
橫山和生,0,1,1,-1.0,9.4,0.0,100.0,-100.0
李慕華,0,4,1,-4.0,15.4,0.0,25.0,-100.0
莫艾誠,0,4,0,-4.0,138.0,0.0,0.0,-100.0
莫雷拉,0,3,1,-3.0,22.5,0.0,33.3,-100.0
莫雅,0,2,0,-2.0,15.0,0.0,0.0,-100.0
貝知仁,0,1,0,-1.0,82.0,0.0,0.0,-100.0
蘇銘倫,0,1,1,-1.0,10.0,0.0,100.0,-100.0
蔡明紹,0,12,2,-12.0,64.1,0.0,16.7,-100.0
董明朗,0,4,1,-4.0,51.8,0.0,25.0,-100.0
高力德,0,1,0,-1.0,101.0,0.0,0.0,-100.0
霍宏聲,0,17,2,-17.0,39.9,0.0,11.8,-100.0
金誠剛,0,13,0,-13.0,73.8,0.0,0.0,-100.0
黃智弘,0,2,0,-2.0,44.0,0.0,0.0,-100.0
