Jockey,Trainer,Wins,Starts,Places,AvgOdds,WinRate
楊明綸,呂健威,2,5,2,31.4,40.0
潘明輝,羅富全,2,5,2,24.7,40.0
袁幸堯,姚本輝,2,5,5,12.3,40.0
何澤堯,蘇偉賢,1,2,1,32.5,50.0
何澤堯,呂健威,1,9,3,39.5,11.1
奧爾民,廖康銘,1,1,1,2.8,100.0
梁家俊,巫偉傑,1,7,1,36.7,14.3
布文,方嘉柏,1,2,1,15.5,50.0
奧爾民,賀賢,1,3,1,74.0,33.3
希威森,廖康銘,1,5,1,33.8,20.0
何澤堯,方嘉柏,1,5,1,17.0,20.0
奧爾民,呂健威,1,1,1,6.0,100.0
周俊樂,羅富全,1,3,1,46.3,33.3
潘頓,葉楚航,1,2,2,3.4,50.0
艾道拿,大衛希斯,1,3,3,13.9,33.3
麥道朗,游達榮,1,1,1,7.8,100.0
黃寶妮,文家良,1,2,1,50.0,50.0
紀仁安,費伯華,1,1,1,2.7,100.0
潘頓,黎昭昇,1,2,2,3.8,50.0
田泰安,蔡約翰,1,4,1,42.5,25.0
田泰安,桂福特,1,5,2,19.5,20.0
潘頓,呂健威,1,5,1,4.4,20.0
潘明輝,鄭俊偉,1,2,1,55.5,50.0
潘頓,姚本輝,1,1,1,6.4,100.0
潘頓,伍鵬志,1,4,2,11.0,25.0
潘頓,文家良,1,1,1,3.0,100.0
黃寶妮,伍鵬志,1,1,1,33.0,100.0
麥道朗,呂健威,1,1,1,1.5,100.0
鍾易禮,告東尼,1,9,2,33.5,11.1
麥文堅,蔡約翰,1,1,1,35.0,100.0
奧爾民,徐雨石,0,1,0,85.0,0.0
奧爾民,姚本輝,0,1,0,37.0,0.0
奧爾民,告東尼,0,1,0,87.0,0.0
奧爾民,方嘉柏,0,1,0,49.0,0.0
奧爾民,韋達,0,2,0,47.5,0.0
奧爾民,蔡約翰,0,2,0,99.5,0.0
奧爾民,游達榮,0,1,0,54.0,0.0
巫顯東,姚本輝,0,1,0,135.0,0.0
巫顯東,徐雨石,0,1,0,104.0,0.0
巫顯東,沈集成,0,5,1,67.2,0.0
巫顯東,蘇偉賢,0,2,0,121.0,0.0
奧爾民,蘇偉賢,0,2,1,63.0,0.0
巴度,大衛希斯,0,1,0,33.0,0.0
奧爾民,黎昭昇,0,1,1,50.0,0.0
奧爾民,葉楚航,0,1,0,21.0,0.0
巴度,方嘉柏,0,3,0,75.0,0.0
巴度,羅富全,0,1,0,104.0,0.0
巴度,蔡約翰,0,1,0,49.0,0.0
巴度,葉楚航,0,2,0,35.5,0.0
巴度,鄭俊偉,0,1,0,26.0,0.0
巴度,黎昭昇,0,4,0,53.0,0.0
布文,丁冠豪,0,1,0,29.0,0.0
巴度,賀賢,0,2,0,88.5,0.0
布文,大衛希斯,0,2,0,32.0,0.0
布文,姚本輝,0,1,0,7.5,0.0
布文,文家良,0,1,0,5.5,0.0
布文,沈集成,0,1,0,44.0,0.0
布文,游達榮,0,1,0,18.0,0.0
布文,葉楚航,0,1,0,71.0,0.0
巴度,巫偉傑,0,2,0,88.5,0.0
巫顯東,丁冠豪,0,1,0,116.0,0.0
布文,蘇偉賢,0,1,1,12.0,0.0
布文,蔡約翰,0,2,1,18.0,0.0
布文,黎昭昇,0,1,0,58.0,0.0
布文,賀賢,0,1,1,14.0,0.0
布浩榮,賀賢,0,1,0,41.0,0.0
希威森,伍鵬志,0,2,0,36.5,0.0
希威森,呂健威,0,2,0,21.2,0.0
布文,韋達,0,2,0,20.5,0.0
希威森,大衛希斯,0,1,0,68.0,0.0
希威森,徐雨石,0,1,0,57.0,0.0
希威森,桂福特,0,2,0,18.0,0.0
希威森,沈集成,0,2,0,52.0,0.0
巴度,呂健威,0,1,0,24.0,0.0
何澤堯,文家良,0,1,0,24.0,0.0
何澤堯,游達榮,0,1,0,42.0,0.0
何澤堯,葉楚航,0,1,0,96.0,0.0
周俊樂,姚本輝,0,1,0,9.9,0.0
周俊樂,大衛希斯,0,1,0,20.0,0.0
周俊樂,呂健威,0,2,0,40.5,0.0
周俊樂,巫偉傑,0,5,1,77.8,0.0
周俊樂,沈集成,0,2,1,40.0,0.0
周俊樂,游達榮,0,1,0,45.0,0.0
周俊樂,文家良,0,7,1,66.0,0.0
周俊樂,廖康銘,0,1,0,20.0,0.0
周俊樂,鄭俊偉,0,1,1,24.0,0.0
周俊樂,葉楚航,0,4,0,31.0,0.0
奧爾民,伍鵬志,0,2,0,76.7,0.0
周俊樂,韋達,0,1,1,14.0,0.0
周俊樂,伍鵬志,0,1,0,143.0,0.0
何澤堯,姚本輝,0,1,0,42.0,0.0
三浦皇成,鹿戶雄一,0,1,0,69.0,0.0
何澤堯,伍鵬志,0,2,0,43.5,0.0
楊明綸,伍鵬志,0,1,0,62.0,0.0
梁家俊,韋達,0,1,0,118.0,0.0
梁家俊,鄭俊偉,0,1,0,21.0,0.0
梁家俊,羅富全,0,7,2,44.8,0.0
梁家俊,文家良,0,4,0,80.8,0.0
梁家俊,廖康銘,0,1,0,145.0,0.0
梁家俊,呂健威,0,1,0,73.0,0.0
梁家俊,丁冠豪,0,1,0,107.0,0.0
杜苑欣,伍鵬志,0,1,0,16.0,0.0
杜苑欣,韋達,0,1,0,52.0,0.0
杜苑欣,徐雨石,0,1,0,37.0,0.0
杜苑欣,姚本輝,0,1,0,24.0,0.0
李慕華,武井亮,0,1,0,5.7,0.0
李慕華,田中博康,0,1,0,43.0,0.0
李慕華,森一誠,0,1,0,7.2,0.0
李慕華,手塚貴久,0,1,1,5.6,0.0
布浩榮,沈集成,0,1,0,37.0,0.0
希威森,黎昭昇,0,1,1,11.0,0.0
希威森,韋達,0,2,0,88.0,0.0
希威森,游達榮,0,1,0,136.0,0.0
潘大衛,羅富全,0,1,0,52.0,0.0
潘大衛,游達榮,0,2,0,38.5,0.0
潘明輝,文家良,0,4,0,53.2,0.0
潘明輝,徐雨石,0,1,0,54.0,0.0
潘明輝,巫偉傑,0,1,0,26.0,0.0
潘明輝,姚本輝,0,6,0,34.3,0.0
