Date,Month,Season,RaceNo,RaceClass,Venue,Track,Course,Going,Distance,FieldSize,FieldSizeBucket,Horse,HorseID,Jockey,Trainer,Draw,DrawBand,DrawBucket,ActualWt,WtBucket,HorseWt,Odds,OddsBucket,Rank,Win,Place
2025-09-07,2025-09,25/26,4,Class 4,沙田,Turf,蓮花山讓賽,第四班 - 1000米 - (60-40),1000,14,large14+,慣勝金帥(K412),K412,奧爾民,蔡約翰,4,Inside,4-6,127,Med-Heavy (127-130),1142,111.0,Outsider (50+),13,0,0
2025-09-07,2025-09,25/26,4,Class 4,沙田,Turf,蓮花山讓賽,第四班 - 1000米 - (60-40),1000,14,large14+,馬主精英(K437),K437,董明朗,蘇偉賢,10,Outside,10+,128,Med-Heavy (127-130),1119,52.0,Outsider (50+),10,0,0
2025-09-07,2025-09,25/26,6,Class 4,沙田,Turf,馬鞍山讓賽,第四班 - 1200米 - (60-40),1200,14,large14+,同有運(H349),H349,奧爾民,伍鵬志,10,Outside,10+,129,Med-Heavy (127-130),1082,149.0,Outsider (50+),4,0,0
2025-09-07,2025-09,25/26,7,Class 4,沙田,Turf,馬鞍山讓賽,第四班 - 1200米 - (60-40),1200,14,large14+,凱旋王者(K240),K240,梁家俊,羅富全,8,Middle,7-9,130,Med-Heavy (127-130),1135,87.0,Outsider (50+),2,0,1
2025-09-14,2025-09,25/26,6,Class 4,沙田,Turf,東華三院挑戰盃（讓賽）,第四班 - 1200米 - (60-40),1200,14,large14+,一世美麗(K489),K489,田泰安,蔡約翰,12,Outside,10+,132,Heavy (131+),1229,23.0,Longshot (20-50),5,0,0
2025-09-14,2025-09,25/26,7,Class 3,沙田,Turf,美東讓賽,第三班 - 1000米 - (80-60),1000,11,small<=11,顏色勇士(K366),K366,班德禮,沈集成,11,Outside,10+,122,Medium (121-126),1170,101.0,Outsider (50+),10,0,0
2025-09-14,2025-09,25/26,8,Class 4,沙田,Turf,樂華讓賽,第四班 - 1200米 - (60-40),1200,14,large14+,有情有義(K416),K416,董明朗,蘇偉賢,6,Middle,4-6,131,Heavy (131+),1142,33.0,Longshot (20-50),3,0,1
2025-09-14,2025-09,25/26,9,Class 3,沙田,AWT,愛東讓賽,第三班 - 1200米 - (80-60),1200,12,med12-13,金蘭兄弟(K510),K510,巴度,黎昭昇,12,Outside,10+,120,Med-Light (116-120),1089,74.0,Outsider (50+),12,0,0
2025-09-21,2025-09,25/26,2,Class 4,沙田,Turf,三聖讓賽,第四班（條件限制） - 1200米 - (60-40),1200,11,small<=11,靖哥哥(K503),K503,周俊樂,葉楚航,4,Middle,4-6,124,Medium (121-126),1074,36.0,Longshot (20-50),9,0,0
2025-09-21,2025-09,25/26,3,Class 4,沙田,Turf,二澳讓賽,第四班 - 1200米 - (60-40),1200,12,med12-13,洪才(K487),K487,布文,蘇偉賢,10,Outside,10+,128,Med-Heavy (127-130),1045,12.0,Mid (10-20),3,0,1
