Venue,Track,FieldSizeBucket,DrawBand,Wins,Starts,Places,AvgOdds,WinRate,PlaceRate
沙田,AWT,large14+,Inside,0,1,0,83.0,0.0,0.0
沙田,AWT,large14+,Middle,0,1,0,52.0,0.0,0.0
沙田,AWT,med12-13,Inside,1,8,1,40.4,12.5,12.5
沙田,AWT,med12-13,Outside,0,4,0,48.5,0.0,0.0
沙田,Turf,large14+,Inside,4,65,8,47.3,6.15,12.31
沙田,Turf,large14+,Middle,5,90,14,51.04,5.56,15.56
沙田,Turf,large14+,Outside,4,70,11,51.53,5.71,15.71
沙田,Turf,med12-13,Inside,2,22,6,27.18,9.09,27.27
沙田,Turf,med12-13,Middle,7,26,7,33.49,26.92,26.92
沙田,Turf,med12-13,Outside,4,31,10,52.81,12.9,32.26
沙田,Turf,small<=11,Inside,0,10,1,17.52,0.0,10.0
沙田,Turf,small<=11,Middle,4,21,6,42.41,19.05,28.57
沙田,Turf,small<=11,Outside,1,20,7,35.16,5.0,35.0
跑馬地,Turf,med12-13,Inside,0,17,3,42.17,0.0,17.65
跑馬地,Turf,med12-13,Middle,1,18,5,38.54,5.56,27.78
跑馬地,Turf,med12-13,Outside,0,18,0,51.72,0.0,0.0
跑馬地,Turf,small<=11,Inside,0,2,0,39.0,0.0,0.0
跑馬地,Turf,small<=11,Middle,0,2,0,24.5,0.0,0.0
跑馬地,Turf,small<=11,Outside,0,2,0,28.5,0.0,0.0
