Trainer,DebutWins,DebutStarts,DebutPlaces,DebutProfit,DebutAvgOdds,DebutWinRate,DebutPlaceRate,DebutROI,OverallWins,OverallStarts,OverallPlaces,OverallProfit,OverallAvgOdds,OverallWinRate,OverallPlaceRate,OverallROI,WinRateUplift,PlaceRateUplift,ROIUplift
大衛希斯,1,31,5,-2.0,30.88,3.23,16.13,-6.45,48,544,122,-210.1,35.27,8.82,22.43,-38.62,-5.59,-6.3,32.17
呂健威,6,28,8,13.0,29.9,21.43,28.57,46.43,46,419,136,-64.2,29.61,10.98,32.46,-15.32,10.45,-3.89,61.75
蘇偉賢,1,26,6,3.0,53.31,3.85,23.08,11.54,24,363,81,-91.7,38.5,6.61,22.31,-25.26,-2.76,0.77,36.8
伍鵬志,2,25,3,13.7,45.13,8.0,12.0,54.8,21,423,78,-131.1,33.02,4.96,18.44,-30.99,3.04,-6.44,85.79
廖康銘,2,24,4,-17.2,32.42,8.33,16.67,-71.67,52,457,137,-107.0,20.03,11.38,29.98,-23.41,-3.05,-13.31,-48.26
文家良,2,23,3,32.0,61.58,8.7,13.04,139.13,35,385,91,97.9,40.65,9.09,23.64,25.43,-0.39,-10.6,113.7
巫偉傑,1,23,3,2.0,61.83,4.35,13.04,8.7,34,418,102,-52.5,34.85,8.13,24.4,-12.56,-3.78,-11.36,21.26
游達榮,1,22,1,-14.2,44.94,4.55,4.55,-64.55,25,376,78,-84.3,32.56,6.65,20.74,-22.42,-2.1,-16.19,-42.13
沈集成,0,22,3,-22.0,63.55,0.0,13.64,-100.0,51,409,112,68.89999999999999,32.56,12.47,27.38,16.85,-12.47,-13.74,-116.85
羅富全,3,21,6,62.0,38.1,14.29,28.57,295.24,34,450,109,-109.8,29.47,7.56,24.22,-24.4,6.73,4.35,319.64
姚本輝,3,21,6,11.0,33.24,14.29,28.57,52.38,32,373,107,-79.0,25.21,8.58,28.69,-21.18,5.71,-0.12,73.56
葉楚航,1,18,3,-15.8,42.93,5.56,16.67,-87.78,17,347,52,-157.3,41.01,4.9,14.99,-45.33,0.66,1.68,-42.45
韋達,0,17,3,-17.0,52.45,0.0,17.65,-100.0,21,353,80,-221.7,34.54,5.95,22.66,-62.8,-5.95,-5.01,-37.2
黎昭昇,1,16,5,-12.4,36.07,6.25,31.25,-77.5,21,300,70,-124.7,32.68,7.0,23.33,-41.57,-0.75,7.92,-35.93
方嘉柏,2,15,4,8.8,33.52,13.33,26.67,58.67,51,443,123,-72.4,22.08,11.51,27.77,-16.34,1.82,-1.1,75.01
賀賢,1,15,3,34.0,54.79,6.67,20.0,226.67,25,338,89,66.6,27.25,7.4,26.33,19.7,-0.73,-6.33,206.97
鄭俊偉,1,13,2,19.0,57.15,7.69,15.38,146.15,15,307,51,-114.4,48.86,4.89,16.61,-37.26,2.8,-1.23,183.41
告東尼,1,13,2,-7.8,36.4,7.69,15.38,-60.0,36,480,100,-198.6,31.24,7.5,20.83,-41.38,0.19,-5.45,-18.62
