Trainer,Wins,Starts,Places,Profit,AvgOdds,WinRate,PlaceRate,ROI
呂健威,6,28,8,13.0,29.9,21.4,28.6,46.4
羅富全,3,21,6,62.0,38.1,14.3,28.6,295.2
姚本輝,3,21,6,11.0,33.2,14.3,28.6,52.4
方嘉柏,2,15,4,8.8,33.5,13.3,26.7,58.7
文家良,2,23,3,32.0,61.6,8.7,13.0,139.1
伍鵬志,2,25,3,13.7,45.1,8.0,12.0,54.8
蔡約翰,2,12,3,38.0,45.1,16.7,25.0,316.7
廖康銘,2,24,4,-17.2,32.4,8.3,16.7,-71.7
黎昭昇,1,16,5,-12.4,36.1,6.2,31.2,-77.5
費伯華,1,1,1,1.7000000000000002,2.7,100.0,100.0,170.0
賀賢,1,15,3,34.0,54.8,6.7,20.0,226.7
游達榮,1,22,1,-14.2,44.9,4.5,4.5,-64.5
蘇偉賢,1,26,6,3.0,53.3,3.8,23.1,11.5
桂福特,1,9,2,-4.0,34.6,11.1,22.2,-44.4
告東尼,1,13,2,-7.8,36.4,7.7,15.4,-60.0
鄭俊偉,1,13,2,19.0,57.2,7.7,15.4,146.2
葉楚航,1,18,3,-15.8,42.9,5.6,16.7,-87.8
大衛希斯,1,31,5,-2.0,30.9,3.2,16.1,-6.5
巫偉傑,1,23,3,2.0,61.8,4.3,13.0,8.7
丁冠豪,0,4,0,-4.0,72.2,0.0,0.0,-100.0
侯耀誠,0,1,0,-1.0,147.0,0.0,0.0,-100.0
伯特,0,1,0,-1.0,17.0,0.0,0.0,-100.0
上村洋行,0,1,1,-1.0,9.4,0.0,100.0,-100.0
包義定,0,1,0,-1.0,21.0,0.0,0.0,-100.0
杉山晴紀,0,1,0,-1.0,101.0,0.0,0.0,-100.0
徐雨石,0,10,0,-10.0,56.9,0.0,0.0,-100.0
手塚貴久,0,1,1,-1.0,5.6,0.0,100.0,-100.0
岳伯仁,0,2,0,-2.0,15.0,0.0,0.0,-100.0
岳品賢,0,1,0,-1.0,367.0,0.0,0.0,-100.0
岳本賢,0,2,0,-2.0,21.3,0.0,0.0,-100.0
巴伯樂,0,1,0,-1.0,82.0,0.0,0.0,-100.0
森一誠,0,1,0,-1.0,7.2,0.0,0.0,-100.0
葛威法,0,1,1,-1.0,10.0,0.0,100.0,-100.0
武英智,0,1,0,-1.0,35.0,0.0,0.0,-100.0
沈集成,0,22,3,-22.0,63.5,0.0,13.6,-100.0
武井亮,0,2,0,-2.0,17.4,0.0,0.0,-100.0
田中博康,0,1,0,-1.0,43.0,0.0,0.0,-100.0
韋達,0,17,3,-17.0,52.4,0.0,17.6,-100.0
鹿戶雄一,0,1,0,-1.0,69.0,0.0,0.0,-100.0
