RaceClass,Venue,Track,Distance,Wins,Starts,Places,AvgOdds,WinRate,PlaceRate
Class 4,跑馬地,Turf,1200,67,795,201,28.93,8.43,25.28
Class 4,沙田,Turf,1200,59,778,177,43.11,7.58,22.75
Class 4,沙田,Turf,1400,53,735,159,39.26,7.21,21.63
Class 4,跑馬地,Turf,1650,38,454,115,24.17,8.37,25.33
Class 3,沙田,Turf,1200,35,429,105,40.83,8.16,24.48
Class 3,沙田,Turf,1400,30,400,90,39.91,7.5,22.5
Class 3,跑馬地,Turf,1200,31,365,93,25.25,8.49,25.48
Class 4,沙田,AWT,1200,22,261,66,32.47,8.43,25.29
Class 3,跑馬地,Turf,1650,21,244,63,23.46,8.61,25.82
Class 4,沙田,Turf,1600,16,223,48,35.38,7.17,21.52
Class 3,沙田,Turf,1600,16,222,48,37.97,7.21,21.62
Class 5,沙田,Turf,1400,16,221,48,31.83,7.24,21.72
Class 4,沙田,Turf,1000,15,208,45,42.21,7.21,21.63
Class 3,沙田,Turf,1000,13,157,36,33.61,8.28,22.93
Class 5,跑馬地,Turf,1200,13,155,39,24.48,8.39,25.16
Class 4,沙田,AWT,1650,11,151,33,30.66,7.28,21.85
Class 5,沙田,Turf,1200,10,134,30,28.39,7.46,22.39
Class 5,跑馬地,Turf,1650,12,128,33,21.43,9.38,25.78
Class 3,沙田,AWT,1200,11,127,33,25.49,8.66,25.98
Class 4,跑馬地,Turf,1000,10,120,30,31.59,8.33,25.0
Class 3,沙田,AWT,1650,9,120,27,29.07,7.5,22.5
Class 2,沙田,Turf,1400,9,111,27,33.53,8.11,24.32
Class 2,沙田,Turf,1200,9,104,27,28.2,8.65,25.96
Class 5,沙田,AWT,1650,7,95,21,28.81,7.37,22.11
Class 3,跑馬地,Turf,1000,8,93,24,23.12,8.6,25.81
Class 4,跑馬地,Turf,1800,7,84,22,20.98,8.33,26.19
Class 5,沙田,AWT,1200,7,84,21,22.0,8.33,25.0
Class 4,沙田,Turf,1800,6,84,18,32.34,7.14,21.43
Class 5,跑馬地,Turf,1000,7,83,21,24.98,8.43,25.3
Class 3,沙田,Turf,2000,6,77,18,23.39,7.79,23.38
Class 3,跑馬地,Turf,1800,6,71,18,24.83,8.45,25.35
Class 5,沙田,Turf,1600,5,70,15,25.02,7.14,21.43
Class 3,沙田,Turf,1800,5,69,15,25.92,7.25,21.74
Class 2,沙田,Turf,1600,6,67,18,23.29,8.96,26.87
Class 5,跑馬地,Turf,1800,5,59,15,21.06,8.47,25.42
Class 4,沙田,AWT,1800,4,52,12,22.89,7.69,23.08
Class 5,沙田,Turf,1800,4,51,12,20.27,7.84,23.53
Class 2,跑馬地,Turf,1650,5,44,12,17.41,11.36,27.27
Class 2,跑馬地,Turf,1200,4,44,12,22.49,9.09,27.27
Group 2,沙田,Turf,1600,3,41,9,47.48,7.32,21.95
Class 4,沙田,Turf,2000,3,40,9,25.21,7.5,22.5
Group 1,沙田,Turf,1600,3,37,9,40.79,8.11,24.32
Class 4,跑馬地,Turf,2200,3,36,9,20.7,8.33,25.0
Class 5,跑馬地,Turf,2200,3,31,9,15.73,9.68,29.03
Group 2,沙田,Turf,1200,3,31,9,59.28,9.68,29.03
Class 2,跑馬地,Turf,1800,3,29,9,14.16,10.34,31.03
Group 1,沙田,Turf,1200,3,28,9,133.64,10.71,32.14
Class 5,沙田,AWT,1800,2,28,6,24.4,7.14,21.43
Group 3,沙田,Turf,1400,2,26,6,37.48,7.69,23.08
Class 1,沙田,Turf,1200,2,24,6,40.4,8.33,25.0
Class 2,沙田,Turf,1800,2,24,6,31.88,8.33,25.0
Group 1,跑馬地,Turf,1000,2,24,6,28.06,8.33,25.0
Group 1,跑馬地,Turf,1650,2,24,6,18.76,8.33,25.0
Group 1,沙田,Turf,2000,3,21,9,34.3,14.29,42.86
Class 2,沙田,Turf,1000,2,21,6,26.0,9.52,28.57
Group 3,沙田,Turf,1800,2,20,6,19.18,10.0,30.0
Class 2,沙田,Turf,2000,2,19,6,14.05,10.53,31.58
Class 2,跑馬地,Turf,1000,2,19,6,12.55,10.53,31.58
Group 3,沙田,Turf,1000,2,19,6,19.37,10.53,31.58
Class 2,沙田,AWT,1650,2,18,6,18.06,11.11,33.33
Griffin,沙田,Turf,1000,2,16,6,15.84,12.5,37.5
Class 5,沙田,Turf,2000,1,14,3,16.11,7.14,21.43
Unknown,沙田,Turf,1600,1,14,3,42.28,7.14,21.43
Unknown,沙田,Turf,1800,1,14,3,40.69,7.14,21.43
Unknown,沙田,Turf,2000,1,14,3,24.58,7.14,21.43
Class 2,沙田,AWT,1200,1,12,3,21.94,8.33,25.0
Class 3,跑馬地,Turf,2200,1,12,3,16.87,8.33,25.0
Group 1,跑馬地,Turf,1200,1,12,3,13.32,8.33,25.0
Group 3,跑馬地,Turf,1800,1,12,3,15.08,8.33,25.0
Group 1,沙田,Turf,2400,1,11,3,20.84,9.09,27.27
Group 1,沙田,Turf,1400,1,10,3,122.0,10.0,30.0
Group 2,沙田,Turf,2000,1,9,3,45.07,11.11,33.33
Group 3,沙田,Turf,2400,1,7,3,10.01,14.29,42.86
Class 1,沙田,Turf,1400,1,6,3,7.68,16.67,50.0
