RaceClass,Venue,Track,Distance,DrawBucket,Wins,Starts,Places,AvgOdds,WinRate,PlaceRate
Class 4,沙田,Turf,1400,10+,17,258,43,45.69,6.59,16.67
Class 4,沙田,Turf,1200,10+,15,248,44,46.21,6.05,17.74
Class 4,跑馬地,Turf,1200,4-6,18,200,51,24.06,9.0,25.5
Class 4,跑馬地,Turf,1200,10+,12,199,35,39.35,6.03,17.59
Class 4,跑馬地,Turf,1200,1-3,20,198,61,18.27,10.1,30.81
Class 4,跑馬地,Turf,1200,7-9,17,198,54,34.02,8.59,27.27
Class 4,沙田,Turf,1200,1-3,20,177,55,31.73,11.3,31.07
Class 4,沙田,Turf,1200,7-9,15,177,34,49.63,8.47,19.21
Class 4,沙田,Turf,1200,4-6,9,176,44,43.6,5.11,25.0
Class 4,沙田,Turf,1400,1-3,16,159,39,30.05,10.06,24.53
Class 4,沙田,Turf,1400,7-9,12,159,40,37.26,7.55,25.16
Class 4,沙田,Turf,1400,4-6,8,159,37,40.06,5.03,23.27
Class 3,沙田,Turf,1400,10+,11,131,25,48.75,8.4,19.08
Class 3,沙田,Turf,1200,10+,12,116,30,54.15,10.34,25.86
Class 4,跑馬地,Turf,1650,7-9,13,114,35,25.35,11.4,30.7
Class 4,跑馬地,Turf,1650,4-6,8,114,30,21.43,7.02,26.32
Class 4,跑馬地,Turf,1650,1-3,13,113,32,16.21,11.5,28.32
Class 4,跑馬地,Turf,1650,10+,4,113,18,33.69,3.54,15.93
Class 3,沙田,Turf,1200,7-9,7,105,27,43.76,6.67,25.71
Class 3,沙田,Turf,1200,1-3,6,105,24,29.59,5.71,22.86
Class 3,沙田,Turf,1200,4-6,10,103,24,34.3,9.71,23.3
Class 3,跑馬地,Turf,1200,4-6,12,93,36,17.14,12.9,38.71
Class 3,跑馬地,Turf,1200,1-3,10,93,26,21.64,10.75,27.96
Class 3,跑馬地,Turf,1200,7-9,7,93,23,26.7,7.53,24.73
Class 3,沙田,Turf,1400,4-6,9,90,26,35.76,10.0,28.89
Class 3,沙田,Turf,1400,7-9,6,90,24,33.01,6.67,26.67
Class 3,沙田,Turf,1400,1-3,4,89,15,38.08,4.49,16.85
Class 3,跑馬地,Turf,1200,10+,2,86,8,36.39,2.33,9.3
Class 5,沙田,Turf,1400,10+,7,79,16,42.76,8.86,20.25
Class 4,沙田,Turf,1600,10+,6,79,16,40.13,7.59,20.25
Class 3,沙田,Turf,1600,10+,5,78,10,36.7,6.41,12.82
Class 4,沙田,Turf,1000,10+,3,75,19,37.22,4.0,25.33
Class 4,沙田,AWT,1200,4-6,9,66,18,30.35,13.64,27.27
Class 4,沙田,AWT,1200,1-3,7,66,17,29.91,10.61,25.76
Class 4,沙田,AWT,1200,7-9,1,65,16,28.3,1.54,24.62
