Venue,Track,FieldSizeBucket,DrawBand,Wins,Starts,Places,AvgOdds,WinRate,PlaceRate
沙田,AWT,large14+,Inside,11,88,24,21.41,12.5,27.27
沙田,AWT,large14+,Middle,7,110,27,27.22,6.36,24.55
沙田,AWT,large14+,Outside,4,110,15,38.28,3.64,13.64
沙田,AWT,med12-13,Inside,23,191,53,23.55,12.04,27.75
沙田,AWT,med12-13,Middle,13,192,51,25.93,6.77,26.56
沙田,AWT,med12-13,Outside,12,200,40,35.18,6.0,20.0
沙田,AWT,small<=11,Inside,2,17,8,20.62,11.76,47.06
沙田,AWT,small<=11,Middle,3,19,5,12.23,15.79,26.32
沙田,AWT,small<=11,Outside,1,21,5,32.9,4.76,23.81
沙田,Turf,large14+,Inside,77,896,225,31.45,8.59,25.11
沙田,Turf,large14+,Middle,77,1120,251,39.39,6.88,22.41
沙田,Turf,large14+,Outside,70,1120,196,43.02,6.25,17.5
沙田,Turf,med12-13,Inside,27,297,80,30.09,9.09,26.94
沙田,Turf,med12-13,Middle,24,297,69,36.47,8.08,23.23
沙田,Turf,med12-13,Outside,25,332,76,41.22,7.53,22.89
沙田,Turf,small<=11,Inside,18,156,46,29.11,11.54,29.49
沙田,Turf,small<=11,Middle,17,181,64,34.13,9.39,35.36
沙田,Turf,small<=11,Outside,21,207,58,42.21,10.14,28.02
跑馬地,Turf,med12-13,Inside,94,852,257,19.05,11.03,30.16
跑馬地,Turf,med12-13,Middle,72,852,222,24.03,8.45,26.06
跑馬地,Turf,med12-13,Outside,49,852,162,34.22,5.75,19.01
跑馬地,Turf,small<=11,Inside,11,101,36,13.24,10.89,35.64
跑馬地,Turf,small<=11,Middle,13,128,40,16.8,10.16,31.25
跑馬地,Turf,small<=11,Outside,13,153,35,27.36,8.5,22.88
