HorseID,Horse,Venue,Track,Distance,Wins,Starts,Places,Profit,AvgOdds,WinRate,PlaceRate,ROI
H235,幸運星球(H235),跑馬地,Turf,1200,2,11,5,4.699999999999999,20.04,18.18,45.45,42.73
J295,會長之寶(J295),沙田,Turf,1000,1,11,5,-6.0,10.52,9.09,45.45,-54.55
J098,先到先得(J098),跑馬地,Turf,1650,0,11,4,-11.0,15.65,0.0,36.36,-100.0
J364,凡凡有餘(J364),跑馬地,Turf,1650,3,10,5,9.7,11.7,30.0,50.0,97.0
J079,爆笑(J079),跑馬地,Turf,1650,2,10,3,9.1,18.28,20.0,30.0,91.0
J237,勇霸龍(J237),跑馬地,Turf,1200,2,10,4,3.3,15.33,20.0,40.0,33.0
J290,東來欣賞(J290),跑馬地,Turf,1200,2,10,6,-3.3,7.57,20.0,60.0,-33.0
J446,將義(J446),跑馬地,Turf,1650,2,10,3,5.4,15.34,20.0,30.0,54.0
J510,午夜快車(J510),沙田,AWT,1650,2,10,5,2.9000000000000004,10.45,20.0,50.0,29.0
G277,極速滿貫(G277),跑馬地,Turf,1650,1,10,2,25.0,33.3,10.0,20.0,250.0
J133,德心知遇(J133),沙田,AWT,1200,1,10,1,4.0,13.12,10.0,10.0,40.0
J080,川河型駒(J080),沙田,AWT,1650,0,10,1,-10.0,20.01,0.0,10.0,-100.0
K434,福星小子(K434),跑馬地,Turf,1200,4,9,5,27.6,12.86,44.44,55.56,306.67
H303,好友心得(H303),沙田,Turf,1200,3,9,3,3.2,95.13,33.33,33.33,35.56
J157,熾烈神駒(J157),沙田,AWT,1200,3,9,6,-0.7000000000000002,6.22,33.33,66.67,-7.78
K084,翠兒威威(K084),跑馬地,Turf,1650,3,9,4,6.9,8.77,33.33,44.44,76.67
G230,佳福駒(G230),跑馬地,Turf,1650,2,9,2,56.0,29.33,22.22,22.22,622.22
H465,全神貫注(H465),沙田,Turf,1400,2,9,6,5.199999999999999,10.33,22.22,66.67,57.78
H475,綫路萬里(H475),沙田,Turf,1400,2,9,8,-4.4,3.48,22.22,88.89,-48.89
J131,加州活力(J131),跑馬地,Turf,1650,2,9,3,3.8,7.76,22.22,33.33,42.22
J360,三軍勇將(J360),跑馬地,Turf,1200,2,9,5,3.2,6.16,22.22,55.56,35.56
J467,心雄雄(J467),沙田,Turf,1400,2,9,4,3.0,10.62,22.22,44.44,33.33
K033,安都(K033),沙田,Turf,1600,2,9,6,6.800000000000001,5.96,22.22,66.67,75.56
H409,凱旋幸運(H409),沙田,Turf,1400,1,9,2,-1.7999999999999998,11.26,11.11,22.22,-20.0
J228,精算激流(J228),沙田,Turf,1400,1,9,2,0.9000000000000004,16.12,11.11,22.22,10.0
J393,維港激流(J393),跑馬地,Turf,1200,1,9,4,-1.7000000000000002,11.44,11.11,44.44,-18.89
