Jockey,Venue,Track,Distance,Wins,Starts,Places,Profit,AvgOdds,WinRate,PlaceRate,ROI
潘頓,沙田,Turf,1200,28,96,50,-20.4,4.45,29.17,52.08,-21.25
潘頓,沙田,Turf,1400,18,93,43,-29.0,5.52,19.35,46.24,-31.18
田泰安,沙田,Turf,1400,6,90,20,-25.0,28.25,6.67,22.22,-27.78
潘頓,跑馬地,Turf,1200,19,88,47,-15.799999999999999,5.48,21.59,53.41,-17.95
田泰安,沙田,Turf,1200,5,88,19,-43.3,34.82,5.68,21.59,-49.2
艾兆禮,沙田,Turf,1400,9,86,27,-26.7,22.92,10.47,31.4,-31.05
艾兆禮,沙田,Turf,1200,7,86,17,-19.1,32.49,8.14,19.77,-22.21
布文,沙田,Turf,1200,8,78,26,-30.6,20.83,10.26,33.33,-39.23
金誠剛,沙田,Turf,1400,0,78,9,-78.0,74.06,0.0,11.54,-100.0
艾兆禮,跑馬地,Turf,1200,8,77,18,-21.799999999999997,23.44,10.39,23.38,-28.31
布文,跑馬地,Turf,1200,7,77,25,-35.0,13.38,9.09,32.47,-45.45
周俊樂,跑馬地,Turf,1200,6,76,24,-31.9,24.64,7.89,31.58,-41.97
班德禮,沙田,Turf,1400,5,75,18,-36.0,38.5,6.67,24.0,-48.0
潘明輝,沙田,Turf,1200,4,75,12,12.8,51.19,5.33,16.0,17.07
周俊樂,沙田,Turf,1400,10,74,14,5.1,37.35,13.51,18.92,6.89
布文,沙田,Turf,1400,8,73,24,21.500000000000004,16.29,10.96,32.88,29.45
楊明綸,沙田,Turf,1200,6,73,11,-0.30000000000000027,56.55,8.22,15.07,-0.41
潘明輝,沙田,Turf,1400,5,73,15,-34.4,36.52,6.85,20.55,-47.12
巴度,跑馬地,Turf,1200,2,73,19,-51.6,26.14,2.74,26.03,-70.68
艾道拿,沙田,Turf,1400,2,73,15,-45.1,32.17,2.74,20.55,-61.78
奧爾民,沙田,Turf,1200,8,72,28,54.8,42.56,11.11,38.89,76.11
梁家俊,沙田,Turf,1200,6,71,15,133.7,54.97,8.45,21.13,188.31
田泰安,跑馬地,Turf,1200,5,71,19,-43.3,23.61,7.04,26.76,-60.99
周俊樂,沙田,Turf,1200,6,70,20,-31.4,41.41,8.57,28.57,-44.86
金誠剛,沙田,Turf,1200,4,68,12,-52.4,61.97,5.88,17.65,-77.06
霍宏聲,沙田,Turf,1200,1,68,13,0.0,32.97,1.47,19.12,0.0
蔡明紹,沙田,Turf,1200,1,67,13,-63.1,45.0,1.49,19.4,-94.18
希威森,跑馬地,Turf,1200,4,66,12,-15.400000000000002,33.29,6.06,18.18,-23.33
楊明綸,沙田,Turf,1400,3,66,8,-22.0,69.08,4.55,12.12,-33.33
班德禮,跑馬地,Turf,1200,8,65,18,-4.800000000000001,23.6,12.31,27.69,-7.38
巴度,沙田,Turf,1400,6,65,17,-26.9,24.56,9.23,26.15,-41.38
巴度,沙田,Turf,1200,4,65,10,19.0,45.86,6.15,15.38,29.23
希威森,沙田,Turf,1200,3,64,12,-24.5,37.58,4.69,18.75,-38.28
霍宏聲,沙田,Turf,1400,6,63,14,-0.6000000000000005,27.38,9.52,22.22,-0.95
何澤堯,跑馬地,Turf,1200,8,62,20,-20.799999999999997,25.2,12.9,32.26,-33.55
班德禮,沙田,Turf,1200,8,62,15,-20.6,46.44,12.9,24.19,-33.23
何澤堯,沙田,Turf,1400,5,62,13,-8.600000000000003,35.44,8.06,20.97,-13.87
艾道拿,沙田,Turf,1200,2,62,15,1.0,49.71,3.23,24.19,1.61
何澤堯,沙田,Turf,1200,5,61,19,-20.6,25.71,8.2,31.15,-33.77
梁家俊,跑馬地,Turf,1200,5,61,13,-39.3,26.65,8.2,21.31,-64.43
奧爾民,沙田,Turf,1400,4,61,11,-21.4,60.76,6.56,18.03,-35.08
鍾易禮,沙田,Turf,1400,4,61,5,-41.1,61.46,6.56,8.2,-67.38
希威森,沙田,Turf,1400,2,61,11,-36.3,34.08,3.28,18.03,-59.51
潘頓,跑馬地,Turf,1650,9,59,29,-20.3,5.3,15.25,49.15,-34.41
霍宏聲,跑馬地,Turf,1200,6,59,12,-2.8000000000000016,22.34,10.17,20.34,-4.75
蔡明紹,跑馬地,Turf,1200,3,59,13,-40.1,25.7,5.08,22.03,-67.97
奧爾民,跑馬地,Turf,1200,5,56,17,-20.2,31.29,8.93,30.36,-36.07
蔡明紹,沙田,Turf,1400,2,56,7,-17.0,43.64,3.57,12.5,-30.36
鍾易禮,沙田,Turf,1200,1,56,4,-51.2,97.38,1.79,7.14,-91.43
梁家俊,沙田,Turf,1400,3,55,6,-11.100000000000001,56.78,5.45,10.91,-20.18
潘明輝,跑馬地,Turf,1200,4,54,14,-24.6,29.2,7.41,25.93,-45.56
鍾易禮,跑馬地,Turf,1200,4,54,10,-7.199999999999999,42.02,7.41,18.52,-13.33
布文,跑馬地,Turf,1650,14,53,24,47.2,8.76,26.42,45.28,89.06
金誠剛,跑馬地,Turf,1200,3,53,10,37.1,49.39,5.66,18.87,70.0
艾道拿,跑馬地,Turf,1200,1,53,7,-47.2,27.26,1.89,13.21,-89.06
田泰安,跑馬地,Turf,1650,1,52,11,-22.0,18.32,1.92,21.15,-42.31
黃智弘,跑馬地,Turf,1200,5,51,11,-29.3,26.21,9.8,21.57,-57.45
艾兆禮,跑馬地,Turf,1650,5,49,13,5.2,19.21,10.2,26.53,10.61
楊明綸,跑馬地,Turf,1200,2,48,5,54.0,59.75,4.17,10.42,112.5
周俊樂,跑馬地,Turf,1650,9,47,16,31.3,22.32,19.15,34.04,66.6
潘頓,沙田,Turf,1600,7,46,20,-19.1,6.1,15.22,43.48,-41.52
希威森,跑馬地,Turf,1650,3,44,15,-22.8,23.45,6.82,34.09,-51.82
潘明輝,跑馬地,Turf,1650,2,43,6,-21.4,25.9,4.65,13.95,-49.77
黃智弘,沙田,Turf,1400,1,43,6,-28.0,67.5,2.33,13.95,-65.12
黃智弘,沙田,Turf,1200,5,41,10,57.5,38.06,12.2,24.39,140.24
田泰安,沙田,Turf,1600,1,40,5,-28.0,25.05,2.5,12.5,-70.0
楊明綸,跑馬地,Turf,1650,0,40,4,-40.0,45.08,0.0,10.0,-100.0
鍾易禮,跑馬地,Turf,1650,2,39,2,-22.5,34.35,5.13,5.13,-57.69
奧爾民,跑馬地,Turf,1650,1,39,7,-34.6,37.63,2.56,17.95,-88.72
霍宏聲,跑馬地,Turf,1650,5,38,12,133.6,20.71,13.16,31.58,351.58
何澤堯,跑馬地,Turf,1650,4,37,12,7.0,20.15,10.81,32.43,18.92
巴度,跑馬地,Turf,1650,3,37,11,15.1,21.73,8.11,29.73,40.81
班德禮,跑馬地,Turf,1650,3,37,10,-18.4,18.04,8.11,27.03,-49.73
紀仁安,沙田,Turf,1400,4,36,12,-15.9,22.67,11.11,33.33,-44.17
艾兆禮,沙田,Turf,1600,3,36,9,-15.6,26.46,8.33,25.0,-43.33
巴度,沙田,Turf,1600,4,35,9,-14.6,28.65,11.43,25.71,-41.71
班德禮,沙田,Turf,1600,4,35,8,-4.7,45.37,11.43,22.86,-13.43
布文,沙田,Turf,1600,3,35,10,-24.7,22.37,8.57,28.57,-70.57
梁家俊,跑馬地,Turf,1650,1,34,3,-23.0,39.24,2.94,8.82,-67.65
艾道拿,跑馬地,Turf,1650,2,33,9,9.0,18.77,6.06,27.27,27.27
金誠剛,跑馬地,Turf,1650,1,33,4,-27.7,30.47,3.03,12.12,-83.94
田泰安,沙田,AWT,1200,5,32,14,6.699999999999999,17.4,15.62,43.75,20.94
金誠剛,沙田,Turf,1600,0,31,8,-31.0,51.85,0.0,25.81,-100.0
艾道拿,沙田,Turf,1600,3,30,7,-3.9000000000000004,40.11,10.0,23.33,-13.0
楊明綸,沙田,Turf,1600,0,30,5,-30.0,53.23,0.0,16.67,-100.0
艾兆禮,沙田,AWT,1200,7,29,14,29.8,14.32,24.14,48.28,102.76
蔡明紹,跑馬地,Turf,1650,3,29,7,1.0999999999999996,20.19,10.34,24.14,3.79
何澤堯,沙田,Turf,1600,2,29,5,-18.2,25.77,6.9,17.24,-62.76
麥文堅,沙田,Turf,1200,0,29,6,-29.0,22.68,0.0,20.69,-100.0
潘頓,沙田,Turf,1000,7,28,16,-3.8999999999999995,4.58,25.0,57.14,-13.93
潘頓,沙田,AWT,1650,2,28,10,-17.0,7.48,7.14,35.71,-60.71
周俊樂,沙田,Turf,1600,1,28,7,-22.6,44.51,3.57,25.0,-80.71
潘大衛,沙田,Turf,1400,0,28,1,-28.0,81.39,0.0,3.57,-100.0
潘頓,沙田,AWT,1200,7,27,9,-9.5,7.06,25.93,33.33,-35.19
艾兆禮,沙田,AWT,1650,5,27,9,8.2,19.55,18.52,33.33,30.37
潘明輝,沙田,Turf,1600,4,27,6,106.6,37.45,14.81,22.22,394.81
奧爾民,沙田,Turf,1600,3,27,7,3.9,37.13,11.11,25.93,14.44
布文,沙田,AWT,1200,2,27,11,-4.4,14.09,7.41,40.74,-16.3
梁家俊,沙田,Turf,1600,1,27,7,-23.1,40.27,3.7,25.93,-85.56
田泰安,沙田,Turf,1000,1,27,3,43.0,44.36,3.7,11.11,159.26
紀仁安,沙田,Turf,1200,3,26,7,1.5999999999999996,18.35,11.54,26.92,6.15
楊明綸,沙田,Turf,1000,4,25,5,-8.3,58.22,16.0,20.0,-33.2
潘頓,跑馬地,Turf,1000,4,25,14,-5.199999999999999,5.51,16.0,56.0,-20.8
希威森,沙田,Turf,1600,3,25,6,4.1,38.78,12.0,24.0,16.4
麥文堅,沙田,Turf,1400,2,25,6,14.7,35.79,8.0,24.0,58.8
黃智弘,跑馬地,Turf,1650,2,25,7,22.1,23.82,8.0,28.0,88.4
巫顯東,沙田,Turf,1200,0,25,0,-25.0,112.36,0.0,0.0,-100.0
蔡明紹,沙田,Turf,1600,0,25,2,-25.0,44.11,0.0,8.0,-100.0
田泰安,沙田,AWT,1650,4,24,6,11.3,18.14,16.67,25.0,47.08
巴度,沙田,AWT,1200,2,24,4,0.40000000000000036,28.52,8.33,16.67,1.67
潘大衛,跑馬地,Turf,1200,0,24,1,-24.0,55.05,0.0,4.17,-100.0
艾兆禮,沙田,Turf,1000,4,23,6,23.9,35.92,17.39,26.09,103.91
奧爾民,沙田,Turf,1000,3,23,6,33.8,51.49,13.04,26.09,146.96
鍾易禮,沙田,Turf,1600,2,23,3,-4.1,64.3,8.7,13.04,-17.83
布文,跑馬地,Turf,1000,1,23,6,-9.0,15.07,4.35,26.09,-39.13
