RunStyle,Venue,Track,Distance,Wins,Starts,Places,AvgOdds,WinRate,PlaceRate
Closer,沙田,Turf,1400,34,725,119,47.02,4.69,16.41
Closer,沙田,Turf,1200,24,681,98,53.96,3.52,14.39
Closer,跑馬地,Turf,1200,25,558,87,37.42,4.48,15.59
Midpack,沙田,Turf,1200,28,484,118,35.05,5.79,24.38
Midpack,跑馬地,Turf,1200,41,464,134,21.09,8.84,28.88
Midpack,沙田,Turf,1400,35,447,113,33.06,7.83,25.28
Frontrunner,沙田,Turf,1200,69,363,147,29.28,19.01,40.5
Closer,跑馬地,Turf,1650,22,362,65,29.01,6.08,17.96
Frontrunner,跑馬地,Turf,1200,50,348,127,18.61,14.37,36.49
Frontrunner,沙田,Turf,1400,43,336,104,26.62,12.8,30.95
Closer,沙田,Turf,1600,20,323,62,36.35,6.19,19.2
Midpack,跑馬地,Turf,1650,33,304,92,19.64,10.86,30.26
Frontrunner,跑馬地,Turf,1650,23,228,72,18.35,10.09,31.58
Midpack,沙田,Turf,1600,18,200,48,30.98,9.0,24.0
Closer,沙田,AWT,1200,5,197,26,42.58,2.54,13.2
Closer,沙田,Turf,1000,8,190,26,51.06,4.21,13.68
Closer,沙田,AWT,1650,6,182,31,37.86,3.3,17.03
Midpack,沙田,AWT,1200,17,164,51,20.19,10.37,31.1
Frontrunner,沙田,Turf,1600,12,150,40,38.14,8.0,26.67
Closer,跑馬地,Turf,1000,3,135,16,39.32,2.22,11.85
Midpack,沙田,Turf,1000,8,131,37,29.78,6.11,28.24
Frontrunner,沙田,AWT,1200,19,123,46,17.26,15.45,37.4
Closer,沙田,Turf,1800,10,122,28,27.28,8.2,22.95
Midpack,跑馬地,Turf,1000,8,116,30,19.29,6.9,25.86
Midpack,沙田,AWT,1650,9,115,23,24.45,7.83,20.0
Closer,跑馬地,Turf,1800,6,101,20,26.26,5.94,19.8
Frontrunner,沙田,Turf,1000,18,99,36,16.28,18.18,36.36
Midpack,跑馬地,Turf,1800,8,88,26,15.83,9.09,29.55
Frontrunner,跑馬地,Turf,1000,18,87,41,15.62,20.69,47.13
Frontrunner,沙田,AWT,1650,14,87,33,16.99,16.09,37.93
Midpack,沙田,Turf,1800,5,80,23,24.62,6.25,28.75
Closer,沙田,Turf,2000,7,76,18,25.51,9.21,23.68
Midpack,沙田,Turf,2000,5,67,19,22.21,7.46,28.36
Frontrunner,跑馬地,Turf,1800,8,66,21,19.91,12.12,31.82
Frontrunner,沙田,Turf,1800,5,60,9,32.66,8.33,15.0
Frontrunner,沙田,Turf,2000,5,51,14,26.37,9.8,27.45
Closer,沙田,AWT,1800,0,38,2,28.47,0.0,5.26
Closer,跑馬地,Turf,2200,2,30,10,16.93,6.67,33.33
Midpack,跑馬地,Turf,2200,3,28,7,19.59,10.71,25.0
Midpack,沙田,AWT,1800,2,24,8,20.6,8.33,33.33
Frontrunner,跑馬地,Turf,2200,2,21,4,18.05,9.52,19.05
Frontrunner,沙田,AWT,1800,4,18,8,16.53,22.22,44.44
Midpack,沙田,Turf,2400,1,8,4,8.6,12.5,50.0
Frontrunner,沙田,Turf,2400,1,6,2,19.15,16.67,33.33
Closer,沙田,Turf,2400,0,4,0,28.9,0.0,0.0
