Jockey,Wins,Starts,Places,AvgOdds,WinRate
奧爾民,6,200,21,68.1,3.0
潘明輝,6,201,22,58.1,3.0
梁家俊,6,189,17,70.5,3.2
霍宏聲,6,149,18,48.1,4.0
艾兆禮,5,172,23,50.4,2.9
黃智弘,4,118,10,68.0,3.4
金誠剛,4,244,15,74.0,1.6
楊明綸,4,253,16,77.8,1.6
布文,3,104,16,40.5,2.9
巴度,3,141,12,60.9,2.1
周俊樂,3,167,14,61.5,1.8
黃寶妮,3,64,8,52.3,4.7
艾道拿,3,155,17,59.8,1.9
鍾易禮,2,195,7,81.3,1.0
田泰安,2,197,3,50.3,1.0
班德禮,2,161,11,64.1,1.2
希威森,2,178,13,56.4,1.1
何澤堯,2,134,9,54.3,1.5
麥文堅,2,62,9,45.9,3.2
麥道朗,1,9,4,53.1,11.1
蔡明紹,1,180,16,57.4,0.6
莫雅,1,2,1,28.0,50.0
杜苑欣,1,33,4,37.6,3.0
巫顯東,1,101,3,95.7,1.0
布宜學,0,2,0,32.5,0.0
巴米高,0,1,0,23.0,0.0
三浦皇成,0,1,0,69.0,0.0
布浩榮,0,19,2,44.3,0.0
莫雷拉,0,10,2,36.5,0.0
紀仁安,0,46,3,38.8,0.0
莫艾誠,0,4,0,145.0,0.0
李寶利,0,7,0,39.3,0.0
李慕華,0,3,0,40.3,0.0
潘大衛,0,113,5,76.9,0.0
潘頓,0,6,0,31.7,0.0
貝知仁,0,1,0,82.0,0.0
金美琪,0,1,0,21.0,0.0
蘇銘倫,0,2,1,34.5,0.0
袁幸堯,0,4,0,22.5,0.0
董明朗,0,43,5,56.7,0.0
高力德,0,1,0,101.0,0.0
韋紀力,0,5,1,53.0,0.0
馬昆,0,2,0,73.5,0.0
