Jockey,Wins,Starts,Places,Profit,WinRate,PlaceRate,ROI
潘頓,111,550,264,-147.0,20.2,48.0,-26.7
布文,55,460,154,-58.8,12.0,33.5,-12.8
艾兆禮,53,476,130,-36.8,11.1,27.3,-7.7
周俊樂,37,397,101,-103.7,9.3,25.4,-26.1
田泰安,34,498,112,-118.5,6.8,22.5,-23.8
班德禮,31,382,87,-150.1,8.1,22.8,-39.3
霍宏聲,31,357,80,113.70000000000002,8.7,22.4,31.8
何澤堯,29,342,86,-119.4,8.5,25.1,-34.9
巴度,27,377,96,-78.0,7.2,25.5,-20.7
奧爾民,27,365,88,-7.800000000000004,7.4,24.1,-2.1
潘明輝,25,382,78,20.79999999999999,6.5,20.4,5.4
希威森,24,373,81,-135.0,6.4,21.7,-36.2
梁家俊,23,336,63,100.1,6.8,18.8,29.8
黃智弘,20,253,55,14.700000000000003,7.9,21.7,5.8
鍾易禮,19,325,45,-160.3,5.8,13.8,-49.3
楊明綸,17,372,52,-118.1,4.6,14.0,-31.7
麥道朗,17,107,43,-17.6,15.9,40.2,-16.4
艾道拿,15,344,74,-144.9,4.4,21.5,-42.1
紀仁安,15,171,51,-79.8,8.8,29.8,-46.7
蔡明紹,12,342,63,-231.5,3.5,18.4,-67.7
金誠剛,12,365,64,-107.0,3.3,17.5,-29.3
麥文堅,10,142,31,-18.9,7.0,21.8,-13.3
莫雷拉,10,73,22,-5.600000000000001,13.7,30.1,-7.7
黃寶妮,10,132,29,28.499999999999996,7.6,22.0,21.6
袁幸堯,7,53,20,-6.500000000000002,13.2,37.7,-12.3
杜苑欣,5,97,21,-45.5,5.2,21.6,-46.9
巫顯東,4,116,10,-49.2,3.4,8.6,-42.4
莫雅,2,10,2,14.8,20.0,20.0,148.0
布浩榮,1,33,7,-26.8,3.0,21.2,-81.2
布宜學,1,4,1,4.9,25.0,25.0,122.5
川田將雅,0,1,0,-1.0,0.0,0.0,-100.0
杜滿樂,0,1,1,-1.0,0.0,100.0,-100.0
李慕華,0,9,2,-9.0,0.0,22.2,-100.0
李寶利,0,12,1,-12.0,0.0,8.3,-100.0
巴米高,0,6,1,-6.0,0.0,16.7,-100.0
三浦皇成,0,1,0,-1.0,0.0,0.0,-100.0
莫艾誠,0,5,0,-5.0,0.0,0.0,-100.0
橫山和生,0,1,1,-1.0,0.0,100.0,-100.0
潘大衛,0,132,8,-132.0,0.0,6.1,-100.0
董明朗,0,63,12,-63.0,0.0,19.0,-100.0
金美琪,0,4,1,-4.0,0.0,25.0,-100.0
薛凱華,0,3,1,-3.0,0.0,33.3,-100.0
蘇銘倫,0,5,3,-5.0,0.0,60.0,-100.0
貝知仁,0,1,0,-1.0,0.0,0.0,-100.0
高力德,0,1,0,-1.0,0.0,0.0,-100.0
韋紀力,0,11,4,-11.0,0.0,36.4,-100.0
馬昆,0,2,0,-2.0,0.0,0.0,-100.0
