Jockey,Venue,Track,Wins,Starts,Places,Profit,WinRate,ROI
三浦皇成,沙田,Turf,0,1,0,-1.0,0.0,-100.0
何澤堯,沙田,AWT,1,29,5,-14.0,3.4,-48.3
何澤堯,沙田,Turf,13,185,40,-77.6,7.0,-41.9
何澤堯,跑馬地,Turf,15,128,41,-27.799999999999997,11.7,-21.7
周俊樂,沙田,AWT,1,41,7,-23.0,2.4,-56.1
周俊樂,沙田,Turf,19,208,49,-60.60000000000001,9.1,-29.1
周俊樂,跑馬地,Turf,17,148,45,-20.1,11.5,-13.6
奧爾民,沙田,AWT,2,43,8,-11.100000000000001,4.7,-25.8
奧爾民,沙田,Turf,18,200,52,54.1,9.0,27.0
奧爾民,跑馬地,Turf,7,122,28,-50.8,5.7,-41.6
川田將雅,沙田,Turf,0,1,0,-1.0,0.0,-100.0
巫顯東,沙田,AWT,0,18,0,-18.0,0.0,-100.0
巫顯東,沙田,Turf,4,66,9,0.7999999999999998,6.1,1.2
巫顯東,跑馬地,Turf,0,32,1,-32.0,0.0,-100.0
巴度,沙田,AWT,2,33,4,-8.6,6.1,-26.1
巴度,沙田,Turf,16,207,50,-28.000000000000007,7.7,-13.5
巴度,跑馬地,Turf,9,137,42,-41.4,6.6,-30.2
巴米高,跑馬地,Turf,0,6,1,-6.0,0.0,-100.0
布宜學,跑馬地,Turf,1,4,1,4.9,25.0,122.5
布文,沙田,AWT,3,48,19,-21.6,6.2,-45.0
布文,沙田,Turf,23,231,69,-50.3,10.0,-21.8
布文,跑馬地,Turf,29,181,66,13.099999999999998,16.0,7.2
布浩榮,沙田,AWT,0,2,0,-2.0,0.0,-100.0
布浩榮,沙田,Turf,0,19,3,-19.0,0.0,-100.0
布浩榮,跑馬地,Turf,1,12,4,-5.8,8.3,-48.3
希威森,沙田,AWT,5,47,14,-13.200000000000001,10.6,-28.1
希威森,沙田,Turf,10,184,35,-62.7,5.4,-34.1
希威森,跑馬地,Turf,9,142,32,-59.1,6.3,-41.6
李寶利,沙田,Turf,0,6,0,-6.0,0.0,-100.0
李寶利,跑馬地,Turf,0,6,1,-6.0,0.0,-100.0
李慕華,沙田,Turf,0,4,1,-4.0,0.0,-100.0
李慕華,跑馬地,Turf,0,5,1,-5.0,0.0,-100.0
杜滿樂,沙田,Turf,0,1,1,-1.0,0.0,-100.0
杜苑欣,沙田,AWT,1,2,1,7.0,50.0,350.0
杜苑欣,沙田,Turf,2,43,9,-27.4,4.7,-63.7
杜苑欣,跑馬地,Turf,2,52,11,-25.1,3.8,-48.3
梁家俊,沙田,AWT,1,21,3,-14.0,4.8,-66.7
梁家俊,沙田,Turf,15,197,41,111.4,7.6,56.5
梁家俊,跑馬地,Turf,7,118,19,2.700000000000003,5.9,2.3
楊明綸,沙田,AWT,0,45,7,-45.0,0.0,-100.0
楊明綸,沙田,Turf,13,209,31,-75.6,6.2,-36.2
楊明綸,跑馬地,Turf,4,118,14,2.5,3.4,2.1
橫山和生,沙田,Turf,0,1,1,-1.0,0.0,-100.0
潘大衛,沙田,AWT,0,18,0,-18.0,0.0,-100.0
