Trainer,RaceClass,Wins,Starts,Places,WinRate
丁冠豪,Class 2,2,7,5,28.6
丁冠豪,Class 3,2,21,4,9.5
丁冠豪,Class 4,5,140,24,3.6
丁冠豪,Class 5,3,62,15,4.8
丁冠豪,Group 1,0,1,0,0.0
丁冠豪,Group 3,0,1,1,0.0
上村洋行,Group 1,0,1,1,0.0
伍鵬志,Class 1,0,2,1,0.0
伍鵬志,Class 2,2,31,6,6.5
伍鵬志,Class 3,3,104,10,2.9
伍鵬志,Class 4,12,207,43,5.8
伍鵬志,Class 5,3,61,15,4.9
伍鵬志,Group 1,0,7,1,0.0
伍鵬志,Group 2,1,5,2,20.0
伍鵬志,Group 3,0,3,0,0.0
伯特,Group 1,0,1,0,0.0
侯耀誠,Group 1,0,1,0,0.0
包義定,Group 1,0,1,0,0.0
呂健威,Class 1,1,5,3,20.0
呂健威,Class 2,3,41,16,7.3
呂健威,Class 3,18,113,39,15.9
呂健威,Class 4,23,194,66,11.9
呂健威,Class 5,0,26,3,0.0
呂健威,Griffin,0,1,0,0.0
呂健威,Group 1,0,12,2,0.0
呂健威,Group 2,0,12,2,0.0
呂健威,Group 3,1,15,5,6.7
告東尼,Class 1,0,2,0,0.0
告東尼,Class 2,5,51,12,9.8
告東尼,Class 3,10,146,28,6.8
告東尼,Class 4,16,186,43,8.6
告東尼,Class 5,5,68,14,7.4
告東尼,Group 1,0,8,0,0.0
告東尼,Group 2,0,8,1,0.0
告東尼,Group 3,0,8,1,0.0
堀宣行,Group 1,0,2,1,0.0
大衛希斯,Class 1,1,5,1,20.0
大衛希斯,Class 2,5,42,11,11.9
大衛希斯,Class 3,14,160,36,8.8
大衛希斯,Class 4,16,248,52,6.5
大衛希斯,Class 5,4,47,12,8.5
大衛希斯,Griffin,0,6,2,0.0
大衛希斯,Group 1,4,18,4,22.2
大衛希斯,Group 2,3,8,3,37.5
大衛希斯,Group 3,1,7,1,14.3
姚本輝,Class 2,1,15,4,6.7
姚本輝,Class 3,16,151,39,10.6
姚本輝,Class 4,10,147,41,6.8
姚本輝,Class 5,4,38,16,10.5
姚本輝,Griffin,0,1,1,0.0
姚本輝,Group 1,1,12,3,8.3
姚本輝,Group 2,0,6,3,0.0
姚本輝,Group 3,0,3,0,0.0
岳伯仁,Group 1,0,2,0,0.0
岳品賢,Group 1,0,1,0,0.0
岳本賢,Group 1,0,2,0,0.0
巫偉傑,Class 1,0,1,0,0.0
巫偉傑,Class 2,3,22,7,13.6
巫偉傑,Class 3,4,107,21,3.7
巫偉傑,Class 4,24,224,60,10.7
巫偉傑,Class 5,3,46,9,6.5
巫偉傑,Griffin,0,1,0,0.0
巫偉傑,Group 1,0,6,4,0.0
巫偉傑,Group 2,0,2,0,0.0
巫偉傑,Group 3,0,6,1,0.0
巴伯樂,Group 1,0,1,0,0.0
布銘球,Group 1,0,1,1,0.0
廖康銘,Class 2,6,46,16,13.0
廖康銘,Class 3,16,158,50,10.1
廖康銘,Class 4,23,210,55,11.0
廖康銘,Class 5,3,22,8,13.6
廖康銘,Griffin,0,1,0,0.0
廖康銘,Group 1,1,8,2,12.5
廖康銘,Group 2,1,3,2,33.3
廖康銘,Group 3,1,1,1,100.0
徐雨石,Class 2,0,10,0,0.0
徐雨石,Class 3,7,125,20,5.6
徐雨石,Class 4,7,94,18,7.4
徐雨石,Class 5,4,61,13,6.6
徐雨石,Group 1,0,3,1,0.0
手塚貴久,Group 1,0,1,1,0.0
文家良,Class 1,0,1,1,0.0
文家良,Class 2,2,17,5,11.8
文家良,Class 3,9,87,25,10.3
文家良,Class 4,20,207,45,9.7
文家良,Class 5,2,60,10,3.3
文家良,Group 1,1,5,3,20.0
文家良,Group 2,1,2,1,50.0
文家良,Group 3,0,1,0,0.0
方嘉柏,Class 1,0,1,1,0.0
方嘉柏,Class 2,4,47,10,8.5
方嘉柏,Class 3,14,134,30,10.4
方嘉柏,Class 4,21,189,58,11.1
方嘉柏,Class 5,11,61,20,18.0
方嘉柏,Griffin,0,1,1,0.0
方嘉柏,Group 1,1,5,2,20.0
方嘉柏,Group 3,0,5,1,0.0
杉山晴紀,Group 1,0,1,0,0.0
桂福特,Class 2,1,14,6,7.1
桂福特,Class 3,2,54,10,3.7
桂福特,Class 4,8,129,27,6.2
桂福特,Class 5,8,58,25,13.8
桂福特,Group 1,0,1,0,0.0
桂福特,Group 2,0,1,0,0.0
桂福特,Group 3,1,4,2,25.0
森一誠,Group 1,0,1,0,0.0
武井亮,Group 1,0,2,0,0.0
武英智,Group 1,0,1,0,0.0
池江泰壽,Group 1,0,1,1,0.0
沈集成,Class 1,0,1,0,0.0
沈集成,Class 2,3,23,4,13.0
沈集成,Class 3,10,125,33,8.0
沈集成,Class 4,22,198,53,11.1
沈集成,Class 5,9,46,13,19.6
沈集成,Group 1,5,8,5,62.5
沈集成,Group 2,1,3,1,33.3
沈集成,Group 3,1,5,3,20.0
游孝廉,Group 1,0,2,1,0.0
游達榮,Class 1,0,3,1,0.0
游達榮,Class 2,2,19,7,10.5
游達榮,Class 3,10,128,30,7.8
游達榮,Class 4,5,175,25,2.9
游達榮,Class 5,7,40,13,17.5
游達榮,Group 1,1,1,1,100.0
游達榮,Group 2,0,2,0,0.0
游達榮,Group 3,0,5,1,0.0
田中博康,Group 1,0,1,0,0.0
羅富全,Class 1,0,3,0,0.0
羅富全,Class 2,3,38,6,7.9
羅富全,Class 3,12,136,39,8.8
羅富全,Class 4,14,211,50,6.6
羅富全,Class 5,2,39,6,5.1
羅富全,Group 1,1,5,1,20.0
羅富全,Group 2,0,8,1,0.0
羅富全,Group 3,1,5,3,20.0
葉楚航,Class 1,1,1,1,100.0
葉楚航,Class 2,0,4,0,0.0
葉楚航,Class 3,4,70,14,5.7
葉楚航,Class 4,7,194,23,3.6
葉楚航,Class 5,3,65,9,4.6
