Trainer,Draw,Wins,Starts,Places,WinRate
丁冠豪,1,1,19,4,5.3
丁冠豪,10,1,22,2,4.5
丁冠豪,11,0,13,1,0.0
丁冠豪,12,1,25,5,4.0
丁冠豪,13,0,5,3,0.0
丁冠豪,14,0,4,0,0.0
丁冠豪,2,0,17,4,0.0
丁冠豪,3,1,19,6,5.3
丁冠豪,4,3,17,8,17.6
丁冠豪,5,1,18,2,5.6
丁冠豪,6,1,12,2,8.3
丁冠豪,7,3,22,5,13.6
丁冠豪,8,1,26,7,3.8
丁冠豪,9,0,16,1,0.0
上村洋行,5,0,1,1,0.0
伍鵬志,1,1,34,8,2.9
伍鵬志,10,2,42,4,4.8
伍鵬志,11,2,35,5,5.7
伍鵬志,12,0,32,4,0.0
伍鵬志,13,1,13,2,7.7
伍鵬志,14,0,10,1,0.0
伍鵬志,2,4,33,7,12.1
伍鵬志,3,2,31,5,6.5
伍鵬志,4,2,32,6,6.2
伍鵬志,5,2,43,11,4.7
伍鵬志,6,2,26,5,7.7
伍鵬志,7,0,27,4,0.0
伍鵬志,8,2,31,10,6.5
伍鵬志,9,1,34,6,2.9
伯特,1,0,1,0,0.0
侯耀誠,13,0,1,0,0.0
包義定,9,0,1,0,0.0
呂健威,1,5,37,10,13.5
呂健威,10,2,36,10,5.6
呂健威,11,7,33,12,21.2
呂健威,12,1,34,10,2.9
呂健威,13,2,21,4,9.5
呂健威,14,1,12,2,8.3
呂健威,2,3,27,12,11.1
呂健威,3,3,34,12,8.8
呂健威,4,4,26,8,15.4
呂健威,5,0,29,7,0.0
呂健威,6,6,40,18,15.0
呂健威,7,5,31,13,16.1
呂健威,8,3,32,11,9.4
呂健威,9,4,27,7,14.8
告東尼,1,4,38,11,10.5
告東尼,10,1,45,4,2.2
告東尼,11,2,32,3,6.2
告東尼,12,1,27,5,3.7
告東尼,13,1,13,1,7.7
告東尼,14,0,16,2,0.0
告東尼,2,7,39,9,17.9
告東尼,3,3,34,9,8.8
告東尼,4,4,52,17,7.7
告東尼,5,3,30,10,10.0
告東尼,6,4,39,10,10.3
告東尼,7,3,36,8,8.3
告東尼,8,0,35,4,0.0
告東尼,9,3,44,7,6.8
堀宣行,4,0,1,0,0.0
堀宣行,8,0,1,1,0.0
大衛希斯,1,8,50,22,16.0
