Trainer,Going,Wins,Starts,Places,WinRate
丁冠豪,一級賽 - 1600米,0,1,0,0.0
丁冠豪,三級賽 - 1800米,0,1,1,0.0
丁冠豪,四歲 - 1600米,1,1,1,100.0
丁冠豪,四歲 - 1800米,0,1,0,0.0
丁冠豪,四歲 - 2000米,0,1,0,0.0
丁冠豪,第三班 - 1200米 - (80-60),1,8,1,12.5
丁冠豪,第三班 - 1400米 - (80-60),1,9,3,11.1
丁冠豪,第三班 - 1650米 - (80-60),0,3,0,0.0
丁冠豪,第三班 - 1650米 - (85-60),0,1,0,0.0
丁冠豪,第二班 - 1400米 - (100-80),1,2,1,50.0
丁冠豪,第二班 - 1650米 - (100-75),0,1,1,0.0
丁冠豪,第二班 - 1650米 - (100-80),1,1,1,100.0
丁冠豪,第二班 - 1650米 - (105-80),0,1,1,0.0
丁冠豪,第二班 - 1800米 - (100-75),0,1,1,0.0
丁冠豪,第二班 - 1800米 - (100-80),0,1,0,0.0
丁冠豪,第五班 - 1000米 - (40-0),1,6,3,16.7
丁冠豪,第五班 - 1200米 - (40-0),2,18,7,11.1
丁冠豪,第五班 - 1400米 - (40-0),0,7,0,0.0
丁冠豪,第五班 - 1600米 - (40-0),0,2,0,0.0
丁冠豪,第五班 - 1650米 - (40-0),0,17,5,0.0
丁冠豪,第五班 - 1800米 - (40-0),0,9,0,0.0
丁冠豪,第五班 - 2000米 - (40-0),0,1,0,0.0
丁冠豪,第五班 - 2200米 - (40-0),0,2,0,0.0
丁冠豪,第四班 - 1000米 - (60-40),1,16,1,6.2
丁冠豪,第四班 - 1200米 - (60-40),2,47,8,4.3
丁冠豪,第四班 - 1400米 - (60-40),1,23,5,4.3
丁冠豪,第四班 - 1600米 - (60-40),0,15,7,0.0
丁冠豪,第四班 - 1650米 - (60-40),0,24,1,0.0
丁冠豪,第四班 - 1800米 - (60-35),0,2,0,0.0
丁冠豪,第四班 - 1800米 - (60-40),1,8,2,12.5
丁冠豪,第四班 - 2000米 - (60-40),0,3,0,0.0
丁冠豪,第四班 - 2200米 - (60-40),0,2,0,0.0
上村洋行,一級賽 - 2000米,0,1,1,0.0
伍鵬志,一級賽 - 1400米,0,1,0,0.0
伍鵬志,一級賽 - 1600米,0,3,0,0.0
伍鵬志,一級賽 - 2400米,0,1,0,0.0
伍鵬志,三級賽 - 1000米,0,1,0,0.0
伍鵬志,三級賽 - 1400米,0,2,0,0.0
伍鵬志,二級賽 - 1200米,0,1,0,0.0
伍鵬志,二級賽 - 1600米,1,3,1,33.3
伍鵬志,二級賽 - 2000米,0,1,1,0.0
伍鵬志,四歲 - 1600米,0,1,0,0.0
伍鵬志,四歲 - 1800米,0,1,0,0.0
伍鵬志,四歲 - 2000米,0,1,0,0.0
伍鵬志,第一班 - 1200米 - (85+),0,1,0,0.0
伍鵬志,第一班 - 1400米 - (110-85),0,1,1,0.0
伍鵬志,第三班 - 1000米 - (80-60),1,15,2,6.7
伍鵬志,第三班 - 1000米 - (85-60),0,1,0,0.0
伍鵬志,第三班 - 1200米 - (80-55),0,2,1,0.0
伍鵬志,第三班 - 1200米 - (80-60),0,35,4,0.0
伍鵬志,第三班 - 1200米 - (85-60),0,2,0,0.0
伍鵬志,第三班 - 1400米 - (80-60),1,9,1,11.1
伍鵬志,第三班 - 1600米 - (80-60),0,3,0,0.0
伍鵬志,第三班 - 1650米 - (80-55),0,2,0,0.0
伍鵬志,第三班 - 1650米 - (80-60),1,10,2,10.0
伍鵬志,第三班 - 1650米 - (85-60),0,6,0,0.0
伍鵬志,第三班 - 1800米 - (80-60),0,7,0,0.0
伍鵬志,第三班 - 1800米 - (85-60),0,5,0,0.0
伍鵬志,第三班 - 2000米 - (80-60),0,2,0,0.0
伍鵬志,第三班 - 2000米 - (85-60),0,2,0,0.0
伍鵬志,第三班 - 2200米 - (80-55),0,2,0,0.0
伍鵬志,第三班（條件限制） - 1600米 - (85-60),0,1,0,0.0
伍鵬志,第二班 - 1000米 - (100-75),0,1,0,0.0
伍鵬志,第二班 - 1000米 - (105-80),0,2,0,0.0
伍鵬志,第二班 - 1200米 - (100-80),0,4,1,0.0
伍鵬志,第二班 - 1200米 - (105-80),0,2,0,0.0
