Trainer,Wins,Starts,Places,Profit,WinRate,PlaceRate,ROI
廖康銘,52,457,137,-107.0,11.4,30.0,-23.4
方嘉柏,51,443,123,-72.39999999999999,11.5,27.8,-16.3
沈集成,51,409,112,68.89999999999999,12.5,27.4,16.8
大衛希斯,48,544,122,-210.1,8.8,22.4,-38.6
呂健威,46,419,136,-64.2,11.0,32.5,-15.3
蔡約翰,44,487,145,-85.1,9.0,29.8,-17.5
告東尼,36,480,100,-198.6,7.5,20.8,-41.4
文家良,35,385,91,97.9,9.1,23.6,25.4
羅富全,34,450,109,-109.8,7.6,24.2,-24.4
巫偉傑,34,418,102,-52.5,8.1,24.4,-12.6
姚本輝,32,373,107,-79.0,8.6,28.7,-21.2
游達榮,25,376,78,-84.30000000000001,6.6,20.7,-22.4
賀賢,25,338,89,66.6,7.4,26.3,19.7
蘇偉賢,24,363,81,-91.7,6.6,22.3,-25.3
黎昭昇,21,300,70,-124.7,7.0,23.3,-41.6
韋達,21,353,80,-221.7,5.9,22.7,-62.8
伍鵬志,21,423,78,-131.1,5.0,18.4,-31.0
桂福特,20,261,70,-61.8,7.7,26.8,-23.7
徐雨石,18,295,52,-121.3,6.1,17.6,-41.1
葉楚航,17,347,52,-157.3,4.9,15.0,-45.3
鄭俊偉,15,307,51,-114.4,4.9,16.6,-37.3
丁冠豪,13,235,50,-47.4,5.5,21.3,-20.2
費伯華,1,2,2,0.7000000000000002,50.0,100.0,35.0
堀宣行,0,2,1,-2.0,0.0,50.0,-100.0
上村洋行,0,1,1,-1.0,0.0,100.0,-100.0
伯特,0,1,0,-1.0,0.0,0.0,-100.0
包義定,0,1,0,-1.0,0.0,0.0,-100.0
侯耀誠,0,1,0,-1.0,0.0,0.0,-100.0
岳伯仁,0,2,0,-2.0,0.0,0.0,-100.0
武英智,0,1,0,-1.0,0.0,0.0,-100.0
池江泰壽,0,1,1,-1.0,0.0,100.0,-100.0
森一誠,0,1,0,-1.0,0.0,0.0,-100.0
杉山晴紀,0,1,0,-1.0,0.0,0.0,-100.0
岳本賢,0,2,0,-2.0,0.0,0.0,-100.0
布銘球,0,1,1,-1.0,0.0,100.0,-100.0
手塚貴久,0,1,1,-1.0,0.0,100.0,-100.0
岳品賢,0,1,0,-1.0,0.0,0.0,-100.0
巴伯樂,0,1,0,-1.0,0.0,0.0,-100.0
武井亮,0,2,0,-2.0,0.0,0.0,-100.0
游孝廉,0,2,1,-2.0,0.0,50.0,-100.0
葛威法,0,2,2,-2.0,0.0,100.0,-100.0
田中博康,0,1,0,-1.0,0.0,0.0,-100.0
高野友和,0,1,0,-1.0,0.0,0.0,-100.0
鹿戶雄一,0,1,0,-1.0,0.0,0.0,-100.0
