Trainer,Month,Wins,Starts,Places,WinRate
丁冠豪,2025-09,2,14,6,14.3
丁冠豪,2025-10,0,28,2,0.0
丁冠豪,2025-11,2,30,5,6.7
丁冠豪,2025-12,2,29,8,6.9
丁冠豪,2026-01,2,32,8,6.2
丁冠豪,2026-02,2,29,8,6.9
丁冠豪,2026-03,1,31,4,3.2
丁冠豪,2026-04,2,30,6,6.7
丁冠豪,2026-05,0,12,3,0.0
上村洋行,2025-12,0,1,1,0.0
伍鵬志,2025-09,0,41,6,0.0
伍鵬志,2025-10,3,56,9,5.4
伍鵬志,2025-11,5,62,16,8.1
伍鵬志,2025-12,3,52,13,5.8
伍鵬志,2026-01,2,54,9,3.7
伍鵬志,2026-02,4,42,10,9.5
伍鵬志,2026-03,3,51,9,5.9
伍鵬志,2026-04,0,49,4,0.0
伍鵬志,2026-05,1,16,2,6.2
伯特,2026-04,0,1,0,0.0
侯耀誠,2025-12,0,1,0,0.0
包義定,2025-12,0,1,0,0.0
呂健威,2025-09,1,27,7,3.7
呂健威,2025-10,4,52,16,7.7
呂健威,2025-11,5,51,15,9.8
呂健威,2025-12,2,49,14,4.1
呂健威,2026-01,10,58,20,17.2
呂健威,2026-02,8,51,18,15.7
呂健威,2026-03,10,54,26,18.5
呂健威,2026-04,3,56,12,5.4
呂健威,2026-05,3,21,8,14.3
告東尼,2025-09,4,34,10,11.8
告東尼,2025-10,5,60,14,8.3
告東尼,2025-11,1,58,7,1.7
告東尼,2025-12,1,53,11,1.9
告東尼,2026-01,2,69,12,2.9
告東尼,2026-02,7,52,15,13.5
告東尼,2026-03,8,70,13,11.4
告東尼,2026-04,7,61,15,11.5
告東尼,2026-05,1,23,3,4.3
堀宣行,2025-12,0,1,0,0.0
堀宣行,2026-04,0,1,1,0.0
大衛希斯,2025-09,5,57,11,8.8
大衛希斯,2025-10,8,65,22,12.3
大衛希斯,2025-11,6,64,16,9.4
大衛希斯,2025-12,3,56,12,5.4
大衛希斯,2026-01,10,76,15,13.2
大衛希斯,2026-02,4,61,10,6.6
大衛希斯,2026-03,4,70,12,5.7
大衛希斯,2026-04,8,67,17,11.9
大衛希斯,2026-05,0,28,7,0.0
姚本輝,2025-09,1,27,4,3.7
姚本輝,2025-10,3,49,13,6.1
姚本輝,2025-11,6,47,14,12.8
姚本輝,2025-12,2,41,9,4.9
姚本輝,2026-01,7,54,22,13.0
姚本輝,2026-02,6,42,9,14.3
姚本輝,2026-03,1,40,12,2.5
姚本輝,2026-04,5,52,19,9.6
姚本輝,2026-05,1,21,5,4.8
岳伯仁,2025-12,0,2,0,0.0
岳品賢,2026-04,0,1,0,0.0
岳本賢,2025-12,0,2,0,0.0
巫偉傑,2025-09,4,37,8,10.8
巫偉傑,2025-10,1,57,11,1.8
巫偉傑,2025-11,4,50,16,8.0
巫偉傑,2025-12,6,35,16,17.1
巫偉傑,2026-01,4,60,11,6.7
巫偉傑,2026-02,4,50,11,8.0
巫偉傑,2026-03,5,52,11,9.6
巫偉傑,2026-04,2,60,11,3.3
巫偉傑,2026-05,4,17,7,23.5
巴伯樂,2025-12,0,1,0,0.0
布銘球,2025-12,0,1,1,0.0
廖康銘,2025-09,6,43,15,14.0
廖康銘,2025-10,14,63,28,22.2
廖康銘,2025-11,3,52,17,5.8
廖康銘,2025-12,3,48,9,6.2
廖康銘,2026-01,7,62,19,11.3
廖康銘,2026-02,2,52,11,3.8
廖康銘,2026-03,10,65,19,15.4
廖康銘,2026-04,5,50,14,10.0
廖康銘,2026-05,2,22,5,9.1
徐雨石,2025-09,1,23,7,4.3
徐雨石,2025-10,3,27,5,11.1
徐雨石,2025-11,3,39,7,7.7
徐雨石,2025-12,4,36,7,11.1
徐雨石,2026-01,2,44,11,4.5
徐雨石,2026-02,2,35,6,5.7
徐雨石,2026-03,0,39,4,0.0
徐雨石,2026-04,2,40,4,5.0
徐雨石,2026-05,1,12,1,8.3
手塚貴久,2026-04,0,1,1,0.0
文家良,2025-09,1,32,7,3.1
文家良,2025-10,8,47,17,17.0
文家良,2025-11,4,47,13,8.5
文家良,2025-12,4,43,8,9.3
文家良,2026-01,5,58,12,8.6
文家良,2026-02,3,43,8,7.0
文家良,2026-03,4,50,8,8.0
文家良,2026-04,2,47,13,4.3
