Going,Wins,Starts,Places,WinRate
一級賽 - 1200米,0,11,1,0.0
一級賽 - 1600米,0,14,1,0.0
一級賽 - 2000米,0,18,6,0.0
一級賽 - 2400米,2,14,4,14.3
三級賽 - 1000米,0,4,1,0.0
三級賽 - 1400米,1,4,3,25.0
三級賽 - 1800米,0,4,0,0.0
二級賽 - 1200米,0,6,2,0.0
二級賽 - 1600米,1,9,3,11.1
二級賽 - 2000米,1,1,1,100.0
四歲 - 1800米,0,1,0,0.0
新馬賽 - 1000米,3,26,9,11.5
新馬賽 - 1200米,1,8,1,12.5
第一班 - 1200米 - (80+),1,10,3,10.0
第三班 - 1000米 - (80-55),0,2,1,0.0
第三班 - 1000米 - (80-60),6,90,16,6.7
第三班 - 1000米 - (85-60),0,9,0,0.0
第三班 - 1200米 - (80-55),0,3,0,0.0
第三班 - 1200米 - (80-60),16,244,44,6.6
第三班 - 1200米 - (85-60),0,5,0,0.0
第三班 - 1400米 - (80-60),8,115,17,7.0
第三班 - 1400米 - (85-60),0,2,0,0.0
第三班 - 1600米 - (80-60),2,35,6,5.7
第三班 - 1600米 - (85-60),0,1,0,0.0
第三班 - 1650米 - (80-60),4,38,8,10.5
第三班 - 1650米 - (85-60),0,3,1,0.0
第三班 - 1800米 - (80-60),0,2,0,0.0
第三班 - 1800米 - (85-60),0,3,0,0.0
第三班 - 2000米 - (85-60),0,1,0,0.0
第三班 - 2200米 - (80-60),0,1,0,0.0
第三班（條件限制） - 1600米 - (85-60),0,4,0,0.0
第二班 - 1000米 - (90-65),0,1,0,0.0
第二班 - 1200米 - (100-80),0,16,2,0.0
第二班 - 1200米 - (105-80),0,1,0,0.0
第二班 - 1400米 - (100-75),0,1,0,0.0
第二班 - 1400米 - (100-80),1,4,2,25.0
第二班 - 1400米 - (105-80),0,3,0,0.0
第二班 - 1400米 - (90-70),1,8,3,12.5
第二班 - 1600米 - (100-75),0,3,0,0.0
第二班 - 1600米 - (100-80),0,4,0,0.0
第二班 - 1600米 - (105-75),1,1,1,100.0
第二班 - 1600米 - (105-80),0,1,0,0.0
第二班 - 1650米 - (100-75),1,8,3,12.5
第二班 - 1650米 - (100-80),1,12,3,8.3
第二班 - 1800米 - (100-75),1,2,1,50.0
第二班 - 1800米 - (100-80),0,1,1,0.0
第二班 - 2000米 - (100-75),0,1,0,0.0
第二班 - 2000米 - (95-70),0,2,0,0.0
第五班 - 1000米 - (40-0),1,16,3,6.2
第五班 - 1200米 - (40-0),5,43,12,11.6
第五班 - 1400米 - (40-0),2,30,6,6.7
第五班 - 1600米 - (40-0),1,16,4,6.2
第五班 - 1650米 - (40-0),1,15,4,6.7
第五班 - 1800米 - (40-0),1,4,2,25.0
第四班 - 1000米 - (60-40),16,179,37,8.9
第四班 - 1200米 - (60-40),41,531,122,7.7
第四班 - 1400米 - (60-40),9,144,27,6.2
第四班 - 1600米 - (60-40),0,14,3,0.0
第四班 - 1650米 - (60-40),5,61,12,8.2
第四班 - 1800米 - (60-40),1,17,4,5.9
第四班 - 2000米 - (60-40),0,1,0,0.0
第四班（條件限制） - 1200米 - (60-40),3,40,9,7.5
第四班（條件限制） - 1400米 - (60-40),0,6,0,0.0
