Jockey,Trainer,Wins,Starts,Places,AvgOdds,WinRate
布文,方嘉柏,6,20,9,22.0,30.0
何澤堯,呂健威,4,29,8,27.6,13.8
潘頓,蘇偉賢,4,12,7,4.6,33.3
潘頓,黎昭昇,4,10,7,4.2,40.0
霍宏聲,廖康銘,4,37,10,23.1,10.8
潘頓,賀賢,3,8,4,4.1,37.5
潘頓,沈集成,3,4,3,5.2,75.0
潘頓,葉楚航,3,8,4,4.6,37.5
梁家俊,羅富全,3,26,9,31.2,11.5
潘頓,伍鵬志,3,16,7,6.7,18.8
梁家俊,巫偉傑,3,21,5,36.5,14.3
蔡明紹,巫偉傑,3,28,6,58.7,10.7
希威森,大衛希斯,2,9,3,63.6,22.2
潘明輝,羅富全,2,12,3,36.0,16.7
潘頓,呂健威,2,11,7,4.5,18.2
潘頓,羅富全,2,11,6,4.5,18.2
楊明綸,呂健威,2,9,3,51.0,22.2
布文,蔡約翰,2,14,7,15.4,14.3
田泰安,徐雨石,2,15,3,28.9,13.3
艾道拿,大衛希斯,2,5,4,15.1,40.0
董明朗,蘇偉賢,2,17,3,56.0,11.8
袁幸堯,姚本輝,2,5,5,12.3,40.0
霍宏聲,丁冠豪,2,7,2,32.8,28.6
何澤堯,蘇偉賢,2,8,2,51.5,25.0
周俊樂,姚本輝,2,10,4,26.9,20.0
潘明輝,沈集成,1,3,2,44.7,33.3
麥道朗,呂健威,1,1,1,1.5,100.0
巴度,廖康銘,1,4,2,25.6,25.0
潘頓,游達榮,1,3,1,6.8,33.3
巴度,文家良,1,1,1,5.8,100.0
麥道朗,沈集成,1,2,1,3.6,50.0
麥道朗,游達榮,1,1,1,7.8,100.0
黃寶妮,伍鵬志,1,4,1,31.0,25.0
巴度,方嘉柏,1,10,2,42.1,10.0
黃寶妮,文家良,1,8,1,45.4,12.5
潘明輝,葉楚航,1,10,2,32.2,10.0
周俊樂,鄭俊偉,1,2,2,19.5,50.0
艾道拿,蔡約翰,1,22,7,23.6,4.5
奧爾民,丁冠豪,1,1,1,61.0,100.0
奧爾民,呂健威,1,1,1,6.0,100.0
潘頓,蔡約翰,1,8,3,4.8,12.5
潘明輝,鄭俊偉,1,7,3,46.2,14.3
奧爾民,廖康銘,1,2,1,20.9,50.0
布文,姚本輝,1,3,2,6.5,33.3
潘頓,大衛希斯,1,16,7,7.7,6.2
奧爾民,賀賢,1,4,1,82.8,25.0
潘頓,姚本輝,1,1,1,6.4,100.0
潘頓,廖康銘,1,5,2,5.9,20.0
布文,沈集成,1,12,3,12.6,8.3
潘明輝,姚本輝,1,15,3,29.8,6.7
楊明綸,蘇偉賢,1,15,4,47.4,6.7
楊明綸,鄭俊偉,1,8,2,71.0,12.5
何澤堯,文家良,1,2,1,14.7,50.0
潘明輝,伍鵬志,1,8,2,30.2,12.5
潘明輝,告東尼,1,1,1,9.9,100.0
班德禮,蘇偉賢,1,5,1,44.6,20.0
