Jockey,Trainer,Wins,Starts,Places,AvgOdds,WinRate,PlaceRate,TrainerDebutWinRate,TrainerDebutPlaceRate,JockeyDebutWinRate,JockeyDebutPlaceRate,WinEdgeVsMean,PlaceEdgeVsMean
鍾易禮,告東尼,1,42,4,36.34,2.38,9.52,4.71,14.12,2.41,8.43,-1.18,-1.75
霍宏聲,廖康銘,4,37,10,23.08,10.81,27.03,10.42,22.92,11.36,21.59,-0.08,4.77
何澤堯,呂健威,4,29,8,27.63,13.79,27.59,12.12,27.27,10.98,25.61,2.24,1.15
蔡明紹,巫偉傑,3,28,6,58.71,10.71,21.43,7.45,19.15,5.49,18.68,4.24,2.52
梁家俊,羅富全,3,26,9,31.21,11.54,34.62,8.42,24.21,5.83,22.33,4.41,11.35
艾道拿,蔡約翰,1,22,7,23.57,4.55,31.82,8.14,24.42,5.43,25.0,-2.24,7.11
梁家俊,巫偉傑,3,21,5,36.5,14.29,23.81,7.45,19.15,5.83,22.33,7.65,3.07
希威森,呂健威,1,21,3,41.13,4.76,14.29,12.12,27.27,4.95,14.85,-3.78,-6.77
布文,方嘉柏,6,20,9,21.98,30.0,45.0,10.34,24.14,10.87,33.7,19.4,16.08
周俊樂,容天鵬,1,20,1,43.06,5.0,5.0,2.13,6.38,4.9,12.75,1.48,-4.56
艾兆禮,游達榮,0,20,2,29.99,0.0,10.0,5.56,12.5,3.19,20.21,-4.38,-6.36
希威森,韋達,0,19,2,65.26,0.0,10.53,1.16,16.28,4.95,14.85,-3.06,-5.04
董明朗,蘇偉賢,2,17,3,55.99,11.76,17.65,10.87,22.83,5.13,7.69,3.76,2.39
潘頓,伍鵬志,3,16,7,6.74,18.75,43.75,9.0,20.0,24.0,49.6,2.25,8.95
艾道拿,告東尼,1,16,4,20.1,6.25,25.0,4.71,14.12,5.43,25.0,1.18,5.44
希威森,廖康銘,1,16,2,22.77,6.25,12.5,10.42,22.92,4.95,14.85,-1.44,-6.39
潘頓,大衛希斯,1,16,7,7.67,6.25,43.75,5.36,23.21,24.0,49.6,-8.43,7.34
田泰安,徐雨石,2,15,3,28.89,13.33,20.0,7.69,12.82,6.56,20.49,6.2,3.34
蔡明紹,韋達,1,15,4,33.13,6.67,26.67,1.16,16.28,5.49,18.68,3.34,9.19
楊明綸,蘇偉賢,1,15,4,47.39,6.67,26.67,10.87,22.83,5.33,17.33,-1.43,6.59
潘明輝,姚本輝,1,15,3,29.78,6.67,20.0,9.38,33.33,10.1,22.22,-3.07,-7.77
布文,蔡約翰,2,14,7,15.4,14.29,50.0,8.14,24.42,10.87,33.7,4.78,20.94
梁家俊,文家良,0,14,2,41.93,0.0,14.29,8.64,16.05,5.83,22.33,-7.24,-4.9
田泰安,大衛希斯,1,13,4,22.54,7.69,30.77,5.36,23.21,6.56,20.49,1.73,8.92
楊明綸,大衛希斯,0,13,1,45.57,0.0,7.69,5.36,23.21,5.33,17.33,-5.35,-12.58
周俊樂,沈集成,0,13,1,45.65,0.0,7.69,6.0,16.0,4.9,12.75,-5.45,-6.68
田泰安,伍鵬志,0,13,1,28.4,0.0,7.69,9.0,20.0,6.56,20.49,-7.78,-12.55
潘頓,蘇偉賢,4,12,7,4.65,33.33,58.33,10.87,22.83,24.0,49.6,15.9,22.11
潘明輝,羅富全,2,12,3,35.98,16.67,25.0,8.42,24.21,10.1,22.22,7.41,1.78
艾兆禮,姚本輝,1,12,8,21.37,8.33,66.67,9.38,33.33,3.19,20.21,2.04,39.9
布文,沈集成,1,12,3,12.57,8.33,25.0,6.0,16.0,10.87,33.7,-0.1,0.15
潘明輝,文家良,1,12,1,55.12,8.33,8.33,8.64,16.05,10.1,22.22,-1.04,-10.8
周俊樂,葉楚航,0,12,1,46.72,0.0,8.33,5.41,14.86,4.9,12.75,-5.16,-5.48
蔡明紹,告東尼,1,11,2,22.78,9.09,18.18,4.71,14.12,5.49,18.68,3.99,1.78
艾兆禮,伍鵬志,1,11,2,31.12,9.09,18.18,9.0,20.0,3.19,20.21,3.0,-1.93
班德禮,丁冠豪,1,11,2,62.65,9.09,18.18,9.3,20.93,4.17,15.28,2.35,0.07
潘頓,羅富全,2,11,6,4.52,18.18,54.55,8.42,24.21,24.0,49.6,1.97,17.64
潘頓,呂健威,2,11,7,4.47,18.18,63.64,12.12,27.27,24.0,49.6,0.12,25.2
何澤堯,方嘉柏,1,11,4,12.15,9.09,36.36,10.34,24.14,10.98,25.61,-1.57,11.48
湯普新,大衛希斯,0,11,1,68.27,0.0,9.09,5.36,23.21,0.0,9.84,-2.68,-7.43
艾道拿,黎昭昇,0,11,2,34.44,0.0,18.18,5.06,22.78,5.43,25.0,-5.24,-5.71
巴度,賀賢,0,11,2,53.09,0.0,18.18,6.82,21.59,4.0,14.67,-5.41,0.05
艾道拿,賀賢,0,11,1,63.26,0.0,9.09,6.82,21.59,5.43,25.0,-6.12,-14.21
周俊樂,巫偉傑,0,11,1,83.82,0.0,9.09,7.45,19.15,4.9,12.75,-6.18,-6.86
周俊樂,文家良,0,11,1,82.45,0.0,9.09,8.64,16.05,4.9,12.75,-6.77,-5.31
潘明輝,賀賢,0,11,1,58.73,0.0,9.09,6.82,21.59,10.1,22.22,-8.46,-12.82
布文,賀賢,0,11,5,26.39,0.0,45.45,6.82,21.59,10.87,33.7,-8.84,17.8
潘頓,黎昭昇,4,10,7,4.24,40.0,70.0,5.06,22.78,24.0,49.6,25.47,33.81
周俊樂,姚本輝,2,10,4,26.89,20.0,40.0,9.38,33.33,4.9,12.75,12.86,16.96
巴度,方嘉柏,1,10,2,42.09,10.0,20.0,10.34,24.14,4.0,14.67,2.83,0.59
潘明輝,葉楚航,1,10,2,32.2,10.0,20.0,5.41,14.86,10.1,22.22,2.24,1.46
何澤堯,伍鵬志,1,10,3,19.62,10.0,30.0,9.0,20.0,10.98,25.61,0.01,7.2
巴度,蔡約翰,0,10,1,49.5,0.0,10.0,8.14,24.42,4.0,14.67,-6.07,-9.55
希威森,大衛希斯,2,9,3,63.62,22.22,33.33,5.36,23.21,4.95,14.85,17.06,14.3
楊明綸,呂健威,2,9,3,51.01,22.22,33.33,12.12,27.27,5.33,17.33,13.5,11.03
田泰安,游達榮,1,9,2,63.22,11.11,22.22,5.56,12.5,6.56,20.49,5.05,5.73
田泰安,蔡約翰,1,9,1,46.16,11.11,11.11,8.14,24.42,6.56,20.49,3.76,-11.34
班德禮,韋達,0,9,2,78.96,0.0,22.22,1.16,16.28,4.17,15.28,-2.66,6.44
巫顯東,沈集成,0,9,1,73.33,0.0,11.11,6.0,16.0,0.0,8.7,-3.0,-1.24
霍宏聲,韋達,0,9,1,44.78,0.0,11.11,1.16,16.28,11.36,21.59,-6.26,-7.83
黃智弘,方嘉柏,0,9,0,23.56,0.0,0.0,10.34,24.14,6.45,12.9,-8.4,-18.52
潘頓,葉楚航,3,8,4,4.6,37.5,50.0,5.41,14.86,24.0,49.6,22.8,17.77
潘頓,賀賢,3,8,4,4.06,37.5,50.0,6.82,21.59,24.0,49.6,22.09,14.4
何澤堯,蘇偉賢,2,8,2,51.5,25.0,25.0,10.87,22.83,10.98,25.61,14.08,0.78
楊明綸,鄭俊偉,1,8,2,71.01,12.5,25.0,6.9,25.86,5.33,17.33,6.38,3.41
黃寶妮,文家良,1,8,1,45.38,12.5,12.5,8.64,16.05,7.69,11.54,4.33,-1.3
潘明輝,伍鵬志,1,8,2,30.25,12.5,25.0,9.0,20.0,10.1,22.22,2.95,3.89
賀銘年,黎昭昇,0,8,0,73.25,0.0,0.0,5.06,22.78,0.0,5.88,-2.53,-14.33
潘頓,蔡約翰,1,8,3,4.77,12.5,37.5,8.14,24.42,24.0,49.6,-3.57,0.49
田泰安,韋達,0,8,1,20.01,0.0,12.5,1.16,16.28,6.56,20.49,-3.86,-5.88
班德禮,沈集成,0,8,0,48.12,0.0,0.0,6.0,16.0,4.17,15.28,-5.08,-15.64
楊明綸,方嘉柏,0,8,1,33.62,0.0,12.5,10.34,24.14,5.33,17.33,-7.84,-8.24
霍宏聲,丁冠豪,2,7,2,32.76,28.57,28.57,9.3,20.93,11.36,21.59,18.24,7.31
霍宏聲,游達榮,1,7,1,30.87,14.29,14.29,5.56,12.5,11.36,21.59,5.83,-2.76
潘明輝,鄭俊偉,1,7,3,46.23,14.29,42.86,6.9,25.86,10.1,22.22,5.79,18.82
湯普新,黎昭昇,0,7,2,96.57,0.0,28.57,5.06,22.78,0.0,9.84,-2.53,12.26
湯普新,鄭俊偉,0,7,2,57.5,0.0,28.57,6.9,25.86,0.0,9.84,-3.45,10.72
鍾易禮,葉楚航,0,7,1,45.71,0.0,14.29,5.41,14.86,2.41,8.43,-3.91,2.64
鍾易禮,沈集成,0,7,0,76.43,0.0,0.0,6.0,16.0,2.41,8.43,-4.2,-12.22
艾兆禮,大衛希斯,0,7,2,32.59,0.0,28.57,5.36,23.21,3.19,20.21,-4.28,6.86
班德禮,大衛希斯,0,7,1,37.81,0.0,14.29,5.36,23.21,4.17,15.28,-4.77,-4.96
鍾易禮,巫偉傑,0,7,0,79.11,0.0,0.0,7.45,19.15,2.41,8.43,-4.93,-13.79
湯普新,廖康銘,0,7,0,62.07,0.0,0.0,10.42,22.92,0.0,9.84,-5.21,-16.38
艾兆禮,羅富全,0,7,0,30.91,0.0,0.0,8.42,24.21,3.19,20.21,-5.8,-22.21
梁家俊,沈集成,0,7,1,44.81,0.0,14.29,6.0,16.0,5.83,22.33,-5.92,-4.88
艾兆禮,蘇偉賢,0,7,1,39.76,0.0,14.29,10.87,22.83,3.19,20.21,-7.03,-7.23
田泰安,羅富全,0,7,1,11.51,0.0,14.29,8.42,24.21,6.56,20.49,-7.49,-8.06
何澤堯,黎昭昇,0,7,1,36.11,0.0,14.29,5.06,22.78,10.98,25.61,-8.02,-9.91
田泰安,賀賢,1,6,2,26.18,16.67,33.33,6.82,21.59,6.56,20.49,9.98,12.29
艾兆禮,呂健威,1,6,2,24.0,16.67,33.33,12.12,27.27,3.19,20.21,9.02,9.59
湯普新,葉楚航,0,6,0,92.45,0.0,0.0,5.41,14.86,0.0,9.84,-2.7,-12.35
陳嘉熙,沈集成,0,6,3,14.07,0.0,50.0,6.0,16.0,0.0,42.86,-3.0,20.57
巫顯東,鄭俊偉,0,6,1,65.83,0.0,16.67,6.9,25.86,0.0,8.7,-3.45,-0.61
希威森,容天鵬,0,6,1,39.1,0.0,16.67,2.13,6.38,4.95,14.85,-3.54,6.06
梁家俊,大衛希斯,0,6,0,70.83,0.0,0.0,5.36,23.21,5.83,22.33,-5.6,-22.77
田泰安,黎昭昇,0,6,1,25.1,0.0,16.67,5.06,22.78,6.56,20.49,-5.81,-4.96
蔡明紹,羅富全,0,6,1,29.33,0.0,16.67,8.42,24.21,5.49,18.68,-6.96,-4.77
田泰安,巫偉傑,0,6,3,31.65,0.0,50.0,7.45,19.15,6.56,20.49,-7.0,30.18
蔡明紹,文家良,0,6,1,40.93,0.0,16.67,8.64,16.05,5.49,18.68,-7.06,-0.7
黃寶妮,賀賢,0,6,1,31.55,0.0,16.67,6.82,21.59,7.69,11.54,-7.26,0.11
田泰安,姚本輝,0,6,1,45.33,0.0,16.67,9.38,33.33,6.56,20.49,-7.97,-10.24
艾道拿,大衛希斯,2,5,4,15.1,40.0,80.0,5.36,23.21,5.43,25.0,34.61,55.9
袁幸堯,姚本輝,2,5,5,12.32,40.0,100.0,9.38,33.33,33.33,100.0,18.64,33.34
田泰安,鄭俊偉,1,5,2,20.04,20.0,40.0,6.9,25.86,6.56,20.49,13.27,16.83
班德禮,蘇偉賢,1,5,1,44.6,20.0,20.0,10.87,22.83,4.17,15.28,12.48,0.95
艾道拿,廖康銘,1,5,1,13.06,20.0,20.0,10.42,22.92,5.43,25.0,12.08,-3.96
田泰安,桂福特,1,5,2,19.52,20.0,40.0,11.11,22.22,6.56,20.49,11.16,18.65
霍宏聲,方嘉柏,1,5,2,38.14,20.0,40.0,10.34,24.14,11.36,21.59,9.15,17.13
潘頓,廖康銘,1,5,2,5.94,20.0,40.0,10.42,22.92,24.0,49.6,2.79,3.74
湯普新,容天鵬,0,5,1,88.02,0.0,20.0,2.13,6.38,0.0,9.84,-1.06,11.89
湯普新,蔡約翰,0,5,0,54.6,0.0,0.0,8.14,24.42,0.0,9.84,-4.07,-17.13
賀銘年,蔡約翰,0,5,0,69.0,0.0,0.0,8.14,24.42,0.0,5.88,-4.07,-15.15
巴度,黎昭昇,0,5,0,70.6,0.0,0.0,5.06,22.78,4.0,14.67,-4.53,-18.73
楊明綸,沈集成,0,5,1,58.26,0.0,20.0,6.0,16.0,5.33,17.33,-5.66,3.34
艾兆禮,蔡約翰,0,5,0,29.72,0.0,0.0,8.14,24.42,3.19,20.21,-5.66,-22.32
黃智弘,大衛希斯,0,5,2,53.66,0.0,40.0,5.36,23.21,6.45,12.9,-5.9,21.94
希威森,鄭俊偉,0,5,2,28.64,0.0,40.0,6.9,25.86,4.95,14.85,-5.93,19.64
布文,韋達,0,5,0,24.0,0.0,0.0,1.16,16.28,10.87,33.7,-6.02,-24.99
